enzyme,enzymeM,G55,Go3,Gpli,membraneMarker,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,memERGIC,memERGICRabA,memERGICRabB,memERGICRabC,memERGICRabD,memERGICRabE,memGolgiMedial,memGolgiMedialRabA,memGolgiMedialRabB,memGolgiMedialRabC,memGolgiMedialRabD,memGolgiMedialRabE,memL,memLRabA,memLRabB,memLRabC,memLRabD,memLRabE,memLS,memLSRabA,memLSRabB,memLSRabC,memLSRabD,memLSRabE,memS,memSRabA,memSRabB,memSRabC,memSRabD,memSRabE,memTGN,memTGNRabA,memTGNRabB,memTGNRabC,memTGNRabD,memTGNRabE,memTub,memTubRabA,memTubRabB,memTubRabC,memTubRabD,memTubRabE,proton,protonRabA,protonRabB,protonRabC,protonRabD,protonRabE,solL,solLRabA,solLRabB,solLRabC,solLRabD,solLRabE,solS,solSRabA,solSRabB,solSRabC,solSRabD,solSRabE,solubleMarker,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,Spli,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,0.0,53.87831,53.87831,53.87831,0.0,0.0,196257.0,0.0,0.0,0.0,0.0,0.0,196257.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,0.0,53.83029,53.72597,53.91052,0.16816,0.0,196257.0,0.0,0.0,0.0,0.0,0.0,196257.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,0.04358,53.37926,54.20103,53.80202,0.20905,0.0,196257.0,0.0,0.0,0.0,0.0,0.0,196257.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.95429,0.04571,0.0,0.0,0.0,0.0,7665.77723,367.22277,0.0,0.0,0.0,0.0,7665.77723,367.22277,0.0,0.0,0.0,0.0,7665.77723,367.22277,0.0,0.0,0.0,0.0,7665.77723,367.22277,0.0,0.0,0.0,0.0,7665.77723,367.22277,0.0,0.0,0.0,0.0,7665.77723,367.22277,0.0,0.0,0.0,0.0,7665.77723,367.22277,0.0,0.0,0.0,0.0,0.07433,53.39079,53.70965,54.04993,0.41024,0.0,187285.25345,8971.74655,0.0,0.0,0.0,0.0,187285.25345,8971.74655,0.0,0.0,0.0,0.0,0.95429,0.04571,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.95092,0.04908,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,0.06788,53.29766,53.85562,53.8171,0.59668,0.0,186624.75693,9632.24307,0.0,0.0,0.0,0.0,186624.75693,9632.24307,0.0,0.0,0.0,0.0,0.95092,0.04908,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.95092,0.04908,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,0.06892,53.10895,53.95192,53.74271,0.76246,0.0,186624.75693,9632.24307,0.0,0.0,0.0,0.0,186624.75693,9632.24307,0.0,0.0,0.0,0.0,0.95092,0.04908,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.95092,0.04908,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,0.18128,53.1857,53.75989,53.49503,1.01305,0.0,186624.75693,9632.24307,0.0,0.0,0.0,0.0,186624.75693,9632.24307,0.0,0.0,0.0,0.0,0.95092,0.04908,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.95092,0.04908,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7281.37444,750.88843,0.73712,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7281.37444,750.88843,0.73712,0.0,0.0,0.0,7281.37444,750.88843,0.73712,0.0,0.0,0.0,7281.37444,750.88843,0.73712,0.0,0.0,0.0,5137.16654,2890.6736,5.15987,0.0,0.0,0.0,0.26017,53.09856,53.54622,53.31477,1.41523,0.0,186624.75693,9632.24307,0.0,0.0,0.0,0.0,185023.69612,11230.00146,3.30242,0.0,0.0,0.0,0.0,0.99804,0.00196,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.95092,0.04908,0.0,0.0,0.0,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7281.37444,747.96584,3.63141,0.02107,0.00724,0.0,7638.74243,394.25757,0.0,0.0,0.0,0.0,7281.37444,747.96584,3.63141,0.02107,0.00724,0.0,7281.37444,747.96584,3.63141,0.02107,0.00724,0.0,7281.37444,747.96584,3.63141,0.02108,0.00722,0.0,5137.16654,2751.72046,139.60998,2.07351,2.42951,0.0,0.26017,52.95789,53.44556,53.34302,1.62831,0.0,186624.75693,9632.24307,0.0,0.0,0.0,0.0,185023.69612,11224.05281,9.20581,0.03862,0.00665,0.0,0.0,0.0,0.07782,0.07782,0.84436,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.89937,0.05031,0.05031,0.0,0.0,0.0,7287.23007,372.88496,372.88496,0.0,0.0,0.0,6940.72555,728.93563,363.28681,0.02434,0.02767,0.0,7224.648,404.176,404.176,0.0,0.0,0.0,6940.72555,728.93563,363.28681,0.02434,0.02767,0.0,6940.72555,728.93563,363.28681,0.02434,0.02767,0.0,6940.72542,728.9356,363.28685,0.0244,0.02772,0.0,5125.90993,2559.98507,333.09554,5.3234,8.68605,0.0,0.25475,52.91709,53.60107,53.01059,1.85144,0.0,176507.87283,9874.56359,9874.56359,0.0,0.0,0.0,175329.55511,11293.36509,9634.02214,0.03215,0.0255,0.0,0.0,0.0,0.07782,0.07782,0.84436,0.0,
