bMGEnEr,bMGEnPm,bMGEnRabA,bMGEnRabB,bMGEnRabC,bMGEnRabD,bMGEnRabE,bMGEnRabF,bMGEnRabG,bMGEnRabH,bMGEnRabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,loCxEnEr,loCxEnPm,loCxEnRabA,loCxEnRabB,loCxEnRabC,loCxEnRabD,loCxEnRabE,loCxEnRabF,loCxEnRabG,loCxEnRabH,loCxEnRabI,lyEnzEnEr,lyEnzEnPm,lyEnzEnRabA,lyEnzEnRabB,lyEnzEnRabC,lyEnzEnRabD,lyEnzEnRabE,lyEnzEnRabF,lyEnzEnRabG,lyEnzEnRabH,lyEnzEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,NOXEnEr,NOXEnPm,NOXEnRabA,NOXEnRabB,NOXEnRabC,NOXEnRabD,NOXEnRabE,NOXEnRabF,NOXEnRabG,NOXEnRabH,NOXEnRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,TfEr,TfPm,TfRabA,TfRabB,TfRabC,TfRabD,TfRabE,TfRabF,TfRabG,TfRabH,TfRabI,vATPaseEnEr,vATPaseEnPm,vATPaseEnRabA,vATPaseEnRabB,vATPaseEnRabC,vATPaseEnRabD,vATPaseEnRabE,vATPaseEnRabF,vATPaseEnRabG,vATPaseEnRabH,vATPaseEnRabI,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239600.0,0.0,55.25,127.4,86.18,10.88,7.58,108.2,16.2,34.78,48.34,2396000.0,0.0,212.5,748.9,66.15,46.09,96.82,389.9,223.1,1468.0,2012.0,2396000.0,0.0,212.5,748.9,66.15,46.09,96.82,389.9,223.1,1468.0,2012.0,2396000.0,0.0,212.5,748.9,66.15,46.09,96.82,389.9,223.1,1468.0,2012.0,0.0,0.0,4.384E7,3.612E7,7.377E7,3.32E8,3.496E7,1.796E7,3161000.0,2711000.0,8099000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,57.43,90.85,529.0,161.9,475.0,42.93,15.97,17.2,0.0,0.0,2584.0,576.6,210.3,2344.0,71.74,19.33,7.133,22.13,35.29,0.0,0.0,37.48,11.69,30.62,10.43,0.5656,0.1375,0.02676,0.05023,0.07914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,8326.0,14700.0,40630.0,167000.0,19850.0,17020.0,2412.0,1923.0,4647.0,0.0,0.0,22160.0,32810.0,15460.0,3179.0,401.2,82.92,18.59,40.37,57.02,0.0,0.0,160.8,58.72,35.82,152.6,112.4,225.4,20.54,9.933,8.381,
0.0,0.0,0.008507,0.0338,0.08053,0.1844,0.01316,0.05222,0.005406,0.003076,0.006425,240000.0,0.0,50.91,129.7,86.02,11.95,8.504,108.6,16.21,34.09,48.17,2400000.0,0.0,186.6,763.2,91.1,55.96,112.9,393.2,225.3,1409.0,2023.0,2400000.0,0.0,186.6,763.2,91.1,55.96,112.9,393.2,225.3,1409.0,2023.0,2400000.0,0.0,186.6,763.2,91.1,55.96,112.9,393.2,225.3,1409.0,2023.0,0.0,50870.0,4.397E7,3.49E7,7.51E7,3.318E8,3.486E7,1.804E7,3157000.0,2725000.0,8029000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.41,53.88,92.97,530.3,162.0,478.6,43.18,11.84,16.86,0.0,0.0,2586.0,591.2,242.1,2303.0,78.04,18.5,6.481,21.38,30.45,0.0,0.0,37.59,11.6,29.85,10.65,0.5923,0.1526,0.03753,0.188,0.1781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.538E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.6,1.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.572E-5,0.0,177.3,18240.0,21400.0,45420.0,251300.0,23370.0,16820.0,2544.0,2451.0,5783.0,0.0,0.0,20320.0,34020.0,15430.0,3383.0,420.2,89.77,23.67,110.3,104.7,0.0,0.0,159.5,53.26,38.16,155.4,112.6,227.1,20.63,7.916,7.941,
0.0,0.004018,0.03359,0.08352,0.1811,0.4987,0.03046,0.1203,0.005507,0.006408,0.01707,240000.0,1.424,50.56,129.8,86.23,11.56,7.535,112.3,12.63,33.02,55.19,2400000.0,0.0,187.4,776.3,89.46,58.87,97.14,398.6,223.9,1389.0,2100.0,2400000.0,0.0,187.4,776.3,89.46,58.87,97.14,398.6,223.9,1389.0,2100.0,2400000.0,0.0,187.4,776.3,89.46,58.87,97.14,398.6,223.9,1389.0,2100.0,0.0,1070000.0,4.411E7,3.426E7,7.55E7,3.312E8,3.451E7,1.887E7,2349000.0,2505000.0,8228000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.78,52.31,96.6,529.0,162.1,513.6,6.884,11.74,17.4,0.0,0.0,2671.0,573.4,224.7,2315.0,72.82,19.45,6.804,15.25,35.51,0.0,0.6208,38.23,10.85,30.14,10.54,0.5756,0.1622,0.04151,0.1295,0.2267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.128E-5,2.734E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.4,4.488,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.443E-5,0.0,983.7,27890.0,28250.0,49940.0,333100.0,26420.0,17460.0,1867.0,2546.0,7174.0,0.0,298.4,20190.0,33890.0,15490.0,3304.0,397.3,95.59,24.93,76.23,132.8,0.0,0.0,160.2,50.15,43.21,153.2,112.5,243.8,3.395,7.454,8.536,
0.0,0.004199,0.07086,0.194,0.2971,0.8425,0.04856,0.1865,0.01196,0.0162,0.07875,240000.0,1.498,49.32,133.5,84.39,15.5,7.784,111.9,12.34,31.11,52.67,2400000.0,0.548,176.8,829.9,78.28,118.3,100.1,391.6,218.5,1356.0,2051.0,2400000.0,0.548,176.8,829.9,78.28,118.3,100.1,391.6,218.5,1356.0,2051.0,2400000.0,0.548,176.8,829.9,78.28,118.3,100.1,391.6,218.5,1356.0,2051.0,0.0,1171000.0,5.028E7,4.229E7,6.777E7,3.094E8,3.31E7,1.939E7,3241000.0,4966000.0,2.097E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.07,54.33,81.83,514.9,159.8,514.6,8.269,12.7,35.9,0.0,0.5493,2742.0,531.5,256.0,2200.0,87.5,24.26,10.73,10.19,79.48,0.0,0.622,37.6,9.865,32.66,8.993,0.8071,0.2241,0.08064,0.08325,0.5912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.917E-4,5.962E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.4,5.422,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.187E-5,0.0,1130.0,39080.0,35690.0,53070.0,367100.0,29410.0,18120.0,2910.0,4438.0,19960.0,0.0,300.0,19910.0,34210.0,15500.0,3173.0,437.8,98.29,25.82,28.22,152.5,0.0,0.0,159.6,48.38,44.78,149.1,113.6,244.1,3.677,6.807,11.64,
0.0,0.004999,0.1278,0.3308,0.5127,1.696,0.08556,0.2383,0.02016,0.0215,0.1462,240000.0,2.793,49.55,133.3,82.23,11.38,7.589,112.3,12.3,30.93,51.96,2400000.0,0.548,179.3,826.4,70.67,77.56,97.9,391.2,218.0,1296.0,2106.0,2400000.0,0.548,179.3,826.4,70.67,77.56,97.9,391.2,218.0,1296.0,2106.0,2400000.0,0.548,179.3,826.4,70.67,77.56,97.9,391.2,218.0,1296.0,2106.0,0.0,1825000.0,5.029E7,4.229E7,6.758E7,3.095E8,3.25E7,1.95E7,3247000.0,4858000.0,2.098E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.29,55.73,90.61,574.7,159.9,519.5,8.907,8.823,40.8,0.0,0.5493,2713.0,542.9,200.9,1801.0,72.53,19.18,7.503,7.788,49.78,0.0,1.044,37.58,9.872,31.82,6.87,0.6981,0.1868,0.05585,0.06468,0.3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.522E-4,1.63E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.4,5.422,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.035E-5,0.0,1401.0,45220.0,38390.0,59390.0,436000.0,32320.0,18710.0,3341.0,4383.0,23830.0,0.0,549.3,19990.0,34060.0,15200.0,2535.0,411.4,89.41,20.01,23.71,99.77,0.0,0.0,158.9,47.66,40.23,115.6,110.8,245.6,3.486,4.625,9.316,
0.0,0.004997,0.221,0.4427,0.746,2.675,0.1337,0.3091,0.02933,0.02882,0.2224,240000.0,2.768,47.46,134.3,84.01,11.47,8.705,112.3,12.32,30.95,49.76,2400000.0,0.3346,177.7,828.0,65.63,89.02,175.4,391.0,218.8,1297.0,2017.0,2400000.0,0.3346,177.7,828.0,65.63,89.02,175.4,391.0,218.8,1297.0,2017.0,2400000.0,0.3346,177.7,828.0,65.63,89.02,175.4,391.0,218.8,1297.0,2017.0,0.0,1977000.0,5.071E7,4.176E7,6.693E7,3.083E8,3.301E7,1.974E7,3219000.0,4740000.0,2.218E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.28,59.07,89.05,556.1,163.0,521.7,8.453,6.792,57.89,0.0,0.3354,2836.0,538.8,198.6,1786.0,64.34,19.76,7.227,6.905,53.83,0.0,1.016,37.86,10.25,32.09,6.889,0.7845,0.1795,0.05734,0.06631,0.3934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.232E-4,3.091E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.1,10.73,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.935E-5,0.0,1581.0,50450.0,40460.0,63300.0,476400.0,33120.0,19230.0,3502.0,4037.0,27990.0,0.0,541.9,19140.0,34600.0,15210.0,2542.0,562.6,86.83,22.03,26.21,133.8,0.0,0.0,152.7,53.72,37.44,100.5,114.5,247.3,3.162,3.115,22.49,
0.0,0.004996,0.2999,0.5614,0.9751,3.715,0.1806,0.3714,0.03932,0.03668,0.2998,240000.0,2.759,48.56,133.2,84.39,11.35,8.246,111.6,12.4,30.99,61.49,2400000.0,0.2798,181.3,831.0,62.43,76.29,100.5,388.2,217.9,1295.0,2221.0,2400000.0,0.2798,181.3,831.0,62.43,76.29,100.5,388.2,217.9,1295.0,2221.0,2400000.0,0.2798,181.3,831.0,62.43,76.29,100.5,388.2,217.9,1295.0,2221.0,0.0,1977000.0,5.081E7,4.124E7,6.727E7,3.071E8,3.58E7,1.936E7,3335000.0,4899000.0,2.083E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.25,56.01,91.97,535.1,206.4,512.2,10.81,9.502,37.12,0.0,0.2805,2860.0,547.3,201.8,1820.0,34.99,18.72,6.816,6.31,47.98,0.0,1.006,38.19,10.22,32.13,6.861,0.8148,0.1772,0.05824,0.0679,0.3754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001375,5.546E-5,2.896E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.2,12.16,0.6379,0.02221,0.0,0.0,0.0,0.0,0.0,0.0,8.683E-5,0.0,1685.0,54350.0,41440.0,65010.0,504300.0,36600.0,19040.0,3767.0,4129.0,27350.0,0.0,539.3,19510.0,34080.0,15300.0,2505.0,476.7,81.21,21.43,25.32,102.2,0.0,0.0,153.4,50.19,39.43,85.14,147.7,241.8,4.733,5.094,6.493,
0.0,0.005466,0.3856,0.6775,1.212,4.891,0.2319,0.4412,0.05063,0.04489,0.391,240000.0,3.39,48.56,133.1,83.85,11.33,8.25,111.6,12.53,30.94,61.41,2400000.0,1.478,181.3,830.8,61.41,76.3,100.5,388.2,254.6,1310.0,2170.0,2400000.0,1.478,181.3,830.8,61.41,76.3,100.5,388.2,254.6,1310.0,2170.0,2400000.0,1.478,181.3,830.8,61.41,76.3,100.5,388.2,254.6,1310.0,2170.0,0.0,2063000.0,5.081E7,4.123E7,6.719E7,3.071E8,3.58E7,1.935E7,3449000.0,4754000.0,2.086E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.25,56.06,91.99,535.1,206.5,511.9,10.85,9.52,37.15,0.0,0.2805,2860.0,547.3,201.8,1820.0,34.99,18.71,6.947,6.142,48.02,0.0,1.006,38.2,10.22,32.14,6.885,0.8157,0.1783,0.05991,0.06624,0.3773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002131,8.215E-5,5.344E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.2,12.16,0.6379,0.02221,0.0,0.0,0.0,0.0,0.0,0.0,8.607E-5,0.0,1770.0,57510.0,42400.0,66690.0,531900.0,32520.0,19390.0,3864.0,3912.0,28560.0,0.0,679.1,19510.0,34060.0,15180.0,2505.0,476.7,81.19,21.95,24.64,102.3,0.0,0.0,153.4,50.21,39.44,85.17,147.7,241.6,4.752,5.103,6.507,
0.0,0.005593,0.4701,0.7797,1.445,6.123,0.2839,0.5138,0.06247,0.0545,0.4881,240000.0,3.397,48.56,133.1,83.85,11.32,8.251,112.1,12.05,30.89,61.42,2400000.0,1.641,181.3,830.8,61.42,76.31,100.4,387.7,228.1,892.3,2614.0,2400000.0,1.641,181.3,830.8,61.42,76.31,100.4,387.7,228.1,892.3,2614.0,2400000.0,1.641,181.3,830.8,61.42,76.31,100.4,387.7,228.1,892.3,2614.0,0.0,2144000.0,5.081E7,4.124E7,6.721E7,3.071E8,3.567E7,1.929E7,3504000.0,4790000.0,2.085E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.32,56.28,91.65,532.5,205.7,511.2,11.02,9.707,36.96,0.0,0.435,2860.0,547.3,201.8,1820.0,34.81,18.6,7.047,6.157,48.02,0.0,1.008,38.2,10.23,32.14,6.909,0.8142,0.1781,0.06139,0.06673,0.3791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003093,1.122E-4,8.182E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.2,12.16,0.6379,0.02221,0.0,0.0,0.0,0.0,0.0,0.0,8.52E-5,0.0,1855.0,59850.0,43040.0,68000.0,552900.0,29280.0,19680.0,3944.0,3827.0,29500.0,0.0,680.1,19510.0,34060.0,15180.0,2505.0,475.3,80.55,22.58,24.81,102.4,0.0,0.0,153.4,50.35,39.6,85.27,147.2,241.3,4.881,5.255,6.582,
0.0,0.009106,0.7695,0.6864,1.733,7.316,0.2265,0.5997,0.07399,0.06393,0.5842,240000.0,6.484,47.54,131.8,83.43,10.96,8.158,112.1,12.05,30.89,61.43,2400000.0,1.804,185.3,811.2,78.4,74.83,99.49,387.7,228.1,892.3,2614.0,2400000.0,1.804,185.3,811.2,78.4,74.83,99.49,387.7,228.1,892.3,2614.0,2400000.0,1.804,185.3,811.2,78.4,74.83,99.49,387.7,228.1,892.3,2614.0,0.0,2396000.0,5.128E7,3.93E7,6.857E7,3.101E8,3.216E7,1.934E7,3537000.0,4815000.0,2.114E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.96,54.25,91.2,532.6,198.7,511.2,11.04,9.726,37.18,0.0,0.5895,2903.0,531.4,161.7,1837.0,24.8,18.73,7.131,6.22,48.77,0.0,1.469,36.5,10.23,34.35,6.005,0.7434,0.1803,0.06223,0.06744,0.3862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004072,2.068E-4,1.134E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.2,10.47,2.126,0.02221,0.0,0.0,0.0,0.0,0.0,0.0,8.327E-5,0.0,1933.0,70160.0,38290.0,69730.0,566800.0,21580.0,20060.0,4006.0,3754.0,30550.0,0.0,1258.0,19240.0,33810.0,15350.0,2272.0,461.3,80.78,22.73,24.92,103.7,0.0,0.0,151.7,50.79,38.37,88.82,146.0,241.4,4.888,5.26,6.646,
0.0,0.02581,0.8878,0.7532,1.97,8.608,0.2598,0.6775,0.08613,0.07368,0.6865,240000.0,8.22,47.57,131.7,81.66,10.89,8.155,112.0,12.05,30.89,61.43,2400000.0,1.93,187.0,821.9,65.7,74.44,99.29,387.7,228.1,892.3,2614.0,2400000.0,1.93,187.0,821.9,65.7,74.44,99.29,387.7,228.1,892.3,2614.0,2400000.0,1.93,187.0,821.9,65.7,74.44,99.29,387.7,228.1,892.3,2614.0,0.0,2990000.0,5.136E7,3.87E7,6.848E7,3.1E8,3.224E7,1.933E7,3538000.0,4815000.0,2.114E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.74,53.39,92.43,534.2,199.1,510.9,11.08,9.746,37.21,0.0,0.7483,2895.0,532.9,161.3,1826.0,24.85,18.73,7.131,6.22,48.77,0.0,2.098,36.38,9.602,34.39,6.063,0.7518,0.1816,0.06247,0.06769,0.3881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005216,2.764E-4,1.475E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.2,10.47,2.126,0.02221,0.0,0.0,0.0,0.0,0.0,0.0,8.233E-5,0.0,2099.0,73290.0,38980.0,69520.0,579400.0,19430.0,19990.0,4001.0,3653.0,30900.0,0.0,1543.0,19180.0,33830.0,15050.0,2258.0,459.9,80.76,22.73,24.92,103.7,0.0,0.0,150.9,48.86,39.74,88.37,146.5,241.2,4.909,5.27,6.661,
