RabA,RabB,RabC,RabD,RabE,area,memC1,memC2,memC3,memS,memS1,memS2,memS3,membraneMarker,proton,solL,solS,solubleMarker,volume,
1731174.63,30787.61,15393.8,15393.8,15393.8,1808143.65,7325.32,201.86,378.23,8033.0,0.0,0.0,0.0,1.0,109.2,0.0,0.0,0.0,1.741976704E7,
15393.8,92362.82,1831234.36,76969.02,15393.8,2031353.81,184.7,698.17,7597.95,105.77,27.01,1.54,0.86,0.0,212.09,0.0,0.0,1.0,1.954541869E7,
1669599.42,15393.8,15393.8,15393.8,15393.8,1731174.63,7130.41,50.02,217.7,2724.2,4860.3,40.01,0.5,1.0,106.18,0.0,0.0,0.0,1.674628812E7,
15393.8,76969.02,1800446.75,61575.22,15393.8,1969778.59,184.7,698.17,7470.21,98.66,26.44,2.32,4.67,0.0,207.68,0.0,0.0,1.0,1.900663555E7,
1654205.61,107756.63,15393.8,15393.8,15393.8,1808143.65,7198.51,49.57,215.74,207.31,7327.06,150.09,7.76,1.0,107.89,0.0,0.0,0.0,1.741976704E7,
15393.8,61575.22,1754265.34,15393.8,15393.8,1862021.97,184.7,698.17,7341.37,90.68,25.58,2.4,10.27,0.0,203.18,0.0,0.0,1.0,1.806376505E7,
1659703.4,76969.02,15393.8,15393.8,15393.8,1782853.83,7148.37,35.82,218.22,27.63,7256.16,217.98,18.84,1.0,104.62,0.0,0.0,0.0,1.723710858E7,
15393.8,30787.61,1677296.32,15393.8,15393.8,1754265.34,184.7,698.16,7212.53,85.77,24.88,2.41,13.73,0.0,200.15,0.0,0.0,1.0,1.712089456E7,
1644309.6,153938.04,15393.8,15393.8,15393.8,1844429.05,7248.48,35.51,216.33,1.4,7113.2,299.09,42.06,1.0,105.86,0.0,0.0,0.0,1.777589172E7,
15393.8,46181.41,1754265.34,123150.43,15393.8,1954384.79,184.7,760.9,7487.27,84.3,85.77,13.74,17.37,0.0,209.78,0.0,0.0,1.0,1.887193976E7,
1677296.32,92362.82,15393.8,15393.8,15393.8,1815840.55,7391.33,24.83,220.6,0.31,7030.82,328.08,55.76,1.0,103.49,0.0,0.0,0.0,1.756091549E7,
15393.8,15393.8,1769659.14,92362.82,15393.8,1908203.38,184.7,255.29,7487.26,81.34,135.98,15.35,25.66,0.0,206.07,0.0,0.0,1.0,1.846785241E7,
1612422.43,107756.63,15393.8,15393.8,15393.8,1766360.47,7248.0,19.47,216.28,0.04,6797.47,336.77,74.66,1.0,102.69,0.0,0.0,0.0,1.70424722E7,
15393.8,15393.8,1754265.34,107756.63,15393.8,1908203.38,184.7,255.29,7589.18,78.47,132.16,7.0,40.82,0.0,207.34,0.0,0.0,1.0,1.846785241E7,
1666300.74,46181.41,15393.8,15393.8,15393.8,1758663.57,7344.9,12.56,223.24,0.0,6735.77,352.93,101.02,1.0,99.54,0.0,0.0,0.0,1.699968469E7,
15393.8,15393.8,1677296.32,30787.61,15393.8,1754265.34,184.7,255.29,7388.79,71.89,122.03,4.74,47.12,0.0,198.18,0.0,0.0,1.0,1.712089456E7,
1620119.33,15393.8,30787.61,15393.8,15393.8,1697088.35,7283.66,4.11,220.01,0.14,6539.24,345.0,120.14,1.0,99.89,0.0,0.0,0.0,1.646090155E7,
15393.8,15393.8,1646508.71,15393.8,15393.8,1708083.93,184.7,255.29,7388.79,66.63,114.65,4.07,58.24,0.0,196.59,0.0,0.0,1.0,1.67168072E7,
1619019.77,15393.8,15393.8,15393.8,15393.8,1680594.99,7278.94,4.11,219.87,0.01,6523.27,324.15,152.57,1.0,99.89,0.0,0.0,0.0,1.623365975E7,
15393.8,15393.8,1554145.89,15393.8,15393.8,1615721.1,184.7,255.29,7249.3,62.75,108.86,3.88,63.67,0.0,193.4,0.0,0.0,1.0,1.590863249E7,
1617920.22,15393.8,15393.8,15393.8,15393.8,1679495.43,7271.66,4.14,221.74,0.0,6509.04,308.06,178.3,1.0,99.07,0.0,0.0,0.0,1.622287299E7,
15393.8,46181.41,1600327.3,15393.8,15393.8,1692690.12,184.7,433.88,7230.08,58.75,100.59,10.24,81.09,0.0,194.78,0.0,0.0,1.0,1.658211142E7,
1570639.25,15393.8,15393.8,15393.8,15393.8,1632214.46,7124.82,4.18,223.59,0.0,6376.45,290.43,194.53,1.0,96.62,0.0,0.0,0.0,1.580799894E7,
15393.8,15393.8,1554145.89,15393.8,15393.8,1615721.1,184.7,216.94,7089.64,53.28,89.53,4.0,96.89,0.0,189.95,0.0,0.0,1.0,1.590863249E7,
1569539.69,15393.8,15393.8,15393.8,15393.8,1631114.91,7212.82,4.2,224.79,0.26,6175.32,282.94,203.65,1.0,97.0,0.0,0.0,0.0,1.574832156E7,
15393.8,15393.8,1461783.06,15393.8,15393.8,1523358.28,184.7,216.94,6808.02,49.04,83.93,2.89,98.55,0.0,183.5,0.0,0.0,1.0,1.510045778E7,
1635513.14,15393.8,15393.8,15393.8,15393.8,1697088.35,7237.84,4.29,229.64,0.03,6193.01,273.19,223.16,1.0,95.5,0.0,0.0,0.0,1.637914237E7,
