time, RabAc, RabAm, RabBc, RabBm, RabDc, RabDm, RabCc, RabCm
0, 1860, 546, 194128, 587, 6, 28156, 9659, 1602
1, 1860, 546, 194129, 586.433, 5.99967, 28156, 9658.43, 1602.57
2, 1860, 545.999, 194129, 585.867, 5.99934, 28156, 9657.87, 1603.13
3, 1860, 545.999, 194130, 585.302, 5.99902, 28156, 9657.3, 1603.7
4, 1860, 545.999, 194130, 584.737, 5.99869, 28156, 9656.74, 1604.26
5, 1860, 545.998, 194131, 584.172, 5.99836, 28156, 9656.17, 1604.83
6, 1860, 545.998, 194131, 583.608, 5.99803, 28156, 9655.61, 1605.39
7, 1860, 545.998, 194132, 583.045, 5.99771, 28156, 9655.05, 1605.95
8, 1860, 545.997, 194133, 582.483, 5.99738, 28156, 9654.48, 1606.52
9, 1860, 545.997, 194133, 581.921, 5.99705, 28156, 9653.92, 1607.08
10, 1860, 545.997, 194134, 581.359, 5.99672, 28156, 9653.36, 1607.64
11, 1860, 545.996, 194134, 580.798, 5.9964, 28156, 9652.8, 1608.2
12, 1860, 545.996, 194135, 580.238, 5.99607, 28156, 9652.24, 1608.76
13, 1860, 545.996, 194135, 579.678, 5.99574, 28156, 9651.68, 1609.32
14, 1860, 545.995, 194136, 579.119, 5.99542, 28156, 9651.12, 1609.88
15, 1860, 545.995, 194136, 578.56, 5.99509, 28156, 9650.56, 1610.44
16, 1860.01, 545.995, 194137, 578.002, 5.99476, 28156, 9650, 1611
17, 1860.01, 545.994, 194138, 577.445, 5.99443, 28156, 9649.44, 1611.56
18, 1860.01, 545.994, 194138, 576.888, 5.99411, 28156, 9648.89, 1612.11
19, 1860.01, 545.994, 194139, 576.331, 5.99378, 28156, 9648.33, 1612.67
20, 1860.01, 545.993, 194139, 575.776, 5.99345, 28156, 9647.78, 1613.22
21, 1860.01, 545.993, 194140, 575.22, 5.99312, 28156, 9647.22, 1613.78
22, 1860.01, 545.993, 194140, 574.666, 5.9928, 28156, 9646.67, 1614.33
23, 1860.01, 545.992, 194141, 574.112, 5.99247, 28156, 9646.11, 1614.89
24, 1860.01, 545.992, 194141, 573.558, 5.99214, 28156, 9645.56, 1615.44
25, 1860.01, 545.992, 194142, 573.005, 5.99182, 28156, 9645.01, 1615.99
26, 1860.01, 545.991, 194143, 572.453, 5.99149, 28156, 9644.45, 1616.55
27, 1860.01, 545.991, 194143, 571.901, 5.99116, 28156, 9643.9, 1617.1
28, 1860.01, 545.991, 194144, 571.35, 5.99083, 28156, 9643.35, 1617.65
29, 1860.01, 545.991, 194144, 570.799, 5.99051, 28156, 9642.8, 1618.2
30, 1860.01, 545.99, 194145, 570.249, 5.99018, 28156, 9642.25, 1618.75
31, 1860.01, 545.99, 194145, 569.699, 5.98985, 28156, 9641.7, 1619.3
32, 1860.01, 545.99, 194146, 569.15, 5.98953, 28156, 9641.15, 1619.85
33, 1860.01, 545.989, 194146, 568.602, 5.9892, 28156, 9640.6, 1620.4
34, 1860.01, 545.989, 194147, 568.054, 5.98887, 28156, 9640.05, 1620.95
35, 1860.01, 545.989, 194147, 567.507, 5.98855, 28156, 9639.51, 1621.49
36, 1860.01, 545.988, 194148, 566.96, 5.98822, 28156, 9638.96, 1622.04
37, 1860.01, 545.988, 194149, 566.414, 5.98789, 28156, 9638.41, 1622.59
38, 1860.01, 545.988, 194149, 565.868, 5.98756, 28156, 9637.87, 1623.13
39, 1860.01, 545.987, 194150, 565.323, 5.98724, 28156, 9637.32, 1623.68
40, 1860.01, 545.987, 194150, 564.778, 5.98691, 28156, 9636.78, 1624.22
41, 1860.01, 545.987, 194151, 564.234, 5.98658, 28156, 9636.23, 1624.77
42, 1860.01, 545.986, 194151, 563.691, 5.98626, 28156, 9635.69, 1625.31
43, 1860.01, 545.986, 194152, 563.148, 5.98593, 28156, 9635.15, 1625.85
44, 1860.01, 545.986, 194152, 562.606, 5.9856, 28156, 9634.61, 1626.39
45, 1860.01, 545.985, 194153, 562.064, 5.98528, 28156, 9634.06, 1626.94
46, 1860.02, 545.985, 194153, 561.523, 5.98495, 28156, 9633.52, 1627.48
47, 1860.02, 545.985, 194154, 560.982, 5.98462, 28156, 9632.98, 1628.02
48, 1860.02, 545.984, 194155, 560.442, 5.9843, 28156, 9632.44, 1628.56
49, 1860.02, 545.984, 194155, 559.903, 5.98397, 28156, 9631.9, 1629.1
50, 1860.02, 545.984, 194156, 559.364, 5.98364, 28156, 9631.36, 1629.64
51, 1860.02, 545.983, 194156, 558.825, 5.98332, 28156, 9630.83, 1630.17
52, 1860.02, 545.983, 194157, 558.287, 5.98299, 28156, 9630.29, 1630.71
53, 1860.02, 545.983, 194157, 557.75, 5.98266, 28156, 9629.75, 1631.25
54, 1860.02, 545.982, 194158, 557.213, 5.98234, 28156, 9629.21, 1631.79
55, 1860.02, 545.982, 194158, 556.677, 5.98201, 28156, 9628.68, 1632.32
56, 1860.02, 545.982, 194159, 556.141, 5.98168, 28156, 9628.14, 1632.86
57, 1860.02, 545.981, 194159, 555.606, 5.98136, 28156, 9627.61, 1633.39
58, 1860.02, 545.981, 194160, 555.071, 5.98103, 28156, 9627.07, 1633.93
59, 1860.02, 545.981, 194160, 554.537, 5.9807, 28156, 9626.54, 1634.46
60, 1860.02, 545.98, 194161, 554.004, 5.98038, 28156, 9626, 1635
61, 1860.02, 545.98, 194162, 553.471, 5.98005, 28156, 9625.47, 1635.53
62, 1860.02, 545.98, 194162, 552.938, 5.97972, 28156, 9624.94, 1636.06
63, 1860.02, 545.979, 194163, 552.406, 5.9794, 28156, 9624.41, 1636.59
64, 1860.02, 545.979, 194163, 551.875, 5.97907, 28156, 9623.88, 1637.12
65, 1860.02, 545.979, 194164, 551.344, 5.97874, 28156, 9623.34, 1637.66
66, 1860.02, 545.978, 194164, 550.814, 5.97842, 28156, 9622.81, 1638.19
67, 1860.02, 545.978, 194165, 550.284, 5.97809, 28156, 9622.28, 1638.72
68, 1860.02, 545.978, 194165, 549.755, 5.97776, 28156, 9621.75, 1639.25
69, 1860.02, 545.977, 194166, 549.226, 5.97744, 28156, 9621.23, 1639.77
70, 1860.02, 545.977, 194166, 548.698, 5.97711, 28156, 9620.7, 1640.3
71, 1860.02, 545.977, 194167, 548.17, 5.97679, 28156, 9620.17, 1640.83
72, 1860.02, 545.976, 194167, 547.643, 5.97646, 28156, 9619.64, 1641.36
73, 1860.02, 545.976, 194168, 547.117, 5.97613, 28156, 9619.12, 1641.88
74, 1860.02, 545.976, 194168, 546.591, 5.97581, 28156, 9618.59, 1642.41
75, 1860.02, 545.975, 194169, 546.065, 5.97548, 28156, 9618.07, 1642.93
76, 1860.02, 545.975, 194169, 545.54, 5.97515, 28156, 9617.54, 1643.46
77, 1860.03, 545.975, 194170, 545.016, 5.97483, 28156, 9617.02, 1643.98
78, 1860.03, 545.975, 194171, 544.492, 5.9745, 28156, 9616.49, 1644.51
79, 1860.03, 545.974, 194171, 543.969, 5.97418, 28156, 9615.97, 1645.03
80, 1860.03, 545.974, 194172, 543.446, 5.97385, 28156, 9615.45, 1645.55
81, 1860.03, 545.974, 194172, 542.924, 5.97352, 28156, 9614.92, 1646.08
82, 1860.03, 545.973, 194173, 542.402, 5.9732, 28156, 9614.4, 1646.6
83, 1860.03, 545.973, 194173, 541.881, 5.97287, 28156, 9613.88, 1647.12
84, 1860.03, 545.973, 194174, 541.36, 5.97255, 28156, 9613.36, 1647.64
85, 1860.03, 545.972, 194174, 540.84, 5.97222, 28156, 9612.84, 1648.16
86, 1860.03, 545.972, 194175, 540.32, 5.97189, 28156, 9612.32, 1648.68
87, 1860.03, 545.972, 194175, 539.801, 5.97157, 28156, 9611.8, 1649.2
88, 1860.03, 545.971, 194176, 539.283, 5.97124, 28156, 9611.28, 1649.72
89, 1860.03, 545.971, 194176, 538.765, 5.97092, 28156, 9610.76, 1650.24
90, 1860.03, 545.971, 194177, 538.247, 5.97059, 28156, 9610.25, 1650.75
91, 1860.03, 545.97, 194177, 537.73, 5.97026, 28156, 9609.73, 1651.27
92, 1860.03, 545.97, 194178, 537.214, 5.96994, 28156, 9609.21, 1651.79
93, 1860.03, 545.97, 194178, 536.698, 5.96961, 28156, 9608.7, 1652.3
94, 1860.03, 545.969, 194179, 536.182, 5.96929, 28156, 9608.18, 1652.82
95, 1860.03, 545.969, 194179, 535.667, 5.96896, 28156, 9607.67, 1653.33
96, 1860.03, 545.969, 194180, 535.153, 5.96863, 28156, 9607.15, 1653.85
97, 1860.03, 545.968, 194180, 534.639, 5.96831, 28156, 9606.64, 1654.36
98, 1860.03, 545.968, 194181, 534.126, 5.96798, 28156, 9606.13, 1654.87
99, 1860.03, 545.968, 194181, 533.613, 5.96766, 28156, 9605.61, 1655.39
100, 1860.03, 545.967, 194182, 533.1, 5.96733, 28156, 9605.1, 1655.9
101, 1860.03, 545.967, 194182, 532.589, 5.967, 28156, 9604.59, 1656.41
102, 1860.03, 545.967, 194183, 532.077, 5.96668, 28156, 9604.08, 1656.92
103, 1860.03, 545.966, 194183, 531.567, 5.96635, 28156, 9603.57, 1657.43
