#cisterns#,#vesicles#,entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,
5.0,1.0,1.60943,0.0,0.19875,0.20031,0.20031,0.20031,0.20031,
8.0,20.0,1.60705,0.05927,0.18242,0.22402,0.19949,0.19131,0.20276,
7.0,26.0,1.60105,0.09825,0.19147,0.23426,0.22245,0.19057,0.16124,
6.0,19.0,1.58631,0.26719,0.14993,0.19608,0.28266,0.1814,0.18992,
6.0,12.0,1.58662,0.34962,0.16814,0.21543,0.27988,0.16418,0.17237,
7.0,9.0,1.58952,0.39598,0.16373,0.20365,0.27693,0.18865,0.16704,
8.0,15.0,1.58703,0.34899,0.1535,0.19021,0.28068,0.20221,0.1734,
8.0,25.0,1.58856,0.3166,0.1556,0.1705,0.27621,0.20675,0.19095,
8.0,21.0,1.58679,0.34859,0.16141,0.16624,0.28181,0.20732,0.18322,
10.0,16.0,1.58254,0.40736,0.15266,0.15592,0.27643,0.22917,0.18581,
8.0,14.0,1.56709,0.4759,0.10994,0.2413,0.24447,0.15854,0.24574,
10.0,16.0,1.59584,0.45644,0.17466,0.20808,0.24011,0.15147,0.22567,
10.0,17.0,1.60145,0.48799,0.198,0.18004,0.229,0.16545,0.2275,
10.0,16.0,1.60559,0.4878,0.20098,0.17478,0.21869,0.18629,0.21925,
8.0,17.0,1.51897,0.69224,0.09736,0.28296,0.25661,0.25844,0.10464,
9.0,11.0,1.52432,0.61409,0.19437,0.14836,0.28622,0.08273,0.28832,
9.0,11.0,1.51697,0.67251,0.22646,0.29325,0.13506,0.07706,0.26817,
8.0,7.0,1.3114,0.72789,0.22172,0.11908,0.37969,0.0,0.27951,
7.0,18.0,1.31589,0.72315,0.26411,0.1122,0.36156,0.0,0.26213,
7.0,22.0,1.32697,0.69992,0.32816,0.11622,0.28968,0.0,0.26593,
7.0,17.0,1.31606,0.6515,0.33337,0.10851,0.31038,0.0,0.24774,
9.0,17.0,1.58666,0.52479,0.17124,0.23052,0.23467,0.1319,0.23168,
10.0,16.0,1.55374,0.50645,0.26414,0.19039,0.23151,0.08547,0.22849,
9.0,21.0,1.51427,0.61251,0.32348,0.17337,0.21293,0.06711,0.2231,
8.0,13.0,1.50363,0.67055,0.33765,0.16655,0.22343,0.06473,0.20764,
9.0,9.0,1.5825,0.59028,0.24734,0.16973,0.24771,0.13,0.20522,
9.0,6.0,1.59025,0.58204,0.27092,0.1809,0.21442,0.15654,0.17722,
9.0,4.0,1.52291,0.64633,0.16226,0.0849,0.31591,0.26554,0.17139,
9.0,5.0,1.50642,0.64805,0.16056,0.08089,0.34838,0.24518,0.16499,
10.0,19.0,1.5785,0.52548,0.18393,0.27043,0.14404,0.24642,0.15518,
9.0,3.0,1.58861,0.62429,0.17379,0.26437,0.17939,0.23063,0.15181,
9.0,23.0,1.58552,0.58689,0.17543,0.25628,0.1796,0.24593,0.14275,
9.0,12.0,1.59185,0.59359,0.18387,0.26665,0.18646,0.1524,0.21061,
8.0,11.0,1.58599,0.57988,0.18268,0.26402,0.17062,0.14618,0.23649,
8.0,17.0,1.60054,0.61517,0.16931,0.24578,0.20504,0.17626,0.20361,
8.0,23.0,1.57552,0.47399,0.18558,0.25391,0.12488,0.17396,0.26167,
10.0,6.0,1.5664,0.48045,0.16364,0.13032,0.29464,0.17057,0.24082,
10.0,11.0,1.57437,0.48957,0.19962,0.12647,0.28111,0.16553,0.22727,
8.0,4.0,1.55203,0.69857,0.22804,0.19379,0.10345,0.16806,0.30665,
8.0,8.0,1.53871,0.67551,0.23286,0.08974,0.20837,0.16009,0.30893,
9.0,10.0,1.48783,0.56723,0.25925,0.09103,0.27369,0.08202,0.294,
9.0,5.0,1.55638,0.53937,0.18903,0.25485,0.20383,0.09106,0.26123,
10.0,20.0,1.5112,0.40916,0.19561,0.32582,0.11456,0.09655,0.26746,
8.0,24.0,1.37466,0.54296,0.1939,0.30015,0.24795,0.0,0.258,
9.0,12.0,1.48482,0.67999,0.17351,0.31758,0.04475,0.22217,0.24199,
7.0,9.0,1.54114,0.80081,0.14701,0.0974,0.30575,0.20943,0.2404,
7.0,9.0,1.49324,0.74721,0.14607,0.09246,0.36862,0.14224,0.25062,
7.0,11.0,1.49755,0.74892,0.15342,0.09041,0.35077,0.13673,0.26867,
7.0,20.0,1.53962,0.66742,0.17005,0.115,0.3045,0.13791,0.27254,
7.0,12.0,1.49197,0.64652,0.15641,0.09018,0.35569,0.12873,0.269,
7.0,11.0,1.51609,0.63023,0.16937,0.10267,0.32859,0.12647,0.27291,
7.0,3.0,1.53897,0.62123,0.21707,0.11409,0.11641,0.29588,0.25656,
8.0,6.0,1.57313,0.54032,0.14902,0.20613,0.24504,0.13082,0.26899,
9.0,9.0,1.55988,0.56559,0.1432,0.19402,0.26259,0.12162,0.27857,
9.0,10.0,1.5838,0.57137,0.14748,0.18385,0.24836,0.16129,0.25901,
7.0,23.0,1.5854,0.63106,0.1956,0.15637,0.24665,0.14835,0.25302,
8.0,14.0,1.58745,0.60767,0.17418,0.20101,0.24003,0.13691,0.24787,
7.0,12.0,1.58966,0.6857,0.17489,0.13996,0.23182,0.204,0.24933,
7.0,16.0,1.58098,0.66415,0.18405,0.12913,0.25436,0.18219,0.25028,
8.0,17.0,1.57361,0.54561,0.15362,0.1516,0.27603,0.16317,0.25558,
9.0,14.0,1.54923,0.54033,0.19997,0.10128,0.29243,0.15461,0.25171,
9.0,9.0,1.58472,0.50115,0.21725,0.14054,0.26316,0.16028,0.21877,
8.0,24.0,1.54883,0.4907,0.26915,0.09752,0.25973,0.14735,0.22625,
8.0,15.0,1.55753,0.43742,0.25887,0.09148,0.18319,0.24929,0.21716,
9.0,20.0,1.57414,0.42087,0.27454,0.12479,0.18046,0.24269,0.17752,
