GLUT4EnEr,GLUT4EnPm,GLUT4EnRabA,GLUT4EnRabB,GLUT4EnRabC,GLUT4EnRabD,GLUT4EnRabE,GLUT4EnRabF,GLUT4EnRabG,GLUT4EnRabH,GLUT4EnRabI,GLUT4EnRabL,GlutSupEr,GlutSupPm,GlutSupRabA,GlutSupRabB,GlutSupRabC,GlutSupRabD,GlutSupRabE,GlutSupRabF,GlutSupRabG,GlutSupRabH,GlutSupRabI,GlutSupRabL,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,membraneMarkerRabL,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,mvbRabL,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,protonEnRabL,TfREnEr,TfREnPm,TfREnRabA,TfREnRabB,TfREnRabC,TfREnRabD,TfREnRabE,TfREnRabF,TfREnRabG,TfREnRabH,TfREnRabI,TfREnRabL,
0.0,0.09646,0.09268,0.2557,0.06214,0.04816,0.02323,0.00289,0.001708,0.001684,0.001204,0.3151,0.0,0.0106,0.01018,0.02809,0.006826,0.005291,0.002552,3.175E-4,1.876E-4,1.85E-4,1.322E-4,0.03462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,59.94,32.31,19.47,251.3,11.06,35.78,38.42,25.77,6.414,17.57,1.0E-4,0.0,63320.0,1033.0,533.3,435.8,2258.0,1033.0,254.4,1049.0,409.4,281.0,309.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09646,0.09089,0.249,0.07239,0.04634,0.02342,0.002874,0.001612,0.001647,0.001182,0.3151,0.0,0.0106,0.009984,0.02735,0.007952,0.00509,0.002573,3.157E-4,1.771E-4,1.809E-4,1.298E-4,0.03462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,60.29,33.8,25.92,245.1,10.44,35.58,38.13,25.5,6.312,17.9,1.0E-4,0.0,63330.0,1031.0,541.1,469.0,2211.0,1044.0,244.4,1060.0,401.5,280.6,311.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0944,0.09301,0.249,0.0724,0.04625,0.02342,0.002874,0.00162,0.00165,0.001184,0.3151,0.0,0.01037,0.01022,0.02735,0.007953,0.005081,0.002573,3.157E-4,1.779E-4,1.812E-4,1.3E-4,0.03462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,61.82,33.91,26.07,244.1,10.46,35.59,38.27,25.55,6.342,17.93,1.0E-4,0.0,63330.0,1051.0,540.7,468.7,2203.0,1040.0,243.6,1060.0,401.4,280.5,311.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09549,0.09215,0.249,0.07132,0.04619,0.02347,0.002831,0.001637,0.002403,0.001373,0.3151,0.0,0.01049,0.01012,0.02735,0.007835,0.005074,0.002578,3.11E-4,1.798E-4,2.64E-4,1.508E-4,0.03462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,61.73,34.1,26.4,242.5,10.51,35.44,38.73,26.07,6.506,18.0,1.0E-4,0.0,63350.0,1047.0,541.4,468.9,2194.0,1037.0,229.9,1071.0,409.2,281.9,311.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09981,0.09246,0.2486,0.067,0.04619,0.02347,0.002831,0.001637,0.002403,0.001373,0.3151,0.0,0.01096,0.01016,0.02731,0.00736,0.005074,0.002578,3.11E-4,1.798E-4,2.64E-4,1.508E-4,0.03462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,61.69,34.03,26.38,242.8,10.44,35.44,38.71,26.05,6.499,17.98,1.0E-4,0.0,63360.0,1046.0,541.7,468.1,2192.0,1037.0,229.9,1071.0,409.2,281.9,311.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09799,0.09076,0.2533,0.06702,0.04619,0.02318,0.002831,0.001637,0.001699,0.001197,0.3151,0.0,0.01076,0.00997,0.02783,0.007362,0.005074,0.002546,3.11E-4,1.798E-4,1.867E-4,1.315E-4,0.03462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,63.66,33.77,26.38,242.8,10.44,35.44,38.71,26.28,6.556,17.98,1.0E-4,0.0,63370.0,1065.0,537.7,468.0,2189.0,1023.0,229.9,1071.0,408.7,281.7,311.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09587,0.09079,0.2553,0.06708,0.04619,0.02318,0.002825,0.001642,0.0017,0.001197,0.3151,0.0,0.01053,0.009973,0.02805,0.007368,0.005074,0.002546,3.103E-4,1.804E-4,1.868E-4,1.315E-4,0.03462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,65.81,33.54,26.33,242.0,10.43,35.24,38.81,26.29,6.547,17.97,1.0E-4,0.0,63370.0,1082.0,532.9,468.0,2187.0,1023.0,217.0,1081.0,410.9,295.2,311.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09587,0.09075,0.2493,0.08463,0.04619,0.02357,0.002645,0.001676,0.001634,0.001245,0.3035,0.0,0.01053,0.009969,0.02738,0.009297,0.005074,0.002589,2.906E-4,1.841E-4,1.795E-4,1.368E-4,0.03334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,65.78,33.42,26.27,241.3,10.8,35.1,38.76,26.18,6.495,17.87,1.0E-4,0.0,63370.0,1082.0,528.9,463.2,2184.0,1027.0,215.6,1083.0,410.4,297.1,313.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09587,0.09076,0.248,0.08595,0.04619,0.02402,0.00245,0.001692,0.001442,0.001024,0.3035,0.0,0.01053,0.00997,0.02724,0.009442,0.005074,0.002639,2.692E-4,1.859E-4,1.584E-4,1.125E-4,0.03334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,65.79,33.45,26.3,241.3,10.79,35.07,38.77,26.15,6.443,17.91,1.0E-4,0.0,63370.0,1083.0,533.6,470.2,2182.0,1029.0,208.7,1085.0,404.0,286.4,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.1088,0.07622,0.2485,0.1076,0.04135,0.02135,0.00245,0.001692,0.001548,0.001219,0.2903,0.0,0.01195,0.008372,0.0273,0.01182,0.004542,0.002346,2.692E-4,1.859E-4,1.701E-4,1.34E-4,0.03188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,69.92,25.89,24.96,246.2,10.79,35.07,38.77,25.99,6.886,21.53,1.0E-4,0.0,63430.0,1094.0,491.2,464.4,2205.0,985.9,208.0,1085.0,401.7,288.6,329.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
