entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.225,0.4954,0.1079,0.06387,0.06125,0.09702,0.07608,0.01666,0.04822,0.03093,0.03384,0.0357,0.2124,0.2162,
2.225,0.4906,0.1076,0.06382,0.06128,0.09707,0.07612,0.01667,0.04824,0.03095,0.03385,0.03572,0.2125,0.2163,
2.225,0.4889,0.1098,0.06378,0.06124,0.09656,0.07553,0.01652,0.04821,0.03093,0.03383,0.0357,0.2134,0.2145,
2.224,0.495,0.1098,0.06381,0.06127,0.09615,0.07502,0.01639,0.04823,0.03094,0.03385,0.03571,0.2135,0.2153,
2.224,0.4918,0.1099,0.06385,0.0613,0.09544,0.07509,0.01641,0.04826,0.03096,0.03387,0.03574,0.2137,0.2155,
2.222,0.4893,0.1114,0.06383,0.06129,0.09543,0.07282,0.0164,0.04825,0.03082,0.03383,0.03573,0.2147,0.2154,
2.228,0.4791,0.1129,0.06377,0.06128,0.09541,0.07281,0.0164,0.04824,0.03081,0.03696,0.03573,0.2126,0.2131,
2.228,0.4872,0.1129,0.0638,0.06131,0.09505,0.07284,0.01641,0.04826,0.03083,0.03698,0.03574,0.2127,0.2132,
2.228,0.4676,0.1129,0.0638,0.06131,0.09505,0.07284,0.01641,0.04826,0.03083,0.03698,0.03574,0.2127,0.2132,
2.222,0.4616,0.1128,0.06328,0.06129,0.09466,0.06815,0.0163,0.04835,0.03086,0.03704,0.03567,0.2131,0.2185,
2.22,0.4398,0.1149,0.06324,0.06124,0.09429,0.06601,0.01629,0.04832,0.03084,0.03701,0.03564,0.214,0.2182,
2.221,0.4455,0.1166,0.06317,0.06118,0.09419,0.06594,0.01628,0.04827,0.03081,0.03697,0.03561,0.2149,0.2161,
2.219,0.4296,0.1167,0.06319,0.06122,0.09352,0.06487,0.01629,0.04831,0.03083,0.03699,0.03562,0.2151,0.2174,
2.218,0.4187,0.1167,0.06319,0.06122,0.09352,0.06374,0.01629,0.04831,0.03083,0.03699,0.03562,0.2151,0.2185,
2.218,0.4223,0.1167,0.06319,0.06122,0.09352,0.06374,0.01629,0.04831,0.03083,0.03699,0.03562,0.2151,0.2185,
2.224,0.4136,0.1187,0.06315,0.06119,0.09283,0.06067,0.01628,0.04829,0.03081,0.04302,0.0356,0.2101,0.2194,
2.224,0.4161,0.1187,0.06315,0.06119,0.09283,0.06067,0.01628,0.04829,0.03081,0.04302,0.0356,0.2101,0.2194,
2.224,0.4112,0.1187,0.06316,0.06122,0.09248,0.0607,0.01629,0.04831,0.03081,0.04302,0.0356,0.2102,0.2195,
2.223,0.405,0.1187,0.06311,0.06116,0.09208,0.06066,0.01628,0.04826,0.03079,0.04299,0.03558,0.2111,0.2194,
2.225,0.4024,0.1244,0.06304,0.06109,0.09198,0.05992,0.01626,0.04821,0.03076,0.04295,0.03554,0.2119,0.2139,
2.224,0.4029,0.1226,0.06305,0.06102,0.09203,0.05994,0.01627,0.04823,0.03077,0.04297,0.03556,0.212,0.2155,
2.224,0.4009,0.1226,0.06305,0.06102,0.09203,0.05994,0.01627,0.04823,0.03077,0.04297,0.03556,0.212,0.2155,
2.223,0.4125,0.1223,0.06312,0.0611,0.09139,0.05935,0.01629,0.0483,0.03081,0.04302,0.03559,0.2123,0.2165,
2.22,0.4171,0.1242,0.06301,0.06102,0.09055,0.05724,0.01625,0.04823,0.03075,0.04294,0.03553,0.2142,0.2161,
2.235,0.3981,0.1291,0.06283,0.06084,0.08996,0.05641,0.0162,0.04808,0.03066,0.05307,0.03542,0.2065,0.211,
2.235,0.3732,0.1291,0.06254,0.06082,0.09,0.05644,0.01621,0.0481,0.03068,0.0531,0.03537,0.2066,0.2111,
2.235,0.3792,0.1292,0.06254,0.06084,0.08966,0.05646,0.01621,0.04812,0.03069,0.05312,0.03537,0.2066,0.2112,
2.234,0.383,0.129,0.06247,0.06078,0.08957,0.05641,0.0162,0.04807,0.03066,0.05306,0.03534,0.2075,0.211,
2.231,0.378,0.1289,0.06242,0.06074,0.08917,0.05502,0.01617,0.04804,0.03063,0.05301,0.03531,0.2084,0.2122,
2.231,0.3787,0.1274,0.06246,0.06079,0.08891,0.05507,0.01619,0.04808,0.03065,0.05306,0.03533,0.2086,0.2135,
2.23,0.4001,0.1273,0.0624,0.06073,0.08852,0.05504,0.01618,0.04803,0.03063,0.05302,0.03529,0.2095,0.2134,
2.23,0.3972,0.1272,0.06233,0.06087,0.08852,0.05531,0.0159,0.04857,0.03135,0.05176,0.03532,0.2095,0.2134,
2.23,0.4147,0.1272,0.06201,0.06118,0.08852,0.05531,0.0159,0.04911,0.03081,0.05176,0.03532,0.2095,0.2134,
2.231,0.3948,0.123,0.06195,0.06144,0.09183,0.05528,0.01589,0.04908,0.03079,0.05173,0.03531,0.2104,0.2132,
2.228,0.4028,0.1226,0.06202,0.06087,0.09155,0.05623,0.01539,0.04804,0.0308,0.05176,0.03532,0.2106,0.2148,
2.227,0.4151,0.1257,0.06191,0.05965,0.09113,0.05614,0.01538,0.04854,0.03023,0.05167,0.03507,0.2125,0.212,
2.226,0.4038,0.1252,0.06215,0.05961,0.09103,0.05608,0.01536,0.04892,0.03031,0.05108,0.03507,0.2134,0.2118,
2.226,0.418,0.1233,0.06193,0.05968,0.09079,0.0561,0.01538,0.04896,0.03177,0.04969,0.03508,0.2136,0.2138,
2.227,0.4121,0.1219,0.0622,0.05974,0.09184,0.0561,0.01538,0.04896,0.03342,0.04803,0.03508,0.2136,0.2138,
2.236,0.4221,0.1218,0.0621,0.05996,0.09125,0.05615,0.03556,0.02879,0.03397,0.04752,0.03511,0.2138,0.214,
2.246,0.4223,0.1215,0.06203,0.06013,0.09082,0.05765,0.03399,0.02877,0.03394,0.056,0.03507,0.2062,0.2139,
2.245,0.4288,0.121,0.06214,0.06019,0.08995,0.05758,0.03393,0.02873,0.03389,0.05592,0.03502,0.208,0.2136,
2.246,0.4245,0.121,0.0621,0.06028,0.08995,0.05758,0.03393,0.02873,0.0356,0.05422,0.03503,0.208,0.2136,
2.248,0.4192,0.1199,0.06235,0.06033,0.09035,0.05761,0.03395,0.02875,0.04364,0.04622,0.03506,0.2081,0.2137,
2.248,0.4148,0.1239,0.06253,0.06031,0.08956,0.05625,0.03394,0.03023,0.04214,0.04621,0.03505,0.2091,0.2108,
2.246,0.4205,0.1229,0.06254,0.06043,0.0904,0.05423,0.03448,0.0307,0.04167,0.04567,0.03506,0.2091,0.2128,
2.246,0.4276,0.1227,0.06254,0.06042,0.09031,0.05418,0.03488,0.03024,0.04163,0.04562,0.03503,0.2099,0.2126,
2.244,0.4351,0.1226,0.06245,0.06045,0.08885,0.05469,0.03436,0.03024,0.04336,0.04395,0.03502,0.2112,0.2128,
2.242,0.4316,0.1211,0.06241,0.06041,0.08784,0.05516,0.03378,0.0302,0.0433,0.04389,0.035,0.2131,0.2138,
2.242,0.4176,0.1212,0.06234,0.06059,0.08719,0.0552,0.0338,0.03021,0.04333,0.04393,0.03503,0.2133,0.214,
2.242,0.416,0.1202,0.06244,0.06078,0.08712,0.05525,0.03382,0.03022,0.04336,0.04398,0.03505,0.2136,0.2142,
2.24,0.4211,0.1187,0.06243,0.06032,0.08674,0.05527,0.03384,0.03078,0.04284,0.044,0.03506,0.2137,0.2164,
