RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
1205000.0,713600.0,684300.0,1084000.0,850000.0,186100.0,538700.0,345600.0,378000.0,398900.0,2373000.0,2415000.0,
1201000.0,712700.0,684300.0,1084000.0,850000.0,186100.0,538700.0,345600.0,378000.0,398900.0,2373000.0,2415000.0,
1227000.0,712700.0,684300.0,1079000.0,844000.0,184600.0,538700.0,345600.0,378000.0,398900.0,2385000.0,2397000.0,
1227000.0,712700.0,684300.0,1074000.0,837900.0,183100.0,538700.0,345600.0,378000.0,398900.0,2385000.0,2404000.0,
1226000.0,712500.0,684100.0,1065000.0,837900.0,183100.0,538500.0,345500.0,378000.0,398800.0,2385000.0,2404000.0,
1244000.0,712400.0,684100.0,1065000.0,812700.0,183100.0,538500.0,343900.0,377600.0,398800.0,2396000.0,2404000.0,
1260000.0,711900.0,684100.0,1065000.0,812700.0,183100.0,538500.0,343900.0,412600.0,398800.0,2373000.0,2379000.0,
1259000.0,711900.0,684100.0,1061000.0,812700.0,183100.0,538500.0,343900.0,412600.0,398800.0,2373000.0,2379000.0,
1259000.0,711900.0,684100.0,1061000.0,812700.0,183100.0,538500.0,343900.0,412600.0,398800.0,2373000.0,2379000.0,
1256000.0,704800.0,682600.0,1054000.0,759000.0,181600.0,538500.0,343700.0,412500.0,397300.0,2373000.0,2434000.0,
1280000.0,704800.0,682500.0,1051000.0,735600.0,181600.0,538500.0,343700.0,412500.0,397200.0,2385000.0,2432000.0,
1301000.0,704800.0,682500.0,1051000.0,735600.0,181600.0,538500.0,343700.0,412500.0,397200.0,2397000.0,2411000.0,
1301000.0,704300.0,682300.0,1042000.0,723000.0,181600.0,538400.0,343600.0,412300.0,397100.0,2397000.0,2423000.0,
1301000.0,704300.0,682300.0,1042000.0,710400.0,181600.0,538400.0,343600.0,412300.0,397100.0,2397000.0,2436000.0,
1301000.0,704300.0,682300.0,1042000.0,710400.0,181600.0,538400.0,343600.0,412300.0,397100.0,2397000.0,2436000.0,
1323000.0,703900.0,682200.0,1035000.0,676400.0,181500.0,538300.0,343400.0,479500.0,396900.0,2342000.0,2446000.0,
1323000.0,703900.0,682200.0,1035000.0,676400.0,181500.0,538300.0,343400.0,479500.0,396900.0,2342000.0,2446000.0,
1323000.0,703800.0,682100.0,1030000.0,676300.0,181500.0,538300.0,343400.0,479400.0,396700.0,2342000.0,2446000.0,
1323000.0,703600.0,681900.0,1027000.0,676300.0,181500.0,538100.0,343300.0,479300.0,396700.0,2354000.0,2446000.0,
1389000.0,703600.0,681900.0,1027000.0,668700.0,181500.0,538100.0,343300.0,479300.0,396700.0,2365000.0,2387000.0,
1368000.0,703400.0,680800.0,1027000.0,668700.0,181500.0,538100.0,343300.0,479300.0,396700.0,2365000.0,2404000.0,
1368000.0,703400.0,680800.0,1027000.0,668700.0,181500.0,538100.0,343300.0,479300.0,396700.0,2365000.0,2404000.0,
1362000.0,703200.0,680700.0,1018000.0,661200.0,181500.0,538100.0,343200.0,479300.0,396600.0,2365000.0,2412000.0,
1385000.0,702900.0,680700.0,1010000.0,638500.0,181200.0,538000.0,343000.0,478900.0,396300.0,2389000.0,2411000.0,
1444000.0,702700.0,680500.0,1006000.0,631000.0,181200.0,537800.0,343000.0,593600.0,396200.0,2309000.0,2360000.0,
1444000.0,699200.0,680000.0,1006000.0,631000.0,181200.0,537800.0,343000.0,593600.0,395400.0,2309000.0,2360000.0,
1443000.0,698800.0,679900.0,1002000.0,631000.0,181200.0,537800.0,343000.0,593600.0,395300.0,2309000.0,2360000.0,
1443000.0,698800.0,679900.0,1002000.0,631000.0,181200.0,537800.0,343000.0,593600.0,395300.0,2321000.0,2360000.0,
1443000.0,698600.0,679800.0,998100.0,615900.0,181000.0,537700.0,342800.0,593400.0,395200.0,2332000.0,2375000.0,
1425000.0,698400.0,679800.0,994300.0,615900.0,181000.0,537700.0,342800.0,593300.0,395100.0,2332000.0,2387000.0,
1424000.0,698300.0,679500.0,990500.0,615800.0,181000.0,537500.0,342700.0,593300.0,394900.0,2344000.0,2387000.0,
1423000.0,697400.0,681100.0,990500.0,618900.0,177900.0,543500.0,350700.0,579200.0,395300.0,2344000.0,2387000.0,
1423000.0,693900.0,684600.0,990500.0,618900.0,177900.0,549500.0,344700.0,579200.0,395300.0,2344000.0,2387000.0,
1378000.0,693600.0,687900.0,1028000.0,618900.0,177900.0,549500.0,344700.0,579200.0,395400.0,2356000.0,2387000.0,
1372000.0,693700.0,680900.0,1024000.0,628900.0,172200.0,537400.0,344600.0,579000.0,395000.0,2356000.0,2403000.0,
1407000.0,693100.0,667800.0,1020000.0,628500.0,172200.0,543400.0,338500.0,578500.0,392600.0,2379000.0,2374000.0,
1403000.0,696500.0,668100.0,1020000.0,628500.0,172200.0,548200.0,339700.0,572400.0,393000.0,2391000.0,2374000.0,
1380000.0,693400.0,668200.0,1016000.0,628100.0,172200.0,548100.0,355700.0,556300.0,392700.0,2391000.0,2394000.0,
1365000.0,696400.0,668900.0,1028000.0,628100.0,172200.0,548100.0,374200.0,537800.0,392700.0,2391000.0,2394000.0,
1363000.0,694700.0,670700.0,1021000.0,628100.0,397800.0,322100.0,380000.0,531600.0,392700.0,2391000.0,2394000.0,
1361000.0,694300.0,673100.0,1017000.0,645300.0,380400.0,322000.0,379900.0,626800.0,392600.0,2308000.0,2394000.0,
1356000.0,696300.0,674500.0,1008000.0,645300.0,380300.0,322000.0,379800.0,626700.0,392500.0,2331000.0,2394000.0,
1355000.0,696000.0,675500.0,1008000.0,645300.0,380300.0,322000.0,398900.0,607600.0,392600.0,2331000.0,2394000.0,
1344000.0,698400.0,675800.0,1012000.0,645300.0,380300.0,322000.0,488800.0,517700.0,392700.0,2331000.0,2394000.0,
1388000.0,700500.0,675700.0,1003000.0,630200.0,380300.0,338700.0,472100.0,517700.0,392700.0,2343000.0,2361000.0,
1377000.0,700600.0,677000.0,1013000.0,607600.0,386300.0,343900.0,466800.0,511600.0,392800.0,2343000.0,2384000.0,
1376000.0,701400.0,677600.0,1013000.0,607600.0,391100.0,339100.0,466800.0,511600.0,392800.0,2354000.0,2384000.0,
1373000.0,699500.0,677100.0,995200.0,612600.0,384900.0,338700.0,485700.0,492300.0,392300.0,2366000.0,2384000.0,
1358000.0,699900.0,677500.0,985100.0,618700.0,378900.0,338700.0,485700.0,492300.0,392600.0,2390000.0,2397000.0,
1357000.0,698500.0,678900.0,976900.0,618500.0,378700.0,338400.0,485500.0,492200.0,392500.0,2390000.0,2397000.0,
1345000.0,698700.0,680100.0,974800.0,618200.0,378500.0,338200.0,485200.0,492200.0,392200.0,2390000.0,2397000.0,
1327000.0,698200.0,674700.0,970200.0,618200.0,378500.0,344200.0,479100.0,492100.0,392200.0,2390000.0,2420000.0,
1318000.0,697700.0,676400.0,965200.0,618200.0,378500.0,344200.0,479100.0,492100.0,392300.0,2390000.0,2428000.0,
1311000.0,704400.0,676400.0,956900.0,624000.0,372300.0,344000.0,478900.0,492000.0,392300.0,2390000.0,2428000.0,
1322000.0,704100.0,677500.0,996500.0,623800.0,372100.0,348700.0,490900.0,642400.0,392200.0,2234000.0,2357000.0,
1303000.0,703200.0,679800.0,996500.0,623800.0,372100.0,348700.0,575600.0,557600.0,392300.0,2234000.0,2365000.0,
1302000.0,703200.0,680200.0,992200.0,629700.0,370800.0,343800.0,597200.0,535800.0,392400.0,2245000.0,2365000.0,
1300000.0,704300.0,680200.0,988300.0,629700.0,370800.0,343600.0,597100.0,535800.0,392600.0,2245000.0,2365000.0,
1283000.0,706100.0,680500.0,992300.0,618800.0,368100.0,342100.0,597100.0,535800.0,392800.0,2257000.0,2380000.0,
1264000.0,708400.0,681800.0,992300.0,618800.0,372900.0,337200.0,597100.0,535800.0,393000.0,2257000.0,2396000.0,
1263000.0,706500.0,685100.0,992300.0,618800.0,372900.0,337200.0,607200.0,525800.0,393300.0,2257000.0,2396000.0,
1262000.0,696900.0,670600.0,988000.0,618700.0,378800.0,331100.0,617100.0,515600.0,393300.0,2257000.0,2420000.0,
1259000.0,697700.0,671800.0,983400.0,618700.0,378800.0,331100.0,617100.0,515600.0,393400.0,2257000.0,2420000.0,
1292000.0,697400.0,671200.0,983400.0,798300.0,198200.0,331100.0,623100.0,509000.0,392600.0,2268000.0,2385000.0,
1286000.0,698700.0,671200.0,983400.0,788100.0,198200.0,331100.0,636200.0,495800.0,390500.0,2279000.0,2393000.0,
1285000.0,698200.0,672700.0,968900.0,788100.0,198100.0,331000.0,686300.0,445400.0,390700.0,2291000.0,2393000.0,
1284000.0,697600.0,673800.0,968900.0,788100.0,198100.0,342200.0,686100.0,434400.0,390800.0,2302000.0,2393000.0,
1283000.0,696100.0,676000.0,968900.0,786900.0,191800.0,342200.0,686100.0,434400.0,391000.0,2302000.0,2400000.0,
1306000.0,694500.0,677500.0,968900.0,779400.0,200800.0,333200.0,694800.0,425600.0,391200.0,2325000.0,2385000.0,
1305000.0,695100.0,677800.0,964500.0,783200.0,196800.0,337900.0,725700.0,389700.0,391500.0,2325000.0,2385000.0,
1302000.0,694800.0,680500.0,964500.0,783200.0,196800.0,337900.0,725700.0,389700.0,391800.0,2325000.0,2385000.0,
1301000.0,695500.0,680900.0,964500.0,794100.0,186000.0,342800.0,734000.0,376700.0,392000.0,2337000.0,2385000.0,
1299000.0,695500.0,682300.0,964500.0,794100.0,186000.0,342800.0,734000.0,376700.0,392100.0,2337000.0,2385000.0,
1291000.0,696200.0,682500.0,967400.0,794100.0,190800.0,337700.0,733900.0,376600.0,392200.0,2337000.0,2385000.0,
1289000.0,696800.0,682800.0,962900.0,779000.0,190700.0,337600.0,745600.0,364800.0,392500.0,2337000.0,2400000.0,
1287000.0,698000.0,683900.0,957900.0,779000.0,190700.0,337600.0,745600.0,364800.0,392600.0,2348000.0,2400000.0,
1269000.0,704600.0,685600.0,967500.0,779000.0,190700.0,337600.0,745600.0,364800.0,392700.0,2372000.0,2400000.0,
1267000.0,705500.0,686500.0,967500.0,766400.0,190700.0,345700.0,737500.0,364800.0,392800.0,2372000.0,2413000.0,
1289000.0,706600.0,686900.0,963100.0,766400.0,190600.0,345600.0,737400.0,364700.0,392900.0,2384000.0,2389000.0,
1282000.0,711600.0,688100.0,963100.0,766400.0,190600.0,345600.0,737400.0,364700.0,393000.0,2396000.0,2389000.0,
1268000.0,709200.0,687500.0,963100.0,771000.0,185800.0,345600.0,737400.0,364700.0,393100.0,2396000.0,2402000.0,
1244000.0,708200.0,688300.0,982500.0,771000.0,185800.0,345600.0,737400.0,364700.0,392500.0,2396000.0,2402000.0,
1226000.0,708500.0,687800.0,973000.0,771000.0,185800.0,345500.0,737400.0,364700.0,392800.0,2396000.0,2409000.0,
1186000.0,710000.0,687100.0,979300.0,771000.0,185800.0,345500.0,737400.0,364700.0,392700.0,2396000.0,2422000.0,
1181000.0,710300.0,687000.0,964500.0,771000.0,185800.0,345400.0,751400.0,350600.0,391900.0,2396000.0,2422000.0,
1204000.0,713700.0,669600.0,949400.0,771000.0,194300.0,342900.0,767400.0,386700.0,391900.0,2350000.0,2414000.0,
1189000.0,712700.0,672200.0,955200.0,763400.0,194300.0,342900.0,786600.0,367600.0,392200.0,2350000.0,2429000.0,
1182000.0,718900.0,654300.0,950800.0,763400.0,194200.0,350900.0,797500.0,348500.0,392000.0,2350000.0,2447000.0,
1192000.0,720700.0,654700.0,950800.0,767400.0,182700.0,374200.0,774200.0,348500.0,392100.0,2361000.0,2442000.0,
1163000.0,715400.0,657900.0,969000.0,749900.0,182700.0,382300.0,766100.0,348500.0,392100.0,2361000.0,2467000.0,
1183000.0,712100.0,658800.0,969000.0,749900.0,182700.0,382300.0,766100.0,348500.0,392100.0,2373000.0,2445000.0,
1171000.0,709700.0,660900.0,976500.0,732200.0,369300.0,195400.0,766100.0,348400.0,392000.0,2373000.0,2463000.0,
1171000.0,709600.0,660600.0,972100.0,697000.0,369300.0,195300.0,765900.0,348400.0,392200.0,2373000.0,2498000.0,
1167000.0,714000.0,660500.0,972100.0,707100.0,359200.0,195300.0,765900.0,348400.0,392300.0,2373000.0,2498000.0,
1181000.0,712800.0,660900.0,971000.0,702300.0,361900.0,198800.0,822200.0,283300.0,391300.0,2385000.0,2489000.0,
1175000.0,714500.0,653100.0,971000.0,694500.0,361900.0,208200.0,812700.0,283300.0,391300.0,2385000.0,2504000.0,
1245000.0,714700.0,653300.0,966600.0,694500.0,361800.0,208100.0,812600.0,448400.0,391500.0,2244000.0,2433000.0,
1296000.0,709000.0,657900.0,966600.0,676900.0,361800.0,208100.0,831700.0,429300.0,391500.0,2255000.0,2391000.0,
1290000.0,708500.0,658700.0,957300.0,676700.0,361800.0,213000.0,826900.0,429300.0,391600.0,2266000.0,2391000.0,
1285000.0,711800.0,660500.0,957300.0,680600.0,357900.0,213000.0,826900.0,429300.0,391600.0,2278000.0,2391000.0,
1276000.0,711300.0,659200.0,953200.0,668000.0,357900.0,222100.0,817500.0,429200.0,391600.0,2278000.0,2403000.0,
1311000.0,711000.0,639600.0,964500.0,655400.0,368200.0,211800.0,817500.0,429200.0,392000.0,2289000.0,2389000.0,
1277000.0,714900.0,639500.0,964500.0,655400.0,368200.0,216700.0,826200.0,415700.0,392100.0,2289000.0,2419000.0,
1234000.0,714200.0,640200.0,1027000.0,655400.0,368100.0,216600.0,826100.0,415600.0,392200.0,2300000.0,2385000.0,
1233000.0,714200.0,641000.0,1027000.0,655400.0,368100.0,216600.0,826100.0,415600.0,392400.0,2300000.0,2385000.0,
1228000.0,717400.0,643200.0,1027000.0,637800.0,368100.0,238900.0,803800.0,415600.0,392400.0,2300000.0,2403000.0,
1251000.0,720800.0,642900.0,1027000.0,625200.0,368100.0,238900.0,831500.0,388000.0,392700.0,2312000.0,2388000.0,
1251000.0,719200.0,644300.0,1027000.0,617700.0,368100.0,238900.0,831500.0,388000.0,392900.0,2312000.0,2396000.0,
1250000.0,719100.0,645300.0,1023000.0,617700.0,368100.0,238700.0,837400.0,381900.0,392800.0,2312000.0,2396000.0,
1245000.0,721900.0,638800.0,1018000.0,617700.0,374500.0,232200.0,837300.0,381800.0,392900.0,2312000.0,2403000.0,
1266000.0,723300.0,639400.0,1014000.0,617700.0,374500.0,232100.0,837300.0,381800.0,393000.0,2323000.0,2380000.0,
1252000.0,724200.0,640500.0,1020000.0,868500.0,123600.0,232100.0,837300.0,381800.0,393200.0,2347000.0,2380000.0,
1244000.0,724400.0,633000.0,1010000.0,860900.0,123600.0,232100.0,837300.0,381800.0,385300.0,2347000.0,2406000.0,
1211000.0,723700.0,635000.0,1042000.0,860900.0,123600.0,232100.0,837300.0,381800.0,385500.0,2347000.0,2406000.0,
1206000.0,726800.0,636800.0,1042000.0,860900.0,127500.0,228200.0,837300.0,381800.0,385700.0,2347000.0,2406000.0,
1165000.0,727500.0,638100.0,1056000.0,860900.0,133500.0,688600.0,370700.0,381800.0,385700.0,2347000.0,2426000.0,
1206000.0,726000.0,639500.0,1056000.0,838300.0,133500.0,688600.0,370700.0,381800.0,385800.0,2370000.0,2407000.0,
1200000.0,724400.0,641000.0,1052000.0,822000.0,133500.0,694700.0,364700.0,381800.0,386100.0,2370000.0,2423000.0,
