GLUT4EnEr,GLUT4EnPm,GLUT4EnRabA,GLUT4EnRabB,GLUT4EnRabC,GLUT4EnRabD,GLUT4EnRabE,GLUT4EnRabF,GLUT4EnRabG,GLUT4EnRabH,GLUT4EnRabI,GLUT4EnRabL,GlutSupEr,GlutSupPm,GlutSupRabA,GlutSupRabB,GlutSupRabC,GlutSupRabD,GlutSupRabE,GlutSupRabF,GlutSupRabG,GlutSupRabH,GlutSupRabI,GlutSupRabL,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,membraneMarkerRabL,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,mvbRabL,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,protonEnRabL,TfREnEr,TfREnPm,TfREnRabA,TfREnRabB,TfREnRabC,TfREnRabD,TfREnRabE,TfREnRabF,TfREnRabG,TfREnRabH,TfREnRabI,TfREnRabL,
0.0,0.09646,0.09268,0.2557,0.06214,0.04816,0.02323,0.00289,0.001708,0.001684,0.001204,0.3151,0.0,0.0106,0.01018,0.02809,0.006826,0.005291,0.002552,3.175E-4,1.876E-4,1.85E-4,1.322E-4,0.03462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,59.94,32.31,19.47,251.3,11.06,35.78,38.42,25.77,6.414,17.57,1.0E-4,0.0,63320.0,1033.0,533.3,435.8,2258.0,1033.0,254.4,1049.0,409.4,281.0,309.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09646,0.09183,0.2546,0.06242,0.04816,0.02748,0.002681,0.001712,0.001678,0.001204,0.3127,0.0,0.0106,0.01009,0.02797,0.006857,0.005291,0.003019,2.945E-4,1.881E-4,1.844E-4,1.322E-4,0.03435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,59.81,32.11,19.46,248.8,11.28,35.79,38.45,25.55,6.36,17.42,1.0E-4,0.0,63340.0,1034.0,530.2,436.3,2255.0,1042.0,255.7,1057.0,398.6,281.2,303.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09646,0.09183,0.2546,0.069,0.04817,0.02748,0.002681,0.001712,0.001678,0.001204,0.3061,0.0,0.0106,0.01009,0.02797,0.00758,0.005291,0.003019,2.945E-4,1.881E-4,1.844E-4,1.322E-4,0.03363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,60.67,32.31,19.46,249.6,11.29,35.79,38.5,25.57,6.371,17.42,1.0E-4,0.0,63340.0,1033.0,530.5,436.9,2250.0,1042.0,255.7,1057.0,398.5,281.1,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09412,0.09417,0.2546,0.069,0.04817,0.02748,0.002681,0.001712,0.001678,0.001204,0.3061,0.0,0.01034,0.01034,0.02797,0.00758,0.005291,0.003019,2.945E-4,1.881E-4,1.844E-4,1.322E-4,0.03363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,60.63,32.29,19.46,248.8,11.28,35.79,38.45,25.55,6.36,17.42,1.0E-4,0.0,63340.0,1050.0,530.4,436.8,2247.0,1042.0,255.7,1057.0,398.5,281.1,302.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09412,0.09416,0.2501,0.07359,0.04817,0.02729,0.002675,0.001717,0.00168,0.001204,0.3062,0.0,0.01034,0.01034,0.02748,0.008084,0.005291,0.002998,2.939E-4,1.886E-4,1.845E-4,1.322E-4,0.03364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,60.42,32.09,19.41,244.8,11.11,35.58,38.45,25.49,6.293,17.35,1.0E-4,0.0,63340.0,1050.0,529.3,438.1,2244.0,1041.0,243.6,1066.0,400.6,344.3,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09413,0.09603,0.2457,0.0865,0.04817,0.02708,0.002675,0.001717,0.00168,0.001204,0.2961,0.0,0.01034,0.01055,0.02699,0.009502,0.005291,0.002974,2.938E-4,1.886E-4,1.845E-4,1.322E-4,0.03253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,60.33,32.05,19.41,243.2,11.08,35.57,38.35,25.46,6.272,17.33,1.0E-4,0.0,63340.0,1046.0,530.0,438.0,2240.0,1041.0,242.8,1066.0,406.3,339.6,302.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09833,0.09596,0.2457,0.08902,0.04817,0.027,0.002715,0.001732,0.001686,0.001219,0.2894,0.0,0.0108,0.01054,0.02699,0.009779,0.005291,0.002966,2.983E-4,1.902E-4,1.852E-4,1.339E-4,0.03179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,60.39,32.03,19.39,243.2,11.08,35.59,38.49,25.27,6.239,17.32,1.0E-4,0.0,63340.0,1045.0,530.1,437.8,2237.0,1053.0,238.3,1074.0,393.1,337.4,301.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09833,0.09632,0.2395,0.09556,0.04817,0.027,0.002715,0.001732,0.001686,0.001219,0.2887,0.0,0.0108,0.01058,0.02631,0.0105,0.005291,0.002966,2.983E-4,1.902E-4,1.852E-4,1.339E-4,0.03171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,61.37,32.11,19.41,244.1,11.09,35.59,38.49,25.29,6.274,17.33,1.0E-4,0.0,63340.0,1045.0,530.6,437.5,2235.0,1053.0,238.2,1074.0,393.0,337.4,301.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09833,0.09632,0.2395,0.09557,0.04817,0.02698,0.002705,0.00177,0.001684,0.001215,0.2887,0.0,0.0108,0.01058,0.02631,0.0105,0.005291,0.002963,2.972E-4,1.945E-4,1.85E-4,1.335E-4,0.03171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,61.24,32.0,19.4,241.7,10.99,35.59,38.32,25.27,6.248,17.3,1.0E-4,0.0,63350.0,1045.0,530.5,437.6,2231.0,1052.0,239.1,1071.0,394.8,337.3,301.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09833,0.09621,0.2393,0.1005,0.04555,0.0268,0.002675,0.001697,0.001615,0.001189,0.2871,0.0,0.0108,0.01057,0.02629,0.01104,0.005003,0.002944,2.938E-4,1.864E-4,1.775E-4,1.306E-4,0.03153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,61.32,32.2,21.2,237.0,11.22,35.42,38.64,25.17,6.263,17.62,1.0E-4,0.0,63360.0,1045.0,530.6,460.0,2204.0,1051.0,227.9,1092.0,385.0,337.6,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
