entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.225,0.4954,0.1079,0.06387,0.06125,0.09702,0.07608,0.01666,0.04822,0.03093,0.03384,0.0357,0.2124,0.2162,
2.225,0.4941,0.1079,0.06387,0.06125,0.09702,0.07608,0.01666,0.04822,0.03093,0.03384,0.0357,0.2124,0.2162,
2.225,0.4965,0.1076,0.06384,0.06131,0.09674,0.07615,0.01667,0.04824,0.03095,0.03386,0.03573,0.2126,0.2163,
2.225,0.4908,0.11,0.0637,0.06118,0.09653,0.07598,0.01664,0.04814,0.03089,0.03379,0.03565,0.2142,0.2133,
2.239,0.4859,0.1098,0.06363,0.06111,0.09643,0.0759,0.01662,0.04809,0.03085,0.04253,0.03562,0.2063,0.2131,
2.237,0.4746,0.1085,0.0635,0.06099,0.09623,0.07575,0.01658,0.04799,0.03079,0.04244,0.03554,0.208,0.2138,
2.236,0.4742,0.1083,0.0634,0.06089,0.09567,0.07562,0.01656,0.04791,0.03074,0.04237,0.03548,0.2097,0.2134,
2.234,0.4746,0.1077,0.06328,0.0608,0.09518,0.07553,0.01654,0.04785,0.03069,0.0423,0.03544,0.2115,0.2131,
2.234,0.4763,0.1076,0.06322,0.06074,0.09508,0.07545,0.01652,0.0478,0.03066,0.04226,0.0354,0.2124,0.2129,
2.234,0.4708,0.1076,0.06322,0.06074,0.09508,0.07545,0.01652,0.0478,0.03066,0.04226,0.0354,0.2124,0.2129,
2.242,0.4564,0.1113,0.06318,0.0607,0.09502,0.07491,0.01639,0.04762,0.03045,0.04734,0.03538,0.208,0.2098,
2.242,0.4575,0.1113,0.06318,0.0607,0.09502,0.07491,0.01639,0.04762,0.03045,0.04734,0.03538,0.208,0.2098,
2.241,0.4427,0.1113,0.06313,0.06077,0.09299,0.07501,0.0164,0.04763,0.03048,0.0474,0.03537,0.2093,0.2101,
2.24,0.4417,0.1112,0.06306,0.06071,0.0929,0.07494,0.01639,0.04758,0.03045,0.04735,0.03533,0.2102,0.2099,
2.239,0.4395,0.1107,0.06302,0.06067,0.09284,0.07489,0.01638,0.04755,0.03043,0.04732,0.03531,0.2111,0.2098,
2.239,0.4395,0.1106,0.06296,0.0606,0.09274,0.07481,0.01636,0.0475,0.0304,0.04727,0.03527,0.2119,0.2096,
2.236,0.4472,0.1106,0.06298,0.06062,0.09241,0.07281,0.01623,0.04752,0.0304,0.04728,0.03528,0.212,0.2118,
2.234,0.4429,0.1106,0.06289,0.05933,0.09232,0.07284,0.01624,0.04754,0.03041,0.0473,0.03521,0.2121,0.2132,
2.234,0.4429,0.1106,0.06289,0.05933,0.09232,0.07284,0.01624,0.04754,0.03041,0.0473,0.03521,0.2121,0.2132,
2.239,0.4392,0.1123,0.06282,0.05927,0.09222,0.07276,0.01622,0.04749,0.03038,0.05032,0.03517,0.2099,0.2112,
2.239,0.444,0.1122,0.06276,0.05921,0.09213,0.07269,0.01621,0.04744,0.03035,0.05027,0.03513,0.2107,0.2109,
2.239,0.4374,0.1122,0.06276,0.05921,0.09213,0.07269,0.01621,0.04744,0.03035,0.05027,0.03513,0.2107,0.2109,
2.238,0.4764,0.112,0.06268,0.05919,0.09162,0.07278,0.01619,0.04749,0.03038,0.05032,0.03518,0.211,0.2112,
2.238,0.4375,0.1119,0.06261,0.05913,0.09153,0.07271,0.01617,0.04744,0.03035,0.05027,0.03514,0.2118,0.211,
2.238,0.4292,0.1119,0.06261,0.05913,0.09153,0.07271,0.01617,0.04744,0.03035,0.05027,0.03514,0.2118,0.211,
2.236,0.4011,0.1119,0.06257,0.0592,0.09076,0.07226,0.01605,0.04748,0.03038,0.05033,0.03504,0.2121,0.2119,
2.246,0.3983,0.1118,0.06252,0.05915,0.09034,0.07155,0.01604,0.04745,0.03035,0.05843,0.03501,0.2049,0.2125,
2.244,0.396,0.1115,0.06249,0.05918,0.09038,0.07036,0.01605,0.04747,0.03037,0.05845,0.03503,0.205,0.2138,
2.239,0.3989,0.1111,0.06251,0.05766,0.09042,0.0679,0.01606,0.0475,0.03038,0.05848,0.03503,0.2051,0.2179,
2.239,0.3987,0.1111,0.06253,0.05768,0.09008,0.06793,0.01606,0.0475,0.03039,0.0585,0.03505,0.2052,0.218,
2.238,0.3978,0.1111,0.06253,0.05768,0.09008,0.06683,0.01596,0.04736,0.03039,0.0585,0.03505,0.2052,0.2194,
2.237,0.3982,0.111,0.06252,0.05778,0.09008,0.06552,0.01638,0.04694,0.03039,0.0585,0.03505,0.2052,0.2207,
2.238,0.4015,0.1189,0.0623,0.05775,0.0899,0.06538,0.01635,0.05345,0.02549,0.0566,0.03499,0.2068,0.2121,
2.237,0.4042,0.1202,0.06223,0.05783,0.08981,0.06575,0.01586,0.05272,0.02742,0.05419,0.03497,0.2076,0.2114,
2.236,0.4075,0.1201,0.0622,0.05793,0.08981,0.06424,0.01586,0.0535,0.02824,0.05259,0.03497,0.2076,0.2129,
2.24,0.4378,0.1225,0.06232,0.0579,0.08971,0.06191,0.04572,0.02439,0.02686,0.0524,0.03495,0.2084,0.2129,
2.242,0.4417,0.1251,0.06228,0.05806,0.08923,0.06183,0.04629,0.02373,0.02842,0.05072,0.03492,0.2103,0.2091,
2.241,0.4445,0.1239,0.06224,0.05816,0.09002,0.06177,0.04677,0.02318,0.02839,0.05067,0.03488,0.2111,0.2089,
2.243,0.4318,0.1227,0.06239,0.05757,0.09014,0.06185,0.04684,0.02374,0.03394,0.04469,0.03493,0.2114,0.2098,
2.249,0.4372,0.1223,0.06228,0.05765,0.08944,0.06296,0.04573,0.02425,0.03465,0.0478,0.03496,0.2081,0.2099,
2.249,0.4281,0.1219,0.06246,0.05779,0.08944,0.06296,0.04573,0.02425,0.03465,0.0478,0.03497,0.2081,0.2099,
2.244,0.4253,0.1212,0.06285,0.05712,0.08948,0.06042,0.04568,0.02402,0.03439,0.04763,0.03497,0.2082,0.214,
2.244,0.4418,0.1208,0.06282,0.05722,0.08952,0.06045,0.0457,0.02403,0.0344,0.04765,0.03499,0.2083,0.2141,
2.244,0.4328,0.1225,0.06267,0.05726,0.08885,0.06038,0.04569,0.02401,0.03438,0.04764,0.03496,0.2093,0.2123,
2.243,0.4344,0.1242,0.06248,0.05741,0.08876,0.06017,0.04469,0.02398,0.03435,0.04759,0.03493,0.2102,0.2113,
2.242,0.4366,0.1261,0.06229,0.05765,0.08834,0.06014,0.04451,0.02343,0.03432,0.04755,0.03492,0.2111,0.2097,
2.244,0.436,0.1328,0.06201,0.05778,0.08824,0.0568,0.04491,0.02296,0.03605,0.0478,0.03489,0.2098,0.2059,
2.245,0.4454,0.1296,0.06213,0.05793,0.09087,0.05682,0.04493,0.0235,0.03554,0.04782,0.03491,0.2099,0.206,
2.245,0.4471,0.1291,0.06229,0.05795,0.09077,0.05676,0.04489,0.02401,0.03497,0.04777,0.03489,0.2108,0.2058,
2.245,0.4478,0.1291,0.06209,0.05814,0.09077,0.05676,0.04489,0.02401,0.03662,0.04612,0.03489,0.2108,0.2058,
2.262,0.4367,0.129,0.06203,0.05807,0.09068,0.0567,0.04537,0.02345,0.03764,0.05778,0.03487,0.1988,0.2056,
