RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
1205000.0,713600.0,684300.0,1084000.0,850000.0,186100.0,538700.0,345600.0,378000.0,398900.0,2373000.0,2415000.0,
1205000.0,713600.0,684300.0,1084000.0,850000.0,186100.0,538700.0,345600.0,378000.0,398900.0,2373000.0,2415000.0,
1201000.0,712500.0,684300.0,1080000.0,849900.0,186100.0,538500.0,345500.0,378000.0,398800.0,2373000.0,2415000.0,
1230000.0,712500.0,684300.0,1080000.0,849900.0,186100.0,538500.0,345500.0,378000.0,398800.0,2396000.0,2386000.0,
1230000.0,712500.0,684300.0,1080000.0,849900.0,186100.0,538500.0,345500.0,476200.0,398800.0,2310000.0,2386000.0,
1217000.0,712500.0,684300.0,1080000.0,849900.0,186100.0,538500.0,345500.0,476200.0,398800.0,2333000.0,2398000.0,
1217000.0,712500.0,684300.0,1075000.0,849900.0,186100.0,538500.0,345500.0,476200.0,398800.0,2357000.0,2398000.0,
1212000.0,712100.0,684200.0,1071000.0,849900.0,186100.0,538400.0,345400.0,476000.0,398700.0,2380000.0,2398000.0,
1212000.0,712100.0,684200.0,1071000.0,849900.0,186100.0,538400.0,345400.0,476000.0,398700.0,2392000.0,2398000.0,
1212000.0,712100.0,684200.0,1071000.0,849900.0,186100.0,538400.0,345400.0,476000.0,398700.0,2392000.0,2398000.0,
1254000.0,712100.0,684200.0,1071000.0,844300.0,184700.0,536700.0,343200.0,533600.0,398700.0,2344000.0,2365000.0,
1254000.0,712100.0,684200.0,1071000.0,844300.0,184700.0,536700.0,343200.0,533600.0,398700.0,2344000.0,2365000.0,
1253000.0,710400.0,683800.0,1046000.0,844200.0,184600.0,536000.0,343000.0,533400.0,398000.0,2356000.0,2365000.0,
1253000.0,710400.0,683800.0,1046000.0,844200.0,184600.0,536000.0,343000.0,533400.0,398000.0,2368000.0,2365000.0,
1248000.0,710400.0,683800.0,1046000.0,844200.0,184600.0,536000.0,343000.0,533400.0,398000.0,2379000.0,2365000.0,
1248000.0,710400.0,683800.0,1046000.0,844200.0,184600.0,536000.0,343000.0,533400.0,398000.0,2391000.0,2365000.0,
1248000.0,710300.0,683700.0,1042000.0,821200.0,183100.0,535900.0,342900.0,533200.0,397900.0,2391000.0,2389000.0,
1247000.0,709000.0,668900.0,1041000.0,821200.0,183100.0,535900.0,342900.0,533200.0,396900.0,2391000.0,2404000.0,
1247000.0,709000.0,668900.0,1041000.0,821200.0,183100.0,535900.0,342900.0,533200.0,396900.0,2391000.0,2404000.0,
1268000.0,709000.0,668900.0,1041000.0,821200.0,183100.0,535900.0,342900.0,567900.0,396900.0,2369000.0,2383000.0,
1268000.0,709000.0,668900.0,1041000.0,821200.0,183100.0,535900.0,342900.0,567900.0,396900.0,2380000.0,2383000.0,
1268000.0,709000.0,668900.0,1041000.0,821200.0,183100.0,535900.0,342900.0,567900.0,396900.0,2380000.0,2383000.0,
1263000.0,707200.0,667800.0,1034000.0,821200.0,182600.0,535800.0,342700.0,567700.0,396900.0,2380000.0,2383000.0,
1263000.0,707200.0,667800.0,1034000.0,821200.0,182600.0,535800.0,342700.0,567700.0,396900.0,2392000.0,2383000.0,
1263000.0,707200.0,667800.0,1034000.0,821200.0,182600.0,535800.0,342700.0,567700.0,396900.0,2392000.0,2383000.0,
1262000.0,705700.0,667700.0,1024000.0,815100.0,181100.0,535600.0,342700.0,567700.0,395200.0,2392000.0,2391000.0,
1262000.0,705600.0,667600.0,1020000.0,807500.0,181100.0,535600.0,342600.0,659400.0,395100.0,2312000.0,2398000.0,
1257000.0,705000.0,667600.0,1020000.0,793700.0,181100.0,535600.0,342600.0,659400.0,395100.0,2312000.0,2412000.0,
1252000.0,704800.0,650200.0,1020000.0,765700.0,181100.0,535600.0,342600.0,659400.0,395000.0,2312000.0,2457000.0,
1252000.0,704700.0,650200.0,1015000.0,765600.0,181000.0,535300.0,342500.0,659400.0,395000.0,2312000.0,2457000.0,
1252000.0,704700.0,650200.0,1015000.0,753200.0,179800.0,533800.0,342500.0,659400.0,395000.0,2312000.0,2473000.0,
1251000.0,704700.0,651200.0,1015000.0,738500.0,184700.0,529000.0,342500.0,659400.0,395100.0,2312000.0,2487000.0,
1343000.0,703600.0,652200.0,1015000.0,738500.0,184700.0,603700.0,287900.0,639300.0,395200.0,2336000.0,2395000.0,
1359000.0,703500.0,653800.0,1015000.0,743400.0,179400.0,596000.0,310000.0,612600.0,395300.0,2347000.0,2391000.0,
1358000.0,703200.0,655000.0,1015000.0,726300.0,179400.0,604900.0,319300.0,594500.0,395400.0,2347000.0,2408000.0,
1386000.0,705300.0,655200.0,1015000.0,700700.0,517500.0,276000.0,304000.0,593000.0,395500.0,2359000.0,2410000.0,
1418000.0,705700.0,657900.0,1011000.0,700600.0,524500.0,268900.0,322000.0,574800.0,395700.0,2383000.0,2369000.0,
1406000.0,706000.0,659700.0,1021000.0,700600.0,530600.0,262900.0,322000.0,574800.0,395700.0,2394000.0,2369000.0,
1390000.0,706800.0,652200.0,1021000.0,700600.0,530600.0,268900.0,384500.0,506300.0,395700.0,2394000.0,2377000.0,
1385000.0,705300.0,652800.0,1013000.0,713000.0,517900.0,274700.0,392400.0,541300.0,395900.0,2357000.0,2377000.0,
1381000.0,707300.0,654500.0,1013000.0,713000.0,517900.0,274700.0,392400.0,541300.0,396000.0,2357000.0,2377000.0,
1372000.0,711400.0,646600.0,1013000.0,683900.0,517100.0,271900.0,389300.0,539200.0,395800.0,2357000.0,2422000.0,
1367000.0,710800.0,647400.0,1013000.0,683900.0,517100.0,271900.0,389300.0,539200.0,395900.0,2357000.0,2422000.0,
1387000.0,709200.0,648000.0,1006000.0,683300.0,517100.0,271700.0,389100.0,539100.0,395700.0,2369000.0,2402000.0,
1406000.0,707700.0,650400.0,1006000.0,681600.0,506200.0,271700.0,389100.0,539100.0,395700.0,2381000.0,2394000.0,
1430000.0,706000.0,653400.0,1001000.0,681700.0,504600.0,265600.0,389000.0,539000.0,395800.0,2393000.0,2376000.0,
1507000.0,703700.0,655600.0,1001000.0,644500.0,509600.0,260500.0,409100.0,542400.0,396000.0,2381000.0,2337000.0,
1470000.0,704700.0,657000.0,1031000.0,644500.0,509600.0,266600.0,403100.0,542400.0,396000.0,2381000.0,2337000.0,
1466000.0,707200.0,658000.0,1031000.0,644500.0,509600.0,272600.0,397000.0,542400.0,396100.0,2393000.0,2337000.0,
1466000.0,705000.0,660100.0,1031000.0,644500.0,509600.0,272600.0,415800.0,523600.0,396200.0,2393000.0,2337000.0,
1466000.0,705000.0,660000.0,1031000.0,644500.0,515700.0,266600.0,427800.0,656700.0,396400.0,2260000.0,2337000.0,
1463000.0,706900.0,659600.0,1023000.0,639300.0,514400.0,275600.0,416800.0,656600.0,396300.0,2260000.0,2344000.0,
1380000.0,712000.0,659600.0,1098000.0,639300.0,514400.0,286900.0,405600.0,656600.0,395000.0,2283000.0,2344000.0,
1328000.0,713100.0,660100.0,1143000.0,639300.0,514400.0,286900.0,405600.0,656600.0,395100.0,2294000.0,2344000.0,
1325000.0,714900.0,660600.0,1143000.0,639300.0,514400.0,286900.0,415600.0,646600.0,395200.0,2294000.0,2344000.0,
1323000.0,716100.0,661200.0,1143000.0,622700.0,514400.0,286900.0,415600.0,646600.0,395200.0,2294000.0,2361000.0,
1323000.0,716100.0,661000.0,1143000.0,616700.0,512900.0,286900.0,433200.0,629000.0,395500.0,2294000.0,2368000.0,
1322000.0,714700.0,661500.0,1132000.0,616200.0,512900.0,286800.0,450700.0,610800.0,395000.0,2294000.0,2368000.0,
1310000.0,714300.0,662900.0,1128000.0,616200.0,512600.0,286800.0,461700.0,599600.0,395000.0,2294000.0,2368000.0,
1310000.0,713000.0,664500.0,1128000.0,916400.0,212400.0,286800.0,461700.0,599600.0,395100.0,2305000.0,2368000.0,
1299000.0,718000.0,666300.0,1128000.0,926200.0,202600.0,286800.0,461700.0,599600.0,394200.0,2305000.0,2368000.0,
1298000.0,717300.0,668200.0,1128000.0,916400.0,200100.0,285600.0,460100.0,599600.0,394400.0,2305000.0,2384000.0,
1284000.0,715900.0,669800.0,1137000.0,906600.0,188400.0,285300.0,495400.0,564200.0,394400.0,2305000.0,2405000.0,
1306000.0,713500.0,668900.0,1139000.0,898400.0,188300.0,290100.0,505600.0,548400.0,392400.0,2317000.0,2375000.0,
1304000.0,713900.0,669900.0,1135000.0,904500.0,182300.0,290100.0,505600.0,548400.0,392400.0,2317000.0,2375000.0,
1302000.0,713300.0,669700.0,1132000.0,904200.0,182300.0,290100.0,505600.0,548200.0,392500.0,2329000.0,2375000.0,
1300000.0,715100.0,670100.0,1132000.0,904200.0,182300.0,290100.0,505600.0,548200.0,392800.0,2329000.0,2375000.0,
1296000.0,718100.0,671200.0,1132000.0,909000.0,182300.0,285300.0,505600.0,548200.0,392800.0,2352000.0,2375000.0,
1293000.0,716200.0,670700.0,1132000.0,903000.0,180800.0,296500.0,500400.0,542200.0,393100.0,2352000.0,2383000.0,
1280000.0,726200.0,673300.0,1132000.0,907800.0,175900.0,296500.0,500400.0,542200.0,393200.0,2352000.0,2383000.0,
1278000.0,727100.0,673700.0,1128000.0,907700.0,182400.0,289900.0,500300.0,542100.0,393200.0,2352000.0,2383000.0,
1274000.0,729500.0,673600.0,1126000.0,907500.0,191300.0,280800.0,500300.0,541900.0,393300.0,2352000.0,2383000.0,
1273000.0,729500.0,674500.0,1122000.0,913500.0,189200.0,281800.0,505400.0,531700.0,393200.0,2352000.0,2383000.0,
1268000.0,733700.0,675000.0,1122000.0,918300.0,195200.0,270900.0,505400.0,531700.0,393300.0,2364000.0,2383000.0,
