entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.225,0.4954,0.1079,0.06387,0.06125,0.09702,0.07608,0.01666,0.04822,0.03093,0.03384,0.0357,0.2124,0.2162,
2.225,0.4955,0.1079,0.06387,0.06125,0.09702,0.07608,0.01666,0.04822,0.03093,0.03384,0.0357,0.2124,0.2162,
2.224,0.4932,0.1079,0.06387,0.06125,0.09702,0.07496,0.01666,0.04822,0.03093,0.03384,0.0357,0.2124,0.2173,
2.227,0.4847,0.1129,0.06375,0.06122,0.09696,0.07491,0.01665,0.04819,0.03091,0.03381,0.03568,0.2133,0.2117,
2.227,0.5123,0.1129,0.06377,0.06124,0.09663,0.07494,0.01665,0.04819,0.03092,0.03383,0.03569,0.2134,0.2118,
2.226,0.4786,0.1129,0.06377,0.06124,0.09663,0.0744,0.01652,0.04819,0.03092,0.03383,0.03569,0.2134,0.2125,
2.224,0.4797,0.1127,0.06368,0.06119,0.09665,0.07331,0.01653,0.04821,0.03093,0.03384,0.03571,0.2135,0.2137,
2.223,0.4777,0.1122,0.06367,0.06051,0.09623,0.0733,0.01652,0.0482,0.03093,0.03383,0.03569,0.2145,0.2143,
2.222,0.4759,0.1122,0.06369,0.06053,0.0959,0.07279,0.0164,0.04822,0.03093,0.03383,0.0357,0.2146,0.2151,
2.222,0.4721,0.1123,0.06369,0.06055,0.09561,0.07279,0.0164,0.04824,0.03094,0.03385,0.03571,0.2147,0.2152,
2.222,0.4627,0.1123,0.06369,0.06055,0.09561,0.07279,0.0164,0.04824,0.03094,0.03385,0.03571,0.2147,0.2152,
2.234,0.4528,0.114,0.06358,0.06054,0.09522,0.07277,0.0164,0.04821,0.03093,0.04088,0.0357,0.2087,0.2131,
2.234,0.445,0.1137,0.06352,0.06049,0.09478,0.07286,0.01642,0.04827,0.03097,0.04091,0.03571,0.209,0.2134,
2.234,0.446,0.1137,0.06352,0.06049,0.09478,0.07286,0.01642,0.04827,0.03097,0.04091,0.03571,0.209,0.2134,
2.232,0.4377,0.1133,0.06341,0.06039,0.09442,0.07219,0.01625,0.04819,0.03091,0.04084,0.03565,0.2108,0.2137,
2.23,0.4406,0.1132,0.06336,0.05969,0.09399,0.07215,0.01624,0.04816,0.03089,0.0408,0.03559,0.2117,0.2142,
2.23,0.4369,0.1123,0.06326,0.05972,0.09403,0.07218,0.01625,0.04818,0.0309,0.04082,0.0356,0.2118,0.215,
2.231,0.4322,0.1146,0.06313,0.05971,0.09402,0.07217,0.01625,0.04817,0.03089,0.04081,0.0356,0.2128,0.2119,
2.229,0.434,0.1145,0.06306,0.05965,0.09392,0.07097,0.01623,0.04812,0.03086,0.04077,0.03556,0.2136,0.2128,
2.242,0.4298,0.1124,0.06291,0.0596,0.09372,0.0698,0.01622,0.04809,0.03084,0.0517,0.03545,0.2036,0.2156,
2.242,0.4279,0.1125,0.06293,0.05963,0.09339,0.06982,0.01622,0.04809,0.03085,0.05172,0.03546,0.2037,0.2157,
2.242,0.438,0.1125,0.06293,0.05963,0.09339,0.06982,0.01622,0.04809,0.03085,0.05172,0.03546,0.2037,0.2157,
2.243,0.4305,0.1158,0.06286,0.05957,0.0933,0.06975,0.01621,0.04804,0.03082,0.05167,0.03542,0.2045,0.2121,
2.243,0.4319,0.1158,0.06286,0.05957,0.0933,0.06908,0.01621,0.04804,0.03082,0.05167,0.03542,0.2045,0.2128,
2.242,0.4316,0.1157,0.06282,0.05953,0.09285,0.06904,0.0162,0.04801,0.0308,0.05164,0.03538,0.2054,0.2126,
2.241,0.4326,0.1156,0.0628,0.05952,0.09208,0.06903,0.01619,0.048,0.03079,0.05162,0.03533,0.2064,0.2126,
2.24,0.4315,0.1145,0.06281,0.05953,0.0919,0.06904,0.0162,0.04802,0.03079,0.05163,0.03534,0.2075,0.2127,
2.24,0.4184,0.1146,0.06281,0.05955,0.0916,0.06904,0.0162,0.04803,0.0308,0.05165,0.03534,0.2076,0.2128,
2.24,0.4184,0.1146,0.06281,0.05955,0.0916,0.06904,0.0162,0.04803,0.0308,0.05165,0.03534,0.2076,0.2128,
2.24,0.4255,0.1138,0.06287,0.05961,0.09168,0.0691,0.01622,0.04807,0.03083,0.0517,0.03538,0.2078,0.213,
2.238,0.4266,0.1129,0.06201,0.05964,0.09146,0.06863,0.0161,0.04813,0.03087,0.05178,0.0353,0.2092,0.214,
2.237,0.4351,0.1127,0.06201,0.05961,0.09137,0.06788,0.01662,0.04754,0.03084,0.05172,0.03528,0.21,0.2144,
2.228,0.4306,0.1125,0.06218,0.05958,0.09137,0.06788,0.01662,0.05713,0.02215,0.05083,0.03379,0.21,0.216,
2.229,0.4462,0.1124,0.06205,0.05909,0.09137,0.06843,0.01607,0.05713,0.02583,0.04715,0.0338,0.21,0.2166,
2.231,0.4453,0.1128,0.06213,0.05913,0.09299,0.06836,0.01605,0.05707,0.0258,0.0471,0.03376,0.2108,0.2139,
2.23,0.4668,0.1107,0.06219,0.05919,0.09299,0.06836,0.01605,0.05707,0.02634,0.04656,0.03377,0.2108,0.216,
2.229,0.456,0.1103,0.06199,0.05933,0.09286,0.06896,0.01552,0.05712,0.02636,0.0466,0.03371,0.211,0.2162,
2.228,0.4583,0.1104,0.06191,0.0594,0.0925,0.06831,0.01553,0.05768,0.02673,0.04572,0.03375,0.2111,0.2169,
2.228,0.4585,0.1121,0.06179,0.05946,0.09174,0.06829,0.01552,0.05765,0.02671,0.0457,0.03375,0.2121,0.2151,
2.229,0.4593,0.1115,0.06213,0.05979,0.09138,0.06832,0.01553,0.05767,0.02762,0.04482,0.03379,0.2122,0.2152,
2.23,0.4691,0.1104,0.06218,0.05984,0.09203,0.06835,0.01554,0.05853,0.02865,0.04299,0.03383,0.2123,0.2153,
2.229,0.464,0.11,0.06147,0.0599,0.09215,0.06831,0.01502,0.05861,0.03397,0.03777,0.03389,0.2126,0.2163,
2.242,0.4692,0.1124,0.06162,0.05994,0.09206,0.06756,0.04391,0.02964,0.03393,0.03773,0.03387,0.2135,0.2139,
2.241,0.4694,0.1121,0.06168,0.05996,0.09196,0.06749,0.04386,0.03057,0.03294,0.03769,0.03384,0.2143,0.2136,
2.25,0.4814,0.1153,0.06157,0.05874,0.09186,0.06742,0.04382,0.03125,0.0332,0.0415,0.03375,0.2103,0.2114,
2.248,0.4748,0.1151,0.06123,0.05899,0.09176,0.06617,0.04377,0.03176,0.03316,0.04092,0.03371,0.2111,0.2123,
2.247,0.4826,0.1147,0.0614,0.05904,0.09133,0.06612,0.04374,0.03172,0.03457,0.03945,0.0337,0.212,0.2122,
2.246,0.4869,0.1142,0.06124,0.05907,0.09097,0.06601,0.04367,0.03166,0.03451,0.03938,0.03365,0.2138,0.2118,
2.246,0.4839,0.114,0.06121,0.05924,0.09097,0.06601,0.04367,0.03166,0.03451,0.03938,0.03366,0.2138,0.2118,
2.246,0.4683,0.1141,0.06122,0.05942,0.0898,0.06652,0.04329,0.0317,0.03581,0.03817,0.03371,0.2141,0.2121,
2.245,0.4675,0.114,0.06146,0.05966,0.08832,0.06596,0.04337,0.03175,0.03586,0.03823,0.03375,0.2145,0.2132,
2.26,0.4632,0.1138,0.06141,0.05967,0.08822,0.06485,0.04332,0.03118,0.03582,0.05005,0.03373,0.2034,0.2145,
2.259,0.4633,0.1133,0.06135,0.0597,0.08813,0.06412,0.04328,0.03115,0.03579,0.05,0.03369,0.2043,0.2152,
2.259,0.4801,0.113,0.06113,0.05979,0.0892,0.06405,0.04323,0.03112,0.03575,0.04995,0.03367,0.2051,0.214,
2.259,0.4603,0.1126,0.06094,0.06003,0.08924,0.06408,0.04325,0.03113,0.03746,0.04828,0.03369,0.2052,0.2141,
2.26,0.4604,0.1125,0.06112,0.06005,0.08888,0.0641,0.04327,0.03114,0.03864,0.04714,0.03373,0.2053,0.2142,
2.259,0.4681,0.1113,0.06123,0.06016,0.08858,0.06458,0.04287,0.03115,0.0392,0.04664,0.03376,0.2054,0.2151,
2.259,0.4697,0.1111,0.06127,0.0603,0.08808,0.06463,0.04291,0.03117,0.03923,0.04666,0.03378,0.2056,0.2153,
2.256,0.4623,0.1083,0.06146,0.05917,0.08808,0.06463,0.04345,0.03063,0.03977,0.04612,0.03377,0.2056,0.219,
2.256,0.4662,0.1072,0.06047,0.05936,0.08936,0.06469,0.04349,0.03066,0.04124,0.04472,0.03381,0.2058,0.2192,
2.256,0.4701,0.1071,0.06056,0.05934,0.08936,0.06469,0.04349,0.03109,0.04081,0.04472,0.03382,0.2058,0.2192,
2.256,0.4766,0.1069,0.06066,0.0595,0.089,0.06471,0.0435,0.0311,0.04299,0.04258,0.03385,0.2059,0.2193,
2.256,0.4734,0.1101,0.06056,0.05954,0.0889,0.06307,0.04346,0.03107,0.04295,0.04253,0.03381,0.2067,0.2173,
2.256,0.5079,0.108,0.06055,0.05966,0.09018,0.06307,0.04412,0.03113,0.04223,0.04253,0.03382,0.2067,0.218,
2.257,0.4708,0.1109,0.06028,0.05977,0.0892,0.06311,0.04416,0.03115,0.04226,0.04257,0.03387,0.2079,0.2148,
2.254,0.4906,0.1127,0.06,0.05963,0.08892,0.06224,0.04402,0.04287,0.03031,0.04243,0.0331,0.2104,0.2134,
2.253,0.4751,0.111,0.06007,0.05962,0.08987,0.06224,0.04402,0.04358,0.02959,0.04243,0.03311,0.2104,0.214,
2.254,0.4754,0.1133,0.05997,0.05957,0.08978,0.06218,0.04451,0.043,0.02956,0.04239,0.0331,0.2112,0.2114,
2.229,0.4406,0.1131,0.05984,0.06002,0.08909,0.08943,0.01733,0.04303,0.0307,0.04129,0.03314,0.2114,0.2116,
2.227,0.4549,0.112,0.05969,0.05818,0.08921,0.08955,0.01736,0.04381,0.03002,0.04135,0.0332,0.2117,0.2139,
2.226,0.4545,0.1117,0.05955,0.05823,0.08867,0.08953,0.01735,0.0438,0.03002,0.04134,0.03321,0.2127,0.2139,
2.229,0.4542,0.1113,0.05968,0.05831,0.08858,0.08742,0.032,0.02909,0.02998,0.04129,0.03318,0.2135,0.2157,
2.234,0.4581,0.1118,0.05986,0.05833,0.08848,0.08733,0.03197,0.0296,0.02942,0.04377,0.03316,0.2119,0.2145,
2.234,0.4571,0.1135,0.05978,0.05833,0.08803,0.08726,0.03194,0.03,0.02897,0.04374,0.03314,0.2128,0.2125,
