RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
1205000.0,713600.0,684300.0,1084000.0,850000.0,186100.0,538700.0,345600.0,378000.0,398900.0,2373000.0,2415000.0,
1205000.0,713600.0,684300.0,1084000.0,850000.0,186100.0,538700.0,345600.0,378000.0,398900.0,2373000.0,2415000.0,
1205000.0,713600.0,684300.0,1084000.0,837400.0,186100.0,538700.0,345600.0,378000.0,398900.0,2373000.0,2427000.0,
1262000.0,712700.0,684300.0,1084000.0,837400.0,186100.0,538700.0,345600.0,378000.0,398900.0,2385000.0,2367000.0,
1262000.0,712500.0,684300.0,1080000.0,837400.0,186100.0,538500.0,345500.0,378000.0,398800.0,2385000.0,2367000.0,
1262000.0,712500.0,684300.0,1080000.0,831300.0,184600.0,538500.0,345500.0,378000.0,398800.0,2385000.0,2374000.0,
1259000.0,711300.0,683400.0,1079000.0,818800.0,184600.0,538500.0,345500.0,378000.0,398800.0,2385000.0,2387000.0,
1253000.0,711300.0,676000.0,1075000.0,818800.0,184600.0,538500.0,345500.0,378000.0,398700.0,2396000.0,2394000.0,
1253000.0,711200.0,675900.0,1071000.0,812700.0,183100.0,538400.0,345400.0,377800.0,398700.0,2396000.0,2402000.0,
1253000.0,710800.0,675800.0,1067000.0,812300.0,183000.0,538300.0,345300.0,377700.0,398500.0,2396000.0,2402000.0,
1253000.0,710800.0,675800.0,1067000.0,812300.0,183000.0,538300.0,345300.0,377700.0,398500.0,2396000.0,2402000.0,
1272000.0,709700.0,675800.0,1063000.0,812300.0,183000.0,538100.0,345200.0,456300.0,398500.0,2330000.0,2378000.0,
1268000.0,708100.0,674300.0,1057000.0,812200.0,183000.0,538100.0,345200.0,456100.0,398100.0,2330000.0,2378000.0,
1268000.0,708100.0,674300.0,1057000.0,812200.0,183000.0,538100.0,345200.0,456100.0,398100.0,2330000.0,2378000.0,
1265000.0,708000.0,674200.0,1054000.0,806100.0,181500.0,538100.0,345200.0,456000.0,398100.0,2353000.0,2386000.0,
1265000.0,707900.0,666900.0,1050000.0,806000.0,181500.0,538000.0,345100.0,455900.0,397600.0,2365000.0,2394000.0,
1254000.0,706500.0,666900.0,1050000.0,806000.0,181500.0,538000.0,345100.0,455900.0,397600.0,2365000.0,2401000.0,
1280000.0,705100.0,666900.0,1050000.0,806000.0,181500.0,538000.0,345100.0,455900.0,397600.0,2377000.0,2366000.0,
1280000.0,705100.0,666900.0,1050000.0,793500.0,181500.0,538000.0,345100.0,455900.0,397600.0,2389000.0,2379000.0,
1258000.0,703800.0,666800.0,1049000.0,780900.0,181500.0,538000.0,345100.0,578500.0,396600.0,2278000.0,2412000.0,
1258000.0,703700.0,666800.0,1044000.0,780800.0,181400.0,537800.0,345000.0,578400.0,396600.0,2278000.0,2412000.0,
1258000.0,703700.0,666800.0,1044000.0,780800.0,181400.0,537800.0,345000.0,578400.0,396600.0,2278000.0,2412000.0,
1296000.0,703700.0,666800.0,1044000.0,780800.0,181400.0,537800.0,345000.0,578400.0,396600.0,2289000.0,2374000.0,
1296000.0,703700.0,666800.0,1044000.0,773300.0,181400.0,537800.0,345000.0,578400.0,396600.0,2289000.0,2382000.0,
1296000.0,703700.0,666800.0,1040000.0,773300.0,181400.0,537800.0,345000.0,578400.0,396200.0,2301000.0,2382000.0,
1295000.0,703500.0,666700.0,1031000.0,773300.0,181400.0,537700.0,344900.0,578200.0,395800.0,2312000.0,2382000.0,
1283000.0,703400.0,666700.0,1029000.0,773200.0,181400.0,537700.0,344900.0,578200.0,395700.0,2324000.0,2382000.0,
1283000.0,703100.0,666600.0,1025000.0,772800.0,181400.0,537600.0,344800.0,578200.0,395600.0,2324000.0,2382000.0,
1283000.0,703100.0,666600.0,1025000.0,772800.0,181400.0,537600.0,344800.0,578200.0,395600.0,2324000.0,2382000.0,
1272000.0,703100.0,666600.0,1025000.0,772800.0,181400.0,537600.0,344800.0,578200.0,395600.0,2324000.0,2382000.0,
1261000.0,692300.0,665900.0,1021000.0,766200.0,179700.0,537400.0,344700.0,578100.0,394200.0,2336000.0,2389000.0,
1259000.0,693100.0,666300.0,1021000.0,758700.0,185800.0,531400.0,344700.0,578100.0,394300.0,2347000.0,2397000.0,
1257000.0,695000.0,666000.0,1021000.0,758700.0,185800.0,638500.0,247600.0,568100.0,377600.0,2347000.0,2414000.0,
1257000.0,693600.0,660400.0,1021000.0,764900.0,179600.0,638500.0,288700.0,527000.0,377700.0,2347000.0,2421000.0,
1263000.0,695100.0,661600.0,1040000.0,764900.0,179600.0,638500.0,288700.0,527000.0,377700.0,2359000.0,2394000.0,
1238000.0,695800.0,662300.0,1040000.0,764900.0,179600.0,638500.0,294700.0,521000.0,377800.0,2359000.0,2416000.0,
1233000.0,693000.0,663200.0,1038000.0,770800.0,173500.0,638500.0,294700.0,520900.0,376800.0,2359000.0,2416000.0,
1233000.0,691800.0,663700.0,1034000.0,763300.0,173500.0,644500.0,298700.0,510900.0,377100.0,2359000.0,2424000.0,
1253000.0,690500.0,664400.0,1025000.0,763200.0,173500.0,644200.0,298500.0,510700.0,377200.0,2371000.0,2404000.0,
1245000.0,694000.0,667900.0,1021000.0,763200.0,173500.0,644200.0,308500.0,500600.0,377500.0,2371000.0,2404000.0,
1233000.0,694200.0,668100.0,1028000.0,763200.0,173500.0,653500.0,319800.0,480000.0,377700.0,2371000.0,2404000.0,
1227000.0,685400.0,667900.0,1028000.0,761700.0,167400.0,653500.0,378700.0,421100.0,377800.0,2371000.0,2411000.0,
1255000.0,687800.0,669000.0,1028000.0,754100.0,490100.0,330900.0,378700.0,421100.0,378000.0,2383000.0,2387000.0,
1252000.0,689200.0,670000.0,1028000.0,754100.0,490100.0,341500.0,368100.0,421100.0,378100.0,2395000.0,2387000.0,
1289000.0,688700.0,657100.0,1028000.0,754100.0,490100.0,349600.0,371300.0,464200.0,377500.0,2352000.0,2364000.0,
1289000.0,685600.0,660600.0,1028000.0,740900.0,490100.0,355600.0,371300.0,458200.0,377500.0,2364000.0,2378000.0,
1285000.0,688000.0,661500.0,1023000.0,740900.0,490100.0,355400.0,387300.0,442000.0,377600.0,2376000.0,2378000.0,
1282000.0,687400.0,662900.0,1021000.0,740800.0,490100.0,355300.0,387300.0,442000.0,377600.0,2399000.0,2378000.0,
1280000.0,687000.0,664800.0,1021000.0,740800.0,490100.0,355300.0,387300.0,442000.0,377800.0,2399000.0,2378000.0,
1279000.0,686100.0,666000.0,1006000.0,745600.0,485200.0,355300.0,401300.0,427900.0,377800.0,2399000.0,2378000.0,
1275000.0,687600.0,667400.0,988100.0,737900.0,485200.0,355300.0,401200.0,427700.0,377600.0,2399000.0,2385000.0,
1274000.0,687700.0,668300.0,988100.0,726400.0,485200.0,349200.0,401200.0,560600.0,377800.0,2279000.0,2403000.0,
1271000.0,687800.0,669400.0,988100.0,718800.0,485200.0,349200.0,401200.0,560600.0,377800.0,2290000.0,2413000.0,
1268000.0,686000.0,671000.0,1001000.0,718800.0,485200.0,349200.0,401200.0,560600.0,377900.0,2301000.0,2402000.0,
1263000.0,683600.0,673400.0,1001000.0,718800.0,485200.0,349200.0,420200.0,541600.0,378000.0,2301000.0,2402000.0,
1261000.0,685300.0,673300.0,996500.0,718700.0,485100.0,349200.0,433200.0,528500.0,378200.0,2301000.0,2402000.0,
1247000.0,685900.0,673900.0,992400.0,723500.0,480300.0,349000.0,439200.0,522400.0,378200.0,2301000.0,2410000.0,
1243000.0,685800.0,675000.0,985900.0,723400.0,480300.0,348900.0,439100.0,522200.0,378100.0,2301000.0,2410000.0,
1212000.0,687900.0,662200.0,985900.0,723400.0,486300.0,342900.0,445100.0,516200.0,378000.0,2301000.0,2452000.0,
1198000.0,676200.0,663800.0,999200.0,723400.0,486300.0,342900.0,461200.0,500100.0,378100.0,2301000.0,2452000.0,
1197000.0,677200.0,663600.0,999200.0,723400.0,486300.0,347700.0,456400.0,500100.0,378200.0,2301000.0,2452000.0,
1195000.0,678000.0,665100.0,994800.0,723200.0,486300.0,347700.0,480500.0,475900.0,378300.0,2301000.0,2452000.0,
1232000.0,677600.0,666200.0,994800.0,705700.0,486300.0,347700.0,480500.0,475900.0,378300.0,2313000.0,2431000.0,
1209000.0,677500.0,667600.0,1009000.0,705700.0,493700.0,348300.0,472500.0,475900.0,378400.0,2313000.0,2439000.0,
1240000.0,673900.0,668200.0,997300.0,705600.0,493700.0,348200.0,472500.0,475900.0,378700.0,2325000.0,2402000.0,
1264000.0,672900.0,668800.0,997300.0,698100.0,493700.0,480800.0,340000.0,475900.0,371200.0,2360000.0,2393000.0,
1245000.0,673700.0,668600.0,1008000.0,698100.0,493700.0,488800.0,331900.0,475900.0,371400.0,2360000.0,2401000.0,
1272000.0,673300.0,668800.0,1008000.0,698100.0,499700.0,482800.0,331900.0,475900.0,371600.0,2371000.0,2374000.0,
1269000.0,671200.0,673300.0,999300.0,1003000.0,194400.0,482700.0,344400.0,463200.0,371700.0,2371000.0,2374000.0,
1255000.0,668700.0,651800.0,999300.0,1003000.0,194400.0,490800.0,336300.0,463200.0,371900.0,2371000.0,2396000.0,
1252000.0,667200.0,652400.0,993500.0,1003000.0,194400.0,490800.0,336300.0,463100.0,372100.0,2383000.0,2396000.0,
1248000.0,669300.0,654000.0,993500.0,980500.0,358900.0,326300.0,336300.0,463100.0,372200.0,2395000.0,2419000.0,
1255000.0,672100.0,655000.0,993500.0,980500.0,358900.0,332300.0,330300.0,491500.0,372300.0,2379000.0,2408000.0,
1275000.0,671600.0,655300.0,989000.0,980400.0,358900.0,337100.0,325400.0,491400.0,372300.0,2391000.0,2387000.0,
