GLUT4EnEr,GLUT4EnPm,GLUT4EnRabA,GLUT4EnRabB,GLUT4EnRabC,GLUT4EnRabD,GLUT4EnRabE,GLUT4EnRabF,GLUT4EnRabG,GLUT4EnRabH,GLUT4EnRabI,GLUT4EnRabL,GlutSupEr,GlutSupPm,GlutSupRabA,GlutSupRabB,GlutSupRabC,GlutSupRabD,GlutSupRabE,GlutSupRabF,GlutSupRabG,GlutSupRabH,GlutSupRabI,GlutSupRabL,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,membraneMarkerRabL,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,mvbRabL,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,protonEnRabL,TfREnEr,TfREnPm,TfREnRabA,TfREnRabB,TfREnRabC,TfREnRabD,TfREnRabE,TfREnRabF,TfREnRabG,TfREnRabH,TfREnRabI,TfREnRabL,
0.0,0.09646,0.09268,0.2557,0.06214,0.04816,0.02323,0.00289,0.001708,0.001684,0.001204,0.3151,0.0,0.0106,0.01018,0.02809,0.006826,0.005291,0.002552,3.175E-4,1.876E-4,1.85E-4,1.322E-4,0.03462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,59.94,32.31,19.47,251.3,11.06,35.78,38.42,25.77,6.414,17.57,1.0E-4,0.0,63320.0,1033.0,533.3,435.8,2258.0,1033.0,254.4,1049.0,409.4,281.0,309.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09646,0.09275,0.2559,0.06181,0.04816,0.02323,0.002891,0.001706,0.001685,0.001204,0.3151,0.0,0.0106,0.01019,0.02811,0.00679,0.005291,0.002552,3.176E-4,1.874E-4,1.851E-4,1.322E-4,0.03462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,60.67,32.45,19.45,249.6,11.05,35.79,38.3,25.77,6.371,17.55,1.0E-4,0.0,63330.0,1033.0,533.7,435.9,2255.0,1034.0,255.7,1044.0,411.5,281.0,309.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09295,0.09626,0.2564,0.0622,0.04816,0.02323,0.003118,0.00199,0.002039,0.00165,0.313,0.0,0.01021,0.01057,0.02816,0.006833,0.005291,0.002552,3.426E-4,2.186E-4,2.24E-4,1.813E-4,0.03438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,60.58,32.4,19.45,248.0,11.02,35.78,38.2,25.73,6.35,17.53,1.0E-4,0.0,63330.0,1062.0,533.8,435.5,2251.0,1033.0,255.6,1044.0,412.5,290.1,310.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09404,0.09775,0.2552,0.0608,0.04827,0.02319,0.003117,0.001978,0.002027,0.001646,0.313,0.0,0.01033,0.01074,0.02803,0.006679,0.005303,0.002547,3.424E-4,2.173E-4,2.227E-4,1.808E-4,0.03438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,63.01,30.89,19.12,251.7,9.379,35.71,37.71,25.29,6.191,17.03,1.0E-4,0.0,63340.0,1067.0,526.7,432.7,2268.0,1025.0,255.3,1042.0,410.2,289.3,307.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09404,0.09546,0.2575,0.06047,0.04762,0.0243,0.0029,0.001951,0.001986,0.001569,0.3132,0.0,0.01033,0.01049,0.02828,0.006642,0.005231,0.002669,3.186E-4,2.143E-4,2.181E-4,1.724E-4,0.0344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,63.9,31.45,19.29,248.8,10.07,35.78,37.84,25.45,6.258,17.21,1.0E-4,0.0,63350.0,1069.0,533.0,431.3,2251.0,1026.0,256.6,1043.0,411.2,289.8,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09429,0.09546,0.2541,0.06383,0.04762,0.02405,0.002905,0.001954,0.001981,0.00157,0.3132,0.0,0.01036,0.01049,0.02791,0.007012,0.005231,0.002642,3.191E-4,2.146E-4,2.176E-4,1.724E-4,0.0344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,63.9,31.46,19.3,248.8,10.08,35.82,37.92,25.32,6.261,17.21,1.0E-4,0.0,63360.0,1070.0,519.8,440.6,2248.0,1018.0,258.7,1049.0,400.9,317.9,308.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09429,0.09539,0.2511,0.06102,0.05351,0.02405,0.002899,0.001959,0.001982,0.00157,0.3132,0.0,0.01036,0.01048,0.02758,0.006703,0.005878,0.002642,3.184E-4,2.151E-4,2.177E-4,1.725E-4,0.03441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,61.78,34.23,18.54,248.1,10.02,35.63,38.04,25.32,6.223,17.15,1.0E-4,0.0,63360.0,1061.0,534.5,437.7,2242.0,1018.0,246.3,1059.0,402.9,318.1,308.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09429,0.09524,0.2577,0.06036,0.04664,0.02598,0.002715,0.001893,0.001496,9.919E-4,0.3137,0.0,0.01036,0.01046,0.02831,0.006631,0.005124,0.002854,2.982E-4,2.079E-4,1.643E-4,1.09E-4,0.03446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,61.71,30.64,19.16,249.3,9.955,35.43,38.13,25.32,6.209,17.16,1.0E-4,0.0,63360.0,1060.0,520.6,442.7,2250.0,1017.0,235.0,1071.0,405.8,313.8,308.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09429,0.09524,0.2577,0.06036,0.04664,0.02598,0.002715,0.001891,0.001497,9.92E-4,0.3137,0.0,0.01036,0.01046,0.02831,0.006631,0.005124,0.002854,2.983E-4,2.077E-4,1.644E-4,1.09E-4,0.03445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,61.71,30.67,19.22,250.2,9.956,35.45,38.06,25.36,6.211,17.16,1.0E-4,0.0,63360.0,1060.0,520.5,442.8,2247.0,1017.0,236.1,1066.0,408.1,313.8,308.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09429,0.09523,0.2577,0.05951,0.04664,0.02644,0.002642,0.001886,0.001963,0.001101,0.3136,0.0,0.01036,0.01046,0.0283,0.006537,0.005124,0.002905,2.903E-4,2.071E-4,2.157E-4,1.209E-4,0.03445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,62.56,30.57,19.2,248.7,9.55,35.44,38.04,25.57,6.262,17.13,1.0E-4,0.0,63360.0,1060.0,520.2,442.5,2244.0,992.3,235.8,1066.0,428.3,318.8,308.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
