entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.225,0.4954,0.1079,0.06387,0.06125,0.09702,0.07608,0.01666,0.04822,0.03093,0.03384,0.0357,0.2124,0.2162,
2.225,0.495,0.1076,0.06384,0.06131,0.09674,0.07615,0.01667,0.04824,0.03095,0.03386,0.03573,0.2126,0.2163,
2.229,0.4878,0.1111,0.06363,0.06111,0.09643,0.0759,0.01662,0.04809,0.03085,0.03607,0.03562,0.2128,0.2118,
2.229,0.492,0.1106,0.06361,0.0611,0.09605,0.07587,0.01662,0.04807,0.03084,0.03606,0.0356,0.2138,0.2118,
2.228,0.4923,0.1106,0.06362,0.06111,0.09552,0.0759,0.01658,0.0481,0.03085,0.03607,0.03563,0.214,0.212,
2.232,0.4909,0.1104,0.06348,0.05988,0.09532,0.07462,0.01655,0.048,0.03079,0.04043,0.03553,0.2112,0.2138,
2.232,0.4855,0.1105,0.06344,0.0599,0.09501,0.07466,0.01656,0.04802,0.0308,0.04045,0.03555,0.2113,0.2138,
2.232,0.4662,0.1105,0.06346,0.05991,0.09468,0.07469,0.01656,0.04804,0.0308,0.04045,0.03556,0.2114,0.2139,
2.232,0.4656,0.1106,0.06349,0.05994,0.09398,0.07475,0.01658,0.04806,0.03083,0.04049,0.03558,0.2116,0.2141,
2.231,0.47,0.1101,0.06345,0.05991,0.09392,0.0747,0.01657,0.04803,0.03081,0.04046,0.03556,0.2125,0.214,
2.23,0.4712,0.1086,0.06345,0.05991,0.09392,0.0747,0.01657,0.04803,0.03081,0.04046,0.03556,0.2125,0.2154,
2.233,0.4668,0.1139,0.06338,0.05984,0.09382,0.07462,0.01655,0.04798,0.03077,0.04042,0.03552,0.2134,0.2098,
2.248,0.4596,0.1138,0.06332,0.05978,0.09372,0.07454,0.01653,0.04793,0.03074,0.0508,0.03549,0.2038,0.2096,
2.248,0.4507,0.1128,0.06334,0.05983,0.09379,0.07462,0.01655,0.04799,0.03078,0.05086,0.03553,0.2041,0.2099,
2.247,0.443,0.1124,0.06324,0.05976,0.09367,0.07456,0.01654,0.04796,0.03076,0.05082,0.03551,0.205,0.2098,
2.247,0.4291,0.1123,0.06295,0.05966,0.09338,0.07465,0.01656,0.04803,0.0308,0.05089,0.03554,0.2052,0.21,
2.246,0.4311,0.1118,0.06292,0.05964,0.09303,0.07462,0.01656,0.04801,0.03079,0.05088,0.03553,0.2062,0.21,
2.245,0.4256,0.1115,0.06279,0.05952,0.09284,0.07446,0.01652,0.04791,0.03073,0.05077,0.03545,0.2079,0.2096,
2.245,0.4344,0.1116,0.06281,0.05954,0.09251,0.07449,0.01653,0.04793,0.03073,0.05078,0.03546,0.208,0.2097,
2.243,0.4259,0.1116,0.06281,0.05954,0.09251,0.07404,0.01642,0.04779,0.03055,0.05056,0.03546,0.208,0.2108,
2.241,0.4318,0.1114,0.06283,0.05956,0.0921,0.0725,0.01643,0.04783,0.03058,0.05059,0.03544,0.2082,0.2126,
2.24,0.4263,0.1113,0.06276,0.0595,0.09201,0.07242,0.01641,0.04778,0.03055,0.05054,0.03541,0.209,0.2124,
2.24,0.4287,0.1113,0.06276,0.0595,0.09201,0.07242,0.01641,0.04778,0.03055,0.05054,0.03541,0.209,0.2124,
2.24,0.4288,0.1113,0.06276,0.0595,0.09201,0.07242,0.01641,0.04778,0.03055,0.05054,0.03541,0.209,0.2124,
2.24,0.441,0.111,0.0627,0.05946,0.09188,0.07236,0.0164,0.04775,0.03053,0.0505,0.03533,0.2099,0.2122,
2.24,0.41,0.111,0.0627,0.05946,0.09188,0.07236,0.0164,0.04775,0.03053,0.0505,0.03533,0.2099,0.2122,
2.238,0.4108,0.1109,0.06263,0.0594,0.09178,0.07111,0.01638,0.0477,0.03049,0.05045,0.0353,0.2107,0.2132,
2.237,0.4135,0.1109,0.06265,0.05942,0.09145,0.07113,0.01638,0.0477,0.0305,0.05047,0.03531,0.2108,0.2133,
2.236,0.4369,0.1104,0.06241,0.05933,0.0913,0.07102,0.01636,0.04762,0.03045,0.05038,0.03525,0.2126,0.2129,
2.253,0.389,0.1103,0.06234,0.05926,0.0912,0.07094,0.01634,0.04757,0.03042,0.06431,0.03521,0.1994,0.2127,
2.252,0.3768,0.1101,0.06221,0.05924,0.09124,0.06963,0.01635,0.04759,0.03043,0.06434,0.03522,0.1995,0.2141,
2.25,0.3781,0.1048,0.06209,0.05935,0.09624,0.06814,0.01622,0.04761,0.03044,0.06437,0.03525,0.1996,0.2159,
2.25,0.3802,0.1062,0.062,0.0594,0.09614,0.06807,0.0162,0.0481,0.02988,0.0643,0.03523,0.2004,0.2141,
2.25,0.3861,0.1059,0.06231,0.05941,0.09583,0.0673,0.01676,0.04713,0.02989,0.06433,0.03525,0.2005,0.2154,
2.249,0.3922,0.1049,0.06252,0.05953,0.09591,0.06736,0.01678,0.04896,0.02902,0.06349,0.03529,0.2007,0.2156,
2.249,0.402,0.09995,0.06236,0.05972,0.1005,0.06522,0.01603,0.04869,0.03698,0.05556,0.03531,0.2008,0.2189,
2.25,0.3997,0.1022,0.06226,0.05969,0.1004,0.06403,0.01602,0.04864,0.03784,0.05461,0.03527,0.2016,0.2174,
2.249,0.4107,0.1016,0.06277,0.05975,0.1004,0.06484,0.01574,0.04854,0.03741,0.05461,0.0353,0.2016,0.2174,
2.251,0.4081,0.104,0.06298,0.05979,0.101,0.06349,0.0168,0.04744,0.03738,0.05458,0.03531,0.2025,0.2148,
2.252,0.4114,0.1068,0.06318,0.0599,0.1009,0.06343,0.01665,0.04685,0.03877,0.0531,0.03528,0.2033,0.2119,
2.252,0.4172,0.1066,0.06328,0.06004,0.1009,0.06276,0.01665,0.04685,0.04127,0.0506,0.0353,0.2033,0.2125,
2.252,0.417,0.1066,0.06322,0.06016,0.1003,0.06335,0.01663,0.04635,0.04183,0.05011,0.03533,0.2035,0.2127,
2.253,0.4153,0.1092,0.06311,0.06016,0.1,0.06258,0.01714,0.04574,0.04176,0.05003,0.03528,0.2052,0.2098,
2.253,0.4262,0.1087,0.0635,0.06027,0.1,0.06258,0.01714,0.04574,0.04319,0.0486,0.03528,0.2052,0.2098,
2.253,0.4175,0.1064,0.0637,0.06036,0.09995,0.06264,0.01758,0.04536,0.04412,0.04775,0.03534,0.2053,0.2115,
2.253,0.4163,0.1103,0.06351,0.06047,0.09953,0.06119,0.01757,0.04533,0.04408,0.04772,0.03532,0.2063,0.2087,
2.253,0.4172,0.1097,0.06369,0.06055,0.09927,0.06124,0.01758,0.04535,0.04412,0.04776,0.03538,0.2064,0.2089,
2.251,0.4187,0.1081,0.06367,0.06073,0.09927,0.06078,0.01747,0.0452,0.04519,0.04607,0.0354,0.2064,0.2117,
2.251,0.4194,0.1068,0.06373,0.06069,0.09998,0.06083,0.01802,0.0447,0.04522,0.04611,0.03545,0.2066,0.2119,
2.25,0.4177,0.1068,0.06373,0.06068,0.09981,0.06057,0.01843,0.04409,0.04512,0.04597,0.03548,0.2067,0.2126,
2.249,0.4197,0.1066,0.06366,0.06068,0.09971,0.06104,0.01788,0.04552,0.04712,0.04239,0.03546,0.2075,0.2124,
2.249,0.4251,0.1066,0.06337,0.06097,0.09971,0.06104,0.01841,0.04552,0.04659,0.04239,0.03546,0.2075,0.2124,
2.249,0.4276,0.1052,0.06317,0.06117,0.09957,0.06118,0.01845,0.04618,0.04613,0.04248,0.03555,0.208,0.2129,
2.249,0.4269,0.1051,0.06327,0.06115,0.09957,0.06118,0.01845,0.04618,0.04738,0.04123,0.03556,0.208,0.2129,
2.248,0.438,0.1043,0.06384,0.06122,0.09947,0.06165,0.0179,0.04613,0.04954,0.03898,0.03554,0.2088,0.2127,
2.247,0.4385,0.1035,0.06427,0.06133,0.09905,0.06161,0.01788,0.0461,0.0495,0.03896,0.03553,0.2097,0.2125,
2.244,0.4369,0.1034,0.06425,0.06143,0.09905,0.06045,0.01777,0.04554,0.04933,0.03875,0.03554,0.2097,0.2148,
2.242,0.4413,0.1052,0.06409,0.06154,0.09895,0.05931,0.01732,0.04602,0.05058,0.03687,0.0355,0.2106,0.214,
2.239,0.4427,0.105,0.0642,0.06164,0.09859,0.05966,0.01629,0.04587,0.05147,0.03579,0.03554,0.2107,0.2152,
2.238,0.4422,0.1049,0.06415,0.06171,0.09813,0.05917,0.0168,0.04526,0.05298,0.03434,0.03562,0.2109,0.2161,
2.238,0.4563,0.1047,0.06414,0.06186,0.09813,0.05917,0.0168,0.04526,0.05298,0.03434,0.03563,0.2109,0.2161,
