RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
1205000.0,713600.0,684300.0,1084000.0,850000.0,186100.0,538700.0,345600.0,378000.0,398900.0,2373000.0,2415000.0,
1201000.0,712500.0,684300.0,1080000.0,849900.0,186100.0,538500.0,345500.0,378000.0,398800.0,2373000.0,2415000.0,
1244000.0,712500.0,684300.0,1080000.0,849900.0,186100.0,538500.0,345500.0,403800.0,398800.0,2383000.0,2372000.0,
1239000.0,712300.0,684300.0,1076000.0,849700.0,186100.0,538400.0,345400.0,403800.0,398700.0,2394000.0,2372000.0,
1238000.0,711900.0,683800.0,1069000.0,849300.0,185600.0,538200.0,345200.0,403600.0,398700.0,2394000.0,2372000.0,
1238000.0,711900.0,671500.0,1069000.0,836800.0,185600.0,538200.0,345200.0,453400.0,398400.0,2368000.0,2397000.0,
1238000.0,711000.0,671300.0,1065000.0,836800.0,185600.0,538200.0,345200.0,453400.0,398400.0,2368000.0,2397000.0,
1238000.0,710900.0,671200.0,1061000.0,836700.0,185600.0,538200.0,345100.0,453200.0,398300.0,2368000.0,2397000.0,
1238000.0,710600.0,670900.0,1052000.0,836700.0,185500.0,537900.0,345000.0,453200.0,398300.0,2368000.0,2397000.0,
1233000.0,710600.0,670900.0,1052000.0,836700.0,185500.0,537900.0,345000.0,453200.0,398300.0,2380000.0,2397000.0,
1217000.0,710600.0,670900.0,1052000.0,836700.0,185500.0,537900.0,345000.0,453200.0,398300.0,2380000.0,2413000.0,
1277000.0,710600.0,670900.0,1052000.0,836700.0,185500.0,537900.0,345000.0,453200.0,398300.0,2392000.0,2353000.0,
1277000.0,710600.0,670900.0,1052000.0,836700.0,185500.0,537900.0,345000.0,570100.0,398300.0,2287000.0,2353000.0,
1264000.0,710000.0,670600.0,1051000.0,836400.0,185500.0,537900.0,345000.0,570100.0,398200.0,2287000.0,2353000.0,
1261000.0,709300.0,670200.0,1050000.0,836200.0,185500.0,537900.0,345000.0,570000.0,398200.0,2299000.0,2353000.0,
1257000.0,705100.0,668200.0,1046000.0,836100.0,185500.0,537900.0,345000.0,569900.0,398000.0,2299000.0,2353000.0,
1252000.0,704800.0,668100.0,1042000.0,835800.0,185500.0,537800.0,344900.0,569900.0,397900.0,2310000.0,2353000.0,
1252000.0,704800.0,668100.0,1042000.0,835800.0,185500.0,537800.0,344900.0,569900.0,397900.0,2333000.0,2353000.0,
1252000.0,704700.0,668000.0,1038000.0,835800.0,185500.0,537800.0,344800.0,569700.0,397900.0,2333000.0,2353000.0,
1252000.0,704700.0,668000.0,1038000.0,830600.0,184200.0,536200.0,342800.0,567200.0,397900.0,2333000.0,2365000.0,
1249000.0,704300.0,667700.0,1032000.0,812700.0,184100.0,536200.0,342800.0,567100.0,397300.0,2333000.0,2383000.0,
1249000.0,704300.0,667700.0,1032000.0,812700.0,184100.0,536200.0,342800.0,567100.0,397300.0,2345000.0,2383000.0,
1249000.0,704300.0,667700.0,1032000.0,812700.0,184100.0,536200.0,342800.0,567100.0,397300.0,2345000.0,2383000.0,
1249000.0,704300.0,667700.0,1032000.0,812700.0,184100.0,536200.0,342800.0,567100.0,397300.0,2345000.0,2383000.0,
1246000.0,704000.0,667600.0,1032000.0,812400.0,184100.0,536100.0,342700.0,567000.0,396700.0,2357000.0,2383000.0,
1246000.0,704000.0,667600.0,1032000.0,812400.0,184100.0,536100.0,342700.0,567000.0,396700.0,2357000.0,2383000.0,
1246000.0,704000.0,667600.0,1032000.0,799200.0,184100.0,536100.0,342700.0,567000.0,396700.0,2368000.0,2396000.0,
1246000.0,703900.0,667600.0,1027000.0,799200.0,184100.0,535900.0,342700.0,567000.0,396700.0,2368000.0,2396000.0,
1242000.0,702300.0,667600.0,1027000.0,799200.0,184100.0,535900.0,342700.0,567000.0,396700.0,2392000.0,2396000.0,
1242000.0,702300.0,667600.0,1027000.0,799200.0,184100.0,535900.0,342700.0,724500.0,396700.0,2247000.0,2396000.0,
1240000.0,700500.0,667100.0,1027000.0,784100.0,184100.0,535900.0,342700.0,724500.0,396600.0,2247000.0,2411000.0,
1180000.0,698800.0,668000.0,1083000.0,767000.0,182500.0,535900.0,342700.0,724500.0,396700.0,2247000.0,2430000.0,
1196000.0,698600.0,669200.0,1083000.0,767000.0,182500.0,541900.0,336600.0,724500.0,396900.0,2258000.0,2412000.0,
1193000.0,701700.0,669100.0,1079000.0,757900.0,188800.0,530800.0,336600.0,724400.0,397000.0,2258000.0,2426000.0,
1180000.0,703500.0,669800.0,1079000.0,757900.0,188800.0,550900.0,326500.0,714400.0,397000.0,2258000.0,2426000.0,
1124000.0,701300.0,671600.0,1131000.0,733400.0,180300.0,547600.0,415900.0,624900.0,397100.0,2258000.0,2461000.0,
1151000.0,700900.0,672000.0,1131000.0,720900.0,180300.0,547600.0,425900.0,614800.0,397100.0,2269000.0,2447000.0,
1144000.0,706600.0,672600.0,1131000.0,730000.0,177200.0,546400.0,421100.0,614800.0,397300.0,2269000.0,2447000.0,
1172000.0,709400.0,673500.0,1138000.0,715200.0,189300.0,534300.0,421100.0,614800.0,397800.0,2281000.0,2419000.0,
1205000.0,712400.0,675400.0,1138000.0,715200.0,187800.0,528300.0,437100.0,598700.0,397800.0,2292000.0,2389000.0,
1202000.0,713500.0,677000.0,1138000.0,707600.0,187800.0,528300.0,465300.0,570600.0,398000.0,2292000.0,2396000.0,
1201000.0,712200.0,677800.0,1130000.0,713700.0,187400.0,522200.0,471200.0,564500.0,398000.0,2292000.0,2396000.0,
1233000.0,712000.0,678800.0,1129000.0,706100.0,193400.0,516100.0,471200.0,564500.0,398100.0,2315000.0,2367000.0,
1227000.0,716500.0,680000.0,1129000.0,706100.0,193400.0,516100.0,487300.0,548400.0,398100.0,2315000.0,2367000.0,
1199000.0,718200.0,680400.0,1127000.0,706100.0,198200.0,511300.0,497300.0,538300.0,398400.0,2315000.0,2384000.0,
1244000.0,716400.0,682100.0,1123000.0,690200.0,198200.0,511300.0,497300.0,538300.0,398400.0,2327000.0,2354000.0,
1237000.0,717800.0,682400.0,1119000.0,690200.0,198100.0,511000.0,497200.0,538300.0,398700.0,2327000.0,2354000.0,
1218000.0,717600.0,684400.0,1119000.0,685000.0,196900.0,509400.0,509200.0,519200.0,398900.0,2327000.0,2386000.0,
1202000.0,717600.0,683300.0,1126000.0,685000.0,202800.0,503400.0,509200.0,519200.0,399100.0,2327000.0,2386000.0,
1202000.0,717200.0,683000.0,1123000.0,681700.0,207400.0,496200.0,507800.0,517400.0,399300.0,2327000.0,2393000.0,
1201000.0,717200.0,683600.0,1123000.0,687800.0,201400.0,512900.0,530900.0,477600.0,399500.0,2338000.0,2393000.0,
1201000.0,714000.0,686900.0,1123000.0,687800.0,207400.0,512900.0,524900.0,477600.0,399500.0,2338000.0,2393000.0,
1183000.0,710100.0,687600.0,1119000.0,687700.0,207400.0,519100.0,518600.0,477500.0,399600.0,2338000.0,2393000.0,
