GLUT4EnEr,GLUT4EnPm,GLUT4EnRabA,GLUT4EnRabB,GLUT4EnRabC,GLUT4EnRabD,GLUT4EnRabE,GLUT4EnRabF,GLUT4EnRabG,GLUT4EnRabH,GLUT4EnRabI,GLUT4EnRabL,GlutSupEr,GlutSupPm,GlutSupRabA,GlutSupRabB,GlutSupRabC,GlutSupRabD,GlutSupRabE,GlutSupRabF,GlutSupRabG,GlutSupRabH,GlutSupRabI,GlutSupRabL,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,membraneMarkerRabL,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,mvbRabL,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,protonEnRabL,TfREnEr,TfREnPm,TfREnRabA,TfREnRabB,TfREnRabC,TfREnRabD,TfREnRabE,TfREnRabF,TfREnRabG,TfREnRabH,TfREnRabI,TfREnRabL,
0.0,0.0,0.1042,0.2551,0.04683,0.01844,0.02879,5.732E-4,3.363E-4,0.00227,0.007006,0.4375,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,32.61,18.6,9.257,232.5,12.47,5.837,2.475,3.234,3.902,4.074,1.0E-4,0.0,36560.0,1048.0,432.7,307.5,2132.0,520.5,780.9,326.5,438.2,309.1,295.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.09912,0.2572,0.0496,0.01843,0.03003,5.962E-4,3.577E-4,0.00101,0.007019,0.4376,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,32.79,18.64,9.366,231.9,12.53,5.96,2.517,3.251,3.945,4.098,1.0E-4,0.0,36570.0,1049.0,432.5,309.0,2125.0,530.5,782.5,328.4,428.9,306.1,296.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,5.95E-4,0.09912,0.258,0.04822,0.01843,0.03244,6.05E-4,3.655E-4,0.001019,0.007021,0.4352,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,33.79,18.64,9.366,231.9,12.53,5.96,2.517,3.251,3.945,4.098,1.0E-4,0.0,36570.0,1049.0,432.4,308.5,2119.0,528.3,783.3,329.2,432.2,303.6,295.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,5.95E-4,0.09912,0.2603,0.04834,0.01843,0.03244,6.05E-4,3.655E-4,0.001019,0.007021,0.4327,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,33.75,18.63,9.344,231.0,12.51,5.935,2.509,3.247,3.936,4.093,1.0E-4,0.0,36570.0,1049.0,432.6,308.3,2115.0,528.2,783.3,329.2,432.1,303.5,295.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.001901,0.09837,0.2574,0.0484,0.01847,0.03114,6.05E-4,3.655E-4,0.001019,0.007021,0.4363,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,33.81,18.48,9.369,232.1,12.53,5.96,2.517,3.251,3.945,4.098,1.0E-4,0.0,36580.0,1050.0,430.9,308.2,2111.0,520.4,783.2,329.1,432.1,303.5,295.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.001917,0.09932,0.2593,0.04737,0.01759,0.03134,6.05E-4,3.655E-4,0.001019,0.007021,0.4351,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,36.22,18.67,9.511,231.2,12.49,5.956,2.513,3.238,3.906,4.295,1.0E-4,0.0,36590.0,1043.0,430.8,309.8,2107.0,519.6,783.2,329.1,432.1,303.4,297.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.001917,0.09884,0.2596,0.04731,0.01775,0.03138,6.043E-4,3.662E-4,0.001022,0.007019,0.4351,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,36.15,18.59,9.43,230.5,12.45,5.931,2.563,3.283,3.786,4.28,1.0E-4,0.0,36600.0,1043.0,430.1,309.1,2103.0,519.6,780.0,336.9,439.9,292.3,297.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.002842,0.09891,0.2611,0.05317,0.01762,0.03046,6.043E-4,3.662E-4,0.001022,0.007019,0.4279,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,36.31,18.72,9.47,233.2,12.46,5.933,2.565,3.289,3.805,4.286,1.0E-4,0.0,36600.0,1044.0,431.1,309.7,2095.0,514.3,779.9,336.8,439.8,292.2,295.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.006351,0.1028,0.2465,0.04082,0.01824,0.02903,6.043E-4,3.662E-4,0.001018,0.007023,0.4482,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,38.46,18.65,9.504,230.8,12.49,5.928,2.561,3.276,3.767,2.579,1.0E-4,0.0,36640.0,1069.0,434.9,308.0,2074.0,505.1,779.8,336.8,439.4,292.6,282.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.006351,0.09984,0.2447,0.0455,0.01824,0.02903,6.042E-4,3.663E-4,0.001018,0.007023,0.4483,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,38.46,18.65,9.504,230.8,12.49,5.928,2.561,3.276,3.767,2.579,1.0E-4,0.0,36640.0,1068.0,434.1,308.9,2070.0,504.8,779.7,336.8,439.4,292.6,282.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
