entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.248,0.3514,0.1322,0.05815,0.05649,0.09257,0.05181,0.04169,0.02744,0.03562,0.03984,0.04897,0.2049,0.2103,
2.248,0.3455,0.1322,0.05815,0.05649,0.09257,0.05181,0.04169,0.02744,0.03562,0.03984,0.04897,0.2049,0.2103,
2.246,0.3369,0.1316,0.05806,0.0564,0.09242,0.05173,0.04162,0.0274,0.03557,0.03978,0.0489,0.2066,0.2099,
2.246,0.3409,0.1316,0.05806,0.0564,0.09242,0.05173,0.04162,0.0274,0.03557,0.03978,0.0489,0.2066,0.2099,
2.244,0.3378,0.1316,0.05808,0.05642,0.09208,0.04997,0.04163,0.0274,0.03558,0.03979,0.04892,0.2067,0.2118,
2.243,0.3422,0.1297,0.05801,0.05643,0.09176,0.05006,0.0417,0.02745,0.03564,0.03986,0.04894,0.2071,0.2133,
2.243,0.3401,0.1298,0.05803,0.05646,0.09136,0.05008,0.04172,0.02747,0.03566,0.03988,0.04896,0.2072,0.2134,
2.241,0.3452,0.1299,0.05808,0.05652,0.09026,0.04903,0.04178,0.0275,0.0357,0.03992,0.04902,0.2075,0.2148,
2.239,0.3423,0.1299,0.05808,0.05652,0.09026,0.04747,0.04178,0.0275,0.0357,0.03992,0.04902,0.2075,0.2163,
2.239,0.3426,0.1299,0.05808,0.05652,0.09026,0.04747,0.04178,0.0275,0.0357,0.03992,0.04902,0.2075,0.2163,
2.239,0.3421,0.1299,0.05808,0.05652,0.09026,0.04747,0.04178,0.0275,0.0357,0.03992,0.04902,0.2075,0.2163,
2.236,0.3465,0.1284,0.05806,0.05642,0.08996,0.04594,0.04182,0.02753,0.03575,0.03997,0.04909,0.2078,0.2193,
2.234,0.3518,0.1274,0.05808,0.05641,0.08996,0.04484,0.04184,0.02755,0.03577,0.03999,0.04911,0.2078,0.2212,
2.231,0.3574,0.1268,0.05804,0.05637,0.0897,0.0435,0.04181,0.02753,0.03574,0.03996,0.04906,0.2088,0.2227,
2.23,0.3489,0.1267,0.05801,0.05637,0.08937,0.04353,0.04184,0.02755,0.03577,0.04,0.049,0.2089,0.2229,
2.227,0.3504,0.1243,0.05801,0.05641,0.08901,0.04198,0.04188,0.02758,0.0358,0.04003,0.04904,0.2091,0.2268,
2.226,0.3684,0.125,0.05795,0.05633,0.0886,0.04197,0.04187,0.02757,0.0358,0.04002,0.04903,0.2101,0.2257,
2.226,0.3521,0.125,0.05795,0.05633,0.0886,0.04197,0.04187,0.02757,0.0358,0.04002,0.04903,0.2101,0.2257,
2.225,0.3559,0.125,0.05795,0.05633,0.0886,0.0413,0.04187,0.02757,0.0358,0.04002,0.04903,0.2101,0.2264,
2.225,0.3571,0.1245,0.05803,0.0564,0.08737,0.04135,0.04192,0.02761,0.03584,0.04007,0.0491,0.2104,0.2273,
2.225,0.354,0.127,0.05797,0.05634,0.08728,0.04131,0.04188,0.02758,0.03581,0.04003,0.04905,0.2113,0.2245,
