RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
1496000.0,657800.0,639000.0,1047000.0,586100.0,471600.0,310400.0,403000.0,450700.0,554000.0,2318000.0,2379000.0,
1496000.0,657800.0,639000.0,1047000.0,586100.0,471600.0,310400.0,403000.0,450700.0,554000.0,2318000.0,2379000.0,
1491000.0,657800.0,639000.0,1047000.0,586100.0,471600.0,310400.0,403000.0,450700.0,554000.0,2341000.0,2379000.0,
1491000.0,657800.0,639000.0,1047000.0,586100.0,471600.0,310400.0,403000.0,450700.0,554000.0,2341000.0,2379000.0,
1490000.0,657800.0,638900.0,1043000.0,565900.0,471500.0,310400.0,403000.0,450600.0,554000.0,2341000.0,2399000.0,
1467000.0,655800.0,638000.0,1037000.0,565900.0,471500.0,310400.0,403000.0,450600.0,553300.0,2341000.0,2411000.0,
1467000.0,655800.0,638000.0,1032000.0,565900.0,471500.0,310400.0,403000.0,450600.0,553300.0,2341000.0,2411000.0,
1466000.0,655400.0,637800.0,1019000.0,553300.0,471500.0,310300.0,402900.0,450500.0,553200.0,2341000.0,2424000.0,
1466000.0,655400.0,637800.0,1019000.0,535700.0,471500.0,310300.0,402900.0,450500.0,553200.0,2341000.0,2441000.0,
1466000.0,655400.0,637800.0,1019000.0,535700.0,471500.0,310300.0,402900.0,450500.0,553200.0,2341000.0,2441000.0,
1466000.0,655400.0,637800.0,1019000.0,535700.0,471500.0,310300.0,402900.0,450500.0,553200.0,2341000.0,2441000.0,
1447000.0,654300.0,635800.0,1014000.0,517700.0,471300.0,310300.0,402900.0,450500.0,553200.0,2341000.0,2472000.0,
1435000.0,654200.0,635500.0,1013000.0,505200.0,471300.0,310300.0,402900.0,450500.0,553200.0,2341000.0,2492000.0,
1429000.0,654200.0,635400.0,1011000.0,490300.0,471300.0,310300.0,402900.0,450400.0,553000.0,2353000.0,2510000.0,
1427000.0,653300.0,634800.0,1006000.0,490300.0,471200.0,310300.0,402800.0,450400.0,551800.0,2353000.0,2510000.0,
1399000.0,652600.0,634700.0,1001000.0,472400.0,471200.0,310300.0,402800.0,450400.0,551800.0,2353000.0,2552000.0,
1407000.0,652200.0,633800.0,997000.0,472300.0,471100.0,310200.0,402800.0,450300.0,551800.0,2365000.0,2540000.0,
1407000.0,652200.0,633800.0,997000.0,472300.0,471100.0,310200.0,402800.0,450300.0,551800.0,2365000.0,2540000.0,
1407000.0,652200.0,633800.0,997000.0,464700.0,471100.0,310200.0,402800.0,450300.0,551800.0,2365000.0,2547000.0,
1400000.0,652200.0,633800.0,981900.0,464700.0,471100.0,310200.0,402800.0,450300.0,551800.0,2365000.0,2555000.0,
1428000.0,652200.0,633800.0,981900.0,464700.0,471100.0,310200.0,402800.0,450300.0,551800.0,2377000.0,2526000.0,
1423000.0,652200.0,633800.0,981900.0,464700.0,471100.0,310200.0,402800.0,450300.0,551800.0,2377000.0,2526000.0,
1423000.0,652100.0,633500.0,973000.0,441900.0,471000.0,310200.0,402800.0,450200.0,551700.0,2377000.0,2549000.0,
