GLUT4EnEr,GLUT4EnPm,GLUT4EnRabA,GLUT4EnRabB,GLUT4EnRabC,GLUT4EnRabD,GLUT4EnRabE,GLUT4EnRabF,GLUT4EnRabG,GLUT4EnRabH,GLUT4EnRabI,GLUT4EnRabL,GlutSupEr,GlutSupPm,GlutSupRabA,GlutSupRabB,GlutSupRabC,GlutSupRabD,GlutSupRabE,GlutSupRabF,GlutSupRabG,GlutSupRabH,GlutSupRabI,GlutSupRabL,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,membraneMarkerRabL,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,mvbRabL,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,protonEnRabL,TfREnEr,TfREnPm,TfREnRabA,TfREnRabB,TfREnRabC,TfREnRabD,TfREnRabE,TfREnRabF,TfREnRabG,TfREnRabH,TfREnRabI,TfREnRabL,
0.0,0.0,0.1042,0.2551,0.04683,0.01844,0.02879,5.732E-4,3.363E-4,0.00227,0.007006,0.4375,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,32.61,18.6,9.257,232.5,12.47,5.837,2.475,3.234,3.902,4.074,1.0E-4,0.0,36560.0,1048.0,432.7,307.5,2132.0,520.5,780.9,326.5,438.2,309.1,295.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,3.816E-4,0.09873,0.2581,0.04913,0.01846,0.02954,6.059E-4,3.638E-4,0.001032,0.007014,0.4376,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,32.77,18.62,9.366,231.9,12.53,5.96,2.517,3.251,3.945,4.098,1.0E-4,0.0,36580.0,1050.0,433.7,308.4,2123.0,524.4,782.8,327.7,428.6,309.6,297.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,3.816E-4,0.09873,0.2581,0.04913,0.01846,0.02954,6.065E-4,3.639E-4,0.001023,0.007022,0.4376,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,32.73,18.59,9.263,229.3,12.47,5.931,2.505,3.234,3.898,4.082,1.0E-4,0.0,36580.0,1050.0,433.7,308.3,2120.0,524.3,783.4,327.8,429.3,308.1,297.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.001201,0.09873,0.2581,0.0483,0.01846,0.02954,6.065E-4,3.639E-4,0.001023,0.007022,0.4376,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,32.69,18.59,9.24,228.4,12.46,5.906,2.496,3.231,3.889,4.077,1.0E-4,0.0,36580.0,1050.0,433.6,307.6,2117.0,524.2,783.4,327.8,432.4,304.9,297.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.001201,0.1098,0.2483,0.04709,0.01846,0.02954,6.065E-4,3.639E-4,0.001023,0.007022,0.4376,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,32.55,18.79,9.266,228.4,12.45,5.881,2.488,3.227,3.88,4.072,1.0E-4,0.0,36590.0,1047.0,436.4,307.4,2114.0,524.1,783.4,327.8,432.3,304.8,297.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.001201,0.08944,0.2695,0.04753,0.01846,0.02954,6.065E-4,3.639E-4,0.001023,0.007022,0.4363,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,33.87,18.15,9.407,225.8,12.4,5.852,2.475,3.21,3.833,4.056,1.0E-4,0.0,36590.0,1054.0,428.9,309.0,2111.0,523.9,783.3,327.8,432.3,304.8,296.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.001201,0.08944,0.2646,0.05224,0.01846,0.02954,6.065E-4,3.639E-4,0.001023,0.007022,0.4365,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,34.87,17.8,9.74,225.8,12.4,5.852,2.475,3.21,3.833,4.066,1.0E-4,0.0,36590.0,1056.0,425.7,310.0,2109.0,523.8,783.3,327.8,432.3,304.7,296.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.00124,0.08986,0.2685,0.05097,0.01846,0.02954,6.065E-4,3.639E-4,0.001023,0.007022,0.4334,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,34.38,17.73,9.954,224.0,12.36,5.848,2.471,3.197,3.795,4.285,1.0E-4,0.0,36610.0,1039.0,430.9,305.5,2105.0,523.7,783.3,327.8,432.3,304.7,301.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.001203,0.08867,0.2645,0.05083,0.01846,0.02954,6.065E-4,3.639E-4,0.001023,0.007022,0.4387,0.0,0.09596,0.003018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9684,34.4,17.74,9.98,224.0,12.37,5.825,2.464,3.2,3.805,4.211,1.0E-4,0.0,36610.0,1067.0,432.0,305.6,2101.0,523.4,783.2,327.8,432.3,304.6,298.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.001203,0.08861,0.2646,0.05083,0.01846,0.02954,6.065E-4,3.639E-4,0.001023,0.007022,0.4387,0.0,0.09596,0.003018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9684,36.44,17.75,10.0,224.9,12.38,5.85,2.473,3.203,3.814,4.216,1.0E-4,0.0,36610.0,1067.0,432.0,305.5,2098.0,523.3,783.2,327.7,432.3,304.6,298.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
