entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.248,0.3514,0.1322,0.05815,0.05649,0.09257,0.05181,0.04169,0.02744,0.03562,0.03984,0.04897,0.2049,0.2103,
2.247,0.3415,0.1322,0.05815,0.05649,0.09257,0.05115,0.04169,0.02744,0.03562,0.03984,0.04897,0.2049,0.2109,
2.247,0.3443,0.1322,0.05815,0.05649,0.09257,0.05115,0.04169,0.02744,0.03562,0.03984,0.04897,0.2049,0.2109,
2.246,0.3372,0.1321,0.05811,0.05645,0.09213,0.05111,0.04165,0.02742,0.0356,0.03981,0.04894,0.2058,0.2108,
2.245,0.3471,0.132,0.05805,0.05642,0.0917,0.05108,0.04163,0.0274,0.03558,0.03979,0.04892,0.2067,0.2107,
2.245,0.3273,0.1321,0.05763,0.05644,0.09174,0.05111,0.04165,0.02742,0.0356,0.03981,0.04894,0.2068,0.2108,
2.244,0.3318,0.1314,0.05754,0.05635,0.09159,0.05102,0.04158,0.02737,0.03554,0.03974,0.04886,0.2086,0.2104,
2.241,0.3347,0.1305,0.05739,0.05479,0.09159,0.05102,0.04158,0.02737,0.03554,0.03974,0.04886,0.2086,0.2131,
2.242,0.3305,0.1336,0.05735,0.05474,0.09114,0.05098,0.04156,0.02735,0.03551,0.03971,0.04883,0.2095,0.2098,
2.241,0.3309,0.1327,0.05736,0.05475,0.09078,0.05099,0.04156,0.02736,0.03552,0.03972,0.04884,0.2106,0.2098,
2.241,0.3309,0.1327,0.05736,0.05475,0.09078,0.05099,0.04156,0.02736,0.03552,0.03972,0.04884,0.2106,0.2098,
2.24,0.3287,0.1317,0.05738,0.05476,0.09041,0.05101,0.04157,0.02737,0.03554,0.03973,0.04886,0.2107,0.211,
2.262,0.3208,0.1312,0.05734,0.05472,0.09,0.051,0.04155,0.02736,0.03553,0.05471,0.04885,0.1967,0.211,
2.261,0.3225,0.131,0.05738,0.05476,0.08947,0.05086,0.0416,0.0274,0.03557,0.05478,0.0489,0.197,0.2113,
2.261,0.33,0.1303,0.05722,0.05475,0.08946,0.05086,0.0416,0.02739,0.03557,0.05478,0.04889,0.1979,0.2113,
2.261,0.3292,0.1303,0.05722,0.05475,0.08946,0.05086,0.0416,0.02739,0.03557,0.05478,0.04889,0.1979,0.2113,
2.26,0.3256,0.1284,0.05701,0.05477,0.08911,0.05089,0.04163,0.02742,0.03559,0.05476,0.04888,0.1981,0.2135,
2.259,0.3254,0.1284,0.05703,0.05479,0.08875,0.05091,0.04164,0.02743,0.0356,0.05478,0.0489,0.1982,0.2135,
2.259,0.3251,0.1285,0.05705,0.0548,0.08846,0.05085,0.04165,0.02744,0.03561,0.0548,0.04891,0.1983,0.2136,
2.26,0.3241,0.1301,0.05699,0.05475,0.08837,0.0508,0.04161,0.02741,0.03558,0.05475,0.04886,0.1991,0.2117,
2.26,0.3256,0.1298,0.05701,0.05477,0.08841,0.05082,0.04163,0.02742,0.03559,0.05477,0.04888,0.1992,0.2118,
2.26,0.3265,0.1298,0.05701,0.05477,0.08841,0.05082,0.04163,0.02742,0.03559,0.05477,0.04888,0.1992,0.2118,
2.259,0.3266,0.1296,0.05695,0.05471,0.08832,0.05077,0.04159,0.02739,0.03556,0.05472,0.04883,0.2,0.2116,
2.258,0.3275,0.1296,0.05691,0.05467,0.08787,0.05074,0.04156,0.02738,0.03554,0.05469,0.0488,0.2009,0.2114,
2.258,0.3286,0.1296,0.05691,0.05467,0.08787,0.05074,0.04156,0.02738,0.03554,0.05469,0.0488,0.2009,0.2114,
2.258,0.3275,0.13,0.05672,0.05462,0.08743,0.0507,0.04153,0.02736,0.03551,0.05465,0.04877,0.2017,0.2109,
2.258,0.3276,0.13,0.05672,0.05462,0.08743,0.0507,0.04153,0.02736,0.03551,0.05465,0.04877,0.2017,0.2109,
2.257,0.3127,0.13,0.05668,0.05459,0.08698,0.05065,0.04151,0.02734,0.03549,0.05461,0.04874,0.2026,0.2108,
2.257,0.3087,0.13,0.05668,0.05459,0.08698,0.05065,0.04151,0.02734,0.03549,0.05461,0.04874,0.2026,0.2108,
2.257,0.308,0.13,0.0567,0.05461,0.08661,0.05067,0.04152,0.02735,0.0355,0.05463,0.04876,0.2027,0.2109,
2.257,0.3108,0.1298,0.05674,0.05464,0.08624,0.05072,0.04155,0.02738,0.03553,0.05467,0.04879,0.2029,0.2111,
