RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
1496000.0,657800.0,639000.0,1047000.0,586100.0,471600.0,310400.0,403000.0,450700.0,554000.0,2318000.0,2379000.0,
1496000.0,657800.0,639000.0,1047000.0,578600.0,471600.0,310400.0,403000.0,450700.0,554000.0,2318000.0,2386000.0,
1496000.0,657800.0,639000.0,1047000.0,578600.0,471600.0,310400.0,403000.0,450700.0,554000.0,2318000.0,2386000.0,
1495000.0,657800.0,638900.0,1043000.0,578500.0,471500.0,310400.0,403000.0,450600.0,554000.0,2330000.0,2386000.0,
1495000.0,657400.0,638900.0,1038000.0,578500.0,471500.0,310400.0,403000.0,450600.0,554000.0,2341000.0,2386000.0,
1495000.0,652400.0,638900.0,1038000.0,578500.0,471500.0,310400.0,403000.0,450600.0,554000.0,2341000.0,2386000.0,
1490000.0,652400.0,638900.0,1038000.0,578500.0,471500.0,310400.0,403000.0,450600.0,554000.0,2365000.0,2386000.0,
1479000.0,650700.0,621300.0,1038000.0,578500.0,471500.0,310400.0,403000.0,450600.0,554000.0,2365000.0,2416000.0,
1515000.0,650600.0,621100.0,1034000.0,578400.0,471500.0,310300.0,402900.0,450500.0,553900.0,2377000.0,2380000.0,
1505000.0,650600.0,621000.0,1030000.0,578400.0,471300.0,310300.0,402900.0,450500.0,553900.0,2388000.0,2380000.0,
1505000.0,650600.0,621000.0,1030000.0,578400.0,471300.0,310300.0,402900.0,450500.0,553900.0,2388000.0,2380000.0,
1493000.0,650600.0,620900.0,1025000.0,578300.0,471200.0,310300.0,402900.0,450400.0,553900.0,2388000.0,2393000.0,
1488000.0,650100.0,620500.0,1020000.0,578300.0,471100.0,310200.0,402900.0,620400.0,553900.0,2230000.0,2393000.0,
1484000.0,649700.0,620100.0,1013000.0,576000.0,471100.0,310200.0,402800.0,620400.0,553700.0,2230000.0,2393000.0,
1475000.0,648000.0,620100.0,1013000.0,576000.0,471100.0,310200.0,402800.0,620400.0,553700.0,2242000.0,2393000.0,
