GLUT4EnEr,GLUT4EnPm,GLUT4EnRabA,GLUT4EnRabB,GLUT4EnRabC,GLUT4EnRabD,GLUT4EnRabE,GLUT4EnRabF,GLUT4EnRabG,GLUT4EnRabH,GLUT4EnRabI,GLUT4EnRabL,GlutSupEr,GlutSupPm,GlutSupRabA,GlutSupRabB,GlutSupRabC,GlutSupRabD,GlutSupRabE,GlutSupRabF,GlutSupRabG,GlutSupRabH,GlutSupRabI,GlutSupRabL,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,membraneMarkerRabL,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,mvbRabL,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,protonEnRabL,TfREnEr,TfREnPm,TfREnRabA,TfREnRabB,TfREnRabC,TfREnRabD,TfREnRabE,TfREnRabF,TfREnRabG,TfREnRabH,TfREnRabI,TfREnRabL,
0.0,0.0,0.1042,0.2551,0.04683,0.01844,0.02879,5.732E-4,3.363E-4,0.00227,0.007006,0.4375,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,32.61,18.6,9.257,232.5,12.47,5.837,2.475,3.234,3.902,4.074,1.0E-4,0.0,36560.0,1048.0,432.7,307.5,2132.0,520.5,780.9,326.5,438.2,309.1,295.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0901,0.2495,0.06182,0.01786,0.02978,5.928E-4,3.52E-4,9.994E-4,0.007019,0.443,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,27.18,19.16,15.38,229.3,12.48,5.931,2.505,3.234,3.898,3.97,1.0E-4,0.0,36570.0,1001.0,436.1,355.6,2121.0,527.1,783.3,327.7,431.1,306.2,295.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.002036,0.08534,0.2476,0.05805,0.0175,0.02927,5.928E-4,3.52E-4,9.994E-4,0.007019,0.4522,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,28.49,19.53,16.26,230.3,12.53,5.956,2.513,3.238,3.906,2.329,1.0E-4,0.0,36590.0,1003.0,437.7,361.4,2117.0,524.9,783.3,327.7,433.6,303.5,281.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.003754,0.08506,0.2477,0.05647,0.0175,0.02927,5.928E-4,3.52E-4,9.994E-4,0.007019,0.4523,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,28.31,19.55,16.3,229.4,12.52,5.931,2.505,3.234,3.898,2.375,1.0E-4,0.0,36600.0,1000.0,438.2,362.0,2115.0,524.8,783.2,327.7,433.6,303.4,282.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.003754,0.08399,0.2489,0.05625,0.0175,0.02927,5.928E-4,3.52E-4,9.995E-4,0.007018,0.4523,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,29.28,19.54,16.27,228.5,12.51,5.906,2.496,3.231,3.889,2.37,1.0E-4,0.0,36610.0,1001.0,437.8,361.9,2111.0,524.7,783.1,327.7,433.2,303.8,282.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.003754,0.08177,0.2456,0.06183,0.0175,0.02927,5.928E-4,3.52E-4,9.995E-4,0.007018,0.4523,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,28.97,19.51,16.61,227.6,12.49,5.881,2.488,3.227,3.88,2.365,1.0E-4,0.0,36610.0,993.6,437.2,370.3,2106.0,524.4,783.0,327.7,433.2,303.8,282.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.004461,0.07462,0.2563,0.05826,0.0175,0.02866,5.755E-4,3.368E-4,9.812E-4,0.007014,0.4522,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,29.59,17.99,18.38,225.8,12.46,5.877,2.483,3.214,3.842,2.379,1.0E-4,0.0,36620.0,989.5,426.7,378.2,2102.0,517.9,782.8,327.5,433.0,303.7,282.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.004476,0.0728,0.2563,0.06013,0.01766,0.02851,5.693E-4,3.313E-4,9.747E-4,0.007013,0.4522,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,30.51,18.06,17.31,226.9,12.46,5.877,2.483,3.214,3.842,2.386,1.0E-4,0.0,36640.0,995.1,427.3,376.1,2097.0,511.5,782.9,327.7,433.1,303.6,282.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.005181,0.07636,0.2528,0.06114,0.01756,0.02781,5.693E-4,3.313E-4,9.747E-4,0.007013,0.4512,0.0,0.09897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686,31.44,18.16,17.3,225.0,12.42,5.85,2.473,3.203,3.814,2.379,1.0E-4,0.0,36660.0,986.4,432.0,377.5,2092.0,504.3,782.8,327.7,433.0,303.6,281.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.004985,0.06972,0.2597,0.06113,0.01755,0.02781,5.693E-4,3.313E-4,9.747E-4,0.007013,0.4512,0.0,0.09523,0.003747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9684,31.56,18.2,17.32,227.7,12.44,5.875,2.481,3.207,3.823,2.382,1.0E-4,0.0,36650.0,1024.0,427.9,377.3,2087.0,504.1,782.8,327.7,433.0,303.5,281.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
