entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.248,0.3514,0.1322,0.05815,0.05649,0.09257,0.05181,0.04169,0.02744,0.03562,0.03984,0.04897,0.2049,0.2103,
2.246,0.3395,0.1319,0.05803,0.05638,0.09238,0.05171,0.0416,0.02738,0.03555,0.03976,0.04887,0.2066,0.2098,
2.243,0.3405,0.1318,0.05797,0.05632,0.09229,0.05008,0.04156,0.02736,0.03551,0.03972,0.04882,0.2074,0.2112,
2.243,0.3403,0.1317,0.05791,0.05629,0.09185,0.05005,0.04154,0.02734,0.03549,0.03969,0.04879,0.2083,0.2111,
2.242,0.341,0.1317,0.05791,0.05629,0.09185,0.04938,0.04154,0.02734,0.03549,0.03969,0.04879,0.2083,0.2117,
2.242,0.3332,0.1314,0.05793,0.0563,0.09187,0.0494,0.04156,0.02735,0.03551,0.03971,0.0488,0.2084,0.2118,
2.24,0.322,0.1316,0.05802,0.05638,0.09081,0.04798,0.0416,0.02738,0.03555,0.03976,0.04888,0.2087,0.2133,
2.239,0.3359,0.1313,0.058,0.05638,0.09083,0.048,0.04162,0.02739,0.03556,0.03974,0.0489,0.2088,0.2134,
2.239,0.3383,0.1311,0.05802,0.05645,0.09006,0.04806,0.04167,0.02743,0.03561,0.0398,0.04896,0.2091,0.2137,
2.239,0.327,0.1309,0.0573,0.05652,0.09015,0.04812,0.04173,0.02747,0.03565,0.03985,0.049,0.2094,0.214,
2.238,0.3275,0.1309,0.05732,0.05654,0.08983,0.04743,0.04174,0.02747,0.03565,0.03986,0.04902,0.2095,0.2147,
2.238,0.319,0.1319,0.05726,0.05651,0.08938,0.04741,0.04171,0.02746,0.03563,0.03983,0.04899,0.2104,0.2135,
2.236,0.3144,0.1329,0.05722,0.05646,0.08894,0.0467,0.04168,0.02743,0.03561,0.03981,0.04896,0.2113,0.2129,
2.235,0.3153,0.1327,0.05715,0.05648,0.08893,0.04605,0.04169,0.02745,0.03561,0.03982,0.04895,0.2114,0.2137,
2.247,0.3061,0.1342,0.05664,0.05642,0.08886,0.04602,0.04166,0.02743,0.03559,0.04754,0.04891,0.2056,0.2111,
2.246,0.3063,0.1342,0.05664,0.05642,0.08886,0.04535,0.04166,0.02743,0.03559,0.04754,0.04891,0.2056,0.2118,
2.246,0.3065,0.1332,0.05666,0.05645,0.0889,0.04537,0.04168,0.02744,0.0356,0.04756,0.04893,0.2057,0.2126,
2.245,0.3129,0.1321,0.05669,0.05647,0.08858,0.04535,0.04169,0.02744,0.03561,0.04757,0.04895,0.2058,0.2138,
2.242,0.3155,0.1335,0.05657,0.05635,0.0884,0.04367,0.0416,0.02739,0.03554,0.04747,0.04885,0.2074,0.2132,
2.242,0.3186,0.1347,0.05653,0.05631,0.08796,0.04364,0.04157,0.02737,0.03552,0.04744,0.04882,0.2083,0.2118,
2.241,0.3232,0.1345,0.05647,0.05625,0.08787,0.0436,0.04153,0.02734,0.03548,0.04739,0.04877,0.2092,0.2116,
2.24,0.3192,0.1328,0.05642,0.05631,0.08763,0.04361,0.04157,0.02737,0.03552,0.04745,0.04883,0.2094,0.213,
2.24,0.3204,0.1331,0.05653,0.05644,0.0857,0.0437,0.04164,0.02742,0.03559,0.04755,0.04894,0.2099,0.2135,
2.24,0.3195,0.1324,0.05653,0.05644,0.0857,0.0437,0.04164,0.02742,0.03559,0.04755,0.04894,0.2099,0.2142,
2.24,0.3197,0.1347,0.05648,0.0564,0.08526,0.04367,0.04161,0.0274,0.03557,0.04751,0.0489,0.2108,0.2116,
2.239,0.3197,0.1347,0.05648,0.0564,0.08526,0.043,0.04161,0.0274,0.03557,0.04751,0.0489,0.2108,0.2123,
2.239,0.3152,0.1348,0.05651,0.05644,0.08453,0.04304,0.04165,0.02743,0.0356,0.04756,0.04895,0.211,0.2125,
2.237,0.3032,0.1346,0.05659,0.05586,0.08355,0.04305,0.0417,0.02746,0.03565,0.0476,0.04903,0.2114,0.2136,
2.238,0.3021,0.1365,0.05655,0.05583,0.0831,0.04302,0.04167,0.02744,0.03562,0.04757,0.049,0.2123,0.2114,
2.238,0.3015,0.1365,0.05655,0.05583,0.0831,0.04302,0.04167,0.02744,0.03562,0.04757,0.049,0.2123,0.2114,
2.238,0.3011,0.1365,0.05662,0.05583,0.0831,0.04302,0.04167,0.02744,0.03562,0.04757,0.049,0.2123,0.2114,
2.238,0.3114,0.1341,0.05694,0.05579,0.08265,0.04299,0.04163,0.02742,0.03657,0.04781,0.04892,0.212,0.2132,
2.239,0.3142,0.1331,0.05691,0.05587,0.08365,0.04299,0.04163,0.02742,0.03804,0.04634,0.04892,0.212,0.2132,
2.249,0.309,0.1374,0.05687,0.0558,0.08352,0.04292,0.04156,0.02737,0.03798,0.05234,0.04885,0.2077,0.2077,
2.248,0.3052,0.1328,0.05648,0.05573,0.08732,0.0422,0.04151,0.02734,0.03794,0.05228,0.0488,0.2095,0.2081,
2.249,0.3111,0.1324,0.05686,0.05579,0.08697,0.04222,0.04152,0.02735,0.03883,0.05142,0.04884,0.2096,0.2082,
2.24,0.3204,0.1322,0.05693,0.05589,0.08669,0.04276,0.05297,0.01618,0.03922,0.05028,0.04888,0.2097,0.2083,
2.241,0.3275,0.1321,0.05699,0.05592,0.08669,0.04276,0.05297,0.01661,0.03933,0.04975,0.04889,0.2097,0.2083,
2.241,0.334,0.1315,0.05704,0.05597,0.08628,0.04275,0.05296,0.0166,0.04052,0.04854,0.0489,0.2107,0.2083,
2.241,0.3323,0.1312,0.05729,0.05611,0.08592,0.04277,0.05297,0.01661,0.04053,0.04856,0.04893,0.2108,0.2084,
2.24,0.3376,0.127,0.05777,0.05618,0.0873,0.0428,0.05354,0.01608,0.04056,0.04859,0.04896,0.212,0.2092,
2.241,0.3402,0.1269,0.05784,0.05618,0.0873,0.04314,0.0532,0.01608,0.04176,0.04739,0.04896,0.212,0.2092,
2.249,0.3439,0.1264,0.0581,0.05619,0.08721,0.04309,0.05314,0.01607,0.04172,0.05322,0.04891,0.2069,0.209,
2.246,0.3413,0.1257,0.05835,0.05612,0.08716,0.05952,0.03667,0.01606,0.04504,0.04985,0.04888,0.2079,0.2088,
2.245,0.3429,0.1253,0.05849,0.05499,0.08716,0.05952,0.03667,0.01606,0.04504,0.04985,0.04889,0.2079,0.2102,
2.243,0.3486,0.1252,0.05829,0.0551,0.08707,0.05879,0.03697,0.0157,0.04645,0.04834,0.04885,0.2087,0.2106,
2.251,0.3684,0.1247,0.05829,0.0551,0.08696,0.05875,0.03695,0.02827,0.03498,0.04715,0.0488,0.2096,0.2105,
2.25,0.3629,0.1245,0.0582,0.05515,0.08652,0.05871,0.03691,0.02825,0.03496,0.04712,0.04877,0.2105,0.2104,
2.251,0.3653,0.1237,0.05833,0.05515,0.0872,0.05871,0.03691,0.02825,0.03611,0.04597,0.04877,0.2105,0.2104,
2.251,0.3699,0.1231,0.05808,0.05534,0.08728,0.05876,0.03695,0.02828,0.03801,0.04414,0.04881,0.2107,0.2105,
2.251,0.3877,0.1222,0.0589,0.05543,0.08728,0.0581,0.03695,0.02887,0.03742,0.04414,0.04882,0.2107,0.2112,
2.251,0.3744,0.1214,0.059,0.05552,0.0867,0.05817,0.037,0.02891,0.03747,0.04422,0.04892,0.2111,0.2116,
2.251,0.3783,0.1211,0.05921,0.05562,0.0867,0.05817,0.037,0.02891,0.03907,0.04262,0.04892,0.2111,0.2116,
2.249,0.3899,0.1215,0.05861,0.0557,0.0856,0.05863,0.03659,0.02892,0.04591,0.03579,0.04889,0.2123,0.2116,
2.247,0.3839,0.1205,0.05854,0.0558,0.08654,0.05663,0.03659,0.02892,0.04724,0.03446,0.0489,0.2123,0.2136,
2.245,0.3866,0.1204,0.05864,0.0558,0.08654,0.05552,0.03659,0.02892,0.04857,0.03312,0.0489,0.2123,0.2147,
2.26,0.3878,0.1222,0.05913,0.05594,0.08795,0.05439,0.03657,0.02945,0.04802,0.04118,0.04889,0.2052,0.211,
2.26,0.3679,0.1255,0.05932,0.056,0.08786,0.05234,0.03654,0.03098,0.04641,0.04114,0.04886,0.2061,0.209,
