RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
1496000.0,657800.0,639000.0,1047000.0,586100.0,471600.0,310400.0,403000.0,450700.0,554000.0,2318000.0,2379000.0,
1496000.0,657800.0,639000.0,1047000.0,586100.0,471600.0,310400.0,403000.0,450700.0,554000.0,2341000.0,2379000.0,
1496000.0,657800.0,639000.0,1047000.0,568200.0,471600.0,310400.0,403000.0,450700.0,554000.0,2353000.0,2396000.0,
1495000.0,657500.0,639000.0,1043000.0,568200.0,471600.0,310400.0,403000.0,450700.0,554000.0,2365000.0,2396000.0,
1495000.0,657500.0,639000.0,1043000.0,560700.0,471600.0,310400.0,403000.0,450700.0,554000.0,2365000.0,2404000.0,
1491000.0,657400.0,638900.0,1043000.0,560700.0,471600.0,310400.0,403000.0,450700.0,553900.0,2365000.0,2404000.0,
1491000.0,657300.0,638700.0,1029000.0,543500.0,471200.0,310200.0,402700.0,450400.0,553800.0,2365000.0,2417000.0,
1487000.0,656700.0,638400.0,1029000.0,543500.0,471200.0,310200.0,402700.0,450000.0,553700.0,2365000.0,2417000.0,
1483000.0,656100.0,638400.0,1018000.0,543500.0,471200.0,310200.0,402700.0,450000.0,553700.0,2365000.0,2417000.0,
1478000.0,647100.0,638300.0,1018000.0,543500.0,471200.0,310200.0,402600.0,450000.0,553400.0,2365000.0,2417000.0,
1478000.0,647000.0,638200.0,1014000.0,535400.0,471100.0,310100.0,402500.0,449900.0,553400.0,2365000.0,2424000.0,
1490000.0,646700.0,638200.0,1010000.0,535400.0,471100.0,310100.0,402500.0,449900.0,553400.0,2377000.0,2412000.0,
1502000.0,646700.0,638100.0,1005000.0,527800.0,471000.0,310100.0,402500.0,449900.0,553300.0,2388000.0,2407000.0,
1500000.0,645600.0,638100.0,1005000.0,520200.0,471000.0,310100.0,402300.0,449800.0,553000.0,2388000.0,2414000.0,
1517000.0,640300.0,637800.0,1005000.0,520200.0,471000.0,310100.0,402300.0,537400.0,552900.0,2324000.0,2387000.0,
1517000.0,640300.0,637800.0,1005000.0,512700.0,471000.0,310100.0,402300.0,537400.0,552900.0,2324000.0,2394000.0,
1505000.0,640300.0,637800.0,1005000.0,512700.0,471000.0,310100.0,402300.0,537400.0,552900.0,2324000.0,2402000.0,
1492000.0,640300.0,637800.0,1001000.0,512200.0,470900.0,310000.0,402200.0,537300.0,552900.0,2324000.0,2415000.0,
1511000.0,640300.0,637800.0,1001000.0,494300.0,470900.0,310000.0,402200.0,537300.0,552900.0,2348000.0,2413000.0,
1525000.0,640200.0,637700.0,996200.0,494300.0,470800.0,309900.0,402200.0,537300.0,552900.0,2359000.0,2399000.0,
1525000.0,640200.0,637700.0,996200.0,494300.0,470800.0,309900.0,402200.0,537300.0,552900.0,2371000.0,2399000.0,
1504000.0,638800.0,637600.0,992100.0,493800.0,470700.0,309900.0,402100.0,537200.0,552900.0,2371000.0,2412000.0,
1504000.0,638600.0,637600.0,968100.0,493700.0,470500.0,309800.0,402100.0,537100.0,552800.0,2371000.0,2412000.0,
1496000.0,638600.0,637600.0,968100.0,493700.0,470500.0,309800.0,402100.0,537100.0,552800.0,2371000.0,2419000.0,
1523000.0,638500.0,637600.0,963700.0,493600.0,470300.0,309800.0,402100.0,537100.0,552800.0,2383000.0,2392000.0,
1523000.0,638500.0,637600.0,963700.0,486100.0,470300.0,309800.0,402100.0,537100.0,552800.0,2383000.0,2400000.0,
1522000.0,638200.0,637400.0,954600.0,486100.0,470300.0,309800.0,402100.0,537100.0,552800.0,2383000.0,2400000.0,
1517000.0,638000.0,629800.0,941900.0,485300.0,470100.0,309600.0,401900.0,536700.0,552800.0,2383000.0,2408000.0,
1540000.0,637900.0,629800.0,937400.0,485300.0,470000.0,309500.0,401800.0,536700.0,552700.0,2395000.0,2384000.0,
1540000.0,637900.0,629800.0,937400.0,485300.0,470000.0,309500.0,401800.0,536700.0,552700.0,2395000.0,2384000.0,
1539000.0,638700.0,629800.0,937400.0,485300.0,470000.0,309500.0,401800.0,536700.0,552700.0,2395000.0,2384000.0,
1514000.0,642700.0,629700.0,932900.0,485200.0,469900.0,309500.0,412800.0,539600.0,552100.0,2393000.0,2406000.0,
1502000.0,642400.0,630700.0,944200.0,485200.0,469900.0,309500.0,429400.0,523000.0,552100.0,2393000.0,2406000.0,
1554000.0,643000.0,630900.0,944200.0,485200.0,469900.0,309500.0,429400.0,591800.0,552300.0,2348000.0,2348000.0,
1503000.0,639300.0,630800.0,988500.0,477700.0,469900.0,309500.0,429400.0,591800.0,552300.0,2371000.0,2356000.0,
1498000.0,643400.0,631200.0,984000.0,477700.0,469800.0,309400.0,439400.0,581700.0,552600.0,2371000.0,2356000.0,
