entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.178,0.3355,0.106,0.0907,0.0685,0.1252,0.05449,0.03938,0.03062,0.03407,0.03502,0.2066,0.2094,
2.174,0.3378,0.1059,0.09061,0.06843,0.125,0.05237,0.03921,0.03059,0.03403,0.03499,0.2075,0.2114,
2.178,0.347,0.1121,0.09055,0.06838,0.1245,0.05234,0.03918,0.03056,0.03401,0.03496,0.2084,0.205,
2.175,0.3376,0.1121,0.09059,0.06706,0.1242,0.05169,0.0392,0.03058,0.03402,0.03497,0.2085,0.2071,
2.174,0.3445,0.1123,0.09064,0.06713,0.1232,0.05065,0.03924,0.03061,0.03406,0.035,0.2087,0.2085,
2.171,0.333,0.1122,0.09057,0.06715,0.1231,0.04944,0.03895,0.03062,0.03407,0.03501,0.2088,0.2101,
2.171,0.3393,0.1131,0.09047,0.06708,0.123,0.04939,0.03891,0.03059,0.03403,0.03498,0.2097,0.2088,
2.171,0.3512,0.1129,0.09063,0.06718,0.1219,0.04947,0.03897,0.03063,0.03408,0.03503,0.21,0.2092,
2.171,0.3451,0.1129,0.09067,0.06721,0.1215,0.04949,0.03899,0.03064,0.0341,0.03504,0.2101,0.2093,
2.167,0.3407,0.1114,0.09067,0.06721,0.1215,0.04751,0.03899,0.03064,0.0341,0.03504,0.2101,0.2128,
2.167,0.3703,0.1114,0.09071,0.06726,0.1209,0.04754,0.03902,0.03067,0.03412,0.03506,0.2103,0.213,
2.165,0.3324,0.1105,0.09043,0.06507,0.1208,0.04764,0.0391,0.03073,0.0342,0.03514,0.2108,0.2156,
2.162,0.3565,0.1096,0.09036,0.06514,0.1209,0.04594,0.03915,0.03077,0.03424,0.03518,0.2111,0.2177,
2.168,0.3062,0.1091,0.08994,0.06495,0.1202,0.04528,0.03916,0.03077,0.03424,0.03984,0.2075,0.219,
2.169,0.3164,0.1127,0.08987,0.06491,0.1198,0.04525,0.03913,0.03075,0.03422,0.03981,0.2084,0.2152,
2.171,0.3018,0.1155,0.08978,0.06484,0.1196,0.0452,0.03909,0.03072,0.03418,0.03977,0.2092,0.2121,
2.172,0.3077,0.117,0.08967,0.06483,0.1194,0.04525,0.03914,0.03075,0.03422,0.03981,0.2105,0.2094,
2.172,0.3082,0.1167,0.08969,0.06488,0.1191,0.04528,0.03917,0.03077,0.03425,0.03984,0.2107,0.2096,
2.172,0.3205,0.1167,0.08969,0.06488,0.1191,0.04528,0.03917,0.03077,0.03425,0.03984,0.2107,0.2096,
2.172,0.3106,0.1168,0.08973,0.0649,0.1187,0.0453,0.03918,0.03078,0.03426,0.03985,0.2108,0.2097,
2.17,0.2988,0.1168,0.08976,0.06492,0.1184,0.04421,0.03919,0.03079,0.03427,0.03986,0.2109,0.2109,
2.167,0.2976,0.1169,0.0898,0.06494,0.118,0.04245,0.03921,0.0308,0.03428,0.03987,0.211,0.2127,
2.167,0.3033,0.1169,0.0898,0.06494,0.118,0.04245,0.03921,0.0308,0.03428,0.03987,0.211,0.2127,
2.167,0.3167,0.1165,0.08983,0.06497,0.1181,0.04247,0.03923,0.03081,0.0343,0.03989,0.2111,0.2128,
2.167,0.3144,0.1162,0.08973,0.065,0.1181,0.04249,0.03925,0.03083,0.03431,0.03991,0.2112,0.2129,
2.18,0.3128,0.1173,0.08942,0.06496,0.1181,0.04246,0.03922,0.03081,0.03429,0.04821,0.2038,0.2115,
2.18,0.314,0.1173,0.08942,0.06496,0.1181,0.04246,0.03922,0.03081,0.03429,0.04821,0.2038,0.2115,
