RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1213000.0,1038000.0,783700.0,1432000.0,623400.0,450500.0,350300.0,389700.0,400700.0,2364000.0,2396000.0,
1213000.0,1038000.0,783500.0,1423000.0,617500.0,449000.0,348400.0,389600.0,400600.0,2364000.0,2405000.0,
1213000.0,1038000.0,783500.0,1423000.0,617500.0,449000.0,348400.0,389600.0,400600.0,2364000.0,2405000.0,
1187000.0,1034000.0,783400.0,1418000.0,609900.0,449000.0,348300.0,389600.0,400500.0,2364000.0,2436000.0,
1187000.0,1034000.0,783400.0,1413000.0,609900.0,449000.0,348300.0,389600.0,400400.0,2364000.0,2436000.0,
1187000.0,1034000.0,783400.0,1413000.0,591500.0,446200.0,346800.0,389600.0,400400.0,2364000.0,2459000.0,
1218000.0,1034000.0,783300.0,1404000.0,591300.0,446200.0,346800.0,389500.0,400300.0,2376000.0,2427000.0,
1218000.0,1034000.0,783300.0,1395000.0,573500.0,446200.0,346700.0,389500.0,400200.0,2376000.0,2445000.0,
1232000.0,1034000.0,783300.0,1395000.0,573500.0,446200.0,346700.0,389500.0,400200.0,2388000.0,2431000.0,
1252000.0,1034000.0,783200.0,1390000.0,550900.0,446100.0,346600.0,389400.0,400100.0,2400000.0,2433000.0,
1252000.0,1034000.0,783200.0,1390000.0,550900.0,446100.0,346600.0,389400.0,400100.0,2400000.0,2433000.0,
1302000.0,1034000.0,783200.0,1385000.0,543200.0,446100.0,346600.0,389400.0,467200.0,2345000.0,2391000.0,
1302000.0,1034000.0,783200.0,1385000.0,543200.0,446100.0,346600.0,389400.0,467200.0,2345000.0,2391000.0,
1302000.0,1034000.0,783000.0,1381000.0,529100.0,442500.0,346500.0,389300.0,467100.0,2345000.0,2409000.0,
1302000.0,1034000.0,783000.0,1376000.0,529100.0,442500.0,346500.0,389300.0,467100.0,2345000.0,2409000.0,
1369000.0,1034000.0,783000.0,1376000.0,529100.0,442500.0,346500.0,389300.0,467100.0,2356000.0,2336000.0,
1369000.0,1034000.0,783000.0,1376000.0,529100.0,442500.0,346500.0,389300.0,467100.0,2368000.0,2336000.0,
1367000.0,1032000.0,782400.0,1372000.0,529100.0,442500.0,346400.0,389300.0,467000.0,2380000.0,2336000.0,
1367000.0,1031000.0,782400.0,1367000.0,529000.0,442400.0,346400.0,389200.0,466900.0,2380000.0,2336000.0,
1362000.0,1031000.0,782400.0,1367000.0,529000.0,442400.0,346400.0,389200.0,466900.0,2380000.0,2336000.0,
1362000.0,1031000.0,782200.0,1358000.0,521400.0,442400.0,346300.0,389200.0,466900.0,2380000.0,2344000.0,
1359000.0,1031000.0,782000.0,1336000.0,508800.0,442300.0,346200.0,389100.0,466700.0,2392000.0,2356000.0,
1359000.0,1031000.0,781900.0,1317000.0,508800.0,442300.0,346200.0,389100.0,466700.0,2392000.0,2356000.0,
1341000.0,1031000.0,781900.0,1312000.0,508700.0,442300.0,346200.0,389100.0,499500.0,2371000.0,2374000.0,
1341000.0,1031000.0,781900.0,1312000.0,508700.0,442300.0,346200.0,389100.0,499500.0,2371000.0,2374000.0,
1341000.0,1031000.0,781900.0,1302000.0,508700.0,442300.0,346200.0,389100.0,499500.0,2371000.0,2374000.0,
1341000.0,1031000.0,781800.0,1298000.0,508700.0,442300.0,346200.0,389000.0,499400.0,2383000.0,2374000.0,
1336000.0,1030000.0,781800.0,1293000.0,501100.0,442300.0,346100.0,389000.0,635200.0,2271000.0,2381000.0,
1331000.0,1030000.0,781700.0,1288000.0,483400.0,442200.0,346100.0,388900.0,635200.0,2271000.0,2399000.0,
1326000.0,1030000.0,781700.0,1288000.0,483400.0,442200.0,346100.0,388900.0,635200.0,2282000.0,2399000.0,
1344000.0,1030000.0,781700.0,1288000.0,483400.0,442200.0,346100.0,388900.0,635200.0,2305000.0,2381000.0,
1343000.0,1028000.0,776100.0,1284000.0,483300.0,442200.0,346000.0,388900.0,635100.0,2305000.0,2389000.0,
1311000.0,1026000.0,778500.0,1311000.0,475800.0,442200.0,352100.0,393000.0,625100.0,2305000.0,2396000.0,
1311000.0,1024000.0,781200.0,1311000.0,488900.0,429200.0,352100.0,399000.0,619000.0,2317000.0,2396000.0,
1299000.0,1022000.0,785100.0,1311000.0,494900.0,423100.0,358100.0,407000.0,605000.0,2317000.0,2396000.0,
1281000.0,1021000.0,773100.0,1322000.0,494900.0,430600.0,350500.0,407000.0,604900.0,2317000.0,2410000.0,
1313000.0,1029000.0,773400.0,1315000.0,494800.0,430600.0,350400.0,406900.0,604700.0,2340000.0,2369000.0,
1312000.0,1027000.0,775600.0,1315000.0,494800.0,430600.0,350400.0,419400.0,592200.0,2352000.0,2369000.0,
1311000.0,1020000.0,777800.0,1306000.0,494700.0,430500.0,359200.0,416600.0,586100.0,2363000.0,2369000.0,
1275000.0,1016000.0,780500.0,1328000.0,494600.0,430500.0,364000.0,411700.0,586000.0,2375000.0,2369000.0,
1259000.0,1020000.0,781200.0,1340000.0,482100.0,430500.0,364000.0,424300.0,573400.0,2375000.0,2382000.0,
1258000.0,1019000.0,734600.0,1340000.0,485100.0,427400.0,364000.0,447900.0,549800.0,2375000.0,2430000.0,
1284000.0,1012000.0,738000.0,1342000.0,485100.0,427300.0,363900.0,447800.0,549700.0,2387000.0,2386000.0,
1281000.0,1011000.0,741300.0,1342000.0,485100.0,427300.0,363900.0,447800.0,549700.0,2387000.0,2386000.0,
1281000.0,1010000.0,742400.0,1342000.0,485100.0,616200.0,175000.0,503900.0,502800.0,2402000.0,2386000.0,
1275000.0,1009000.0,743300.0,1337000.0,485100.0,616200.0,174900.0,503900.0,502700.0,2402000.0,2386000.0,
1271000.0,1011000.0,745700.0,1337000.0,485100.0,616200.0,174900.0,554100.0,452500.0,2402000.0,2386000.0,
1264000.0,1010000.0,747900.0,1340000.0,472400.0,616200.0,174900.0,554100.0,452400.0,2402000.0,2399000.0,
1258000.0,1009000.0,732500.0,1340000.0,472400.0,616200.0,174900.0,554100.0,452400.0,2402000.0,2420000.0,
1257000.0,1011000.0,732500.0,1340000.0,472400.0,626200.0,164900.0,554100.0,452400.0,2402000.0,2420000.0,
1312000.0,1011000.0,734400.0,1340000.0,472400.0,626200.0,164900.0,554100.0,478800.0,2387000.0,2363000.0,
1311000.0,1010000.0,735600.0,1335000.0,472400.0,630100.0,161000.0,554100.0,478700.0,2399000.0,2363000.0,
1307000.0,1013000.0,737000.0,1335000.0,472400.0,630100.0,161000.0,554100.0,584300.0,2306000.0,2363000.0,
1303000.0,1015000.0,738300.0,1326000.0,472200.0,636000.0,154800.0,554000.0,584100.0,2317000.0,2363000.0,
1300000.0,1011000.0,740100.0,1326000.0,463200.0,630000.0,154800.0,554000.0,584100.0,2352000.0,2378000.0,
1284000.0,1013000.0,740900.0,1330000.0,463200.0,633800.0,150900.0,553900.0,584000.0,2352000.0,2378000.0,
1278000.0,1017000.0,742300.0,1330000.0,469200.0,627800.0,150900.0,553900.0,584000.0,2352000.0,2378000.0,
1275000.0,1018000.0,744300.0,1330000.0,890400.0,212700.0,144900.0,566800.0,571200.0,2352000.0,2378000.0,
1262000.0,1018000.0,744900.0,1342000.0,882800.0,212700.0,155500.0,556200.0,571200.0,2352000.0,2386000.0,
1261000.0,1015000.0,747800.0,1333000.0,882800.0,212600.0,155400.0,556100.0,571100.0,2352000.0,2386000.0,
1259000.0,1016000.0,748300.0,1329000.0,865100.0,212600.0,161400.0,573800.0,547200.0,2352000.0,2403000.0,
