RabA,RabB,RabC,RabD,RabE,
3981641.55504,1969778.594,1969778.594,1969778.594,3981364.29879,
3981641.55504,1969778.594,1969778.594,1969778.594,3981364.29879,
3981641.55504,1969778.594,1969778.594,1969778.594,3941891.17995,
3981641.55504,1969778.594,1969778.594,1969778.594,3941891.17995,
3981641.55504,1969778.594,1969778.594,1969778.594,3924875.35164,
3981641.55504,1969778.594,1969778.594,1969778.594,3924875.35164,
3968710.0349,969809.65216,2982679.05597,1969778.594,3924875.35164,
3968710.0349,969809.65216,2982679.05597,1969778.594,3924875.35164,
3747724.46048,1190795.22659,2185291.85004,2767165.79994,3924875.35164,
3747724.46048,1190795.22659,2185291.85004,2767165.79994,3924875.35164,
3747724.46048,1190795.22659,2185291.85004,2767165.79994,3924875.35164,
3747724.46048,1190795.22659,2185291.85004,2767165.79994,3924875.35164,
3747724.46048,1190795.22659,2185291.85004,2767165.79994,3924875.35164,
3169037.87247,1769481.8146,2185291.85004,2767165.79994,3924875.35164,
3169037.87247,1769481.8146,2185291.85004,2277654.67405,4414386.47753,
3169037.87247,1769481.8146,2185291.85004,2277654.67405,4414386.47753,
3169037.87247,1769481.8146,2185291.85004,2277654.67405,4414386.47753,
3169037.87247,1267764.2466,2687009.41803,2277654.67405,4414386.47753,
3169037.87247,1267764.2466,2687009.41803,2277654.67405,4414386.47753,
3169037.87247,1267764.2466,2687009.41803,2277654.67405,4414386.47753,
3169037.87247,1267764.2466,2687009.41803,2277654.67405,4414386.47753,
3169037.87247,1267764.2466,2687009.41803,2277654.67405,4414386.47753,
3169037.87247,1252370.4426,2225823.61629,2754234.2798,4363290.5867,
3169037.87247,1252370.4426,2225823.61629,2754234.2798,4363290.5867,
3169037.87247,1252370.4426,2225823.61629,2754234.2798,4314966.21986,
3003096.20951,1418312.10556,2225823.61629,2754234.2798,4314966.21986,
3003096.20951,1418312.10556,2225823.61629,2754234.2798,4314966.21986,
3003096.20951,1418312.10556,2225823.61629,2754234.2798,4314966.21986,
2851074.01984,1570334.29522,2225823.61629,2754234.2798,4250826.88245,
2851074.01984,1570334.29522,2225823.61629,2754234.2798,4250826.88245,
2851074.01984,1570334.29522,2225823.61629,2754234.2798,4250826.88245,
2851074.01984,1570334.29522,2225823.61629,2754234.2798,4187998.47127,
2851074.01984,1570334.29522,2225823.61629,2754234.2798,4187998.47127,
2851074.01984,1570334.29522,2225823.61629,2754234.2798,4187998.47127,
2851074.01984,1570334.29522,2225823.61629,2754234.2798,4129769.94173,
2851074.01984,1570334.29522,2225823.61629,2754234.2798,4129769.94173,
2851074.01984,1570334.29522,2225823.61629,2754234.2798,4129769.94173,
2851074.01984,1570334.29522,2225823.61629,2754234.2798,4129769.94173,
2851074.01984,1570334.29522,2225823.61629,2754234.2798,4129769.94173,
2851074.01984,1570334.29522,2225823.61629,2754234.2798,4129769.94173,
2851074.01984,1570334.29522,2225823.61629,2754234.2798,4036473.1859,
