albumin,albuminRabA,albuminRabB,albuminRabC,albuminRabD,albuminRabE,enzyme,enzymeG55,enzymeG55RabA,enzymeG55RabB,enzymeG55RabC,enzymeG55RabD,enzymeG55RabE,enzymeGo3,enzymeGo3RabA,enzymeGo3RabB,enzymeGo3RabC,enzymeGo3RabD,enzymeGo3RabE,enzymeM,enzymeRabA,enzymeRabB,enzymeRabC,enzymeRabD,enzymeRabE,G55,G55RabA,G55RabB,G55RabC,G55RabD,G55RabE,Go3,Go3RabA,Go3RabB,Go3RabC,Go3RabD,Go3RabE,Gpli,membraneMarker,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,ProC,ProCRabA,ProCRabB,ProCRabC,ProCRabD,ProCRabE,proton,protonRabA,protonRabB,protonRabC,protonRabD,protonRabE,solubleMarker,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,Spli,
0.0,196257.0,0.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,196257.0,0.0,0.0,0.0,0.0,0.0,0.0,53.87831,53.87831,53.87831,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,187169.99856,9087.00144,0.0,0.0,0.0,0.0,0.0,7648.18572,384.81428,0.0,0.0,0.0,0.0,7936.28191,96.71809,0.0,0.0,0.0,0.0,7689.34232,343.65768,0.0,0.0,0.0,0.0,7691.18172,341.81828,0.0,0.0,0.0,0.0,7689.34232,343.65768,0.0,0.0,0.0,0.0,0.0,0.9521,0.0479,0.0,0.0,0.0,0.0,186855.46929,9401.53071,0.0,0.0,0.0,0.0,0.03611,53.8518,53.76345,53.85089,0.13269,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,177483.08474,18773.91526,0.0,0.0,0.0,0.0,0.0,7244.48485,788.51515,0.0,0.0,0.0,0.0,7034.70981,998.29019,0.0,0.0,0.0,0.0,7250.7533,782.2467,0.0,0.0,0.0,0.0,7273.75386,759.24614,0.0,0.0,0.0,0.0,7250.7533,782.2467,0.0,0.0,0.0,0.0,0.0,0.90184,0.09816,0.0,0.0,0.0,0.0,176992.51387,19264.48613,0.0,0.0,0.0,0.0,0.19545,53.69225,53.77413,53.70262,0.27049,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,177516.04802,18740.50821,0.44377,0.0,0.0,0.0,0.0,7244.48485,788.51515,0.0,0.0,0.0,0.0,7047.45988,980.26587,5.27425,0.0,0.0,0.0,7255.23512,777.53468,0.23021,0.0,0.0,0.0,7278.78496,754.07721,0.13783,0.0,0.0,0.0,7255.23512,777.53468,0.23021,0.0,0.0,0.0,0.0,0.90184,0.09816,0.0,0.0,0.0,0.0,176992.51387,19264.48613,0.0,0.0,0.0,0.0,0.25606,53.54702,53.73393,53.71236,0.38557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,150032.56482,37073.23025,9151.19521,0.00146,0.00826,0.0,0.0,6061.71213,1577.03029,394.25757,0.0,0.0,0.0,6888.80508,1078.8202,62.27087,0.47574,2.62811,0.0,6267.14026,1437.38214,328.44924,0.00426,0.02411,0.0,6302.42731,1406.52069,324.052,0.0,0.0,0.0,6267.14026,1437.38214,328.44924,0.00426,0.02411,0.0,0.0,0.7546,0.19632,0.04908,0.0,0.0,0.0,148095.78467,38528.97226,9632.24307,0.0,0.0,0.0,0.29263,53.3916,53.8059,53.73161,0.41319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,140501.49831,46541.08496,9214.40705,9.6E-4,0.00872,0.0,0.0,5607.944,2020.88,404.176,0.0,0.0,0.0,7032.79526,961.57003,35.23558,1.85184,1.54729,0.0,6031.60778,1688.38595,312.97781,0.00431,0.02415,0.0,6181.92196,1551.51614,299.5619,0.0,0.0,0.0,6031.60778,1688.38595,312.97794,0.00241,0.02591,0.0,0.0,0.69811,0.25157,0.05031,0.0,0.0,0.0,137009.61848,49372.81793,9874.56359,0.0,0.0,0.0,0.35019,53.41807,53.86688,53.50638,0.49344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,97229.61411,81302.64635,17721.42769,3.14239,0.16946,0.0,0.0,3415.22864,3848.1428,769.62856,0.0,0.0,0.0,7201.01159,776.9153,40.11175,6.06543,8.89593,0.0,4997.89488,2355.41663,679.0188,0.48872,0.18097,0.0,5790.13161,1878.00779,364.8606,0.0,0.0,0.0,4997.89488,2355.41663,679.01943,0.47818,0.19089,0.0,0.0,0.42515,0.47904,0.09581,0.0,0.0,0.0,83438.63146,94015.30712,18803.06142,0.0,0.0,0.0,0.38661,53.47212,53.57056,53.43138,0.77428,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,99473.68889,86879.71324,9898.89481,3.29632,1.40674,0.0,0.0,3587.064,4041.76,404.176,0.0,0.0,0.0,7224.26747,735.18827,57.70221,5.84492,9.99712,0.0,4953.68387,2626.74968,451.4165,0.54317,0.60678,0.0,5981.91803,1865.03347,186.0485,0.0,0.0,0.0,4953.68387,2626.74967,451.4155,0.53278,0.61819,0.0,0.0,0.44654,0.50314,0.05031,0.0,0.0,0.0,87636.80055,98745.63586,9874.56359,0.0,0.0,0.0,0.5068,53.2789,53.59577,53.26526,0.9882,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,98956.01644,87392.05526,9900.83399,5.17736,2.91695,0.0,0.0,3587.064,4041.76,404.176,0.0,0.0,0.0,7230.02391,707.62631,72.10153,8.32244,14.92581,0.0,4891.26085,2687.73452,451.81488,1.15118,1.03856,0.0,5889.3375,1955.16414,188.49837,0.0,0.0,0.0,4891.26085,2687.7345,451.81383,1.14089,1.04992,0.0,0.0,0.44654,0.50314,0.05031,0.0,0.0,0.0,87636.80055,98745.63586,9874.56359,0.0,0.0,0.0,0.54586,53.26597,53.50737,53.07447,1.24127,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,98624.87417,79144.18846,18468.83402,15.86901,3.23434,0.0,0.0,3587.064,3637.584,808.352,0.0,0.0,0.0,7210.99107,677.45479,95.34592,9.88793,39.32028,0.0,4830.70674,2497.65902,700.29046,3.03483,1.30895,0.0,5804.47205,1837.26571,391.26224,0.0,0.0,0.0,4830.70674,2497.52356,700.15951,2.89104,1.71915,0.0,0.0,0.44654,0.45283,0.10063,0.0,0.0,0.0,87636.80055,88871.07227,19749.12717,0.0,0.0,0.0,0.70156,53.37962,52.87618,53.32893,1.34865,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,66513.05208,100935.23616,27551.44387,293.24358,964.0243,0.0,0.0,2074.7499,4681.48222,1276.76788,0.0,0.0,0.0,7243.13752,629.07928,103.63962,15.83292,41.31066,0.0,3901.35127,3097.98361,875.0138,40.76188,117.88943,0.0,5297.66179,2158.75332,576.58489,0.0,0.0,0.0,3901.35126,3099.17927,874.85198,36.49633,121.12115,0.0,0.0,0.25828,0.58278,0.15894,0.0,0.0,0.0,50688.9321,114374.91049,31193.15741,0.0,0.0,0.0,0.93556,52.9231,53.05531,53.17951,1.54147,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,81018.55641,104509.21443,9462.66185,280.19903,986.36829,0.0,0.0,2891.88116,4773.89607,367.22277,0.0,0.0,0.0,7231.38039,627.20289,107.4414,23.39049,43.58483,0.0,4046.5076,3339.44184,484.43286,36.33885,126.27886,0.0,5447.53803,2358.43745,227.02452,0.0,0.0,0.0,4046.50759,3341.9687,484.06047,38.18048,122.28276,0.0,0.0,0.36,0.59429,0.04571,0.0,0.0,0.0,70652.54834,116632.70512,8971.74655,0.0,0.0,0.0,0.95266,52.59939,53.19824,53.1042,1.78046,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,63913.95715,103534.87519,27321.87273,421.52812,1064.76681,0.0,0.0,2074.7499,4681.48222,1276.76788,0.0,0.0,0.0,7204.04546,613.29765,130.98532,26.95959,57.71197,0.0,3616.79243,3362.0229,868.6632,55.60804,129.91343,0.0,5195.69595,2257.40732,566.76029,13.13644,0.0,0.0,3616.0376,3365.65749,868.72602,43.00834,139.57056,0.0,0.0,0.25828,0.58278,0.15894,0.0,0.0,0.0,50688.9321,114374.91049,31193.15741,0.0,0.0,0.0,0.92712,52.32848,53.31967,52.88824,2.17143,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
