time, s1, s2, s3, s4, s6, s7, s8, s9, s10, s11, s12, s13, s15, s16, s17, s19, s20, s21, s22, s23, s24, No Name, No Name, No Name, No Name, No Name, No Name, No Name, No Name, No Name, No Name, No Name, No Name, No Name, No Name, No Name, No Name, No Name, No Name, No Name, No Name, 
0, 0.867, 0.384, 0.342, 0, 0.29, 0.393, 0.591, 1.866, 0.721, 0.494, 0.149, 0.453, 0.055, 0, 0.784, 25, 0.83, 0.061, 0.021, 0.052, 0.24, 0.506, 0.827, 0.673, 0.409, 0.133, 0.658, 0.939, 0.948, 0.979, 0.945, 0.76, 0.607, 0.17, 0.279, 0.547, 0.216, 0.458, 0.542, 1.223, 0.635, 
1, 0.866942, 0.384034, 0.342029, 0, 0.29, 0.392891, 0.591042, 1.86619, 0.720946, 0.493927, 0.149005, 0.452824, 0.0550455, 0, 0.784136, 25, 0.8301, 0.0609425, 0.0208343, 0.0521742, 0.240123, 0.506073, 0.826953, 0.673047, 0.408958, 0.133058, 0.657971, 0.939057, 0.947826, 0.979166, 0.944955, 0.759877, 0.607109, 0.1699, 0.279054, 0.547176, 0.215864, 0.457936, 0.542064, 1.22305, 0.634941, 
2, 0.86691, 0.384065, 0.342053, 0, 0.29, 0.39281, 0.591067, 1.86642, 0.720905, 0.493878, 0.149016, 0.45271, 0.0550846, 0, 0.784204, 25, 0.830168, 0.0608957, 0.0207437, 0.0522158, 0.240196, 0.506122, 0.826911, 0.673089, 0.408933, 0.13309, 0.657947, 0.939104, 0.947784, 0.979256, 0.944915, 0.759804, 0.60719, 0.169832, 0.279095, 0.54729, 0.215796, 0.457883, 0.542117, 1.22309, 0.634899, 
3, 0.866896, 0.384093, 0.342071, 0, 0.29, 0.392751, 0.591082, 1.86663, 0.720873, 0.493844, 0.149031, 0.452633, 0.055118, 0, 0.78423, 25, 0.830221, 0.0608574, 0.0206941, 0.0522001, 0.240238, 0.506156, 0.826872, 0.673128, 0.408918, 0.133104, 0.657929, 0.939143, 0.9478, 0.979306, 0.944882, 0.759762, 0.607249, 0.169779, 0.279127, 0.547367, 0.21577, 0.457838, 0.542162, 1.22313, 0.634872, 
4, 0.866895, 0.384119, 0.342086, 0, 0.29, 0.392707, 0.591091, 1.86683, 0.72085, 0.493822, 0.149049, 0.45258, 0.0551462, 0, 0.78423, 25, 0.830263, 0.0608262, 0.020667, 0.0521639, 0.240263, 0.506178, 0.826838, 0.673162, 0.408909, 0.133105, 0.657914, 0.939174, 0.947836, 0.979333, 0.944854, 0.759737, 0.607293, 0.169737, 0.27915, 0.54742, 0.21577, 0.457801, 0.542199, 1.22316, 0.634857, 
5, 0.866905, 0.384141, 0.342098, 0, 0.29, 0.392675, 0.591096, 1.86699, 0.720833, 0.493808, 0.149069, 0.452542, 0.0551701, 0, 0.784214, 25, 0.830297, 0.0608008, 0.0206522, 0.0521244, 0.240278, 0.506192, 0.826808, 0.673192, 0.408904, 0.133095, 0.657902, 0.939199, 0.947876, 0.979348, 0.94483, 0.759722, 0.607325, 0.169703, 0.279167, 0.547458, 0.215786, 0.457771, 0.542229, 1.22319, 0.634852, 
6, 0.866921, 0.384162, 0.342107, 0, 0.29, 0.392651, 0.591099, 1.86712, 0.720821, 0.493798, 0.14909, 0.452516, 0.05519, 0, 0.784191, 25, 0.830325, 0.06078, 0.020644, 0.0520887, 0.240286, 0.506202, 0.826782, 0.673218, 0.408901, 0.133079, 0.657893, 0.93922, 0.947911, 0.979356, 0.94481, 0.759714, 0.607349, 0.169675, 0.279179, 0.547484, 0.215809, 0.457746, 0.542254, 1.22322, 0.634855, 
7, 0.866941, 0.384181, 0.342115, 0, 0.29, 0.392634, 0.591101, 1.86723, 0.720813, 0.493793, 0.149111, 0.452498, 0.0552068, 0, 0.784165, 25, 0.830348, 0.060763, 0.0206396, 0.052059, 0.240291, 0.506207, 0.826759, 0.673241, 0.408899, 0.133059, 0.657885, 0.939237, 0.947941, 0.97936, 0.944793, 0.759709, 0.607366, 0.169652, 0.279187, 0.547502, 0.215835, 0.457725, 0.542275, 1.22324, 0.634864, 
8, 0.866964, 0.384198, 0.342121, 0, 0.29, 0.392621, 0.591102, 1.86731, 0.720807, 0.493789, 0.149133, 0.452486, 0.0552207, 0, 0.784139, 25, 0.830367, 0.0607492, 0.0206372, 0.0520355, 0.240294, 0.506211, 0.82674, 0.67326, 0.408898, 0.133036, 0.657879, 0.939251, 0.947964, 0.979363, 0.944779, 0.759706, 0.607379, 0.169633, 0.279193, 0.547514, 0.215861, 0.457708, 0.542292, 1.22326, 0.634877, 
9, 0.866988, 0.384213, 0.342126, 0, 0.29, 0.392612, 0.591102, 1.86737, 0.720803, 0.493787, 0.149155, 0.452479, 0.0552323, 0, 0.784115, 25, 0.830382, 0.0607379, 0.0206358, 0.0520175, 0.240295, 0.506213, 0.826723, 0.673277, 0.408898, 0.133012, 0.657874, 0.939262, 0.947983, 0.979364, 0.944768, 0.759705, 0.607388, 0.169618, 0.279197, 0.547521, 0.215885, 0.457694, 0.542306, 1.22327, 0.634894, 
