RabA,RabB,RabC,RabD,RabE,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
1691160.04839,1969778.594,1969778.594,1969778.594,3876773.91047,
