bMGEnEr,bMGEnPm,bMGEnRabA,bMGEnRabB,bMGEnRabC,bMGEnRabD,bMGEnRabE,bMGEnRabF,bMGEnRabG,bMGEnRabH,bMGEnRabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,loCxEnEr,loCxEnPm,loCxEnRabA,loCxEnRabB,loCxEnRabC,loCxEnRabD,loCxEnRabE,loCxEnRabF,loCxEnRabG,loCxEnRabH,loCxEnRabI,lyEnzEnEr,lyEnzEnPm,lyEnzEnRabA,lyEnzEnRabB,lyEnzEnRabC,lyEnzEnRabD,lyEnzEnRabE,lyEnzEnRabF,lyEnzEnRabG,lyEnzEnRabH,lyEnzEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,NOXEnEr,NOXEnPm,NOXEnRabA,NOXEnRabB,NOXEnRabC,NOXEnRabD,NOXEnRabE,NOXEnRabF,NOXEnRabG,NOXEnRabH,NOXEnRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCy,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCy,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCy,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,TfEr,TfPm,TfRabA,TfRabB,TfRabC,TfRabD,TfRabE,TfRabF,TfRabG,TfRabH,TfRabI,vATPaseEnEr,vATPaseEnPm,vATPaseEnRabA,vATPaseEnRabB,vATPaseEnRabC,vATPaseEnRabD,vATPaseEnRabE,vATPaseEnRabF,vATPaseEnRabG,vATPaseEnRabH,vATPaseEnRabI,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239600.0,0.0,55.25,127.4,86.18,10.88,7.58,108.2,16.2,34.78,48.34,2396000.0,0.0,212.5,748.9,66.15,46.09,96.82,389.9,223.1,1468.0,2012.0,2396000.0,0.0,212.5,748.9,66.15,46.09,96.82,389.9,223.1,1468.0,2012.0,2396000.0,0.0,212.5,748.9,66.15,46.09,96.82,389.9,223.1,1468.0,2012.0,0.0,0.0,4.384E7,3.612E7,7.377E7,3.32E8,3.496E7,1.796E7,3161000.0,2711000.0,8099000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,57.43,90.85,529.0,161.9,475.0,42.93,15.97,17.2,0.0,0.0,2584.0,576.6,210.3,2344.0,71.74,19.33,7.133,22.13,35.29,0.0,0.0,37.48,11.69,30.62,10.43,0.5656,0.1375,0.02676,0.05023,0.07914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333E-5,0.0,0.0,8326.0,14700.0,40630.0,167000.0,19850.0,17020.0,2412.0,1923.0,4647.0,0.0,0.0,22160.0,32810.0,15460.0,3179.0,401.2,82.92,18.59,40.37,57.02,0.0,0.0,160.8,58.72,35.82,152.6,112.4,225.4,20.54,9.933,8.381,
0.0,0.0,0.007962,0.03716,0.08256,0.1804,0.01252,0.05237,0.005456,0.003119,0.006801,239600.0,0.0,52.14,131.6,86.34,9.474,7.581,108.6,16.23,34.99,47.72,2396000.0,0.0,194.2,772.5,65.48,41.12,96.82,390.3,223.1,1451.0,2030.0,2396000.0,0.0,194.2,772.5,65.48,41.12,96.82,390.3,223.1,1451.0,2030.0,2396000.0,0.0,194.2,772.5,65.48,41.12,96.82,390.3,223.1,1451.0,2030.0,0.0,143800.0,4.4E7,3.677E7,7.545E7,3.297E8,3.49E7,1.802E7,3160000.0,2567000.0,7898000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.52,52.2,88.66,538.7,161.8,478.6,43.21,11.9,17.02,0.0,19.37,2637.0,522.6,194.0,2351.0,71.73,19.34,7.135,22.11,35.16,0.0,0.0,37.69,10.96,32.76,9.048,0.566,0.1387,0.02689,0.05018,0.08023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.519E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.5,2.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.443E-8,0.0,554.2,17630.0,19620.0,43950.0,230600.0,22990.0,16800.0,2560.0,2451.0,5690.0,0.0,0.0,20910.0,34240.0,15770.0,2622.0,401.2,83.14,18.61,40.16,57.26,0.0,0.0,159.9,55.92,35.07,154.5,112.4,227.1,20.69,8.0,8.344,
0.0,5.274E-4,0.03671,0.09273,0.1983,0.5238,0.03234,0.1134,0.01259,0.01046,0.02043,239600.0,1.746,52.05,131.5,84.67,9.471,7.578,108.6,16.23,34.99,54.6,2396000.0,0.0,193.6,763.3,74.56,40.81,96.8,390.3,223.1,1451.0,2099.0,2396000.0,0.0,193.6,763.3,74.56,40.81,96.8,390.3,223.1,1451.0,2099.0,2396000.0,0.0,193.6,763.3,74.56,40.81,96.8,390.3,223.1,1451.0,2099.0,0.0,447100.0,4.409E7,3.688E7,7.508E7,3.296E8,3.481E7,1.802E7,3160000.0,2567000.0,7898000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.51,52.18,87.6,534.9,161.5,478.6,43.19,11.89,16.91,0.0,15.44,2692.0,513.3,192.2,2344.0,71.38,19.25,7.099,22.1,35.0,0.0,0.7349,38.07,11.37,31.61,9.071,0.5659,0.1397,0.02697,0.05042,0.0803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.677E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.9,4.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.585E-12,0.0,799.9,28060.0,24450.0,46430.0,329900.0,26510.0,16570.0,2719.0,3177.0,7193.0,0.0,386.6,20870.0,34140.0,15470.0,2637.0,400.9,83.05,18.57,40.15,57.1,0.0,0.0,159.9,55.92,34.93,154.0,112.4,227.1,20.68,7.999,8.33,
0.0,0.001302,0.07851,0.1425,0.3006,0.927,0.05187,0.1556,0.01547,0.01544,0.03698,239600.0,3.719,52.18,131.6,79.91,10.53,7.782,109.4,15.45,34.94,55.99,2396000.0,0.0,233.4,776.4,166.1,184.3,99.4,419.3,244.0,1634.0,1574.0,2396000.0,0.0,233.4,776.4,166.1,184.3,99.4,419.3,244.0,1634.0,1574.0,2396000.0,0.0,233.4,776.4,166.1,184.3,99.4,419.3,244.0,1634.0,1574.0,0.0,841700.0,4.401E7,3.688E7,7.515E7,3.29E8,3.451E7,1.821E7,2940000.0,2686000.0,8370000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.41,52.21,88.19,533.3,161.6,486.0,35.36,11.9,17.48,0.0,15.44,2689.0,513.3,199.2,2308.0,71.06,19.37,7.129,28.83,53.86,0.0,0.8056,38.08,11.03,31.58,9.125,0.584,0.1487,0.03311,0.1288,0.2119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.9,4.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.885E-15,0.0,1065.0,34900.0,27560.0,49230.0,400800.0,28880.0,16660.0,2605.0,3791.0,9350.0,0.0,762.0,20880.0,34150.0,14910.0,2663.0,411.3,87.54,21.5,84.08,135.5,0.0,0.0,159.8,55.92,35.19,153.8,112.3,230.6,16.89,7.584,8.525,
0.0,0.001302,0.1373,0.1954,0.413,1.419,0.07291,0.2173,0.02314,0.01356,0.059,239600.0,3.719,52.77,131.3,80.57,11.82,7.702,110.1,15.71,32.01,55.31,2396000.0,0.0,228.5,770.4,154.8,163.2,99.11,415.3,240.7,1399.0,1858.0,2396000.0,0.0,228.5,770.4,154.8,163.2,99.11,415.3,240.7,1399.0,1858.0,2396000.0,0.0,228.5,770.4,154.8,163.2,99.11,415.3,240.7,1399.0,1858.0,0.0,1196000.0,4.408E7,3.702E7,7.52E7,3.289E8,3.448E7,1.837E7,2991000.0,2122000.0,8265000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.58,53.21,89.1,528.3,166.6,490.0,35.77,6.827,17.4,0.0,15.44,2681.0,515.9,205.6,2320.0,65.75,21.49,8.679,9.465,48.4,0.0,0.8056,38.05,11.05,31.43,9.007,0.5743,0.1593,0.04181,0.0459,0.1899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.262E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.9,4.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.607E-17,0.0,1410.0,40570.0,29960.0,51560.0,458100.0,30150.0,16760.0,2816.0,2717.0,10170.0,0.0,762.0,20970.0,33950.0,14950.0,2677.0,406.2,93.82,26.99,29.93,120.8,0.0,0.0,159.9,55.22,35.24,149.3,116.0,232.6,17.16,4.624,8.381,
0.0,0.001768,0.2083,0.2513,0.5246,1.941,0.09341,0.2786,0.03251,0.02064,0.1003,239600.0,4.731,52.55,131.4,79.32,11.76,7.901,110.1,15.71,32.01,55.31,2396000.0,3.559,228.7,770.3,151.3,162.8,98.86,415.3,240.7,1399.0,1858.0,2396000.0,3.559,228.7,770.3,151.3,162.8,98.86,415.3,240.7,1399.0,1858.0,2396000.0,3.559,228.7,770.3,151.3,162.8,98.86,415.3,240.7,1399.0,1858.0,0.0,1287000.0,4.408E7,3.695E7,7.518E7,3.289E8,3.449E7,1.837E7,2991000.0,2122000.0,8265000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.57,53.17,87.41,520.6,166.2,489.9,35.74,6.816,17.21,0.0,12.36,2740.0,498.9,203.9,2314.0,65.44,21.4,8.643,9.454,48.24,0.0,0.7961,38.46,11.51,30.95,9.014,0.6081,0.1603,0.04199,0.04614,0.1909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.534E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.6,7.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332E-18,0.0,1463.0,44950.0,31720.0,51990.0,496100.0,30560.0,16670.0,2928.0,2758.0,11180.0,0.0,1049.0,20890.0,33990.0,14580.0,2671.0,475.8,93.74,26.95,29.92,120.7,0.0,0.0,159.5,55.22,35.1,148.9,116.0,232.6,17.15,4.623,8.366,
0.0,0.01301,0.2865,0.2945,0.626,2.487,0.1171,0.332,0.0429,0.02961,0.1569,239600.0,6.443,52.56,138.2,76.42,11.6,7.543,110.0,15.74,32.01,49.88,2396000.0,3.988,227.4,773.5,152.4,162.6,97.19,415.2,240.7,1399.0,1856.0,2396000.0,3.988,227.4,773.5,152.4,162.6,97.19,415.2,240.7,1399.0,1856.0,2396000.0,3.988,227.4,773.5,152.4,162.6,97.19,415.2,240.7,1399.0,1856.0,0.0,2629000.0,4.411E7,3.593E7,7.397E7,3.289E8,3.485E7,1.836E7,2997000.0,2123000.0,8756000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.35,53.31,87.61,523.6,166.2,489.5,35.99,6.825,17.24,0.0,12.45,2733.0,491.8,210.1,2291.0,65.4,21.39,8.644,9.454,48.18,0.0,2.018,38.47,11.59,29.56,8.987,0.6141,0.1614,0.04227,0.04646,0.1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.6,7.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6300000000000002E-20,0.0,1740.0,48380.0,32810.0,53240.0,530100.0,31100.0,16680.0,3043.0,2796.0,12140.0,0.0,1496.0,20880.0,33940.0,14210.0,2603.0,399.4,93.71,26.96,29.92,133.9,0.0,0.0,159.2,55.16,35.09,147.5,116.0,232.4,17.27,4.627,8.364,
0.0,0.01301,0.392,0.3656,0.7802,3.245,0.1447,0.3994,0.05327,0.0408,0.2245,239600.0,6.443,52.5,137.9,76.69,11.58,7.545,110.4,15.32,32.01,49.88,2396000.0,3.988,227.1,776.6,148.9,162.6,97.19,415.6,240.4,1399.0,1856.0,2396000.0,3.988,227.1,776.6,148.9,162.6,97.19,415.6,240.4,1399.0,1856.0,2396000.0,3.988,227.1,776.6,148.9,162.6,97.19,415.6,240.4,1399.0,1856.0,0.0,2629000.0,4.415E7,3.59E7,7.401E7,3.288E8,3.485E7,1.846E7,2889000.0,2123000.0,8756000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.78,53.49,88.04,523.6,166.2,493.5,31.94,6.834,17.25,0.0,12.45,2731.0,491.2,208.3,2291.0,65.4,21.42,8.618,9.454,48.18,0.0,2.018,38.47,11.41,29.73,9.004,0.6147,0.1628,0.04245,0.04685,0.1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.6,7.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.796E-21,0.0,1819.0,51770.0,34200.0,54450.0,560300.0,31620.0,16780.0,3040.0,2831.0,12870.0,0.0,1496.0,20860.0,33840.0,14300.0,2603.0,399.4,93.91,26.76,29.92,133.9,0.0,0.0,159.2,55.18,35.1,147.5,116.0,234.2,15.35,4.631,8.371,
0.0,0.01612,0.4899,0.4212,0.9034,3.857,0.166,0.464,0.06619,0.05306,0.2979,239600.0,9.533,52.34,137.5,73.98,11.56,7.541,110.4,15.32,32.01,49.88,2396000.0,4.075,223.2,774.2,151.3,162.7,97.13,415.6,240.4,1399.0,1856.0,2396000.0,4.075,223.2,774.2,151.3,162.7,97.13,415.6,240.4,1399.0,1856.0,2396000.0,4.075,223.2,774.2,151.3,162.7,97.13,415.6,240.4,1399.0,1856.0,0.0,3423000.0,4.415E7,3.586E7,7.35E7,3.289E8,3.448E7,1.846E7,2895000.0,2134000.0,8770000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.85,53.58,88.09,522.7,162.7,493.5,32.0,6.959,17.38,0.0,12.47,2721.0,491.2,208.3,2291.0,64.85,21.43,8.64,9.501,48.23,0.0,2.988,38.34,11.41,28.77,9.024,0.6147,0.1641,0.04283,0.0473,0.1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.6,6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.459E-24,0.0,1982.0,54060.0,34980.0,55140.0,577800.0,31400.0,16780.0,3112.0,2866.0,13400.0,0.0,2104.0,20800.0,33730.0,13800.0,2604.0,398.6,93.93,26.79,29.99,134.0,0.0,0.0,158.9,55.3,35.18,148.4,114.4,234.3,15.41,4.763,8.528,
0.0,0.02496,0.6136,0.4983,1.037,4.645,0.1975,0.5335,0.07725,0.06697,0.3807,239600.0,9.875,51.35,136.9,75.39,11.51,7.098,110.8,14.89,32.7,49.19,2396000.0,3.403,218.6,779.1,150.3,162.3,97.13,415.9,240.0,1406.0,1849.0,2396000.0,3.403,218.6,779.1,150.3,162.3,97.13,415.9,240.0,1406.0,1849.0,2396000.0,3.403,218.6,779.1,150.3,162.3,97.13,415.9,240.0,1406.0,1849.0,0.0,4124000.0,4.444E7,3.594E7,7.212E7,3.289E8,3.479E7,1.857E7,2792000.0,2112000.0,8792000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.36,54.25,88.51,521.3,162.6,497.5,27.88,6.965,17.36,0.0,10.42,2776.0,475.8,210.7,2286.0,64.69,21.38,8.581,9.49,48.07,0.0,3.067,38.08,11.16,29.58,9.042,0.5775,0.1655,0.04139,0.04775,0.1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.5,8.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22E-28,0.0,2231.0,55750.0,35860.0,55410.0,593500.0,31470.0,16850.0,3054.0,2885.0,13760.0,0.0,2150.0,20460.0,33420.0,14360.0,2600.0,377.4,94.05,25.63,29.98,133.9,0.0,0.0,157.0,55.31,36.06,148.0,114.4,236.2,13.45,4.767,8.52,
