RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
2090000.0,1800000.0,1549000.0,1463000.0,1343000.0,1005000.0,260400.0,602900.0,667700.0,
2119000.0,1797000.0,1549000.0,1446000.0,1336000.0,1005000.0,260400.0,602900.0,667600.0,
2161000.0,1797000.0,1548000.0,1443000.0,1321000.0,1004000.0,260400.0,602900.0,734600.0,
2161000.0,1797000.0,1547000.0,1439000.0,1293000.0,1004000.0,260400.0,602900.0,734500.0,
2156000.0,1793000.0,1545000.0,1436000.0,1263000.0,1004000.0,260400.0,602900.0,734500.0,
2196000.0,1793000.0,1544000.0,1432000.0,1263000.0,1004000.0,260300.0,602900.0,734400.0,
2191000.0,1793000.0,1544000.0,1417000.0,1263000.0,1004000.0,260300.0,602900.0,734400.0,
2189000.0,1792000.0,1542000.0,1417000.0,1263000.0,1004000.0,260300.0,602900.0,734400.0,
2179000.0,1792000.0,1542000.0,1417000.0,1238000.0,1004000.0,260300.0,602900.0,734400.0,
2221000.0,1789000.0,1538000.0,1414000.0,1237000.0,1004000.0,260300.0,602900.0,734300.0,
2291000.0,1789000.0,1538000.0,1409000.0,1237000.0,1004000.0,260300.0,602900.0,855700.0,
2333000.0,1789000.0,1537000.0,1405000.0,1237000.0,1004000.0,260300.0,602900.0,855600.0,
2333000.0,1789000.0,1537000.0,1400000.0,1237000.0,1004000.0,260300.0,602900.0,855600.0,
2328000.0,1789000.0,1537000.0,1400000.0,1192000.0,1004000.0,260300.0,602900.0,855600.0,
2336000.0,1789000.0,1537000.0,1400000.0,1170000.0,1004000.0,259500.0,602900.0,855600.0,
2384000.0,1789000.0,1536000.0,1392000.0,1170000.0,1004000.0,259500.0,602800.0,855500.0,
2538000.0,1777000.0,1533000.0,1388000.0,1154000.0,1002000.0,259500.0,602800.0,855400.0,
2525000.0,1775000.0,1532000.0,1384000.0,1131000.0,1002000.0,259500.0,602800.0,855300.0,
2515000.0,1775000.0,1531000.0,1340000.0,1131000.0,1002000.0,259500.0,602800.0,855000.0,
2510000.0,1772000.0,1530000.0,1335000.0,1131000.0,1002000.0,259500.0,602800.0,907100.0,
2501000.0,1771000.0,1528000.0,1322000.0,1130000.0,1002000.0,259400.0,602800.0,907000.0,
2492000.0,1770000.0,1528000.0,1322000.0,1130000.0,1002000.0,259400.0,602800.0,985800.0,
2454000.0,1768000.0,1443000.0,1067000.0,1104000.0,1001000.0,258800.0,602700.0,983200.0,
2454000.0,1768000.0,1443000.0,1067000.0,1091000.0,1001000.0,258800.0,602700.0,983200.0,
2499000.0,1768000.0,1443000.0,1067000.0,1091000.0,1001000.0,258800.0,602700.0,983200.0,
2499000.0,1768000.0,1443000.0,1058000.0,1056000.0,1001000.0,258800.0,602700.0,983100.0,
2479000.0,1768000.0,1443000.0,1048000.0,1056000.0,1001000.0,258800.0,602700.0,983100.0,
2510000.0,1768000.0,1443000.0,1048000.0,1056000.0,1001000.0,258800.0,602700.0,983100.0,
2509000.0,1758000.0,1420000.0,957700.0,1046000.0,999400.0,258500.0,602600.0,982400.0,
2500000.0,1757000.0,1420000.0,957700.0,1046000.0,999400.0,258500.0,602600.0,1061000.0,
2516000.0,1755000.0,1418000.0,928100.0,1045000.0,999200.0,258500.0,602600.0,1060000.0,
2516000.0,1755000.0,1418000.0,928100.0,1022000.0,999200.0,258500.0,602600.0,1060000.0,
2506000.0,1755000.0,1418000.0,923400.0,1002000.0,999100.0,258500.0,602600.0,1060000.0,
2562000.0,1750000.0,1417000.0,918700.0,967000.0,999100.0,258400.0,602600.0,1060000.0,
2558000.0,1745000.0,1417000.0,918700.0,959400.0,999100.0,258400.0,602600.0,1060000.0,
2557000.0,1741000.0,1416000.0,918700.0,959400.0,999100.0,258400.0,602600.0,1060000.0,
2581000.0,1741000.0,1416000.0,918700.0,946900.0,999100.0,258400.0,602600.0,1060000.0,
2576000.0,1741000.0,1416000.0,918700.0,931800.0,999100.0,258400.0,602600.0,1060000.0,
2625000.0,1741000.0,1416000.0,918700.0,919200.0,999100.0,258400.0,602600.0,1060000.0,
2677000.0,1741000.0,1416000.0,914600.0,911700.0,999100.0,258400.0,602600.0,1060000.0,
2668000.0,1739000.0,1416000.0,910100.0,911700.0,999100.0,258400.0,602600.0,1060000.0,
2644000.0,1738000.0,1416000.0,910100.0,886500.0,999100.0,258400.0,602600.0,1100000.0,
2644000.0,1738000.0,1416000.0,910100.0,886500.0,999100.0,258400.0,602600.0,1100000.0,
2644000.0,1738000.0,1416000.0,910100.0,868900.0,999100.0,258400.0,602600.0,1138000.0,
2694000.0,1738000.0,1416000.0,910100.0,856400.0,999100.0,258400.0,602600.0,1138000.0,
