bMGEnEr,bMGEnPm,bMGEnRabA,bMGEnRabB,bMGEnRabC,bMGEnRabD,bMGEnRabE,bMGEnRabF,bMGEnRabG,bMGEnRabH,bMGEnRabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,loCxEnEr,loCxEnPm,loCxEnRabA,loCxEnRabB,loCxEnRabC,loCxEnRabD,loCxEnRabE,loCxEnRabF,loCxEnRabG,loCxEnRabH,loCxEnRabI,lyEnzEnEr,lyEnzEnPm,lyEnzEnRabA,lyEnzEnRabB,lyEnzEnRabC,lyEnzEnRabD,lyEnzEnRabE,lyEnzEnRabF,lyEnzEnRabG,lyEnzEnRabH,lyEnzEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,NOXEnEr,NOXEnPm,NOXEnRabA,NOXEnRabB,NOXEnRabC,NOXEnRabD,NOXEnRabE,NOXEnRabF,NOXEnRabG,NOXEnRabH,NOXEnRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCy,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCy,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCy,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,TfEr,TfPm,TfRabA,TfRabB,TfRabC,TfRabD,TfRabE,TfRabF,TfRabG,TfRabH,TfRabI,vATPaseEnEr,vATPaseEnPm,vATPaseEnRabA,vATPaseEnRabB,vATPaseEnRabC,vATPaseEnRabD,vATPaseEnRabE,vATPaseEnRabF,vATPaseEnRabG,vATPaseEnRabH,vATPaseEnRabI,
0.0,9.83,14.49,8.684,12.0,69.19,2.471,8.602,1.344,2.791,48.32,239300.0,222.1,27.18,117.4,86.53,5.891,2.512,71.03,11.38,27.51,141.8,2393000.0,12.32,154.4,1087.0,60.18,179.7,15.42,188.8,74.32,71.66,5779.0,2393000.0,12.32,154.4,1087.0,60.18,179.7,15.42,188.8,74.32,71.66,5779.0,2393000.0,12.32,154.4,1087.0,60.18,179.7,15.42,188.8,74.32,71.65,5779.0,0.0,5.593E7,5.831E7,2.289E7,2.541E7,2.3719999999999997E8,1.002E7,2.062E7,5681000.0,1.027E7,1.0629999999999999E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.1,23.6,25.24,385.0,7.908,500.6,10.51,13.8,187.2,0.0,3.967,4298.0,62.43,92.26,608.7,11.11,14.14,10.02,13.35,137.5,0.0,32.86,41.94,1.304,15.26,0.8517,0.3019,0.3554,0.04057,0.06437,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01094,1.458,0.04184,0.06249,0.07003,0.003843,6.525E-4,7.476E-4,0.001491,0.04391,0.0,0.0,61.27,10.72,6.298,0.1606,0.08745,0.02465,9.032E-4,0.001792,0.1692,0.0,3.236E-5,0.0,18610.0,87410.0,9081.0,11330.0,279500.0,3668.0,15040.0,5002.0,6437.0,71400.0,0.0,31730.0,8248.0,15050.0,8165.0,320.3,182.2,145.6,12.51,22.42,674.9,0.0,0.0,97.21,7.32,10.21,85.96,2.634,237.3,3.382,4.588,47.0,
0.0,9.828,14.55,8.667,11.98,69.18,2.472,8.635,1.344,2.793,48.5,239300.0,221.2,27.95,120.6,86.61,5.864,2.513,71.0,11.39,27.51,138.6,2393000.0,9.868,156.2,1084.0,57.45,179.4,15.43,188.7,74.33,71.66,5786.0,2393000.0,9.868,156.2,1084.0,57.45,179.4,15.43,188.7,74.33,71.66,5786.0,2393000.0,9.868,156.2,1084.0,57.45,179.4,15.43,188.7,74.33,71.66,5786.0,0.0,5.592E7,5.835E7,2.279E7,2.543E7,2.3719999999999997E8,1.002E7,2.061E7,5683000.0,1.027E7,1.0629999999999999E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.1,23.71,25.27,383.9,7.927,500.1,10.55,13.86,187.2,0.0,3.178,4345.0,62.36,92.21,601.4,11.05,14.08,9.879,13.2,137.4,0.0,32.47,42.69,1.29,15.38,0.8587,0.3019,0.356,0.04069,0.06452,1.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01094,1.467,0.04331,0.06284,0.0708,0.00386,6.574E-4,7.558E-4,0.001503,0.0442,0.0,0.0,60.91,11.12,6.298,0.1601,0.08744,0.02465,8.944E-4,0.001783,0.1268,0.0,1.313E-7,0.0,18670.0,87670.0,9075.0,11270.0,277900.0,3597.0,15080.0,4974.0,6408.0,71060.0,0.0,31540.0,8397.0,15160.0,8165.0,319.5,182.2,145.6,12.5,22.41,604.6,0.0,0.0,97.2,7.353,10.22,85.3,2.641,237.1,3.399,4.613,47.03,
0.0,10.25,14.61,8.682,11.99,68.82,2.053,8.679,1.336,2.786,48.68,239300.0,221.2,27.56,121.0,86.61,5.853,2.475,71.0,11.39,27.51,161.7,2393000.0,10.21,156.1,1084.0,57.43,179.4,15.09,188.7,74.33,71.66,6016.0,2393000.0,10.21,156.1,1084.0,57.43,179.4,15.09,188.7,74.33,71.66,6016.0,2393000.0,10.21,156.1,1084.0,57.43,179.4,15.09,188.7,74.33,71.66,6016.0,0.0,5.832E7,5.837E7,2.273E7,2.547E7,2.3719999999999997E8,7617000.0,2.061E7,5683000.0,1.027E7,1.0629999999999999E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.4,23.15,25.52,381.8,7.909,500.1,10.51,13.81,187.1,0.0,3.769,4340.0,67.48,92.14,601.4,10.46,14.08,9.879,13.2,137.4,0.0,32.47,42.47,1.515,15.38,0.8692,0.2956,0.3568,0.04086,0.06475,1.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01111,1.469,0.04885,0.06487,0.07156,0.003696,6.608E-4,7.597E-4,0.00151,0.04452,0.0,7.042E-4,55.19,16.88,6.254,0.1601,0.08674,0.02465,8.941E-4,0.001783,0.1268,0.0,1.611E-9,0.0,18940.0,87720.0,9161.0,11290.0,273800.0,3319.0,15130.0,4893.0,6325.0,70870.0,0.0,31540.0,7991.0,15570.0,8161.0,319.5,180.9,145.6,12.5,22.41,604.6,0.0,0.0,97.33,7.098,10.34,85.3,2.641,237.1,3.399,4.613,47.03,
0.0,10.41,14.69,8.711,11.83,69.31,2.058,8.73,1.344,2.797,48.86,239300.0,223.5,29.01,119.5,84.36,5.82,2.474,71.0,11.39,27.51,161.7,2393000.0,10.59,162.8,1077.0,57.04,179.2,15.08,188.7,74.32,71.66,6016.0,2393000.0,10.59,162.8,1077.0,57.04,179.2,15.08,188.7,74.32,71.66,6016.0,2393000.0,10.59,162.8,1077.0,57.04,179.2,15.08,188.7,74.32,71.66,6016.0,0.0,5.887E7,5.835E7,2.276E7,2.492E7,2.3719999999999997E8,7617000.0,2.061E7,5683000.0,1.027E7,1.0629999999999999E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.2,23.31,25.53,382.7,7.917,500.1,10.53,13.83,187.2,0.0,4.108,4316.0,85.13,91.71,594.0,10.39,14.03,9.734,13.05,137.3,0.0,33.06,42.11,1.786,14.8,0.876,0.2956,0.3576,0.04097,0.06489,1.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,1.473,0.05382,0.06492,0.07276,0.003715,6.673E-4,7.725E-4,0.001527,0.04486,0.0,0.1397,54.4,17.6,6.115,0.1596,0.08673,0.02464,8.853E-4,0.001774,0.1268,0.0,5.942E-11,0.0,18980.0,87720.0,9363.0,11290.0,274700.0,3330.0,15190.0,4912.0,6345.0,70660.0,0.0,31870.0,7965.0,15590.0,7825.0,318.7,180.9,145.6,12.48,22.39,604.6,0.0,0.0,96.98,7.091,10.33,84.59,2.635,237.1,3.385,4.599,47.02,
0.0,10.41,14.92,8.527,11.81,68.73,2.053,8.773,1.332,2.786,49.0,239300.0,223.5,29.38,118.0,85.4,5.812,2.473,71.0,11.39,27.51,161.7,2393000.0,10.59,170.4,1064.0,61.6,179.2,15.08,188.7,74.32,71.66,6016.0,2393000.0,10.59,170.4,1064.0,61.6,179.2,15.08,188.7,74.32,71.66,6016.0,2393000.0,10.59,170.4,1064.0,61.6,179.2,15.08,188.7,74.32,71.66,6016.0,0.0,5.887E7,5.86E7,2.247E7,2.497E7,2.3719999999999997E8,7617000.0,2.061E7,5683000.0,1.027E7,1.0629999999999999E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.7,23.4,25.77,378.7,7.898,500.1,10.45,13.75,187.1,0.0,4.108,4299.0,95.39,93.38,594.0,10.31,14.03,9.734,13.05,137.2,0.0,33.06,41.86,1.97,14.81,0.8846,0.2948,0.3584,0.04112,0.06508,1.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,1.474,0.05971,0.0658,0.07314,0.003708,6.691E-4,7.726E-4,0.00153,0.04509,0.0,0.1397,54.17,17.75,6.137,0.1596,0.08583,0.02464,8.851E-4,0.001773,0.1262,0.0,6.583E-12,0.0,19010.0,87480.0,9570.0,11270.0,269600.0,3285.0,15200.0,4811.0,6241.0,70430.0,0.0,31870.0,8220.0,15270.0,7872.0,318.7,180.7,145.6,12.48,22.39,604.4,0.0,0.0,96.46,7.071,10.19,84.59,2.623,237.1,3.385,4.599,47.01,
0.0,10.43,14.97,7.507,13.8,67.67,2.054,8.821,1.333,2.788,49.38,239300.0,224.3,27.39,119.7,84.45,6.233,2.473,71.0,11.39,27.51,161.2,2393000.0,10.84,157.3,1080.0,58.58,172.5,15.08,188.7,74.32,71.66,6020.0,2393000.0,10.84,157.3,1080.0,58.58,172.5,15.08,188.7,74.32,71.66,6020.0,2393000.0,10.84,157.3,1080.0,58.58,172.5,15.08,188.7,74.32,71.66,6020.0,0.0,5.895E7,5.862E7,2.215E7,2.535E7,2.3709999999999997E8,7617000.0,2.061E7,5683000.0,1.027E7,1.0629999999999999E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.4,24.97,28.58,378.0,7.898,500.1,10.45,13.75,186.7,0.0,4.19,4298.0,74.51,109.4,589.6,10.31,14.03,9.734,13.05,134.9,0.0,33.06,41.51,2.128,14.91,0.8897,0.2949,0.3592,0.04129,0.0653,1.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01156,1.476,0.06284,0.07601,0.06786,0.0037,6.74E-4,7.808E-4,0.001541,0.04633,0.0,0.1988,50.26,21.57,6.098,0.1229,0.08583,0.02464,8.849E-4,0.001773,0.1154,0.0,7.263E-13,0.0,19040.0,87030.0,8236.0,14790.0,265900.0,3271.0,15220.0,4779.0,6209.0,70440.0,0.0,31960.0,7519.0,15820.0,7888.0,316.2,180.7,145.6,12.48,22.39,597.6,0.0,0.0,96.44,6.607,10.99,84.41,2.623,237.1,3.385,4.599,46.87,
0.0,10.43,14.55,7.679,13.34,57.85,1.859,8.746,1.226,2.535,60.6,239300.0,223.9,30.12,117.6,84.7,10.67,2.56,71.04,11.46,27.61,156.0,2393000.0,10.02,180.7,1058.0,57.93,206.1,15.61,192.3,70.76,73.46,5983.0,2393000.0,10.02,180.7,1058.0,57.93,206.1,15.61,192.3,70.76,73.46,5983.0,2393000.0,10.02,180.7,1058.0,57.93,206.1,15.61,192.3,70.76,73.46,5983.0,0.0,5.894E7,5.825E7,2.208E7,2.514E7,2.2279999999999997E8,7342000.0,2.049E7,5483000.0,9902000.0,1.2209999999999999E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.6,26.26,27.44,326.2,6.897,499.4,9.876,12.44,241.4,0.0,3.873,4283.0,108.6,104.7,564.8,9.769,13.66,9.451,12.35,166.5,0.0,32.91,41.57,2.403,14.95,0.805,0.2938,0.3568,0.04228,0.06474,1.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01156,1.477,0.0675,0.07421,0.0573,0.003459,5.364E-4,6.543E-4,0.001246,0.05957,0.0,0.1985,52.49,19.33,6.108,0.1072,0.08566,0.02455,7.89E-4,0.001555,0.1239,0.0,2.391E-13,0.0,19040.0,85710.0,8773.0,13760.0,244600.0,2850.0,14980.0,4539.0,5662.0,92780.0,0.0,31890.0,8086.0,15320.0,7907.0,310.3,180.8,145.2,12.84,22.74,585.8,0.0,0.0,95.64,6.987,10.68,69.67,2.338,236.9,3.221,4.225,63.34,
0.0,10.43,14.87,7.846,12.91,62.11,1.936,8.772,1.276,2.64,56.35,239300.0,223.9,29.02,118.2,96.17,7.94,2.508,71.01,11.43,27.54,147.6,2393000.0,10.02,165.4,1071.0,48.16,180.8,15.12,192.0,70.48,72.82,6021.0,2393000.0,10.02,165.4,1071.0,48.16,180.8,15.12,192.0,70.48,72.82,6021.0,2393000.0,10.02,165.4,1071.0,48.16,180.8,15.12,192.0,70.48,72.82,6021.0,0.0,5.894E7,5.868E7,2.227E7,2.46E7,2.2889999999999997E8,7458000.0,2.056E7,5549000.0,1.005E7,1.1559999999999999E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.9,28.05,22.82,357.7,7.488,499.8,10.23,13.22,210.4,0.0,3.873,4292.0,90.23,101.8,572.8,9.997,13.79,9.474,12.58,151.0,0.0,32.91,41.3,2.57,15.35,0.6981,0.2917,0.3562,0.04113,0.06204,1.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01156,1.484,0.06997,0.0738,0.06209,0.00353,5.91E-4,7.11E-4,0.001363,0.05453,0.0,0.1985,49.28,22.48,6.134,0.09991,0.08553,0.02446,7.053E-4,0.001375,0.1045,0.0,2.903E-15,0.0,19100.0,86290.0,9149.0,12840.0,254100.0,3019.0,14990.0,4644.0,5889.0,83590.0,0.0,31890.0,7592.0,15790.0,7979.0,295.4,180.5,145.1,12.67,22.37,529.8,0.0,0.0,96.11,7.388,9.335,77.67,2.499,237.0,3.303,4.429,54.49,
0.0,11.14,14.93,7.943,12.26,62.43,1.938,8.749,1.282,2.645,55.25,239300.0,225.0,29.81,116.2,96.19,7.978,2.509,71.01,11.43,27.54,147.6,2393000.0,10.38,177.9,1056.0,48.7,178.0,15.07,191.9,70.45,72.75,6024.0,2393000.0,10.38,177.9,1056.0,48.7,178.0,15.07,191.9,70.45,72.75,6024.0,2393000.0,10.38,177.9,1056.0,48.7,178.0,15.07,191.9,70.45,72.75,6024.0,0.0,5.921E7,5.872E7,2.261E7,2.403E7,2.2959999999999997E8,7471000.0,2.057E7,5557000.0,1.007E7,1.1479999999999999E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.1,30.18,22.82,360.8,7.547,499.8,10.26,13.3,206.8,0.0,4.601,4262.0,115.2,101.1,574.3,10.03,13.81,9.491,12.62,149.2,0.0,33.21,41.02,2.796,15.07,0.7109,0.2918,0.3571,0.04134,0.0623,1.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148,1.489,0.07393,0.07223,0.06269,0.003543,5.927E-4,7.199E-4,0.00137,0.05308,0.0,0.2734,48.98,22.44,6.31,0.1001,0.08553,0.02446,7.073E-4,0.00138,0.1043,0.0,1.069E-16,0.0,19680.0,86250.0,9353.0,12550.0,255900.0,3047.0,14900.0,4661.0,5926.0,80780.0,0.0,32030.0,7716.0,15590.0,7889.0,296.3,180.6,145.1,12.68,22.39,528.7,0.0,0.0,96.16,7.429,9.336,78.55,2.515,237.0,3.312,4.451,53.47,
0.0,11.14,14.98,7.934,12.4,62.94,1.967,8.728,1.289,2.656,54.43,239300.0,225.0,31.93,114.1,96.24,8.019,2.308,71.01,11.43,27.54,147.5,2393000.0,10.38,176.6,1057.0,47.87,175.0,14.87,191.9,70.42,72.68,6027.0,2393000.0,10.38,176.6,1057.0,47.87,175.0,14.87,191.9,70.42,72.68,6027.0,2393000.0,10.38,176.6,1057.0,47.87,175.0,14.87,191.9,70.42,72.68,6027.0,0.0,5.921E7,5.797E7,2.284E7,2.446E7,2.3039999999999997E8,7653000.0,2.058E7,5565000.0,1.009E7,1.1389999999999999E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.6,33.67,25.08,362.6,8.523,499.9,10.28,13.35,201.4,0.0,4.601,4233.0,117.4,117.3,575.9,15.93,13.83,9.509,12.66,147.3,0.0,33.21,39.71,3.022,16.1,0.7224,0.3249,0.3579,0.04152,0.06255,1.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148,1.442,0.09715,0.096,0.06349,0.01123,5.973E-4,7.303E-4,0.001382,0.05198,0.0,0.2734,47.7,23.31,6.605,0.1003,0.1101,0.02447,7.094E-4,0.001385,0.104,0.0,1.156E-17,0.0,19710.0,84430.0,10120.0,13090.0,257700.0,3341.0,14800.0,4679.0,5964.0,78370.0,0.0,32030.0,7673.0,15660.0,7858.0,297.3,157.8,145.1,12.69,22.42,527.6,0.0,0.0,92.72,8.767,10.96,79.46,3.102,237.0,3.322,4.474,52.39,
