RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
3440000.0,1640000.0,1224000.0,479400.0,243200.0,993000.0,252700.0,594800.0,3148000.0,
3487000.0,1640000.0,1223000.0,474900.0,243200.0,993000.0,252600.0,594700.0,3148000.0,
3487000.0,1640000.0,1223000.0,474900.0,225600.0,993000.0,252600.0,594700.0,3360000.0,
3482000.0,1640000.0,1223000.0,470300.0,225500.0,993000.0,252500.0,594600.0,3360000.0,
3478000.0,1640000.0,1222000.0,470300.0,225400.0,993000.0,252500.0,594600.0,3360000.0,
3468000.0,1635000.0,1222000.0,470300.0,225400.0,993000.0,252500.0,594600.0,3360000.0,
3486000.0,1635000.0,1222000.0,470300.0,225400.0,993000.0,252500.0,594600.0,3360000.0,
3478000.0,1633000.0,1222000.0,465700.0,225400.0,992900.0,252400.0,594500.0,3360000.0,
3475000.0,1632000.0,1222000.0,465700.0,225400.0,992900.0,252400.0,594500.0,3360000.0,
3471000.0,1630000.0,1222000.0,465700.0,225400.0,992900.0,252400.0,594500.0,3360000.0,
3461000.0,1630000.0,1222000.0,465700.0,212800.0,992900.0,252400.0,594500.0,3360000.0,
3451000.0,1630000.0,1222000.0,465700.0,189900.0,992900.0,252400.0,594500.0,3360000.0,
3446000.0,1630000.0,1222000.0,465700.0,189900.0,992900.0,252400.0,594500.0,3360000.0,
3495000.0,1626000.0,1220000.0,465700.0,189800.0,992900.0,252400.0,594500.0,3360000.0,
3483000.0,1625000.0,1219000.0,465700.0,189700.0,992900.0,252400.0,594500.0,3360000.0,
3478000.0,1625000.0,1219000.0,465700.0,189700.0,992900.0,252400.0,594500.0,3360000.0,
3476000.0,1624000.0,1217000.0,465700.0,189500.0,992800.0,252400.0,594500.0,3360000.0,
3473000.0,1624000.0,1215000.0,461200.0,189400.0,992600.0,252300.0,594400.0,3359000.0,
3502000.0,1624000.0,1215000.0,461200.0,189400.0,992600.0,252300.0,594400.0,3359000.0,
3483000.0,1624000.0,1215000.0,461200.0,189400.0,992600.0,252300.0,594400.0,3359000.0,
3483000.0,1624000.0,1215000.0,461200.0,189400.0,992600.0,252300.0,594400.0,3359000.0,
3539000.0,1624000.0,1215000.0,461200.0,189400.0,992600.0,252300.0,594400.0,3395000.0,
3534000.0,1624000.0,1215000.0,456600.0,189400.0,992500.0,252200.0,594300.0,3413000.0,
3534000.0,1624000.0,1215000.0,456600.0,189400.0,992500.0,252200.0,594300.0,3413000.0,
3525000.0,1620000.0,1213000.0,456600.0,189400.0,992400.0,252200.0,594300.0,3457000.0,
3511000.0,1619000.0,1213000.0,456600.0,189400.0,992400.0,252200.0,594300.0,3457000.0,
3511000.0,1619000.0,1213000.0,456600.0,189400.0,992400.0,252200.0,594300.0,3498000.0,
3507000.0,1618000.0,1213000.0,456600.0,189400.0,992400.0,252200.0,594300.0,3498000.0,
3485000.0,1618000.0,1213000.0,456600.0,189400.0,992400.0,252200.0,594300.0,3498000.0,
3485000.0,1618000.0,1213000.0,452100.0,181800.0,992300.0,252100.0,594200.0,3498000.0,
3474000.0,1617000.0,1210000.0,452100.0,181700.0,992100.0,252100.0,594200.0,3498000.0,
3433000.0,1622000.0,1211000.0,472200.0,188400.0,985300.0,252000.0,676700.0,3415000.0,
3398000.0,1640000.0,1213000.0,490000.0,188400.0,985300.0,252000.0,922800.0,3249000.0,
3385000.0,1644000.0,1215000.0,526600.0,188400.0,992100.0,245300.0,1206000.0,2966000.0,
3312000.0,1649000.0,1216000.0,583700.0,202000.0,978500.0,245200.0,1436000.0,2735000.0,
3232000.0,1658000.0,1217000.0,649000.0,222200.0,964900.0,238400.0,1697000.0,2474000.0,
3147000.0,1662000.0,1218000.0,727800.0,229000.0,958100.0,238400.0,1872000.0,2299000.0,
3164000.0,1678000.0,1218000.0,753900.0,229000.0,958000.0,245200.0,1951000.0,2214000.0,
3130000.0,1697000.0,1221000.0,760400.0,229000.0,958000.0,245200.0,2058000.0,2106000.0,
3122000.0,1703000.0,1223000.0,730700.0,235700.0,951100.0,245100.0,2112000.0,2052000.0,
2947000.0,1713000.0,1226000.0,892900.0,249300.0,937600.0,245100.0,2183000.0,1982000.0,
2882000.0,1716000.0,1225000.0,945600.0,249200.0,937600.0,245100.0,2305000.0,2015000.0,
2873000.0,1724000.0,1227000.0,945600.0,249200.0,937600.0,245100.0,2421000.0,1899000.0,
2834000.0,1721000.0,1199000.0,922800.0,251400.0,930600.0,245100.0,2487000.0,1829000.0,
2750000.0,1730000.0,1202000.0,994800.0,251400.0,930600.0,245100.0,2565000.0,1752000.0,
2706000.0,1734000.0,1204000.0,1029000.0,866800.0,315200.0,245000.0,2622000.0,1694000.0,
2640000.0,1742000.0,1206000.0,1070000.0,859200.0,315200.0,245000.0,2667000.0,1649000.0,
2612000.0,1751000.0,1208000.0,1072000.0,851700.0,315100.0,257000.0,2726000.0,1578000.0,
2607000.0,1755000.0,1209000.0,1072000.0,858400.0,308300.0,268700.0,2938000.0,1355000.0,
2679000.0,1767000.0,1212000.0,1090000.0,845900.0,308300.0,268700.0,2975000.0,1366000.0,
2668000.0,1771000.0,1213000.0,1086000.0,833300.0,308300.0,268700.0,3021000.0,1319000.0,
2590000.0,1774000.0,1214000.0,1151000.0,833000.0,308300.0,268700.0,3067000.0,1274000.0,
2575000.0,1787000.0,1216000.0,1146000.0,833000.0,308300.0,268700.0,3085000.0,1364000.0,
2548000.0,1786000.0,1218000.0,1167000.0,815400.0,308300.0,268700.0,3129000.0,1320000.0,
2515000.0,1799000.0,1220000.0,1179000.0,800300.0,308300.0,268700.0,3136000.0,1313000.0,
2461000.0,1799000.0,1223000.0,1230000.0,787700.0,308300.0,268700.0,3200000.0,1249000.0,
2426000.0,1815000.0,1225000.0,1238000.0,787700.0,308300.0,268700.0,3226000.0,1223000.0,
2439000.0,1825000.0,1225000.0,1236000.0,794200.0,301500.0,281100.0,3227000.0,1209000.0,
