RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
3440000.0,1640000.0,1224000.0,479400.0,243200.0,993000.0,252700.0,594800.0,3148000.0,
3417000.0,1640000.0,1222000.0,479400.0,225500.0,993000.0,252700.0,594800.0,3148000.0,
3438000.0,1639000.0,1222000.0,479400.0,225500.0,993000.0,252700.0,594800.0,3148000.0,
3438000.0,1639000.0,1222000.0,474900.0,225500.0,993000.0,252600.0,594700.0,3199000.0,
3433000.0,1639000.0,1222000.0,474900.0,225500.0,993000.0,252600.0,594700.0,3199000.0,
3425000.0,1634000.0,1222000.0,470300.0,225400.0,993000.0,252500.0,594600.0,3199000.0,
3466000.0,1634000.0,1222000.0,467900.0,225400.0,992900.0,252500.0,594500.0,3197000.0,
3450000.0,1629000.0,1222000.0,467900.0,225400.0,992900.0,252500.0,594500.0,3197000.0,
3445000.0,1629000.0,1222000.0,467900.0,225400.0,992900.0,252500.0,594500.0,3197000.0,
3445000.0,1629000.0,1222000.0,467900.0,225400.0,992900.0,252500.0,594500.0,3359000.0,
3433000.0,1629000.0,1220000.0,467900.0,225300.0,992900.0,252500.0,594500.0,3359000.0,
3419000.0,1627000.0,1220000.0,467900.0,225300.0,992900.0,252500.0,594500.0,3359000.0,
3419000.0,1627000.0,1220000.0,467900.0,225300.0,992900.0,252500.0,594500.0,3359000.0,
3475000.0,1627000.0,1220000.0,467900.0,225300.0,992900.0,252500.0,594500.0,3359000.0,
3470000.0,1627000.0,1220000.0,467900.0,225300.0,992900.0,252500.0,594500.0,3359000.0,
3470000.0,1622000.0,1220000.0,467900.0,225300.0,992900.0,252500.0,594500.0,3359000.0,
