RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
3440000.0,1640000.0,1224000.0,479400.0,243200.0,993000.0,252700.0,594800.0,3148000.0,
3460000.0,1640000.0,1224000.0,479400.0,243200.0,993000.0,252700.0,594800.0,3229000.0,
3455000.0,1640000.0,1223000.0,479400.0,243200.0,993000.0,252700.0,594800.0,3229000.0,
3488000.0,1640000.0,1223000.0,477100.0,243200.0,993000.0,252700.0,594700.0,3402000.0,
3488000.0,1640000.0,1223000.0,477100.0,243200.0,993000.0,252700.0,594700.0,3402000.0,
3488000.0,1640000.0,1223000.0,477100.0,243200.0,993000.0,252700.0,594700.0,3402000.0,
3473000.0,1640000.0,1223000.0,477100.0,243200.0,993000.0,252700.0,594700.0,3402000.0,
3473000.0,1640000.0,1223000.0,477100.0,225600.0,993000.0,252700.0,594700.0,3402000.0,
3464000.0,1639000.0,1223000.0,470200.0,225400.0,992900.0,252500.0,594500.0,3400000.0,
3455000.0,1638000.0,1223000.0,470200.0,225400.0,992900.0,252500.0,594500.0,3400000.0,
3514000.0,1638000.0,1223000.0,470200.0,225400.0,992900.0,252500.0,594500.0,3400000.0,
3514000.0,1638000.0,1223000.0,465600.0,225400.0,992900.0,252400.0,594500.0,3400000.0,
3514000.0,1638000.0,1223000.0,465600.0,225400.0,992900.0,252400.0,594500.0,3400000.0,
3507000.0,1636000.0,1222000.0,463200.0,225300.0,992900.0,252400.0,594400.0,3397000.0,
3502000.0,1636000.0,1222000.0,463200.0,225300.0,992900.0,252400.0,594400.0,3397000.0,
3502000.0,1636000.0,1222000.0,454300.0,225200.0,992500.0,252300.0,594200.0,3397000.0,
3502000.0,1636000.0,1222000.0,454300.0,225200.0,992500.0,252300.0,594200.0,3397000.0,
3492000.0,1636000.0,1221000.0,454300.0,225200.0,992500.0,252300.0,594200.0,3397000.0,
3483000.0,1636000.0,1221000.0,452000.0,225100.0,992500.0,252200.0,594200.0,3395000.0,
3480000.0,1628000.0,1216000.0,452000.0,224700.0,992500.0,252200.0,594200.0,3395000.0,
3480000.0,1628000.0,1216000.0,452000.0,224700.0,992500.0,252200.0,594200.0,3395000.0,
3455000.0,1624000.0,1215000.0,452000.0,212100.0,992500.0,252200.0,594200.0,3452000.0,
3485000.0,1624000.0,1169000.0,452000.0,212100.0,992500.0,252200.0,594200.0,3452000.0,
3485000.0,1624000.0,1169000.0,452000.0,212100.0,992500.0,252200.0,594200.0,3452000.0,
3485000.0,1624000.0,1169000.0,452000.0,212100.0,992500.0,252200.0,594200.0,3452000.0,
3498000.0,1624000.0,1169000.0,452000.0,212000.0,992500.0,252200.0,594200.0,3452000.0,
3498000.0,1624000.0,1169000.0,452000.0,212000.0,992500.0,252200.0,594200.0,3482000.0,
3494000.0,1624000.0,1169000.0,452000.0,212000.0,992500.0,252200.0,594200.0,3482000.0,
3494000.0,1624000.0,1169000.0,452000.0,212000.0,992500.0,252200.0,594200.0,3503000.0,
3494000.0,1624000.0,1169000.0,452000.0,199400.0,992500.0,252200.0,594200.0,3503000.0,
3541000.0,1625000.0,1169000.0,445000.0,199400.0,992500.0,252100.0,594000.0,3625000.0,
3466000.0,1636000.0,1170000.0,503400.0,219700.0,972100.0,252100.0,988000.0,3231000.0,
3433000.0,1650000.0,1172000.0,514700.0,233300.0,965300.0,416500.0,1137000.0,2910000.0,
3201000.0,1662000.0,1175000.0,729500.0,261400.0,937100.0,416500.0,1378000.0,2667000.0,
3181000.0,1678000.0,1178000.0,720700.0,268200.0,930300.0,416400.0,1681000.0,2364000.0,
3152000.0,1684000.0,1179000.0,732900.0,288500.0,909900.0,416400.0,1944000.0,2101000.0,
3116000.0,1695000.0,1180000.0,756200.0,402700.0,795700.0,416400.0,2066000.0,1979000.0,
3092000.0,1704000.0,1183000.0,683100.0,401900.0,795700.0,416400.0,2157000.0,1877000.0,
3078000.0,1717000.0,1184000.0,700600.0,415500.0,782100.0,432700.0,2172000.0,1845000.0,
3040000.0,1729000.0,1187000.0,714300.0,422300.0,775400.0,432700.0,2237000.0,1780000.0,
3022000.0,1739000.0,1189000.0,709800.0,842000.0,340400.0,432700.0,2360000.0,1657000.0,
2987000.0,1760000.0,1192000.0,713300.0,842000.0,340300.0,432600.0,2458000.0,1557000.0,
2955000.0,1768000.0,1194000.0,726000.0,834400.0,340300.0,445400.0,2518000.0,1484000.0,
2908000.0,1777000.0,1196000.0,746400.0,834300.0,340300.0,465800.0,2615000.0,1367000.0,
2903000.0,1789000.0,1198000.0,776100.0,833600.0,333500.0,465800.0,2689000.0,1293000.0,
2932000.0,1798000.0,1200000.0,776100.0,840400.0,326700.0,479500.0,2686000.0,1380000.0,
2904000.0,1809000.0,1202000.0,781300.0,840400.0,326700.0,479500.0,2715000.0,1351000.0,
2884000.0,1814000.0,1203000.0,783000.0,840300.0,326700.0,479400.0,2744000.0,1319000.0,
2855000.0,1835000.0,1205000.0,789400.0,840300.0,326700.0,479400.0,2805000.0,1258000.0,
2840000.0,1843000.0,1207000.0,789400.0,832700.0,326700.0,479400.0,2829000.0,1235000.0,
2832000.0,1849000.0,1209000.0,789400.0,824400.0,319900.0,479400.0,2848000.0,1268000.0,
2804000.0,1850000.0,1211000.0,809500.0,816800.0,319900.0,479300.0,2928000.0,1188000.0,
2828000.0,1860000.0,1213000.0,805400.0,816800.0,319900.0,479300.0,2993000.0,1123000.0,
2815000.0,1863000.0,1218000.0,805400.0,816800.0,319900.0,489500.0,3052000.0,1054000.0,
2785000.0,1850000.0,1216000.0,826500.0,809200.0,319800.0,489400.0,3093000.0,1013000.0,
2740000.0,1841000.0,1214000.0,844100.0,809000.0,319700.0,489300.0,3111000.0,987000.0,
2724000.0,1843000.0,1218000.0,885800.0,809000.0,319700.0,489300.0,3135000.0,962400.0,
2685000.0,1856000.0,1218000.0,883300.0,820200.0,308400.0,489300.0,3135000.0,960600.0,
2670000.0,1865000.0,1219000.0,878800.0,820200.0,308400.0,489300.0,3135000.0,960600.0,
2653000.0,1873000.0,1223000.0,878800.0,820200.0,308400.0,489300.0,3135000.0,1096000.0,
2613000.0,1878000.0,1226000.0,860400.0,805600.0,299200.0,489300.0,3142000.0,1089000.0,
2516000.0,1881000.0,1226000.0,1001000.0,790500.0,306000.0,496000.0,3141000.0,1077000.0,
2471000.0,1885000.0,1227000.0,1040000.0,772900.0,306000.0,516400.0,3152000.0,1045000.0,
2485000.0,1886000.0,1231000.0,1070000.0,772900.0,306000.0,547100.0,3141000.0,1025000.0,
2469000.0,1885000.0,1232000.0,1066000.0,772900.0,306000.0,560700.0,3159000.0,993200.0,
2431000.0,1885000.0,1234000.0,1107000.0,756400.0,299900.0,567500.0,3186000.0,959300.0,
2424000.0,1889000.0,1214000.0,1103000.0,763100.0,293100.0,567500.0,3199000.0,946300.0,
2426000.0,1894000.0,1215000.0,1119000.0,763100.0,293100.0,574300.0,3217000.0,921700.0,
2400000.0,1885000.0,1216000.0,1128000.0,763100.0,693300.0,194400.0,3228000.0,890600.0,
2389000.0,1892000.0,1219000.0,1124000.0,754000.0,679700.0,233200.0,3189000.0,890600.0,
2383000.0,1896000.0,1220000.0,1170000.0,760800.0,672900.0,239200.0,3189000.0,883700.0,
2351000.0,1899000.0,1218000.0,1129000.0,766900.0,665700.0,245200.0,3197000.0,955800.0,
2321000.0,1902000.0,1220000.0,1155000.0,766900.0,665700.0,258700.0,3206000.0,933500.0,
2301000.0,1905000.0,1222000.0,1170000.0,766900.0,665700.0,270700.0,3254000.0,873100.0,
2276000.0,1918000.0,1224000.0,1175000.0,766900.0,665700.0,308900.0,3227000.0,861800.0,
2265000.0,1921000.0,1226000.0,1170000.0,766900.0,665700.0,322500.0,3214000.0,861800.0,
2254000.0,1929000.0,1229000.0,1166000.0,754300.0,665700.0,336000.0,3244000.0,817600.0,
2216000.0,1935000.0,1232000.0,1216000.0,747500.0,664900.0,336000.0,3256000.0,843000.0,
2203000.0,1939000.0,1233000.0,1215000.0,739900.0,664900.0,349500.0,3328000.0,872000.0,
2221000.0,1948000.0,1234000.0,1229000.0,717300.0,664900.0,369000.0,3309000.0,872000.0,
2196000.0,1934000.0,1237000.0,1141000.0,717300.0,664900.0,375800.0,3324000.0,838800.0,
2182000.0,1935000.0,1235000.0,1141000.0,777200.0,605000.0,375800.0,3331000.0,832000.0,
2173000.0,1939000.0,1219000.0,1138000.0,777200.0,605000.0,375800.0,3343000.0,819200.0,
2161000.0,1949000.0,1221000.0,1138000.0,769700.0,605000.0,382600.0,3397000.0,758300.0,
2143000.0,1955000.0,1221000.0,1093000.0,757100.0,605000.0,380600.0,3431000.0,723400.0,
2085000.0,1953000.0,1225000.0,1149000.0,757100.0,605000.0,390800.0,3436000.0,708700.0,
2055000.0,1957000.0,1228000.0,1168000.0,757100.0,605000.0,390600.0,3447000.0,697300.0,
2090000.0,1964000.0,1230000.0,1168000.0,757100.0,605000.0,402600.0,3448000.0,683900.0,
2062000.0,1963000.0,1231000.0,1186000.0,757000.0,605000.0,402600.0,3470000.0,662300.0,
1979000.0,1967000.0,1234000.0,1262000.0,757000.0,605000.0,408700.0,3490000.0,636300.0,
1960000.0,1964000.0,1236000.0,1267000.0,757000.0,605000.0,408500.0,3504000.0,622300.0,
1975000.0,1962000.0,1237000.0,1262000.0,742300.0,605000.0,408300.0,3572000.0,553600.0,
1968000.0,1959000.0,1237000.0,1262000.0,742300.0,611100.0,473700.0,3501000.0,553500.0,
1988000.0,1953000.0,1238000.0,1274000.0,724800.0,623300.0,473500.0,3500000.0,573000.0,
1954000.0,1951000.0,1240000.0,1283000.0,712200.0,629400.0,487600.0,3479000.0,725600.0,
1910000.0,1941000.0,1242000.0,1158000.0,685200.0,641400.0,474300.0,3471000.0,718100.0,
1906000.0,1944000.0,1243000.0,1158000.0,672000.0,662400.0,453200.0,3476000.0,706800.0,
1917000.0,1940000.0,1245000.0,1176000.0,1099000.0,204400.0,457700.0,3476000.0,695900.0,
1932000.0,1947000.0,1247000.0,1191000.0,1105000.0,256700.0,398600.0,3487000.0,684900.0,
1971000.0,1949000.0,1249000.0,1195000.0,1097000.0,256700.0,412000.0,3491000.0,667300.0,
1922000.0,1948000.0,1253000.0,1242000.0,1082000.0,276300.0,467000.0,3427000.0,656300.0,
1916000.0,1953000.0,1255000.0,1242000.0,1089000.0,269600.0,473800.0,3437000.0,640100.0,
1907000.0,1958000.0,1257000.0,1237000.0,1081000.0,281700.0,509000.0,3389000.0,640000.0,
1877000.0,1960000.0,1261000.0,1257000.0,1074000.0,281700.0,522600.0,3421000.0,594400.0,
1858000.0,1959000.0,1265000.0,1273000.0,1081000.0,287800.0,527800.0,3413000.0,584500.0,
1841000.0,1965000.0,1268000.0,1282000.0,1087000.0,291900.0,550900.0,3379000.0,584500.0,
1919000.0,1970000.0,1269000.0,1282000.0,1072000.0,298000.0,578700.0,3345000.0,584500.0,
1876000.0,1980000.0,1272000.0,1307000.0,1072000.0,297900.0,578700.0,3345000.0,584400.0,
1856000.0,1984000.0,1273000.0,1316000.0,1072000.0,297900.0,578700.0,3382000.0,547600.0,
1829000.0,1991000.0,1275000.0,1329000.0,1065000.0,304700.0,619400.0,3334000.0,685200.0,
1807000.0,1993000.0,1276000.0,1339000.0,1065000.0,324400.0,638000.0,3323000.0,657700.0,
1800000.0,1998000.0,1278000.0,1339000.0,1078000.0,317600.0,644800.0,3346000.0,621600.0,
1773000.0,1998000.0,1280000.0,1353000.0,1078000.0,317600.0,651500.0,3368000.0,592200.0,
1704000.0,1982000.0,1279000.0,1386000.0,1071000.0,326700.0,649100.0,3362000.0,592200.0,
1694000.0,1981000.0,1282000.0,1392000.0,1071000.0,326700.0,662700.0,3348000.0,592200.0,
1715000.0,1986000.0,1284000.0,1392000.0,1048000.0,333500.0,1060000.0,2970000.0,566600.0,
