RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
3440000.0,1640000.0,1224000.0,479400.0,243200.0,993000.0,252700.0,594800.0,3148000.0,
3464000.0,1638000.0,1224000.0,479400.0,243200.0,993000.0,252700.0,594800.0,3260000.0,
3505000.0,1638000.0,1222000.0,479400.0,225500.0,993000.0,252700.0,594800.0,3260000.0,
3505000.0,1638000.0,1222000.0,479400.0,213000.0,993000.0,252700.0,594800.0,3260000.0,
3485000.0,1638000.0,1222000.0,479400.0,213000.0,993000.0,252700.0,594800.0,3260000.0,
3485000.0,1638000.0,1222000.0,479400.0,213000.0,993000.0,252700.0,594800.0,3260000.0,
3480000.0,1638000.0,1222000.0,479400.0,213000.0,993000.0,252700.0,594800.0,3260000.0,
3475000.0,1638000.0,1222000.0,477100.0,212900.0,993000.0,252700.0,594700.0,3258000.0,
3475000.0,1638000.0,1222000.0,477100.0,212900.0,993000.0,252700.0,594700.0,3258000.0,
3475000.0,1638000.0,1222000.0,477100.0,212900.0,993000.0,252700.0,594700.0,3258000.0,
3442000.0,1637000.0,1222000.0,477100.0,212800.0,993000.0,252700.0,594700.0,3256000.0,
3437000.0,1637000.0,1222000.0,477100.0,212800.0,993000.0,252700.0,594700.0,3256000.0,
3453000.0,1637000.0,1222000.0,472600.0,212800.0,993000.0,252600.0,594600.0,3340000.0,
3447000.0,1635000.0,1221000.0,472600.0,212700.0,993000.0,252600.0,594600.0,3338000.0,
3467000.0,1634000.0,1221000.0,472600.0,212700.0,993000.0,252600.0,594600.0,3338000.0,
3462000.0,1634000.0,1221000.0,472600.0,212700.0,993000.0,252600.0,594600.0,3338000.0,
3457000.0,1633000.0,1221000.0,468000.0,212700.0,992900.0,252500.0,594500.0,3338000.0,
3452000.0,1633000.0,1221000.0,468000.0,212700.0,992900.0,252500.0,594500.0,3338000.0,
3443000.0,1632000.0,1221000.0,468000.0,212700.0,992900.0,252500.0,594500.0,3338000.0,
3443000.0,1632000.0,1221000.0,468000.0,212700.0,992900.0,252500.0,594500.0,3338000.0,
