RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
3440000.0,1640000.0,1224000.0,479400.0,243200.0,993000.0,252700.0,594800.0,3148000.0,
3487000.0,1640000.0,1222000.0,474900.0,243100.0,993000.0,252600.0,594700.0,3148000.0,
3487000.0,1640000.0,1215000.0,474900.0,243100.0,993000.0,252600.0,594700.0,3287000.0,
3471000.0,1636000.0,1215000.0,470300.0,225400.0,993000.0,252500.0,594600.0,3287000.0,
3532000.0,1631000.0,1215000.0,470300.0,225400.0,993000.0,252500.0,594600.0,3287000.0,
3532000.0,1631000.0,1215000.0,470300.0,225400.0,993000.0,252500.0,594600.0,3287000.0,
3523000.0,1631000.0,1214000.0,467900.0,225400.0,992900.0,252500.0,594500.0,3285000.0,
3519000.0,1624000.0,1214000.0,465500.0,225400.0,992900.0,252400.0,594400.0,3283000.0,
3509000.0,1619000.0,1214000.0,465500.0,225400.0,992900.0,252400.0,594400.0,3283000.0,
3504000.0,1619000.0,1214000.0,465500.0,212800.0,992900.0,252400.0,594400.0,3283000.0,
3499000.0,1619000.0,1214000.0,465500.0,212800.0,992900.0,252400.0,594400.0,3369000.0,
3487000.0,1619000.0,1214000.0,465500.0,212800.0,992900.0,252400.0,594400.0,3369000.0,
3524000.0,1619000.0,1214000.0,465500.0,212800.0,992900.0,252400.0,594400.0,3369000.0,
3500000.0,1618000.0,1212000.0,459100.0,212700.0,992900.0,252400.0,594400.0,3365000.0,
3496000.0,1617000.0,1211000.0,459100.0,212700.0,992900.0,252400.0,594400.0,3365000.0,
3559000.0,1617000.0,1211000.0,459100.0,212700.0,992900.0,252400.0,594400.0,3365000.0,
3541000.0,1615000.0,1211000.0,459100.0,193400.0,992900.0,252400.0,594400.0,3506000.0,
3541000.0,1615000.0,1211000.0,454700.0,193200.0,992800.0,252300.0,594300.0,3506000.0,
3537000.0,1614000.0,1211000.0,454700.0,193200.0,992800.0,252300.0,594300.0,3506000.0,
3537000.0,1614000.0,1211000.0,454700.0,193200.0,992800.0,252300.0,594300.0,3506000.0,
3529000.0,1611000.0,1211000.0,452300.0,175600.0,992800.0,252300.0,594200.0,3504000.0,
3546000.0,1611000.0,1211000.0,452300.0,175600.0,992800.0,252300.0,594200.0,3504000.0,
3532000.0,1611000.0,1210000.0,452300.0,175500.0,992800.0,252300.0,594200.0,3504000.0,
3606000.0,1611000.0,1210000.0,452300.0,175500.0,992800.0,252300.0,594200.0,3504000.0,
3599000.0,1609000.0,1209000.0,452300.0,175400.0,992800.0,252300.0,594200.0,3504000.0,
3597000.0,1606000.0,1208000.0,452300.0,175400.0,992800.0,252300.0,594200.0,3504000.0,
3573000.0,1602000.0,1208000.0,452300.0,175400.0,992800.0,252300.0,594200.0,3504000.0,
3569000.0,1602000.0,1208000.0,452300.0,175400.0,992800.0,252300.0,594200.0,3504000.0,
3569000.0,1602000.0,1208000.0,452300.0,175400.0,992800.0,252300.0,594200.0,3504000.0,
3562000.0,1598000.0,1208000.0,452300.0,175400.0,992800.0,252300.0,594200.0,3532000.0,
3561000.0,1599000.0,1208000.0,447600.0,175400.0,992700.0,252100.0,594200.0,3527000.0,
3530000.0,1606000.0,1210000.0,454300.0,182100.0,986000.0,252100.0,832200.0,3289000.0,
3493000.0,1609000.0,1212000.0,475800.0,202400.0,972400.0,245400.0,997400.0,3124000.0,
3487000.0,1613000.0,1214000.0,475800.0,216000.0,958800.0,245400.0,1153000.0,2969000.0,
3442000.0,1631000.0,1216000.0,486500.0,265800.0,915800.0,238600.0,1356000.0,2817000.0,
3426000.0,1635000.0,1217000.0,497400.0,270300.0,903800.0,238600.0,1635000.0,2538000.0,
3396000.0,1637000.0,1220000.0,522100.0,277100.0,897000.0,263300.0,1723000.0,2426000.0,
3341000.0,1648000.0,1222000.0,559200.0,277100.0,897000.0,263300.0,1847000.0,2301000.0,
3291000.0,1663000.0,1224000.0,592200.0,664000.0,496200.0,263300.0,1975000.0,2262000.0,
3273000.0,1675000.0,1226000.0,638200.0,647700.0,495500.0,297700.0,1993000.0,2203000.0,
3223000.0,1684000.0,1229000.0,684000.0,621300.0,495500.0,297700.0,2036000.0,2160000.0,
3155000.0,1694000.0,1230000.0,726300.0,634100.0,475100.0,297600.0,2077000.0,2117000.0,
2983000.0,1698000.0,1232000.0,912900.0,626500.0,475100.0,297600.0,2107000.0,2087000.0,
2955000.0,1708000.0,1235000.0,918700.0,633200.0,468300.0,317000.0,2204000.0,1971000.0,
2936000.0,1710000.0,1237000.0,928400.0,619400.0,468300.0,317000.0,2312000.0,1863000.0,
2919000.0,1713000.0,1240000.0,940400.0,619400.0,468300.0,317000.0,2361000.0,1839000.0,
2909000.0,1720000.0,1242000.0,940400.0,630700.0,457000.0,323800.0,2421000.0,1772000.0,
2923000.0,1733000.0,1244000.0,965300.0,596000.0,450200.0,323800.0,2510000.0,1683000.0,
2914000.0,1739000.0,1248000.0,965300.0,596000.0,450200.0,323800.0,2554000.0,1670000.0,
2880000.0,1750000.0,1250000.0,990200.0,596000.0,450200.0,338100.0,2552000.0,1657000.0,
2756000.0,1759000.0,1251000.0,1098000.0,596000.0,457000.0,331300.0,2642000.0,1567000.0,
2765000.0,1758000.0,1254000.0,1096000.0,596000.0,457000.0,331300.0,2656000.0,1604000.0,
2735000.0,1773000.0,1255000.0,1102000.0,596000.0,456900.0,331200.0,2695000.0,1563000.0,
2676000.0,1786000.0,1256000.0,1135000.0,588500.0,456900.0,331200.0,2744000.0,1634000.0,
2653000.0,1787000.0,1259000.0,1144000.0,588500.0,456900.0,331200.0,2751000.0,1627000.0,
2638000.0,1791000.0,1261000.0,1144000.0,567100.0,456900.0,331200.0,2831000.0,1546000.0,
