RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
3440000.0,1640000.0,1224000.0,479400.0,243200.0,993000.0,252700.0,594800.0,3148000.0,
3466000.0,1640000.0,1223000.0,474900.0,243200.0,993000.0,252600.0,594700.0,3148000.0,
3456000.0,1635000.0,1223000.0,474900.0,243200.0,993000.0,252600.0,594700.0,3243000.0,
3411000.0,1635000.0,1223000.0,474900.0,243200.0,993000.0,252600.0,594700.0,3243000.0,
3401000.0,1635000.0,1223000.0,474900.0,243200.0,993000.0,252600.0,594700.0,3243000.0,
3444000.0,1635000.0,1223000.0,470300.0,243100.0,993000.0,252500.0,594600.0,3243000.0,
3424000.0,1635000.0,1222000.0,470300.0,243000.0,993000.0,252500.0,594600.0,3243000.0,
3476000.0,1633000.0,1221000.0,470300.0,243000.0,993000.0,252500.0,594600.0,3242000.0,
3462000.0,1611000.0,1221000.0,470300.0,243000.0,993000.0,252500.0,594600.0,3242000.0,
3462000.0,1611000.0,1221000.0,467900.0,226600.0,992900.0,252500.0,594500.0,3240000.0,
3451000.0,1610000.0,1219000.0,467900.0,226500.0,992900.0,252500.0,594500.0,3240000.0,
3447000.0,1608000.0,1219000.0,463600.0,213900.0,992900.0,252400.0,594400.0,3240000.0,
3485000.0,1608000.0,1217000.0,461300.0,213800.0,992900.0,252400.0,594400.0,3238000.0,
3441000.0,1607000.0,1217000.0,461300.0,213800.0,992900.0,252400.0,594400.0,3238000.0,
3418000.0,1607000.0,1202000.0,461300.0,213800.0,992900.0,252400.0,594400.0,3302000.0,
3475000.0,1607000.0,1202000.0,461300.0,213800.0,992900.0,252400.0,594400.0,3302000.0,
3475000.0,1602000.0,1202000.0,461300.0,213800.0,992900.0,252400.0,594400.0,3302000.0,
3460000.0,1593000.0,1202000.0,461300.0,213800.0,992900.0,252400.0,594400.0,3302000.0,
3411000.0,1593000.0,1201000.0,461300.0,213700.0,992900.0,252400.0,594400.0,3302000.0,
3389000.0,1589000.0,1201000.0,457000.0,213600.0,992800.0,252300.0,594400.0,3302000.0,
3491000.0,1589000.0,1181000.0,457000.0,213600.0,992800.0,252300.0,594400.0,3420000.0,
3452000.0,1589000.0,1179000.0,452600.0,213500.0,992800.0,252200.0,594400.0,3419000.0,
3452000.0,1589000.0,1179000.0,452600.0,213500.0,992800.0,252200.0,594400.0,3419000.0,
3518000.0,1580000.0,1179000.0,452600.0,213500.0,992800.0,252200.0,594400.0,3419000.0,
3482000.0,1580000.0,1179000.0,452600.0,213500.0,992800.0,252200.0,594400.0,3419000.0,
3466000.0,1580000.0,1179000.0,452600.0,213500.0,992800.0,252200.0,594400.0,3419000.0,
3447000.0,1580000.0,1178000.0,452600.0,213400.0,992800.0,252200.0,594400.0,3419000.0,
3483000.0,1580000.0,1178000.0,452600.0,213400.0,992800.0,252200.0,594400.0,3419000.0,
3455000.0,1574000.0,1178000.0,452600.0,213400.0,992800.0,252200.0,594400.0,3419000.0,
3455000.0,1574000.0,1178000.0,452600.0,213400.0,992800.0,252200.0,594400.0,3419000.0,
3450000.0,1573000.0,1178000.0,452600.0,213400.0,992800.0,252200.0,594400.0,3419000.0,
3499000.0,1578000.0,1179000.0,464900.0,226900.0,979200.0,252200.0,947600.0,3066000.0,
3482000.0,1588000.0,1180000.0,464900.0,240500.0,965700.0,252200.0,1229000.0,2785000.0,
3465000.0,1593000.0,1182000.0,464900.0,777200.0,429000.0,259000.0,1591000.0,2467000.0,
3402000.0,1603000.0,1185000.0,510800.0,790600.0,415400.0,259000.0,1764000.0,2294000.0,
3271000.0,1608000.0,1186000.0,625400.0,797300.0,408500.0,258800.0,1959000.0,2112000.0,
3228000.0,1622000.0,1188000.0,648100.0,810900.0,401700.0,252100.0,2128000.0,1979000.0,
3212000.0,1625000.0,1188000.0,645200.0,810800.0,401700.0,252100.0,2332000.0,1775000.0,
3181000.0,1637000.0,1190000.0,662300.0,817600.0,395000.0,258800.0,2452000.0,1648000.0,
3255000.0,1640000.0,1192000.0,673600.0,797500.0,395000.0,258800.0,2541000.0,1678000.0,
3235000.0,1642000.0,1195000.0,683800.0,797500.0,395000.0,276100.0,2542000.0,1659000.0,
3201000.0,1646000.0,1199000.0,694100.0,778600.0,600800.0,70270.0,2591000.0,1611000.0,
3188000.0,1647000.0,1201000.0,694100.0,778600.0,600800.0,70270.0,2651000.0,1551000.0,
3077000.0,1666000.0,1203000.0,784500.0,785400.0,594000.0,77050.0,2690000.0,1504000.0,
3067000.0,1669000.0,1205000.0,784500.0,799000.0,580500.0,77050.0,2757000.0,1438000.0,
2986000.0,1674000.0,1206000.0,853400.0,778900.0,580500.0,77050.0,2803000.0,1392000.0,
2967000.0,1685000.0,1208000.0,859500.0,763100.0,572900.0,77050.0,2964000.0,1285000.0,
2957000.0,1689000.0,1210000.0,895900.0,762300.0,566100.0,77050.0,2989000.0,1260000.0,
2939000.0,1696000.0,1211000.0,895900.0,744700.0,566100.0,92890.0,2990000.0,1268000.0,
2875000.0,1690000.0,1213000.0,944100.0,744700.0,566100.0,99670.0,3008000.0,1244000.0,
2848000.0,1693000.0,1215000.0,955800.0,744700.0,566100.0,99670.0,3047000.0,1250000.0,
2836000.0,1695000.0,1215000.0,944600.0,751400.0,559400.0,99670.0,3113000.0,1184000.0,
2701000.0,1706000.0,1216000.0,1089000.0,751400.0,559400.0,99670.0,3119000.0,1177000.0,
2648000.0,1715000.0,1218000.0,1131000.0,757500.0,545800.0,99670.0,3139000.0,1158000.0,
2624000.0,1718000.0,1222000.0,1144000.0,757500.0,545800.0,99670.0,3163000.0,1168000.0,
2618000.0,1721000.0,1224000.0,1144000.0,764300.0,539000.0,99670.0,3163000.0,1204000.0,
2605000.0,1725000.0,1224000.0,1144000.0,763900.0,539000.0,99670.0,3191000.0,1177000.0,
2598000.0,1730000.0,1226000.0,1144000.0,763900.0,539000.0,99670.0,3210000.0,1158000.0,
2576000.0,1745000.0,1228000.0,1144000.0,763900.0,539000.0,99670.0,3210000.0,1158000.0,
2628000.0,1751000.0,1229000.0,1144000.0,757100.0,538300.0,110000.0,3223000.0,1206000.0,
2573000.0,1765000.0,1231000.0,1184000.0,757100.0,538300.0,110000.0,3278000.0,1151000.0,
2561000.0,1765000.0,1232000.0,1179000.0,757100.0,538300.0,122900.0,3299000.0,1117000.0,
2537000.0,1775000.0,1234000.0,1187000.0,763800.0,531400.0,140800.0,3322000.0,1075000.0,
2595000.0,1771000.0,1237000.0,1201000.0,751200.0,531400.0,147600.0,3316000.0,1075000.0,
2574000.0,1780000.0,1239000.0,1201000.0,751200.0,531400.0,153700.0,3309000.0,1075000.0,
2560000.0,1791000.0,1241000.0,1201000.0,738700.0,531400.0,174800.0,3288000.0,1107000.0,
2550000.0,1790000.0,1221000.0,1196000.0,721000.0,531400.0,174800.0,3300000.0,1096000.0,
2515000.0,1798000.0,1224000.0,1216000.0,1105000.0,139900.0,188300.0,3310000.0,1072000.0,
2501000.0,1799000.0,1211000.0,1226000.0,1112000.0,133100.0,206500.0,3306000.0,1058000.0,
2516000.0,1805000.0,1215000.0,1226000.0,1119000.0,133100.0,206500.0,3336000.0,1021000.0,
2503000.0,1817000.0,1217000.0,1226000.0,1119000.0,142800.0,230000.0,3357000.0,967000.0,
2577000.0,1818000.0,1213000.0,1226000.0,1111000.0,142800.0,252100.0,3380000.0,999600.0,
2533000.0,1828000.0,1214000.0,1244000.0,1111000.0,142800.0,270100.0,3463000.0,898400.0,
2520000.0,1834000.0,1216000.0,1239000.0,1111000.0,142800.0,289600.0,3526000.0,816000.0,
2495000.0,1842000.0,1219000.0,1253000.0,1088000.0,142800.0,345100.0,3534000.0,752000.0,
2489000.0,1842000.0,1220000.0,1239000.0,1088000.0,142800.0,351800.0,3552000.0,727500.0,
