RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
3440000.0,1640000.0,1224000.0,479400.0,243200.0,993000.0,252700.0,594800.0,3148000.0,
3422000.0,1639000.0,1222000.0,479400.0,243100.0,993000.0,252700.0,594800.0,3148000.0,
3493000.0,1639000.0,1222000.0,477100.0,225500.0,993000.0,252700.0,594700.0,3146000.0,
3487000.0,1637000.0,1222000.0,477100.0,225500.0,993000.0,252700.0,594700.0,3288000.0,
3462000.0,1637000.0,1222000.0,477100.0,225500.0,993000.0,252700.0,594700.0,3288000.0,
3428000.0,1637000.0,1222000.0,472500.0,225400.0,993000.0,252600.0,594600.0,3288000.0,
3428000.0,1637000.0,1222000.0,470200.0,225400.0,992900.0,252500.0,594500.0,3286000.0,
3472000.0,1637000.0,1221000.0,470200.0,225300.0,992900.0,252500.0,594500.0,3286000.0,
3467000.0,1637000.0,1221000.0,467800.0,225300.0,992900.0,252500.0,594500.0,3283000.0,
3457000.0,1637000.0,1221000.0,467800.0,225300.0,992900.0,252500.0,594500.0,3283000.0,
3432000.0,1637000.0,1221000.0,467800.0,225300.0,992900.0,252500.0,594500.0,3283000.0,
3398000.0,1631000.0,1221000.0,465500.0,225200.0,992900.0,252500.0,594400.0,3281000.0,
3451000.0,1631000.0,1221000.0,465500.0,225200.0,992900.0,252500.0,594400.0,3281000.0,
3438000.0,1631000.0,1221000.0,458600.0,225100.0,992800.0,252400.0,594300.0,3279000.0,
3428000.0,1631000.0,1221000.0,458600.0,225100.0,992800.0,252400.0,594300.0,3403000.0,
3451000.0,1631000.0,1219000.0,458600.0,225100.0,992800.0,252400.0,594300.0,3403000.0,
3438000.0,1631000.0,1217000.0,458600.0,225000.0,992800.0,252400.0,594300.0,3402000.0,
3423000.0,1631000.0,1217000.0,458600.0,225000.0,992800.0,252400.0,594300.0,3402000.0,
3413000.0,1630000.0,1217000.0,456100.0,224900.0,992800.0,252300.0,594200.0,3500000.0,
3391000.0,1627000.0,1216000.0,456100.0,224900.0,992800.0,252300.0,594200.0,3500000.0,
3366000.0,1627000.0,1215000.0,456100.0,224900.0,992800.0,252300.0,594200.0,3500000.0,
3385000.0,1627000.0,1215000.0,456100.0,189400.0,992800.0,252300.0,594200.0,3500000.0,
3438000.0,1627000.0,1215000.0,451600.0,189300.0,992800.0,252200.0,594100.0,3500000.0,
3428000.0,1627000.0,1215000.0,451600.0,189300.0,992800.0,252200.0,594100.0,3500000.0,
3421000.0,1626000.0,1212000.0,451600.0,189200.0,992800.0,252200.0,594100.0,3500000.0,
3421000.0,1626000.0,1212000.0,451600.0,189200.0,992800.0,252200.0,594100.0,3500000.0,
3424000.0,1625000.0,1212000.0,451600.0,189200.0,992800.0,252200.0,594100.0,3500000.0,
3424000.0,1625000.0,1212000.0,451600.0,189200.0,992800.0,252200.0,594100.0,3500000.0,
3480000.0,1624000.0,1210000.0,451600.0,189200.0,992800.0,252200.0,594100.0,3567000.0,
3462000.0,1624000.0,1210000.0,451600.0,181600.0,992800.0,252200.0,594100.0,3567000.0,
3457000.0,1618000.0,1210000.0,449000.0,181600.0,992700.0,252200.0,594000.0,3565000.0,
3419000.0,1627000.0,1212000.0,456900.0,181500.0,992700.0,258900.0,719600.0,3470000.0,
3383000.0,1648000.0,1214000.0,463700.0,195100.0,979100.0,258900.0,876700.0,3313000.0,
3375000.0,1654000.0,1216000.0,463700.0,201900.0,979100.0,252100.0,1048000.0,3141000.0,
3313000.0,1681000.0,1218000.0,487500.0,201900.0,985900.0,245300.0,1293000.0,2897000.0,
3277000.0,1688000.0,1220000.0,509500.0,201900.0,985900.0,245300.0,1454000.0,2736000.0,
3271000.0,1693000.0,1222000.0,509500.0,840400.0,347400.0,245300.0,1511000.0,2743000.0,
3266000.0,1694000.0,1223000.0,525800.0,729000.0,340600.0,245300.0,1766000.0,2486000.0,
3317000.0,1701000.0,1224000.0,525800.0,749300.0,320300.0,245300.0,1835000.0,2506000.0,
3118000.0,1710000.0,1225000.0,705400.0,762900.0,306600.0,245200.0,1908000.0,2432000.0,
3112000.0,1713000.0,1228000.0,705400.0,762900.0,306600.0,245200.0,2083000.0,2257000.0,
3125000.0,1731000.0,1230000.0,715900.0,762900.0,306600.0,245200.0,2221000.0,2119000.0,
3051000.0,1734000.0,1233000.0,751300.0,762100.0,299900.0,245200.0,2276000.0,2064000.0,
3020000.0,1743000.0,1235000.0,748700.0,768800.0,293000.0,245200.0,2366000.0,1973000.0,
3041000.0,1753000.0,1237000.0,762000.0,768800.0,293000.0,245200.0,2393000.0,1946000.0,
3059000.0,1758000.0,1239000.0,775900.0,768800.0,293000.0,278400.0,2516000.0,1790000.0,
3025000.0,1763000.0,1240000.0,773300.0,759600.0,279400.0,278100.0,2603000.0,1746000.0,
2992000.0,1783000.0,1242000.0,780100.0,759600.0,279400.0,295000.0,2616000.0,1717000.0,
3033000.0,1780000.0,1243000.0,696100.0,758600.0,278700.0,293800.0,2657000.0,1650000.0,
2884000.0,1815000.0,1246000.0,801700.0,751100.0,471000.0,101500.0,2805000.0,1502000.0,
2874000.0,1823000.0,1248000.0,801700.0,764000.0,458100.0,101500.0,2894000.0,1446000.0,
2860000.0,1829000.0,1250000.0,801700.0,743900.0,458100.0,101500.0,2921000.0,1419000.0,
2879000.0,1829000.0,1251000.0,809500.0,743800.0,458100.0,101500.0,3081000.0,1326000.0,
2787000.0,1829000.0,1254000.0,891000.0,736200.0,458100.0,101400.0,3292000.0,1113000.0,
2773000.0,1841000.0,1255000.0,887500.0,736200.0,458000.0,101400.0,3345000.0,1059000.0,
2733000.0,1862000.0,1257000.0,904900.0,736200.0,458000.0,101400.0,3402000.0,1002000.0,
2702000.0,1869000.0,1259000.0,926600.0,736200.0,458000.0,101400.0,3402000.0,1002000.0,
2722000.0,1872000.0,1263000.0,939500.0,736200.0,458000.0,101400.0,3445000.0,1027000.0,
2693000.0,1878000.0,1263000.0,952300.0,723600.0,458000.0,101300.0,3504000.0,967000.0,
2662000.0,1886000.0,1266000.0,933700.0,723600.0,458000.0,121700.0,3516000.0,934200.0,
2619000.0,1890000.0,1266000.0,952000.0,723600.0,458000.0,131900.0,3562000.0,878200.0,
2608000.0,1899000.0,1267000.0,947600.0,723600.0,464800.0,125100.0,3562000.0,878200.0,
2603000.0,1901000.0,1269000.0,944100.0,716000.0,464800.0,136200.0,3563000.0,864600.0,
2557000.0,1912000.0,1272000.0,978100.0,716000.0,464800.0,143000.0,3575000.0,846300.0,
2652000.0,1912000.0,1274000.0,978100.0,722800.0,458000.0,156200.0,3562000.0,846300.0,
2607000.0,1915000.0,1276000.0,1012000.0,722800.0,464800.0,149400.0,3579000.0,995000.0,
2588000.0,1931000.0,1278000.0,1008000.0,715100.0,464800.0,163700.0,3668000.0,891400.0,
2574000.0,1938000.0,1281000.0,1008000.0,707600.0,464800.0,205400.0,3626000.0,891400.0,
2559000.0,1950000.0,1283000.0,1004000.0,707600.0,464700.0,205400.0,3639000.0,877800.0,
2553000.0,1953000.0,1287000.0,1004000.0,700000.0,464700.0,218900.0,3657000.0,846300.0,
