RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
3440000.0,1640000.0,1224000.0,479400.0,243200.0,993000.0,252700.0,594800.0,3148000.0,
3452000.0,1640000.0,1224000.0,479400.0,243200.0,993000.0,252700.0,594800.0,3148000.0,
3445000.0,1639000.0,1222000.0,396800.0,242200.0,992300.0,251300.0,594600.0,3158000.0,
3424000.0,1639000.0,1221000.0,396800.0,242100.0,992300.0,251300.0,594600.0,3158000.0,
3414000.0,1638000.0,1221000.0,396800.0,242100.0,992300.0,251300.0,594600.0,3158000.0,
3443000.0,1638000.0,1221000.0,396800.0,211900.0,992300.0,251300.0,594600.0,3158000.0,
3411000.0,1638000.0,1221000.0,396800.0,211900.0,992300.0,251300.0,594600.0,3158000.0,
3403000.0,1638000.0,1220000.0,393400.0,211700.0,992300.0,251200.0,594600.0,3156000.0,
3387000.0,1637000.0,1220000.0,393400.0,211700.0,992300.0,251200.0,594600.0,3156000.0,
3447000.0,1637000.0,1220000.0,390100.0,211700.0,992300.0,251200.0,594600.0,3228000.0,
3526000.0,1637000.0,1220000.0,390100.0,211700.0,992300.0,251200.0,594600.0,3228000.0,
3521000.0,1632000.0,1220000.0,386700.0,211700.0,992200.0,251100.0,594600.0,3227000.0,
3507000.0,1631000.0,1220000.0,386700.0,211700.0,992200.0,251100.0,594600.0,3227000.0,
3498000.0,1631000.0,1219000.0,386700.0,211600.0,992200.0,251100.0,594600.0,3227000.0,
3493000.0,1631000.0,1219000.0,386700.0,211600.0,992200.0,251100.0,594600.0,3227000.0,
3493000.0,1631000.0,1219000.0,386700.0,211600.0,992200.0,251100.0,594600.0,3246000.0,
3488000.0,1631000.0,1219000.0,383300.0,211500.0,992200.0,251100.0,594600.0,3245000.0,
3450000.0,1631000.0,1219000.0,383300.0,211500.0,992200.0,251100.0,594600.0,3304000.0,
3445000.0,1631000.0,1219000.0,383300.0,211500.0,992200.0,251100.0,594600.0,3304000.0,
3440000.0,1631000.0,1219000.0,383300.0,211500.0,992200.0,251100.0,594600.0,3304000.0,
3415000.0,1631000.0,1219000.0,383300.0,211500.0,992200.0,251100.0,594600.0,3304000.0,
3376000.0,1631000.0,1218000.0,383300.0,211400.0,992200.0,251100.0,594600.0,3304000.0,
3369000.0,1631000.0,1218000.0,379800.0,211400.0,992200.0,251000.0,594600.0,3350000.0,
3408000.0,1630000.0,1218000.0,379800.0,188500.0,992200.0,251000.0,594600.0,3350000.0,
3462000.0,1630000.0,1218000.0,379800.0,188500.0,992200.0,251000.0,594600.0,3350000.0,
3457000.0,1624000.0,1215000.0,379800.0,188500.0,992200.0,251000.0,594600.0,3350000.0,
3428000.0,1624000.0,1215000.0,379800.0,188500.0,992200.0,251000.0,594600.0,3350000.0,
3428000.0,1624000.0,1215000.0,379800.0,165900.0,992200.0,251000.0,594600.0,3385000.0,
3420000.0,1622000.0,1215000.0,376200.0,165800.0,992100.0,251000.0,594600.0,3384000.0,
3410000.0,1622000.0,1215000.0,376200.0,165800.0,992100.0,251000.0,594600.0,3384000.0,
3410000.0,1622000.0,1214000.0,372600.0,165800.0,992100.0,250900.0,594600.0,3445000.0,
3362000.0,1631000.0,1217000.0,397600.0,165800.0,998900.0,244100.0,801600.0,3238000.0,
3342000.0,1635000.0,1219000.0,397600.0,172600.0,992100.0,402100.0,1170000.0,2712000.0,
3348000.0,1639000.0,1220000.0,397600.0,179300.0,985300.0,402100.0,1345000.0,2536000.0,
3159000.0,1644000.0,1221000.0,574800.0,199700.0,965000.0,402100.0,1488000.0,2394000.0,
2978000.0,1655000.0,1225000.0,736800.0,199700.0,971700.0,405500.0,1657000.0,2214000.0,
2942000.0,1669000.0,1227000.0,749000.0,206400.0,964900.0,405400.0,1836000.0,2034000.0,
2900000.0,1680000.0,1228000.0,769200.0,219900.0,951300.0,405300.0,2002000.0,1961000.0,
2844000.0,1688000.0,1230000.0,815500.0,226700.0,944500.0,405300.0,2072000.0,1890000.0,
2825000.0,1690000.0,1232000.0,815500.0,226700.0,944500.0,405300.0,2196000.0,1767000.0,
2812000.0,1691000.0,1233000.0,848500.0,226700.0,944500.0,1825000.0,913300.0,1629000.0,
2784000.0,1697000.0,1235000.0,858100.0,233500.0,937700.0,1832000.0,946000.0,1590000.0,
2756000.0,1700000.0,1237000.0,872400.0,240200.0,931000.0,1832000.0,1045000.0,1490000.0,
2733000.0,1708000.0,1238000.0,885500.0,253800.0,917400.0,1839000.0,1050000.0,1479000.0,
2669000.0,1718000.0,1241000.0,937300.0,253800.0,917400.0,1839000.0,1169000.0,1378000.0,
2621000.0,1723000.0,1242000.0,964500.0,253800.0,917400.0,1839000.0,1205000.0,1342000.0,
2609000.0,1723000.0,1244000.0,964500.0,697100.0,474100.0,1839000.0,1248000.0,1369000.0,
2605000.0,1723000.0,1244000.0,964500.0,867700.0,295800.0,1839000.0,1285000.0,1331000.0,
2634000.0,1734000.0,1221000.0,964500.0,874400.0,289100.0,1839000.0,1308000.0,1308000.0,
2678000.0,1735000.0,1222000.0,960000.0,831700.0,289100.0,1849000.0,1443000.0,1163000.0,
2670000.0,1741000.0,1224000.0,955200.0,831700.0,289100.0,1856000.0,1485000.0,1114000.0,
2637000.0,1752000.0,1225000.0,966700.0,831700.0,289100.0,1856000.0,1516000.0,1083000.0,
2623000.0,1763000.0,1227000.0,966700.0,831700.0,289100.0,1856000.0,1516000.0,1155000.0,
2604000.0,1776000.0,1229000.0,966700.0,831600.0,289100.0,1867000.0,1521000.0,1139000.0,
2471000.0,1791000.0,1229000.0,1115000.0,831600.0,289100.0,1892000.0,1523000.0,1111000.0,
2466000.0,1794000.0,1213000.0,1106000.0,831600.0,289000.0,1892000.0,1539000.0,1095000.0,
2364000.0,1802000.0,1215000.0,1188000.0,831500.0,289000.0,1892000.0,1596000.0,1036000.0,
2354000.0,1805000.0,1217000.0,1183000.0,845000.0,275400.0,1892000.0,1739000.0,893300.0,
2368000.0,1805000.0,1217000.0,1165000.0,845000.0,275400.0,1892000.0,1751000.0,881300.0,
2302000.0,1813000.0,1219000.0,1191000.0,845000.0,275400.0,1892000.0,1764000.0,967100.0,
2295000.0,1817000.0,1222000.0,1191000.0,844300.0,275400.0,1885000.0,1776000.0,954700.0,
2244000.0,1816000.0,1224000.0,1220000.0,844300.0,275400.0,1885000.0,1789000.0,942200.0,
2236000.0,1823000.0,1202000.0,1216000.0,844200.0,282200.0,1904000.0,1762000.0,942100.0,
2224000.0,1833000.0,1204000.0,1212000.0,836700.0,282200.0,1904000.0,1762000.0,942100.0,
2266000.0,1837000.0,1207000.0,1219000.0,836700.0,295800.0,1902000.0,1771000.0,922600.0,
2227000.0,1847000.0,1210000.0,1240000.0,843400.0,302600.0,1906000.0,1753000.0,922500.0,
2148000.0,1860000.0,1212000.0,1303000.0,830800.0,302600.0,1922000.0,1785000.0,874300.0,
2074000.0,1854000.0,1214000.0,1371000.0,830800.0,897300.0,1334000.0,1790000.0,862000.0,
2046000.0,1833000.0,1214000.0,1264000.0,837600.0,1492000.0,732400.0,1805000.0,847900.0,
2042000.0,1823000.0,1216000.0,1255000.0,830800.0,1505000.0,748000.0,1838000.0,785100.0,
2001000.0,1815000.0,1219000.0,1262000.0,830800.0,1519000.0,753400.0,1836000.0,767900.0,
2060000.0,1823000.0,1220000.0,1273000.0,830800.0,1532000.0,739900.0,1836000.0,789200.0,
2050000.0,1825000.0,1221000.0,1265000.0,813200.0,1532000.0,739800.0,1863000.0,762200.0,
2040000.0,1827000.0,1224000.0,1265000.0,805600.0,1935000.0,371400.0,1851000.0,897800.0,
2032000.0,1813000.0,1226000.0,1261000.0,805600.0,1942000.0,375500.0,1856000.0,881700.0,
2013000.0,1812000.0,1226000.0,1261000.0,805600.0,1942000.0,375500.0,1872000.0,866100.0,
2046000.0,1811000.0,1228000.0,1246000.0,797200.0,1928000.0,375500.0,1890000.0,848200.0,
2034000.0,1815000.0,1230000.0,1246000.0,789700.0,1935000.0,368700.0,1890000.0,848200.0,
2002000.0,1816000.0,1232000.0,1266000.0,796400.0,1928000.0,391400.0,1884000.0,831500.0,
1980000.0,1820000.0,1233000.0,1279000.0,788800.0,1928000.0,391300.0,1884000.0,831000.0,
1991000.0,1826000.0,1236000.0,1279000.0,781300.0,1934000.0,392000.0,1888000.0,820100.0,
1974000.0,1828000.0,1238000.0,1291000.0,781300.0,1941000.0,403500.0,1869000.0,820100.0,
1946000.0,1816000.0,1238000.0,1232000.0,780400.0,1941000.0,410200.0,1898000.0,762100.0,
1920000.0,1811000.0,1239000.0,1183000.0,772300.0,1940000.0,422400.0,2014000.0,627900.0,
1901000.0,1813000.0,1242000.0,1198000.0,772300.0,1940000.0,422400.0,2014000.0,627900.0,
1877000.0,1811000.0,1245000.0,1220000.0,733800.0,1940000.0,422400.0,2020000.0,621100.0,
1834000.0,1813000.0,1246000.0,1240000.0,720500.0,1940000.0,439300.0,2034000.0,590300.0,
1911000.0,1808000.0,1248000.0,1240000.0,720500.0,1940000.0,461200.0,2025000.0,577900.0,
1941000.0,1800000.0,1248000.0,1254000.0,684500.0,1940000.0,461200.0,2058000.0,544600.0,
1929000.0,1804000.0,1251000.0,1254000.0,684500.0,1940000.0,461200.0,2077000.0,581300.0,
1916000.0,1804000.0,1254000.0,1250000.0,634600.0,1933000.0,468000.0,2134000.0,516600.0,
1901000.0,1777000.0,1243000.0,1056000.0,634000.0,1933000.0,478800.0,2130000.0,491000.0,
1904000.0,1787000.0,1244000.0,1052000.0,620600.0,1933000.0,478800.0,2160000.0,460500.0,
1881000.0,1785000.0,1245000.0,1071000.0,627400.0,1926000.0,478800.0,2172000.0,448100.0,
1872000.0,1786000.0,1247000.0,1071000.0,635200.0,1916000.0,483300.0,2189000.0,416700.0,
1854000.0,1787000.0,1249000.0,1081000.0,641200.0,1902000.0,483300.0,2189000.0,416700.0,
1837000.0,1789000.0,1247000.0,1081000.0,654000.0,1892000.0,473200.0,2189000.0,416700.0,
1944000.0,1795000.0,1247000.0,1073000.0,660800.0,1890000.0,474500.0,2204000.0,463600.0,
1930000.0,1793000.0,1248000.0,1073000.0,673700.0,1877000.0,485700.0,2193000.0,463600.0,
1941000.0,1795000.0,1250000.0,1073000.0,659100.0,1871000.0,492400.0,2186000.0,463600.0,
1935000.0,1796000.0,1253000.0,1053000.0,658200.0,1864000.0,498500.0,2180000.0,461700.0,
1950000.0,1790000.0,1254000.0,1053000.0,2230000.0,302100.0,488700.0,2180000.0,461700.0,
1938000.0,1788000.0,1258000.0,1064000.0,2203000.0,311900.0,472100.0,2180000.0,461700.0,
2055000.0,1789000.0,1259000.0,1064000.0,2164000.0,321700.0,462300.0,2180000.0,610200.0,
2044000.0,1800000.0,1260000.0,1064000.0,2149000.0,331800.0,458300.0,2227000.0,557600.0,
2023000.0,1794000.0,1262000.0,1074000.0,2149000.0,331700.0,458300.0,2249000.0,534400.0,
2030000.0,1796000.0,1263000.0,1085000.0,2093000.0,341900.0,448100.0,2256000.0,527600.0,
2046000.0,1797000.0,1263000.0,1082000.0,2068000.0,341900.0,448100.0,2270000.0,513800.0,
2081000.0,1794000.0,1265000.0,1081000.0,2033000.0,341900.0,448100.0,2270000.0,513800.0,
2102000.0,1798000.0,1267000.0,1084000.0,1984000.0,348000.0,452100.0,2260000.0,513600.0,
2221000.0,1793000.0,1268000.0,1080000.0,1963000.0,332100.0,465700.0,2246000.0,513600.0,
2254000.0,1793000.0,1270000.0,1118000.0,1897000.0,340300.0,484000.0,2220000.0,529600.0,
2239000.0,1800000.0,1272000.0,1110000.0,1877000.0,340200.0,497600.0,2206000.0,529100.0,
2232000.0,1804000.0,1274000.0,1110000.0,1832000.0,554800.0,297000.0,2185000.0,529100.0,
2250000.0,1808000.0,1277000.0,1106000.0,1797000.0,554800.0,334900.0,2147000.0,560600.0,
2295000.0,1819000.0,1280000.0,1116000.0,1762000.0,554800.0,341100.0,2141000.0,560600.0,
2306000.0,1821000.0,1281000.0,1126000.0,1727000.0,554800.0,353900.0,2128000.0,576600.0,
2227000.0,1824000.0,1283000.0,1247000.0,1694000.0,554800.0,353900.0,2128000.0,685100.0,
2214000.0,1823000.0,1278000.0,1239000.0,1680000.0,554800.0,353900.0,2140000.0,672600.0,
2210000.0,1823000.0,1280000.0,1226000.0,1604000.0,554800.0,365100.0,2129000.0,672500.0,
2181000.0,1826000.0,1282000.0,1267000.0,1586000.0,573200.0,366500.0,2109000.0,672500.0,
2267000.0,1826000.0,1283000.0,1289000.0,1570000.0,583700.0,353900.0,2103000.0,672300.0,
2303000.0,1821000.0,1283000.0,1272000.0,1562000.0,589200.0,369800.0,2088000.0,665500.0,
2301000.0,1821000.0,1285000.0,1272000.0,1562000.0,606100.0,359100.0,2100000.0,647400.0,
2260000.0,1823000.0,1286000.0,1305000.0,1562000.0,606100.0,365800.0,2093000.0,647400.0,
2282000.0,1826000.0,1288000.0,1289000.0,1539000.0,606000.0,387100.0,2105000.0,612600.0,
2310000.0,1825000.0,1291000.0,1281000.0,1509000.0,606000.0,400600.0,2092000.0,612500.0,
2302000.0,1831000.0,1294000.0,1281000.0,1489000.0,615500.0,391100.0,2103000.0,601200.0,
2286000.0,1840000.0,1296000.0,1276000.0,1476000.0,615500.0,391100.0,2103000.0,601200.0,
2318000.0,1831000.0,1296000.0,1252000.0,1476000.0,615500.0,391100.0,2103000.0,601200.0,
2367000.0,1841000.0,1298000.0,1252000.0,1476000.0,615500.0,391100.0,2114000.0,589900.0,
2352000.0,1844000.0,1299000.0,1252000.0,1476000.0,615500.0,391100.0,2114000.0,589900.0,
2332000.0,1850000.0,1301000.0,1265000.0,1476000.0,622300.0,397200.0,2101000.0,625700.0,
2356000.0,1846000.0,1290000.0,1267000.0,1469000.0,636200.0,381200.0,2138000.0,582600.0,
2373000.0,1854000.0,1292000.0,1280000.0,1439000.0,643000.0,401500.0,2124000.0,568700.0,
2390000.0,1865000.0,1294000.0,1275000.0,1413000.0,634000.0,820700.0,1705000.0,593800.0,
2372000.0,1871000.0,1295000.0,1271000.0,1369000.0,639400.0,835500.0,1685000.0,593700.0,
2388000.0,1886000.0,1297000.0,1271000.0,1331000.0,646200.0,857700.0,1656000.0,743800.0,
2383000.0,1887000.0,1299000.0,1268000.0,1324000.0,652300.0,858400.0,1649000.0,743800.0,
2395000.0,1888000.0,1296000.0,1294000.0,1700000.0,274900.0,865800.0,1635000.0,743700.0,
2407000.0,1891000.0,1298000.0,1305000.0,1682000.0,288400.0,869200.0,1649000.0,712900.0,
2380000.0,1894000.0,1299000.0,1318000.0,1674000.0,288400.0,882800.0,1660000.0,689200.0,
2355000.0,1898000.0,1297000.0,1273000.0,1674000.0,293000.0,895200.0,1666000.0,663700.0,
2387000.0,1906000.0,1298000.0,1300000.0,1674000.0,302200.0,892800.0,1659000.0,663700.0,
2375000.0,1910000.0,1301000.0,1300000.0,1672000.0,288800.0,909800.0,1642000.0,663700.0,
2362000.0,1910000.0,1302000.0,1312000.0,1720000.0,241300.0,909800.0,1642000.0,663700.0,
2293000.0,1930000.0,1304000.0,1354000.0,1720000.0,246700.0,904200.0,1753000.0,552900.0,
2261000.0,1937000.0,1304000.0,1369000.0,1720000.0,246600.0,904200.0,1759000.0,546100.0,
2254000.0,1939000.0,1305000.0,1368000.0,1706000.0,265800.0,885000.0,1759000.0,546100.0,
2220000.0,1942000.0,1307000.0,1414000.0,1706000.0,265800.0,885000.0,1759000.0,546000.0,
2217000.0,1942000.0,1309000.0,1410000.0,1691000.0,256100.0,878800.0,1797000.0,506400.0,
2256000.0,1946000.0,1311000.0,1410000.0,1691000.0,256100.0,884900.0,1804000.0,493400.0,
