RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
2884000.0,1815000.0,1246000.0,801700.0,751100.0,471000.0,101500.0,2805000.0,1502000.0,
2884000.0,1815000.0,1246000.0,798200.0,743500.0,471000.0,101400.0,2804000.0,1545000.0,
2884000.0,1815000.0,1246000.0,798200.0,736000.0,471000.0,101400.0,2804000.0,1545000.0,
2880000.0,1814000.0,1246000.0,798200.0,736000.0,471000.0,101400.0,2804000.0,1545000.0,
2879000.0,1812000.0,1243000.0,794700.0,715800.0,471000.0,101400.0,2804000.0,1545000.0,
2925000.0,1812000.0,1243000.0,794700.0,709000.0,470200.0,101400.0,2804000.0,1545000.0,
2909000.0,1807000.0,1243000.0,794700.0,709000.0,470200.0,101400.0,2804000.0,1545000.0,
2907000.0,1805000.0,1224000.0,794700.0,709000.0,470200.0,101400.0,2804000.0,1586000.0,
2929000.0,1799000.0,1224000.0,794700.0,702200.0,469500.0,101400.0,2804000.0,1586000.0,
2927000.0,1796000.0,1223000.0,794700.0,694700.0,469500.0,101400.0,2804000.0,1586000.0,
2923000.0,1796000.0,1223000.0,791200.0,694600.0,469400.0,101400.0,2804000.0,1646000.0,
2895000.0,1793000.0,1222000.0,791200.0,687800.0,468700.0,101400.0,2804000.0,1646000.0,
2905000.0,1788000.0,1221000.0,787800.0,687800.0,468600.0,101300.0,2804000.0,1645000.0,
2926000.0,1785000.0,1221000.0,787800.0,673500.0,467900.0,101300.0,2804000.0,1658000.0,
2908000.0,1781000.0,1218000.0,787800.0,666700.0,467100.0,101300.0,2804000.0,1658000.0,
2903000.0,1781000.0,1218000.0,787800.0,659900.0,466400.0,101300.0,2804000.0,1769000.0,
2903000.0,1781000.0,1217000.0,784300.0,659800.0,466400.0,101300.0,2804000.0,1769000.0,
2878000.0,1780000.0,1217000.0,780100.0,659800.0,466400.0,101300.0,2804000.0,1769000.0,
2861000.0,1778000.0,1216000.0,771100.0,659800.0,466400.0,101300.0,2804000.0,1769000.0,
2843000.0,1776000.0,1193000.0,771100.0,653000.0,465600.0,101300.0,2804000.0,1769000.0,
2873000.0,1776000.0,1192000.0,767600.0,646200.0,464800.0,101300.0,2804000.0,1769000.0,
2937000.0,1775000.0,1192000.0,767600.0,646200.0,464800.0,101300.0,2804000.0,1914000.0,
2892000.0,1775000.0,1158000.0,767600.0,639400.0,464100.0,101300.0,2804000.0,1914000.0,
2889000.0,1769000.0,1155000.0,760700.0,639300.0,464100.0,101200.0,2803000.0,1914000.0,
2959000.0,1733000.0,1088000.0,675700.0,638100.0,462700.0,100900.0,2803000.0,1911000.0,
2942000.0,1732000.0,1088000.0,675700.0,638100.0,462700.0,100900.0,2803000.0,1911000.0,
2980000.0,1732000.0,1088000.0,675700.0,613000.0,462700.0,100900.0,2803000.0,1911000.0,
2963000.0,1725000.0,1087000.0,668300.0,612900.0,462600.0,100900.0,2803000.0,1911000.0,
3006000.0,1724000.0,1087000.0,668300.0,605300.0,462600.0,100900.0,2803000.0,1946000.0,
3006000.0,1724000.0,1087000.0,668300.0,605300.0,462600.0,100900.0,2803000.0,1946000.0,
3003000.0,1723000.0,1085000.0,664800.0,592700.0,462600.0,100800.0,2803000.0,1945000.0,
2953000.0,1738000.0,1088000.0,681600.0,591900.0,462600.0,114400.0,2843000.0,1913000.0,
2906000.0,1746000.0,1090000.0,704200.0,584400.0,469400.0,1199000.0,1833000.0,1831000.0,
2903000.0,1752000.0,1092000.0,714500.0,591200.0,469400.0,1219000.0,1911000.0,1858000.0,
2896000.0,1758000.0,1094000.0,714500.0,604800.0,455800.0,1226000.0,2093000.0,1670000.0,
2866000.0,1768000.0,1095000.0,733300.0,598000.0,455000.0,1226000.0,2125000.0,1638000.0,
