RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
3440000.0,1640000.0,1224000.0,479400.0,243200.0,993000.0,252700.0,594800.0,3148000.0,
3476000.0,1640000.0,1221000.0,479400.0,243000.0,993000.0,252700.0,594800.0,3148000.0,
3463000.0,1640000.0,1221000.0,479400.0,243000.0,993000.0,252700.0,594800.0,3148000.0,
3439000.0,1632000.0,1221000.0,479400.0,243000.0,993000.0,252700.0,594800.0,3148000.0,
3435000.0,1632000.0,1219000.0,479400.0,243000.0,993000.0,252700.0,594800.0,3148000.0,
3399000.0,1632000.0,1196000.0,479400.0,225400.0,993000.0,252700.0,594800.0,3148000.0,
3421000.0,1632000.0,1196000.0,474900.0,225300.0,993000.0,252600.0,594700.0,3245000.0,
3364000.0,1632000.0,1196000.0,474900.0,225300.0,993000.0,252600.0,594700.0,3245000.0,
3364000.0,1632000.0,1196000.0,474900.0,225300.0,993000.0,252600.0,594700.0,3245000.0,
3364000.0,1632000.0,1196000.0,472500.0,225300.0,993000.0,252600.0,594600.0,3242000.0,
3409000.0,1631000.0,1196000.0,472500.0,225300.0,993000.0,252600.0,594600.0,3242000.0,
3436000.0,1631000.0,1196000.0,472500.0,225300.0,993000.0,252600.0,594600.0,3242000.0,
3523000.0,1630000.0,1196000.0,472500.0,225300.0,993000.0,252600.0,594600.0,3331000.0,
3516000.0,1618000.0,1195000.0,472500.0,225200.0,993000.0,252600.0,594600.0,3331000.0,
3491000.0,1618000.0,1195000.0,472500.0,225200.0,993000.0,252600.0,594600.0,3331000.0,
3491000.0,1618000.0,1195000.0,472500.0,225200.0,993000.0,252600.0,594600.0,3331000.0,
3469000.0,1617000.0,1195000.0,472500.0,225200.0,993000.0,252600.0,594600.0,3331000.0,
3517000.0,1617000.0,1193000.0,470200.0,225100.0,992900.0,252500.0,594500.0,3328000.0,
3509000.0,1615000.0,1193000.0,470200.0,225100.0,992900.0,252500.0,594500.0,3328000.0,
3483000.0,1614000.0,1193000.0,470200.0,225100.0,992900.0,252500.0,594500.0,3328000.0,
3446000.0,1613000.0,1193000.0,467800.0,225000.0,992900.0,252500.0,594500.0,3344000.0,
3485000.0,1613000.0,1193000.0,467800.0,225000.0,992900.0,252500.0,594500.0,3389000.0,
3481000.0,1606000.0,1193000.0,465500.0,225000.0,992900.0,252500.0,594400.0,3386000.0,
3464000.0,1601000.0,1193000.0,461100.0,224900.0,992800.0,252400.0,594300.0,3386000.0,
3435000.0,1601000.0,1193000.0,461100.0,224900.0,992800.0,252400.0,594300.0,3386000.0,
3416000.0,1595000.0,1193000.0,461100.0,224900.0,992400.0,252400.0,594300.0,3386000.0,
3406000.0,1592000.0,1193000.0,461100.0,224800.0,991800.0,252400.0,594300.0,3386000.0,
3434000.0,1592000.0,1185000.0,461100.0,224800.0,991800.0,252400.0,594300.0,3386000.0,
3425000.0,1591000.0,1171000.0,461100.0,224800.0,991800.0,252400.0,594300.0,3421000.0,
3449000.0,1591000.0,1171000.0,461100.0,224800.0,991800.0,252400.0,594300.0,3421000.0,
3444000.0,1591000.0,1171000.0,461100.0,224800.0,991800.0,252400.0,594300.0,3421000.0,
