RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1213000.0,1038000.0,783600.0,1427000.0,623300.0,450500.0,350200.0,389700.0,400600.0,2364000.0,2396000.0,
1213000.0,1038000.0,783600.0,1427000.0,623300.0,450500.0,350200.0,389700.0,400600.0,2364000.0,2396000.0,
1210000.0,1036000.0,758800.0,1427000.0,623300.0,450500.0,350200.0,389700.0,400600.0,2376000.0,2420000.0,
1191000.0,1036000.0,758600.0,1418000.0,605700.0,450400.0,350200.0,389600.0,400500.0,2376000.0,2456000.0,
1184000.0,1035000.0,737600.0,1409000.0,593000.0,450400.0,350100.0,389500.0,400400.0,2376000.0,2497000.0,
1184000.0,1035000.0,737600.0,1409000.0,580500.0,450400.0,350100.0,389500.0,400400.0,2376000.0,2510000.0,
1176000.0,1035000.0,737600.0,1404000.0,580500.0,450400.0,350100.0,389500.0,400400.0,2376000.0,2517000.0,
1168000.0,1035000.0,737600.0,1399000.0,572800.0,450300.0,350000.0,389500.0,400300.0,2376000.0,2532000.0,
1167000.0,1035000.0,737400.0,1384000.0,572600.0,450200.0,349900.0,389400.0,398600.0,2376000.0,2532000.0,
1179000.0,1035000.0,737300.0,1364000.0,572500.0,450200.0,349800.0,389300.0,398600.0,2388000.0,2520000.0,
1179000.0,1035000.0,737300.0,1359000.0,572500.0,450200.0,349800.0,389300.0,398600.0,2388000.0,2520000.0,
1212000.0,1035000.0,737300.0,1359000.0,565000.0,450200.0,349800.0,389300.0,398600.0,2400000.0,2495000.0,
1212000.0,1035000.0,737300.0,1354000.0,564900.0,450100.0,349800.0,389200.0,398600.0,2400000.0,2495000.0,
1212000.0,1035000.0,737300.0,1354000.0,564900.0,450100.0,349800.0,389200.0,398600.0,2400000.0,2495000.0,
1212000.0,1035000.0,737300.0,1354000.0,564900.0,450100.0,349800.0,389200.0,398600.0,2400000.0,2495000.0,
1207000.0,1035000.0,737200.0,1350000.0,564900.0,450100.0,349700.0,389200.0,398500.0,2400000.0,2495000.0,
1207000.0,1035000.0,737100.0,1345000.0,564800.0,450100.0,349600.0,389100.0,398500.0,2400000.0,2495000.0,
1207000.0,1035000.0,737100.0,1345000.0,564800.0,450100.0,349600.0,389100.0,398500.0,2400000.0,2495000.0,
1207000.0,1034000.0,737100.0,1336000.0,564700.0,450000.0,349600.0,389100.0,398500.0,2400000.0,2495000.0,
1199000.0,1034000.0,737100.0,1336000.0,557200.0,450000.0,349600.0,389100.0,398500.0,2400000.0,2510000.0,
1199000.0,1034000.0,737100.0,1336000.0,557200.0,450000.0,349600.0,389100.0,398500.0,2400000.0,2510000.0,
1205000.0,1034000.0,737100.0,1336000.0,521400.0,450000.0,349600.0,389100.0,581400.0,2229000.0,2540000.0,
1205000.0,1034000.0,737100.0,1336000.0,521400.0,450000.0,349600.0,389100.0,581400.0,2229000.0,2540000.0,
1222000.0,1034000.0,737000.0,1331000.0,513800.0,450000.0,349500.0,389100.0,581300.0,2240000.0,2531000.0,
1222000.0,1034000.0,737000.0,1331000.0,513800.0,450000.0,349500.0,389100.0,581300.0,2240000.0,2531000.0,
1251000.0,1034000.0,737000.0,1326000.0,513700.0,450000.0,349500.0,389000.0,581300.0,2251000.0,2501000.0,
1283000.0,1034000.0,737000.0,1326000.0,499700.0,446400.0,349500.0,389000.0,581300.0,2262000.0,2487000.0,
1350000.0,1034000.0,736900.0,1321000.0,499600.0,446400.0,349400.0,389000.0,581300.0,2285000.0,2419000.0,
1403000.0,1034000.0,736900.0,1321000.0,499600.0,446400.0,349400.0,389000.0,581300.0,2308000.0,2362000.0,
1403000.0,1034000.0,736900.0,1317000.0,499500.0,446400.0,349400.0,388900.0,581200.0,2320000.0,2362000.0,
1387000.0,1030000.0,734800.0,1317000.0,493700.0,444900.0,347500.0,388900.0,581200.0,2331000.0,2393000.0,
1387000.0,1028000.0,736000.0,1317000.0,493700.0,448800.0,343700.0,388900.0,581200.0,2331000.0,2393000.0,
1386000.0,1030000.0,736600.0,1317000.0,493700.0,448800.0,364400.0,382300.0,567200.0,2343000.0,2393000.0,
1378000.0,1029000.0,739800.0,1317000.0,499800.0,446600.0,360500.0,393800.0,555600.0,2343000.0,2393000.0,
1383000.0,1030000.0,743000.0,1317000.0,492200.0,446600.0,360500.0,393800.0,555600.0,2355000.0,2392000.0,
1381000.0,1029000.0,745700.0,1317000.0,492200.0,446600.0,360500.0,393800.0,555600.0,2378000.0,2392000.0,
1379000.0,1031000.0,746200.0,1312000.0,797800.0,141000.0,360500.0,393800.0,555600.0,2378000.0,2392000.0,
1375000.0,1027000.0,748300.0,1308000.0,797700.0,141000.0,372500.0,381700.0,555500.0,2378000.0,2392000.0,
1362000.0,1025000.0,751100.0,1320000.0,790200.0,144800.0,374600.0,375600.0,555500.0,2378000.0,2399000.0,
1360000.0,1025000.0,753200.0,1320000.0,798400.0,152700.0,395300.0,338900.0,555500.0,2378000.0,2399000.0,
1336000.0,1025000.0,755000.0,1327000.0,798300.0,152600.0,395200.0,350900.0,543400.0,2378000.0,2399000.0,
