cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnEr,R-TfEnPm,R-TfEnRabA,R-TfEnRabB,R-TfEnRabC,R-TfEnRabD,R-TfEnRabE,R-TfEnRabF,R-TfEnRabG,R-TfEnRabH,R-TfEnRabI,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
195400.0,4844.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,19540.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,19540.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.1,10.69,7.076,335.4,3.172,2.85,3.602,3.247,4.875,0.0,4.955E-5,21.98,26.86,234.0,128.2,0.4818,0.6876,1.126,0.8766,1.183,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,50270.0,19290.0,19350.0,988100.0,10070.0,13140.0,8063.0,10610.0,11150.0,0.0,8.592000000000001E-35,6.594E-34,2.914E-33,1.097E-33,4.685E-34,1.439E-33,1.8240000000000002E-32,2.217E-34,9.135E-33,5.166E-34,0.0,2.0760000000000002E-35,3.3460000000000003E-35,1.141E-34,4.127E-35,1.4360000000000001E-36,2.2380000000000002E-36,1.323E-37,7.474E-38,3.1709999999999997E-37,1.2169999999999999E-37,19540.0,17.61,28.39,75.38,29.26,3.96,2.009,3.882,3.645,4.98,5.912,0.0,2881.0,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
195400.0,4844.0,167.7,618.6,272.7,0.2845,30.04,16.27,35.97,39.05,58.44,19540.0,257.0,0.7635,9.818,8.214,2.68,7.274,16.77,15.59,34.38,26.1,19540.0,257.0,0.7635,9.818,8.214,2.68,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.11,10.69,7.089,336.3,3.179,2.85,3.612,3.25,4.882,0.0,4.955E-5,227.2,102.0,285.2,133.7,1.195,23.94,1.449,12.78,1.949,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191100.0,43360.0,16350.0,9887.0,503900.0,7994.0,9833.0,2960.0,6993.0,6211.0,0.0,8.592000000000001E-35,6.605E-34,2.913E-33,1.092E-33,4.69E-34,1.4249999999999999E-33,1.8240000000000002E-32,2.2140000000000002E-34,9.133999999999999E-33,5.1630000000000005E-34,0.0,2.0760000000000002E-35,3.219E-35,1.115E-34,4.005E-35,8.781E-37,2.2380000000000002E-36,1.311E-37,7.472E-38,3.164E-37,1.2159999999999999E-37,19540.0,17.61,28.38,75.38,29.25,3.961,2.009,3.882,3.645,4.98,5.912,0.0,2881.0,9.039,4.849,1.923,7.457,1.051,0.7497,0.159,0.4525,0.1769,
195400.0,4844.0,179.9,610.0,282.3,0.2182,28.96,18.33,36.31,38.21,58.32,19540.0,257.0,0.8366,9.949,7.936,2.653,7.291,17.16,15.78,33.91,26.07,19540.0,257.0,0.8366,9.949,7.936,2.653,7.291,17.16,15.78,33.91,26.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.11,10.71,7.225,335.0,3.161,2.916,3.675,3.31,4.946,0.0,4.955E-5,213.7,104.8,284.2,132.9,0.992,25.15,2.643,9.352,1.758,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191100.0,40050.0,15480.0,16450.0,842300.0,9528.0,12850.0,7733.0,8851.0,10210.0,0.0,8.592000000000001E-35,6.433E-34,2.825E-33,1.091E-33,3.6100000000000003E-34,1.29E-33,2.005E-32,1.19E-33,6.82E-33,3.75E-34,0.0,2.0760000000000002E-35,3.278E-35,1.156E-34,3.071E-35,1.348E-37,1.9070000000000002E-36,1.178E-37,6.962E-38,2.418E-37,9.709999999999999E-38,19540.0,17.61,28.57,74.51,29.97,3.912,1.947,4.206,3.794,4.573,5.886,0.0,2881.0,8.795,4.835,2.032,11.85,1.071,0.8282,0.2338,0.4161,0.2151,
195400.0,4853.0,193.2,599.8,257.9,0.2638,29.03,22.32,36.54,39.61,58.39,19540.0,257.0,0.8118,10.02,7.844,2.653,7.291,17.16,15.78,33.91,26.07,19540.0,257.0,0.8118,10.02,7.844,2.653,7.291,17.16,15.78,33.91,26.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.11,10.7,7.177,333.1,3.157,2.892,3.651,3.287,4.918,0.0,1.483,205.1,117.3,290.7,132.9,0.915,21.16,2.411,7.949,1.69,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191100.0,45670.0,16970.0,15380.0,817500.0,9300.0,12310.0,7538.0,8631.0,10070.0,0.0,1.212E-34,6.712000000000001E-34,2.846E-33,1.007E-33,3.611E-34,1.272E-33,2.005E-32,1.19E-33,6.82E-33,3.7470000000000004E-34,0.0,2.314E-35,3.02E-35,1.079E-34,2.1470000000000002E-35,4.2599999999999996E-39,1.9070000000000002E-36,1.1649999999999999E-37,6.954E-38,2.4129999999999998E-37,9.707E-38,19540.0,18.63,28.87,74.91,28.26,3.912,1.947,4.206,3.794,4.573,5.886,0.0,2881.0,9.072,4.918,2.011,12.01,1.07,0.8326,0.2393,0.4233,0.2239,
195400.0,4853.0,211.3,603.8,257.3,0.2917,29.18,24.54,36.93,40.06,64.07,19540.0,257.1,1.064,10.41,7.81,2.047,7.6,17.1,13.48,36.04,25.88,19540.0,257.1,1.064,10.41,7.81,2.047,7.6,17.1,13.48,36.04,25.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,59.89,10.57,9.828,294.3,3.109,3.136,4.096,3.995,6.088,0.0,11.62,199.4,126.8,240.4,135.0,0.8856,19.08,2.453,7.342,8.053,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191300.0,31660.0,14540.0,7832.0,591400.0,8806.0,9201.0,4700.0,5724.0,6879.0,0.0,1.404E-34,6.901E-34,2.682E-33,1.07E-33,3.568E-34,1.257E-33,2.005E-32,1.189E-33,6.819E-33,4.291E-34,0.0,2.315E-35,2.989E-35,1.0350000000000001E-34,2.179E-35,8.528E-40,1.896E-36,1.147E-37,6.879E-38,2.416E-37,7.1449999999999994E-37,19540.0,19.06,29.18,73.33,28.51,3.682,1.957,4.198,3.814,4.531,6.725,0.0,2882.0,8.13,4.497,2.001,9.001,1.048,0.7892,0.193,0.3743,0.2764,
195400.0,4824.0,232.5,562.7,254.4,0.3998,29.01,31.17,37.32,34.99,55.72,19540.0,255.5,2.289,11.27,7.031,2.084,7.603,18.2,13.55,34.81,26.11,19540.0,255.5,2.289,11.27,7.031,2.084,7.603,18.2,13.55,34.81,26.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.797,51.32,11.34,9.498,306.3,3.122,3.29,4.26,4.173,6.75,0.0,11.4,181.1,89.81,358.5,135.6,0.9161,21.49,2.613,2.335,4.334,4.414E-10,0.0,4.7989999999999994E8,92870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.211E-12,0.0,0.0,1.827E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.988E-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191300.0,27490.0,12850.0,7151.0,402800.0,3265.0,9530.0,3673.0,2715.0,3689.0,0.0,1.179E-34,6.441E-34,2.738E-33,1.112E-33,4.243E-34,1.3189999999999999E-33,2.49E-32,1.4709999999999999E-33,1.388E-33,5.1270000000000005E-34,0.0,1.9410000000000002E-35,3.161E-35,1.038E-34,2.179E-35,1.068E-39,1.886E-36,1.259E-37,6.951E-38,2.263E-37,5.958E-37,19540.0,16.0,30.37,74.54,29.25,3.684,1.944,5.124,3.868,3.495,6.658,0.0,2881.0,8.464,4.525,1.881,5.374,0.9393,0.906,0.178,0.191,0.2873,
195400.0,4824.0,245.6,574.7,274.4,0.3817,29.02,31.72,37.93,35.47,55.57,19540.0,255.5,2.394,11.23,6.957,2.074,7.591,12.45,12.32,33.21,34.73,19540.0,255.5,2.394,11.23,6.957,2.074,7.591,12.45,12.32,33.21,34.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.797,48.4,13.04,10.72,306.3,3.122,3.29,4.26,4.173,6.75,0.0,11.4,167.8,82.87,333.6,135.5,0.8757,20.23,3.0,2.116,4.029,2.999E-9,0.0,4.7989999999999994E8,92850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.063E-10,0.0,0.0,6.172E-6,2.993E-10,1.229E-12,2.413E-11,4.413E-12,2.997E-10,2.449E-11,5.059E-12,1.294E-8,0.0,0.0,1.089E-10,1.216E-12,3.304E-18,2.366E-17,1.186E-17,8.055E-16,6.582E-17,1.36E-17,1.034E-12,1.0E-4,0.0,191300.0,30430.0,14100.0,6772.0,584600.0,8558.0,10050.0,4810.0,3962.0,6753.0,0.0,1.179E-34,6.453000000000001E-34,2.709E-33,1.091E-33,4.027E-34,1.2779999999999999E-33,2.441E-32,2.02E-33,1.577E-33,3.2860000000000003E-34,0.0,1.9410000000000002E-35,3.539E-35,9.548E-35,2.495E-35,9.43E-40,1.885E-36,1.2679999999999999E-37,6.879E-38,2.263E-37,5.348E-37,19540.0,16.0,30.34,74.57,29.25,3.68,1.94,5.056,3.967,3.521,6.61,0.0,2881.0,8.444,4.656,1.906,8.606,1.028,0.9079,0.2121,0.2181,0.3327,
195400.0,4836.0,250.0,583.6,296.0,0.3899,29.03,32.93,38.09,35.85,55.3,19540.0,255.6,2.386,11.33,6.765,2.074,7.591,8.465,11.32,31.97,40.95,19540.0,255.6,2.386,11.33,6.765,2.074,7.591,8.465,11.32,31.97,40.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.797,48.44,13.71,10.94,304.5,3.092,3.257,4.224,4.134,6.693,0.0,11.79,160.8,70.87,301.9,136.5,0.8587,19.37,2.93,1.851,3.747,5.405E-9,0.0,4.7989999999999994E8,92830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.598E-10,0.0,0.0,3.895E-5,7.869E-9,2.929E-9,1.058E-10,7.829E-11,1.743E-9,1.946E-10,1.211E-10,1.676E-7,0.0,0.0,3.298E-9,2.374E-11,2.969E-12,1.659E-16,9.009E-16,1.198E-14,1.018E-15,2.703E-16,7.143E-11,1.0E-4,0.0,191400.0,38220.0,12640.0,8423.0,589900.0,8529.0,10740.0,5633.0,4808.0,7811.0,0.0,1.4330000000000001E-34,6.411E-34,2.6899999999999998E-33,1.06E-33,4.029000000000001E-34,1.266E-33,2.44E-32,2.02E-33,1.577E-33,3.285E-34,0.0,2.305E-35,3.445E-35,9.438E-35,2.084E-35,9.292E-40,1.885E-36,1.249E-37,6.848E-38,2.259E-37,5.062E-37,19540.0,16.92,30.2,74.35,28.46,3.716,1.94,5.091,3.976,3.533,6.554,0.0,2881.0,8.387,4.601,1.866,8.044,1.027,0.9099,0.2146,0.2209,0.337,
195400.0,4843.0,257.3,561.6,360.5,0.4013,30.2,33.13,37.85,37.44,53.78,19540.0,255.6,2.389,11.67,6.421,2.074,8.448,8.314,8.222,24.63,50.68,19540.0,255.6,2.389,11.67,6.421,2.074,8.448,8.314,8.222,24.63,50.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.797,48.42,13.76,10.93,303.5,3.085,3.257,4.213,4.13,6.686,0.0,11.82,156.9,59.0,260.2,136.4,0.8473,18.67,2.898,1.763,3.4,7.669E-9,0.0,4.7989999999999994E8,92810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.535E-10,0.0,0.0,1.198E-4,2.366E-8,1.307E-8,3.88E-10,9.208E-9,8.914E-9,3.03E-9,4.891E-9,6.125E-7,0.0,0.0,2.69E-8,9.154E-11,2.433E-11,1.061E-15,3.504E-14,6.778E-14,1.453E-14,1.752E-14,2.971E-10,1.0E-4,0.0,191400.0,35540.0,11990.0,8270.0,414100.0,2897.0,9871.0,4602.0,3369.0,4456.0,0.0,1.474E-34,6.507000000000001E-34,2.532E-33,1.172E-33,4.029000000000001E-34,1.251E-33,2.4420000000000002E-32,2.092E-33,1.3839999999999999E-33,4.299000000000001E-34,0.0,2.387E-35,3.422E-35,9.119000000000001E-35,2.257E-35,9.175E-40,1.886E-36,1.24E-37,6.713E-38,2.267E-37,4.902E-37,19540.0,17.32,30.42,71.53,30.67,3.712,2.054,5.04,3.945,3.692,6.363,0.0,2881.0,8.299,4.532,1.909,4.899,0.9327,0.8947,0.1949,0.1877,0.2793,
195400.0,4843.0,269.8,557.7,418.2,0.4053,31.19,33.74,37.98,37.63,54.02,19540.0,255.6,2.484,11.57,6.35,2.074,7.792,8.423,8.712,25.24,50.19,19540.0,255.6,2.484,11.57,6.35,2.074,7.792,8.423,8.712,25.24,50.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.797,48.41,13.75,10.92,302.6,3.077,3.256,4.203,4.127,6.679,0.0,11.82,155.6,56.29,197.0,136.4,0.8382,18.07,2.842,1.667,2.965,9.791E-9,0.0,4.7989999999999994E8,92790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.281E-9,0.0,1.13E-11,2.689E-4,2.426E-7,1.389E-7,5.283E-9,1.616E-7,1.356E-7,1.962E-7,4.711E-7,2.189E-6,0.0,6.601E-17,1.196E-7,3.714E-10,2.778E-10,2.248E-15,4.983E-12,2.289E-12,7.455E-12,1.267E-11,7.747E-10,1.0E-4,0.0,191500.0,43430.0,14770.0,9135.0,625400.0,8364.0,10970.0,5992.0,5081.0,8238.0,0.0,1.475E-34,6.586000000000001E-34,2.486E-33,1.164E-33,4.029000000000001E-34,1.239E-33,2.441E-32,2.084E-33,1.375E-33,4.4680000000000005E-34,0.0,2.388E-35,3.615E-35,8.864E-35,2.218E-35,9.065E-40,2.04E-36,1.232E-37,6.726E-38,2.2689999999999998E-37,4.808E-37,19540.0,17.32,31.23,70.44,30.76,3.712,2.246,5.042,3.953,3.702,6.343,0.0,2881.0,8.405,4.559,1.917,8.365,1.036,0.912,0.2161,0.2145,0.3391,
