entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.178,0.3355,0.106,0.0907,0.0685,0.1252,0.05449,0.03938,0.03062,0.03407,0.03502,0.2066,0.2094,
2.178,0.3355,0.106,0.09074,0.06853,0.1248,0.05451,0.0394,0.03063,0.03408,0.03504,0.2067,0.2095,
2.178,0.3411,0.1059,0.09052,0.06852,0.1249,0.05453,0.03941,0.03064,0.03409,0.03505,0.2068,0.2096,
2.174,0.3391,0.1057,0.09038,0.06841,0.1243,0.0532,0.03904,0.03059,0.03404,0.03499,0.2086,0.2108,
2.171,0.3412,0.1047,0.09038,0.06651,0.1243,0.0532,0.03904,0.03059,0.03404,0.03499,0.2086,0.2138,
2.171,0.3455,0.1047,0.09038,0.06651,0.1243,0.0532,0.03904,0.03059,0.03404,0.03499,0.2086,0.2138,
2.171,0.3514,0.1047,0.09041,0.06653,0.1239,0.05322,0.03906,0.0306,0.03405,0.035,0.2087,0.2139,
2.171,0.3616,0.1037,0.09035,0.06655,0.124,0.05325,0.03908,0.03061,0.03406,0.03501,0.2087,0.2146,
2.169,0.3483,0.1018,0.09014,0.0666,0.1241,0.05264,0.03911,0.03064,0.03409,0.03504,0.2089,0.217,
2.177,0.3405,0.1081,0.0901,0.06658,0.1223,0.05259,0.03909,0.03062,0.03407,0.03762,0.2083,0.2105,
2.176,0.3492,0.1082,0.09014,0.06659,0.122,0.05195,0.0391,0.03063,0.03408,0.03763,0.2084,0.2113,
2.173,0.3568,0.1082,0.09014,0.06659,0.122,0.05041,0.0391,0.03063,0.03408,0.03763,0.2084,0.2128,
2.174,0.3403,0.1112,0.09005,0.06653,0.1219,0.04994,0.03896,0.03047,0.03405,0.0376,0.2093,0.2101,
2.18,0.3355,0.1157,0.09,0.0665,0.1214,0.04993,0.03895,0.03046,0.03404,0.03998,0.2079,0.2052,
2.18,0.3427,0.1152,0.08999,0.06648,0.121,0.04991,0.03894,0.03045,0.03403,0.03997,0.2089,0.2051,
2.181,0.3386,0.1151,0.08993,0.06643,0.1205,0.04922,0.03891,0.03042,0.03401,0.04183,0.2079,0.2057,
2.181,0.3408,0.1151,0.08993,0.06643,0.1205,0.04922,0.03891,0.03042,0.03401,0.04183,0.2079,0.2057,
2.181,0.339,0.1151,0.08993,0.06643,0.1205,0.04922,0.03891,0.03042,0.03401,0.04183,0.2079,0.2057,
2.179,0.3419,0.1151,0.08991,0.06642,0.1196,0.04855,0.03891,0.03042,0.034,0.04182,0.2089,0.2063,
2.187,0.3333,0.1136,0.08982,0.06635,0.1195,0.04609,0.03887,0.03038,0.03396,0.05036,0.2012,0.2099,
2.187,0.336,0.1158,0.08981,0.06634,0.1187,0.04541,0.03886,0.03038,0.03396,0.05034,0.2021,0.2083,
2.184,0.332,0.1142,0.08966,0.06622,0.1181,0.04468,0.03879,0.03032,0.0339,0.05026,0.2038,0.2101,
2.184,0.3344,0.1142,0.08966,0.06622,0.1181,0.04468,0.03879,0.03032,0.0339,0.05026,0.2038,0.2101,
2.183,0.3322,0.114,0.08965,0.06624,0.118,0.04404,0.0388,0.03033,0.03391,0.05027,0.2039,0.2108,
2.183,0.3378,0.1138,0.08963,0.06629,0.1177,0.04407,0.03884,0.03036,0.03393,0.05031,0.2041,0.211,
2.183,0.3299,0.1132,0.08969,0.06631,0.1174,0.04413,0.03888,0.03039,0.03397,0.05037,0.2044,0.2113,
