cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnEr,R-TfEnPm,R-TfEnRabA,R-TfEnRabB,R-TfEnRabC,R-TfEnRabD,R-TfEnRabE,R-TfEnRabF,R-TfEnRabG,R-TfEnRabH,R-TfEnRabI,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
195400.0,4844.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,19540.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,19540.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.1,10.69,7.076,335.4,3.172,2.85,3.602,3.247,4.875,0.0,4.955E-5,21.98,26.86,234.0,128.2,0.4818,0.6876,1.126,0.8766,1.183,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,50270.0,19290.0,19350.0,988100.0,10070.0,13140.0,8063.0,10610.0,11150.0,0.0,8.592000000000001E-35,6.594E-34,2.914E-33,1.097E-33,4.685E-34,1.439E-33,1.8240000000000002E-32,2.217E-34,9.135E-33,5.166E-34,0.0,2.0760000000000002E-35,3.3460000000000003E-35,1.141E-34,4.127E-35,1.4360000000000001E-36,2.2380000000000002E-36,1.323E-37,7.474E-38,3.1709999999999997E-37,1.2169999999999999E-37,19540.0,17.61,28.39,75.38,29.26,3.96,2.009,3.882,3.645,4.98,5.912,0.0,2881.0,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
195400.0,4862.0,394.0,717.2,539.9,133.5,31.1,40.11,37.34,51.7,60.24,19540.0,257.3,0.7638,9.947,7.772,2.679,7.254,16.77,15.59,34.38,26.1,19540.0,257.3,0.7638,9.947,7.772,2.679,7.254,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.11,10.7,7.166,331.1,3.177,2.896,3.647,3.291,4.928,0.0,0.04814,1.148,1.983,1.459,1.718,0.08847,0.1142,0.1102,0.1456,0.1706,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191100.0,1934.0,1180.0,765.5,5251.0,1084.0,1560.0,518.9,1042.0,670.4,0.0,1.128E-34,6.4200000000000005E-34,2.559E-33,9.573000000000001E-34,4.663E-34,1.419E-33,1.81E-32,2.17E-34,9.089E-33,5.1380000000000006E-34,0.0,2.501E-35,3.3440000000000003E-35,1.139E-34,3.7220000000000003E-35,1.4330000000000001E-36,2.2280000000000002E-36,1.317E-37,7.474E-38,3.1709999999999997E-37,1.2169999999999999E-37,19540.0,18.94,28.51,75.2,28.0,3.959,2.003,3.881,3.646,4.98,5.912,0.0,2881.0,9.107,4.888,1.956,12.41,1.054,0.7801,0.213,0.4886,0.2275,
195400.0,4869.0,407.3,638.5,595.3,134.3,31.09,40.11,37.32,51.69,60.23,19540.0,256.7,1.435,9.493,8.071,2.729,7.254,16.77,15.59,34.38,26.1,19540.0,256.7,1.435,9.493,8.071,2.729,7.254,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.798,25.15,11.94,7.069,330.1,3.154,2.852,3.608,3.239,4.859,0.0,0.09784,1.155,1.781,1.606,1.71,0.0883,0.1142,0.1101,0.1456,0.1705,0.0,0.0,4.7999999999999994E8,21480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191100.0,1910.0,1215.0,756.8,5236.0,1084.0,1560.0,518.1,1040.0,668.9,0.0,1.408E-34,6.31E-34,1.901E-33,1.0669999999999999E-33,4.705E-34,1.395E-33,1.794E-32,2.1240000000000002E-34,9.029E-33,5.103E-34,0.0,2.648E-35,3.591E-35,1.083E-34,3.892E-35,1.4330000000000001E-36,2.2280000000000002E-36,1.317E-37,7.473E-38,3.17E-37,1.2169999999999999E-37,19540.0,19.34,30.21,67.4,33.29,4.268,2.003,3.885,3.65,4.986,5.919,0.0,2881.0,9.08,4.928,1.956,12.4,1.053,0.7774,0.2098,0.4845,0.2222,
195400.0,4884.0,406.4,638.2,579.5,133.7,31.09,40.1,37.32,51.69,60.22,19540.0,256.7,1.408,9.854,7.707,2.725,7.254,16.77,15.59,34.38,26.1,19540.0,256.7,1.408,9.854,7.707,2.725,7.254,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.798,25.32,12.48,7.145,330.3,3.127,2.867,3.627,3.263,4.881,0.0,0.1397,1.189,1.778,1.564,1.7,0.0883,0.1142,0.1101,0.1457,0.1706,2.6E-9,0.0,4.7999999999999994E8,21460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.88E-11,0.0,3.288E-14,1.706E-5,1.747E-10,7.742E-12,1.45E-11,0.0,1.645E-13,2.056E-13,2.57E-13,3.213E-13,0.0,2.21E-19,1.112E-9,1.011E-14,1.974E-16,4.27E-16,0.0,3.427E-19,4.284E-19,5.355E-19,6.694E-19,1.0E-4,0.0,191200.0,1911.0,1222.0,771.1,5252.0,1084.0,1560.0,518.4,1041.0,669.5,0.0,2.032E-34,5.98E-34,1.634E-33,8.842000000000001E-34,4.668E-34,1.369E-33,1.775E-32,2.08E-34,8.96E-33,5.0620000000000005E-34,0.0,2.74E-35,3.591E-35,1.083E-34,3.8E-35,1.4310000000000001E-36,2.227E-36,1.317E-37,7.473E-38,3.17E-37,1.2159999999999999E-37,19540.0,20.86,30.13,67.38,31.78,4.245,2.003,3.885,3.65,4.985,5.919,0.0,2881.0,9.033,4.949,1.944,12.45,1.054,0.7782,0.2108,0.4859,0.224,
195400.0,4882.0,426.9,624.1,567.8,133.2,31.18,40.12,37.34,52.08,59.9,19540.0,256.3,2.044,9.678,7.635,2.689,7.252,16.77,15.59,31.77,28.71,19540.0,256.3,2.044,9.678,7.635,2.689,7.252,16.77,15.59,31.77,28.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.798,26.21,12.96,7.19,328.1,3.098,2.838,3.598,3.232,4.836,0.0,0.1563,1.245,1.741,1.533,1.687,0.08943,0.1144,0.1103,0.147,0.1703,6.796E-9,0.0,4.7999999999999994E8,35360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.443E-10,0.0,3.288E-14,1.424E-4,5.607E-9,2.024E-10,2.913E-10,4.87E-12,1.586E-12,1.983E-12,2.874E-9,1.492E-8,0.0,2.206E-19,1.803E-8,3.71E-12,4.312E-14,1.268E-14,9.56E-19,3.314E-18,4.143E-18,7.276E-14,3.78E-13,1.0E-4,0.0,191200.0,1917.0,1234.0,772.9,5195.0,1083.0,1559.0,517.7,1041.0,667.8,0.0,2.0000000000000003E-34,6.8410000000000004E-34,1.392E-33,7.741E-34,4.643E-34,1.352E-33,1.763E-32,2.055E-34,8.911E-33,5.032E-34,0.0,2.759E-35,3.679E-35,1.083E-34,3.631E-35,1.4300000000000002E-36,2.2280000000000002E-36,1.317E-37,7.477E-38,3.162E-37,1.226E-37,19540.0,20.5,32.95,65.43,30.63,4.24,2.003,3.885,3.65,5.023,5.881,0.0,2881.0,9.019,5.047,1.938,12.3,1.051,0.777,0.2092,0.4819,0.2238,
195400.0,4882.0,425.1,615.9,565.0,143.5,31.82,40.23,37.47,52.26,60.31,19540.0,256.3,2.064,9.851,7.608,2.485,7.251,16.77,15.59,31.77,28.71,19540.0,256.3,2.064,9.851,7.608,2.485,7.251,16.77,15.59,31.77,28.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.798,30.85,22.92,7.189,312.6,3.073,2.821,3.58,3.214,4.807,0.0,0.1563,1.257,1.683,1.526,1.856,0.09706,0.1157,0.1119,0.149,0.1751,1.159E-8,0.0,4.7999999999999994E8,35320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.98E-10,0.0,3.288E-14,5.685E-4,1.902E-8,5.395E-9,1.208E-9,2.393E-11,5.927E-12,7.409E-12,1.267E-8,5.74E-8,0.0,2.206E-19,1.079E-7,5.508E-12,1.443E-12,5.809E-14,3.277E-17,1.686E-17,2.108E-17,8.045E-13,3.371E-12,1.0E-4,0.0,191200.0,1974.0,1363.0,773.2,4959.0,1081.0,1559.0,517.2,1040.0,666.3,0.0,2.0000000000000003E-34,6.459E-34,1.212E-33,6.838000000000001E-34,4.995E-34,1.3299999999999999E-33,1.746E-32,2.03E-34,8.843E-33,5.005000000000001E-34,0.0,2.759E-35,3.5780000000000003E-35,1.0630000000000001E-34,3.621E-35,4.222E-36,2.375E-36,1.583E-37,1.081E-37,3.578E-37,2.182E-37,19540.0,20.5,32.76,64.56,30.36,5.408,2.066,3.896,3.664,5.04,5.922,0.0,2881.0,9.086,5.322,1.933,11.88,1.053,0.7771,0.2095,0.4823,0.2251,
195400.0,4896.0,424.2,613.5,554.7,143.6,31.82,40.23,37.47,52.26,60.31,19540.0,256.4,2.082,9.862,7.46,2.485,7.251,16.77,15.59,31.77,28.71,19540.0,256.4,2.082,9.862,7.46,2.485,7.251,16.77,15.59,31.77,28.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.798,30.74,22.77,7.161,311.0,3.033,2.816,3.553,3.2,4.776,0.0,0.1925,1.247,1.719,1.498,1.809,0.09541,0.1154,0.1116,0.1485,0.174,1.61E-8,0.0,4.7999999999999994E8,35280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732E-9,0.0,6.473E-10,0.001534,8.434E-8,1.911E-8,3.632E-9,8.33E-11,1.788E-11,2.235E-11,2.32E-8,1.204E-7,0.0,2.128E-15,4.054E-7,3.327E-11,9.15E-12,1.613E-13,2.456E-16,7.05E-17,8.812E-17,2.075E-12,1.078E-11,1.0E-4,0.0,191200.0,1956.0,1353.0,745.0,4903.0,1080.0,1559.0,516.6,1040.0,665.3,0.0,2.123E-34,6.214E-34,1.101E-33,6.137E-34,4.974E-34,1.313E-33,1.7350000000000002E-32,2.011E-34,8.794999999999999E-33,4.977E-34,0.0,2.925E-35,3.568E-35,1.06E-34,3.489E-35,4.221E-36,2.375E-36,1.583E-37,1.081E-37,3.578E-37,2.181E-37,19540.0,21.88,32.69,64.36,29.26,5.408,2.066,3.896,3.664,5.04,5.922,0.0,2882.0,9.022,5.302,1.883,11.8,1.052,0.7768,0.2087,0.4817,0.2237,
195400.0,4857.0,460.0,605.7,562.4,143.1,31.8,40.22,37.47,52.25,61.99,19540.0,254.4,3.965,9.763,7.557,2.472,7.251,16.77,15.59,31.77,28.88,19540.0,254.4,3.965,9.763,7.557,2.472,7.251,16.77,15.59,31.77,28.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.797,31.83,22.91,7.163,311.7,3.058,2.82,3.559,3.207,4.792,0.0,0.1879,1.345,1.697,1.519,1.804,0.09523,0.1154,0.1115,0.1485,0.1784,2.08E-8,0.0,4.7979999999999994E8,163000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83E-9,0.0,6.472E-10,0.003264,1.719E-7,4.811E-8,7.236E-9,1.759E-10,3.615E-11,4.519E-11,2.575E-7,2.814E-7,0.0,2.111E-15,1.126E-6,9.674E-11,3.315E-11,3.428E-13,7.623E-16,1.886E-16,2.358E-16,7.277E-12,2.541E-11,1.0E-4,0.0,191200.0,2085.0,1352.0,745.7,4897.0,1080.0,1559.0,516.6,1040.0,674.7,0.0,1.671E-34,6.359000000000001E-34,9.835E-34,5.669E-34,4.935E-34,1.2939999999999999E-33,1.722E-32,1.9910000000000003E-34,8.737E-33,4.942E-34,0.0,2.303E-35,4.14E-35,1.055E-34,3.537E-35,4.126E-36,2.371E-36,1.5769999999999999E-37,1.0729999999999999E-37,3.568E-37,2.16E-37,19540.0,17.22,36.97,63.66,29.95,5.366,2.065,3.896,3.664,5.04,6.091,0.0,2881.0,9.787,5.283,1.9,11.79,1.052,0.7766,0.2085,0.4815,0.2235,
195400.0,4857.0,459.2,605.7,563.6,142.3,23.2,46.44,39.9,50.02,63.16,19540.0,254.4,3.954,9.795,7.602,2.447,7.141,17.08,15.78,31.37,28.85,19540.0,254.4,3.954,9.795,7.602,2.447,7.141,17.08,15.78,31.37,28.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.797,31.85,22.93,7.164,312.6,3.058,2.82,3.559,3.207,4.792,0.0,0.1882,1.339,1.661,1.542,1.804,0.07227,0.1314,0.1181,0.1419,0.1815,2.741E-8,0.0,4.7979999999999994E8,162200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.282E-9,0.0,6.472E-10,0.005974,2.891E-7,9.284E-8,1.349E-8,5.23E-10,9.55E-9,8.373E-10,1.142E-6,6.941E-7,0.0,2.111E-15,2.561E-6,1.983E-10,6.952E-11,6.324E-13,1.761E-15,4.982E-14,1.269E-14,5.657E-11,6.318E-11,1.0E-4,0.0,191200.0,2079.0,1349.0,742.9,4890.0,1060.0,1643.0,568.8,922.8,666.6,0.0,1.671E-34,5.717E-34,8.649E-34,4.784E-34,3.866E-34,1.153E-33,1.853E-32,1.117E-33,6.796E-33,3.5700000000000002E-34,0.0,2.303E-35,4.14E-35,1.055E-34,3.537E-35,4.125E-36,2.365E-36,1.585E-37,1.057E-37,3.5649999999999998E-37,2.161E-37,19540.0,17.23,36.94,63.63,30.04,5.31,1.823,4.211,3.828,4.73,6.091,0.0,2881.0,9.765,5.293,1.889,11.76,1.03,0.8229,0.2362,0.4286,0.2223,
195400.0,4857.0,459.1,605.6,563.6,139.7,23.19,46.21,39.91,50.18,63.16,19540.0,254.4,3.954,9.795,7.602,2.44,7.142,17.05,15.78,31.39,28.85,19540.0,254.4,3.954,9.795,7.602,2.44,7.142,17.05,15.78,31.39,28.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.797,31.92,22.99,7.155,312.5,3.05,2.82,3.548,3.204,4.785,0.0,0.1882,1.338,1.694,1.522,1.769,0.07213,0.1308,0.118,0.1423,0.1814,3.361E-8,0.0,4.7979999999999994E8,161300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.132E-9,0.0,6.472E-10,0.009879,1.517E-6,1.063E-6,4.03E-8,8.763E-7,2.399E-6,2.592E-6,6.213E-6,5.236E-6,0.0,2.111E-15,5.073E-6,6.244E-10,4.459E-10,1.334E-12,2.393E-11,4.364E-11,7.685E-11,3.428E-10,2.239E-10,1.0E-4,0.0,191200.0,2077.0,1347.0,742.7,4868.0,1060.0,1634.0,569.7,929.6,666.6,0.0,1.671E-34,5.497E-34,7.886E-34,4.335000000000001E-34,3.867E-34,1.14E-33,1.833E-32,1.125E-33,6.849E-33,3.593E-34,0.0,2.303E-35,4.14E-35,1.055E-34,3.537E-35,4.124E-36,2.365E-36,1.581E-37,1.057E-37,3.567E-37,2.161E-37,19540.0,17.23,36.93,63.63,30.04,5.226,1.824,4.189,3.83,4.746,6.092,0.0,2881.0,9.755,5.288,1.888,11.7,1.029,0.8185,0.2361,0.4313,0.2216,
