RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1213000.0,1038000.0,783700.0,1432000.0,623400.0,450500.0,350300.0,389700.0,400700.0,2364000.0,2396000.0,
1213000.0,1038000.0,783700.0,1432000.0,599800.0,449000.0,350300.0,389700.0,400700.0,2376000.0,2421000.0,
1230000.0,1037000.0,783500.0,1425000.0,599700.0,449000.0,350200.0,389700.0,400600.0,2388000.0,2401000.0,
1226000.0,1035000.0,783200.0,1422000.0,599700.0,448900.0,350100.0,389500.0,400400.0,2388000.0,2401000.0,
1236000.0,1034000.0,783000.0,1413000.0,599500.0,448900.0,350100.0,389500.0,400300.0,2400000.0,2387000.0,
1236000.0,1034000.0,782800.0,1408000.0,599400.0,448800.0,350000.0,389400.0,400200.0,2400000.0,2387000.0,
1221000.0,1034000.0,745400.0,1403000.0,599400.0,448800.0,350000.0,389400.0,400200.0,2400000.0,2440000.0,
1279000.0,1033000.0,745400.0,1400000.0,599300.0,448800.0,350000.0,389400.0,410500.0,2401000.0,2376000.0,
1279000.0,1033000.0,745400.0,1395000.0,585200.0,445300.0,350000.0,389400.0,410500.0,2401000.0,2394000.0,
1278000.0,1032000.0,745300.0,1386000.0,585200.0,445300.0,349900.0,389400.0,410500.0,2401000.0,2394000.0,
1275000.0,1032000.0,744300.0,1386000.0,565100.0,445300.0,349900.0,389400.0,410500.0,2401000.0,2414000.0,
1275000.0,1032000.0,744300.0,1386000.0,565100.0,445300.0,349900.0,389400.0,410500.0,2401000.0,2414000.0,
1275000.0,1032000.0,744300.0,1386000.0,565100.0,445300.0,349900.0,389400.0,410500.0,2401000.0,2414000.0,
1300000.0,1031000.0,744300.0,1383000.0,565000.0,445200.0,349900.0,389300.0,493000.0,2342000.0,2389000.0,
1300000.0,1031000.0,744300.0,1383000.0,559200.0,443800.0,348100.0,389300.0,493000.0,2342000.0,2398000.0,
1295000.0,1031000.0,744200.0,1383000.0,559200.0,443800.0,348100.0,389300.0,493000.0,2354000.0,2398000.0,
1290000.0,1031000.0,744100.0,1378000.0,546600.0,443700.0,348000.0,389300.0,493000.0,2354000.0,2410000.0,
1299000.0,1029000.0,744000.0,1373000.0,539000.0,443700.0,348000.0,389200.0,492900.0,2366000.0,2406000.0,
1299000.0,1029000.0,744000.0,1373000.0,539000.0,443700.0,348000.0,389200.0,492900.0,2366000.0,2406000.0,
1297000.0,1028000.0,743800.0,1367000.0,538900.0,443700.0,347900.0,389200.0,492800.0,2366000.0,2406000.0,
1297000.0,1028000.0,743800.0,1362000.0,538900.0,443700.0,347800.0,389100.0,492700.0,2366000.0,2406000.0,
1284000.0,1026000.0,743200.0,1358000.0,538900.0,443600.0,347800.0,389100.0,492600.0,2366000.0,2406000.0,
1268000.0,1026000.0,740000.0,1358000.0,538900.0,443600.0,347800.0,389100.0,492600.0,2366000.0,2425000.0,
1288000.0,1026000.0,739800.0,1358000.0,538900.0,443600.0,347800.0,389100.0,492600.0,2378000.0,2400000.0,
1293000.0,1026000.0,739800.0,1353000.0,538900.0,443600.0,347800.0,389100.0,492600.0,2390000.0,2394000.0,
1354000.0,1026000.0,727300.0,1348000.0,538900.0,443600.0,347800.0,389100.0,538800.0,2355000.0,2345000.0,
1349000.0,1026000.0,727200.0,1329000.0,538700.0,443600.0,347700.0,389000.0,538700.0,2355000.0,2345000.0,
1349000.0,1026000.0,727200.0,1329000.0,538700.0,443600.0,347700.0,389000.0,538700.0,2355000.0,2345000.0,
1337000.0,1026000.0,727200.0,1324000.0,538700.0,443600.0,347700.0,389000.0,538700.0,2367000.0,2358000.0,
1337000.0,1026000.0,727200.0,1324000.0,538700.0,443600.0,347700.0,389000.0,538700.0,2379000.0,2358000.0,
1322000.0,1026000.0,727100.0,1319000.0,526100.0,443500.0,347600.0,389000.0,538600.0,2391000.0,2371000.0,
1320000.0,1025000.0,729800.0,1315000.0,526100.0,443500.0,347600.0,394900.0,532500.0,2391000.0,2371000.0,
1317000.0,1028000.0,729800.0,1306000.0,518500.0,443400.0,347500.0,414900.0,564700.0,2350000.0,2378000.0,
1315000.0,1028000.0,731200.0,1301000.0,518400.0,443400.0,347400.0,414900.0,564700.0,2362000.0,2378000.0,
1311000.0,1031000.0,724200.0,1301000.0,496300.0,443400.0,347400.0,414900.0,564700.0,2374000.0,2408000.0,
1309000.0,1031000.0,726200.0,1301000.0,502300.0,437300.0,347400.0,414900.0,564700.0,2374000.0,2408000.0,
1305000.0,1032000.0,729200.0,1301000.0,782400.0,157300.0,347400.0,472500.0,507100.0,2374000.0,2408000.0,
1281000.0,1033000.0,732200.0,1321000.0,764700.0,145300.0,347400.0,472500.0,507100.0,2374000.0,2437000.0,
1307000.0,1034000.0,735600.0,1312000.0,770700.0,139100.0,347300.0,504400.0,474900.0,2386000.0,2406000.0,
1319000.0,1036000.0,737200.0,1312000.0,770700.0,139100.0,347300.0,518500.0,460900.0,2398000.0,2386000.0,
1317000.0,1036000.0,739000.0,1308000.0,773700.0,136100.0,347300.0,518400.0,460800.0,2398000.0,2386000.0,
1312000.0,1035000.0,740300.0,1303000.0,773700.0,136100.0,347300.0,528400.0,450900.0,2398000.0,2386000.0,
1310000.0,1037000.0,740300.0,1298000.0,761100.0,353700.0,129700.0,528400.0,531100.0,2341000.0,2398000.0,
1308000.0,1038000.0,740800.0,1287000.0,761100.0,360100.0,123200.0,536800.0,522800.0,2341000.0,2398000.0,
1304000.0,1040000.0,713900.0,1287000.0,761100.0,360100.0,123200.0,536800.0,522800.0,2341000.0,2428000.0,
1299000.0,1043000.0,715800.0,1287000.0,753600.0,360100.0,134500.0,525500.0,522800.0,2341000.0,2435000.0,
1298000.0,1043000.0,716600.0,1278000.0,753500.0,360000.0,134400.0,525400.0,522600.0,2341000.0,2435000.0,
1297000.0,1042000.0,718300.0,1269000.0,748600.0,358800.0,132800.0,535300.0,512600.0,2341000.0,2443000.0,
1293000.0,1046000.0,718300.0,1264000.0,748600.0,358800.0,132800.0,541400.0,506600.0,2341000.0,2443000.0,
