entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.178,0.3355,0.106,0.0907,0.0685,0.1252,0.05449,0.03938,0.03062,0.03407,0.03502,0.2066,0.2094,
2.177,0.3422,0.106,0.09069,0.06848,0.1243,0.05448,0.03937,0.0306,0.03405,0.03501,0.2077,0.2094,
2.176,0.3195,0.106,0.09069,0.06848,0.1243,0.05382,0.03937,0.0306,0.03405,0.03501,0.2077,0.21,
2.176,0.3186,0.106,0.09072,0.06849,0.124,0.05384,0.03938,0.03061,0.03406,0.03502,0.2077,0.2101,
2.176,0.3125,0.105,0.09076,0.06852,0.1237,0.05385,0.0394,0.03062,0.03407,0.03502,0.2078,0.2113,
2.172,0.3097,0.1068,0.09066,0.06779,0.1235,0.05204,0.03892,0.03059,0.03404,0.03499,0.2087,0.212,
2.174,0.3078,0.1104,0.09068,0.06784,0.1217,0.0521,0.03895,0.03062,0.03407,0.03502,0.2099,0.2087,
2.18,0.3093,0.1104,0.09063,0.0678,0.1212,0.05207,0.03893,0.0306,0.03405,0.03852,0.2073,0.2086,
2.179,0.3142,0.1087,0.0906,0.06783,0.1212,0.05209,0.03895,0.03061,0.03406,0.03854,0.2074,0.2099,
2.177,0.3103,0.1088,0.09063,0.06672,0.1209,0.05211,0.03896,0.03062,0.03407,0.03854,0.2075,0.2112,
2.176,0.3155,0.1082,0.09067,0.06674,0.1205,0.05146,0.03897,0.03063,0.03408,0.03855,0.2076,0.2126,
2.175,0.3139,0.1082,0.09047,0.06657,0.1206,0.05082,0.03899,0.03064,0.0341,0.03857,0.2077,0.2133,
2.175,0.3175,0.1081,0.0904,0.06659,0.1202,0.05087,0.03902,0.03066,0.03412,0.0386,0.2079,0.2135,
2.174,0.3164,0.1118,0.09004,0.06647,0.12,0.0497,0.03885,0.03048,0.03407,0.03853,0.2096,0.2104,
2.2,0.3043,0.1136,0.08997,0.06645,0.1192,0.04969,0.03884,0.03047,0.03406,0.05544,0.1937,0.2085,
2.198,0.3107,0.1133,0.0899,0.06635,0.1188,0.04903,0.03883,0.03046,0.03405,0.05542,0.1947,0.2091,
2.197,0.304,0.1119,0.08978,0.06631,0.1184,0.04899,0.03881,0.03044,0.03403,0.05539,0.1955,0.2105,
2.196,0.3119,0.1116,0.0898,0.06629,0.1181,0.04903,0.03885,0.03047,0.03406,0.05543,0.1957,0.2107,
2.199,0.3038,0.1163,0.08922,0.06636,0.1174,0.04909,0.03889,0.0305,0.0341,0.0555,0.1969,0.2057,
2.199,0.306,0.1161,0.08937,0.06646,0.1163,0.04917,0.03896,0.03055,0.03415,0.05559,0.1973,0.2061,
2.199,0.3091,0.1161,0.08937,0.06646,0.1163,0.04917,0.03896,0.03055,0.03415,0.05559,0.1973,0.2061,
2.198,0.3169,0.115,0.08937,0.06646,0.1163,0.04917,0.03896,0.03055,0.03415,0.05559,0.1973,0.2072,
2.197,0.3179,0.1147,0.08919,0.06623,0.1159,0.0491,0.0389,0.0305,0.0341,0.0555,0.199,0.2069,
2.195,0.324,0.1131,0.08919,0.06623,0.1159,0.04844,0.0389,0.0305,0.0341,0.0555,0.199,0.2092,
2.193,0.3169,0.113,0.08917,0.06622,0.1151,0.04731,0.03889,0.03049,0.03409,0.05549,0.1999,0.2103,
2.19,0.3228,0.1126,0.08916,0.06433,0.1147,0.04731,0.03888,0.03048,0.03408,0.05547,0.2009,0.2121,
2.187,0.3257,0.1126,0.08916,0.06433,0.1147,0.045,0.03888,0.03048,0.03408,0.05547,0.2009,0.2144,
2.184,0.3236,0.1126,0.08919,0.06436,0.1143,0.04347,0.0389,0.03049,0.03409,0.05549,0.201,0.2161,
2.183,0.3235,0.112,0.08915,0.06443,0.1141,0.04285,0.03895,0.03053,0.03413,0.05556,0.2013,0.217,
2.182,0.3224,0.1142,0.08896,0.06439,0.114,0.04173,0.03892,0.03051,0.03412,0.05553,0.2022,0.2154,
2.182,0.3221,0.1143,0.08899,0.06441,0.1137,0.04175,0.03893,0.03052,0.03412,0.05554,0.2022,0.2155,
2.18,0.326,0.113,0.08919,0.06441,0.1148,0.0402,0.03893,0.03105,0.03359,0.05554,0.2022,0.2171,
2.161,0.3224,0.1125,0.08938,0.06467,0.1148,0.06555,0.01358,0.03218,0.03246,0.05554,0.2022,0.2171,
2.161,0.3203,0.1136,0.0897,0.06468,0.1149,0.06408,0.01358,0.03215,0.03245,0.05551,0.2031,0.2162,
2.164,0.3227,0.1176,0.08933,0.06473,0.1145,0.06388,0.01353,0.03206,0.03863,0.04905,0.2056,0.2111,
2.164,0.3242,0.1175,0.08934,0.06496,0.1142,0.06391,0.01353,0.03206,0.03864,0.04906,0.2057,0.2112,
2.163,0.3348,0.1106,0.08925,0.06515,0.1209,0.06444,0.01301,0.03206,0.03864,0.04906,0.2057,0.2112,
2.164,0.3441,0.1105,0.08932,0.06537,0.1202,0.06448,0.01302,0.03209,0.04077,0.047,0.2058,0.2113,
2.164,0.3327,0.1123,0.08919,0.06545,0.12,0.06472,0.01274,0.03207,0.04075,0.04698,0.2067,0.2091,
2.164,0.3484,0.1116,0.08918,0.06549,0.1199,0.06468,0.01273,0.03205,0.04125,0.04642,0.2077,0.209,
2.163,0.3464,0.1111,0.08943,0.06563,0.1191,0.06465,0.01273,0.03204,0.04406,0.04359,0.2087,0.209,
2.159,0.3621,0.1109,0.08925,0.06389,0.1178,0.06384,0.03151,0.013,0.04407,0.0436,0.2098,0.2123,
2.172,0.3558,0.1139,0.08905,0.06402,0.1177,0.0643,0.03095,0.01299,0.04403,0.05141,0.2027,0.2089,
2.173,0.3628,0.113,0.0892,0.06412,0.1173,0.0644,0.03101,0.01378,0.04332,0.05149,0.2031,0.2093,
2.172,0.3759,0.1113,0.08932,0.06414,0.1182,0.06436,0.03099,0.01377,0.04418,0.05058,0.204,0.2092,
2.172,0.3697,0.1113,0.08921,0.06431,0.1182,0.06463,0.03072,0.01377,0.04515,0.04962,0.204,0.2092,
2.172,0.3643,0.11,0.08913,0.06443,0.1188,0.0646,0.03069,0.01375,0.04741,0.04729,0.2049,0.209,
2.17,0.404,0.1083,0.08907,0.06446,0.1201,0.06387,0.03066,0.01374,0.04736,0.04724,0.2057,0.2095,
2.169,0.4023,0.1076,0.08908,0.06446,0.1199,0.0632,0.03066,0.01374,0.04788,0.0467,0.2067,0.2101,
2.183,0.4096,0.1121,0.08854,0.06453,0.1195,0.06301,0.03056,0.01369,0.04773,0.05552,0.2002,0.2046,
2.182,0.401,0.1106,0.089,0.06466,0.1202,0.06303,0.03091,0.01336,0.04774,0.05554,0.2003,0.2047,
2.181,0.387,0.1103,0.08884,0.06462,0.1199,0.06291,0.03084,0.01333,0.04857,0.05451,0.2019,0.2043,
2.181,0.376,0.1103,0.0888,0.06466,0.1199,0.06291,0.03084,0.01333,0.04857,0.05451,0.2019,0.2043,
2.181,0.3831,0.1103,0.08882,0.06474,0.1196,0.06292,0.03086,0.01333,0.05661,0.0465,0.202,0.2044,
2.182,0.3851,0.1101,0.08868,0.06478,0.1195,0.06286,0.03082,0.01414,0.05573,0.04645,0.2028,0.2042,
2.18,0.3935,0.11,0.08855,0.06475,0.1193,0.06266,0.03027,0.01413,0.05568,0.04641,0.2036,0.2046,
2.19,0.3967,0.1097,0.08839,0.06493,0.1192,0.0626,0.03024,0.02557,0.04504,0.04549,0.2044,0.2044,
2.19,0.3822,0.1095,0.08838,0.06519,0.1189,0.06197,0.03025,0.02557,0.04651,0.04405,0.2045,0.2052,
2.187,0.3632,0.1091,0.08827,0.06526,0.1183,0.06078,0.0302,0.02605,0.04591,0.04397,0.2062,0.2059,
2.187,0.3433,0.109,0.08816,0.06533,0.1182,0.06081,0.03021,0.02606,0.04593,0.04399,0.2063,0.206,
2.185,0.3467,0.1061,0.08841,0.06542,0.1205,0.05931,0.03022,0.02607,0.04595,0.04401,0.2064,0.2076,
2.185,0.3506,0.1053,0.08924,0.06551,0.1202,0.05985,0.02971,0.02608,0.04596,0.04402,0.2065,0.2077,
2.183,0.3758,0.1048,0.08952,0.06414,0.1202,0.05985,0.02971,0.02608,0.04596,0.04402,0.2065,0.2092,
2.179,0.3492,0.1037,0.08979,0.06434,0.1203,0.05693,0.02961,0.02595,0.046,0.04405,0.2067,0.2127,
2.179,0.3515,0.1035,0.08994,0.06445,0.12,0.05696,0.02962,0.02595,0.04601,0.04406,0.2067,0.2128,
2.178,0.353,0.1033,0.08995,0.06459,0.12,0.05587,0.02962,0.02647,0.04549,0.04406,0.2067,0.2138,
2.176,0.3527,0.1058,0.08989,0.06457,0.1199,0.05319,0.02959,0.02645,0.04544,0.04402,0.2076,0.2136,
2.175,0.3714,0.1042,0.0904,0.06472,0.1206,0.05321,0.0296,0.02645,0.05006,0.03944,0.2077,0.2137,
2.175,0.361,0.1039,0.09044,0.06481,0.1202,0.05323,0.02963,0.02648,0.0501,0.03947,0.2078,0.2139,
2.174,0.3539,0.1038,0.09068,0.06493,0.1193,0.05259,0.02966,0.02651,0.05166,0.03799,0.2081,0.2148,
2.174,0.3372,0.1037,0.09096,0.06502,0.1183,0.05266,0.03022,0.02601,0.05171,0.03804,0.2084,0.2151,
2.176,0.3392,0.1037,0.09092,0.0652,0.1175,0.05271,0.03025,0.02937,0.04895,0.03754,0.2086,0.2153,
2.176,0.344,0.1031,0.09087,0.06541,0.1169,0.0528,0.0303,0.02941,0.04903,0.03761,0.2089,0.2157,
2.176,0.3431,0.103,0.09098,0.06553,0.1162,0.05284,0.03032,0.02944,0.04907,0.03764,0.2091,0.2158,
2.176,0.3496,0.1029,0.09102,0.06564,0.1162,0.05284,0.03085,0.02891,0.04907,0.03764,0.2091,0.2158,
2.175,0.3556,0.1029,0.09105,0.06574,0.1158,0.05349,0.03023,0.02892,0.04909,0.03765,0.2092,0.2159,
2.184,0.3413,0.1076,0.09125,0.06564,0.1161,0.05338,0.03069,0.02833,0.04995,0.0399,0.2076,0.2096,
2.184,0.3456,0.1072,0.09152,0.06572,0.1161,0.05338,0.03069,0.02979,0.0495,0.0389,0.2076,0.2096,
2.184,0.3504,0.107,0.09174,0.06578,0.1161,0.05338,0.03069,0.03022,0.04907,0.0389,0.2076,0.2096,
2.185,0.3447,0.1088,0.09158,0.06583,0.116,0.05333,0.03066,0.03018,0.04902,0.03886,0.2084,0.2074,
2.183,0.3559,0.1087,0.0912,0.06631,0.116,0.05333,0.03066,0.03018,0.05511,0.03277,0.2084,0.2074,
2.19,0.3685,0.1086,0.0905,0.06652,0.1159,0.0533,0.03064,0.03017,0.05508,0.03691,0.2051,0.2072,
2.19,0.365,0.1021,0.09016,0.06577,0.1207,0.0533,0.03065,0.04607,0.04014,0.03594,0.2072,0.2079,
2.19,0.3651,0.1021,0.08994,0.06599,0.1207,0.05264,0.03065,0.04607,0.04014,0.03594,0.2072,0.2086,
2.188,0.3725,0.1021,0.08996,0.06612,0.1203,0.05157,0.03066,0.04609,0.04015,0.03596,0.2073,0.2098,
2.203,0.3836,0.1032,0.09018,0.06603,0.1201,0.05146,0.03059,0.04599,0.04181,0.04317,0.1999,0.2075,
2.201,0.3456,0.1028,0.09005,0.0662,0.1191,0.0507,0.03043,0.04601,0.0418,0.04313,0.2004,0.2094,
2.197,0.3558,0.1032,0.09032,0.06631,0.1192,0.04763,0.03043,0.04601,0.04179,0.04313,0.2013,0.2106,
2.198,0.3565,0.1054,0.09016,0.06631,0.119,0.04753,0.03037,0.04591,0.04171,0.04304,0.203,0.2076,
2.196,0.3524,0.1053,0.09029,0.06635,0.119,0.04611,0.03037,0.04591,0.04171,0.04304,0.203,0.209,
2.198,0.3477,0.1091,0.09005,0.06676,0.1185,0.04663,0.02984,0.0459,0.0417,0.04303,0.2039,0.2045,
2.198,0.3549,0.1091,0.09008,0.06682,0.118,0.04667,0.02987,0.04594,0.04486,0.03994,0.2041,0.2046,
2.197,0.3255,0.1088,0.09008,0.06697,0.1175,0.04664,0.02984,0.04668,0.04406,0.03992,0.205,0.2045,
2.197,0.329,0.1086,0.09018,0.06702,0.1175,0.04664,0.02984,0.04716,0.0441,0.03939,0.205,0.2045,
2.195,0.3271,0.1078,0.09018,0.067,0.1171,0.0465,0.02975,0.04702,0.04397,0.03927,0.2075,0.2039,
2.208,0.3206,0.1062,0.08992,0.06723,0.1181,0.04647,0.02973,0.04699,0.04394,0.04801,0.1996,0.2038,
2.207,0.3235,0.1056,0.08948,0.06738,0.118,0.0464,0.02969,0.04691,0.04387,0.04793,0.2013,0.2034,
2.207,0.3337,0.1052,0.08954,0.06755,0.1174,0.04645,0.03045,0.04624,0.04392,0.04799,0.2016,0.2037,
2.208,0.3354,0.1046,0.09008,0.06769,0.117,0.04647,0.03046,0.04626,0.04394,0.04801,0.2017,0.2038,
2.206,0.3386,0.1046,0.08993,0.06791,0.117,0.04538,0.03046,0.04626,0.04704,0.04491,0.2017,0.2049,
2.204,0.3423,0.1046,0.08979,0.06805,0.117,0.04429,0.03046,0.04705,0.04755,0.04361,0.2017,0.206,
2.204,0.3534,0.1042,0.08959,0.06815,0.1166,0.04428,0.03079,0.0474,0.04684,0.0436,0.2026,0.2059,
2.203,0.3481,0.1039,0.0893,0.06819,0.1164,0.04419,0.03073,0.04731,0.04761,0.04264,0.2043,0.2055,
2.199,0.35,0.1011,0.08926,0.06816,0.1188,0.04219,0.03069,0.04726,0.04757,0.0426,0.2051,0.2073,
2.198,0.3307,0.09812,0.08896,0.06831,0.1213,0.04217,0.03181,0.0461,0.04806,0.04205,0.206,0.2072,
2.189,0.3633,0.09709,0.089,0.0686,0.1212,0.04222,0.05796,0.02004,0.04916,0.04106,0.2062,0.2074,
2.189,0.3609,0.09709,0.08898,0.06863,0.1212,0.04157,0.05796,0.02045,0.04874,0.04106,0.2062,0.2081,
2.191,0.3624,0.0983,0.08914,0.06861,0.1219,0.04154,0.05792,0.02113,0.04801,0.04103,0.2071,0.2053,
2.191,0.3544,0.09836,0.08892,0.06893,0.1212,0.04158,0.05797,0.02244,0.04763,0.0402,0.2073,0.2055,
2.204,0.3418,0.09813,0.08891,0.06901,0.1204,0.04021,0.0579,0.02235,0.04752,0.05033,0.1981,0.2072,
2.204,0.3491,0.09543,0.08867,0.06907,0.1231,0.04021,0.05844,0.02398,0.04536,0.05034,0.1981,0.2072,
2.203,0.3514,0.09446,0.0886,0.06923,0.1228,0.04023,0.05846,0.02399,0.04538,0.05036,0.1992,0.2073,
2.203,0.3578,0.09424,0.08873,0.06931,0.1228,0.04023,0.05846,0.02399,0.04538,0.05036,0.1992,0.2073,
2.203,0.3603,0.09666,0.08828,0.06939,0.1224,0.0391,0.05839,0.02532,0.04397,0.0503,0.201,0.2052,
2.203,0.3633,0.09619,0.08853,0.06944,0.1219,0.03907,0.05835,0.0253,0.04394,0.05027,0.2019,0.2051,
2.202,0.3766,0.09579,0.08842,0.06957,0.1211,0.03908,0.05837,0.04426,0.025,0.05029,0.2029,0.2052,
2.202,0.3724,0.09569,0.0884,0.06969,0.1211,0.03908,0.05837,0.04426,0.025,0.05029,0.2029,0.2052,
2.199,0.3757,0.09535,0.08866,0.06985,0.1208,0.03747,0.05839,0.04427,0.025,0.05031,0.203,0.2069,
2.199,0.3763,0.09541,0.08864,0.06914,0.1201,0.0375,0.05844,0.04431,0.02503,0.05035,0.2032,0.2079,
2.199,0.3896,0.09784,0.08841,0.06918,0.1191,0.03745,0.05837,0.04426,0.025,0.05029,0.205,0.2051,
2.203,0.3842,0.09766,0.08857,0.06921,0.1191,0.05772,0.03844,0.04393,0.03069,0.0446,0.205,0.2051,
2.203,0.3865,0.09738,0.08871,0.06935,0.1191,0.05824,0.03792,0.04393,0.03069,0.0446,0.205,0.2051,
2.201,0.3846,0.09739,0.08879,0.06944,0.1184,0.05677,0.03795,0.04396,0.03071,0.04464,0.2052,0.2068,
2.201,0.3816,0.09737,0.08885,0.06953,0.1177,0.05681,0.03798,0.04399,0.03162,0.04379,0.2053,0.207,
2.201,0.3833,0.09737,0.08882,0.06956,0.1177,0.05681,0.03798,0.04441,0.0312,0.04379,0.2053,0.207,
2.2,0.3842,0.09706,0.08893,0.06961,0.1172,0.05678,0.03857,0.04377,0.03118,0.04376,0.2062,0.2069,
2.209,0.3903,0.095,0.0887,0.06961,0.1184,0.05669,0.03923,0.04298,0.0362,0.04428,0.2023,0.2066,
2.209,0.3895,0.09382,0.08873,0.06967,0.1195,0.05669,0.03923,0.04298,0.0362,0.04428,0.2023,0.2066,
2.206,0.3925,0.09385,0.08872,0.06974,0.1192,0.05606,0.03924,0.04783,0.03138,0.0443,0.2024,0.2073,
2.201,0.4043,0.09271,0.08861,0.0682,0.1203,0.05404,0.03897,0.04783,0.03138,0.0443,0.2024,0.2113,
2.202,0.4067,0.09449,0.08862,0.06813,0.1202,0.05399,0.03935,0.04827,0.03044,0.04425,0.2032,0.2091,
2.202,0.4072,0.09405,0.08896,0.06823,0.1202,0.05451,0.03883,0.04827,0.03302,0.04168,0.2032,0.2091,
2.202,0.4118,0.09731,0.08878,0.06839,0.1194,0.05225,0.03884,0.04828,0.03478,0.03994,0.2043,0.2077,
2.204,0.4151,0.101,0.08861,0.06863,0.1186,0.05161,0.03937,0.04778,0.03627,0.03847,0.2054,0.2043,
2.204,0.4079,0.09981,0.08856,0.0688,0.1197,0.05161,0.03937,0.04778,0.03837,0.03637,0.2054,0.2043,
2.204,0.4106,0.09975,0.0884,0.06903,0.1197,0.05161,0.03937,0.04778,0.03837,0.03637,0.2054,0.2043,
2.204,0.4121,0.09925,0.08828,0.06942,0.1194,0.05165,0.0394,0.04781,0.03884,0.03596,0.2055,0.2045,
2.204,0.4111,0.09929,0.08829,0.06947,0.119,0.05219,0.03889,0.04783,0.03885,0.03597,0.2056,0.2046,
2.199,0.4087,0.0991,0.08823,0.06946,0.1189,0.04953,0.03885,0.04778,0.03881,0.03593,0.2064,0.207,
2.199,0.4092,0.09875,0.08819,0.06959,0.1186,0.04958,0.03889,0.04824,0.0393,0.0351,0.2066,0.2071,
2.193,0.4039,0.1014,0.08806,0.06979,0.1178,0.07081,0.01698,0.04823,0.03929,0.04134,0.2014,0.2049,
2.193,0.4072,0.1014,0.08816,0.06986,0.1171,0.07087,0.017,0.04827,0.04072,0.03998,0.2015,0.2051,
2.192,0.4038,0.1012,0.08808,0.0699,0.1168,0.07092,0.01756,0.05257,0.03703,0.03888,0.2017,0.2053,
2.193,0.4135,0.101,0.08817,0.07009,0.1165,0.07121,0.01797,0.05193,0.03704,0.03889,0.2018,0.2054,
2.189,0.386,0.1008,0.08818,0.07027,0.1165,0.06912,0.01745,0.05193,0.03897,0.03696,0.2018,0.208,
2.189,0.3819,0.1007,0.08829,0.07031,0.1165,0.06912,0.01745,0.05245,0.03845,0.03696,0.2018,0.208,
2.187,0.3903,0.09726,0.08858,0.07045,0.1182,0.0692,0.0169,0.05255,0.03853,0.03703,0.2022,0.2091,
2.187,0.3893,0.09704,0.08853,0.07073,0.1182,0.0692,0.0169,0.05255,0.03853,0.03703,0.2022,0.2091,
2.187,0.3906,0.09703,0.08846,0.07098,0.1175,0.06925,0.01691,0.0533,0.03784,0.03706,0.2024,0.2093,
2.187,0.3923,0.0981,0.08807,0.0712,0.1174,0.06853,0.01689,0.05325,0.03867,0.03616,0.2032,0.2085,
2.187,0.3925,0.09801,0.08809,0.07128,0.1174,0.06853,0.01689,0.05367,0.03825,0.03616,0.2032,0.2085,
2.184,0.3936,0.09817,0.08819,0.07144,0.1159,0.06602,0.01691,0.05376,0.03831,0.03622,0.2036,0.2115,
2.184,0.3991,0.09767,0.08807,0.07164,0.116,0.06605,0.01692,0.05378,0.03833,0.03624,0.2037,0.2116,
2.186,0.3911,0.1028,0.08789,0.07161,0.1153,0.06588,0.01688,0.05364,0.03822,0.03615,0.2062,0.2054,
2.184,0.3928,0.1026,0.08777,0.07162,0.1145,0.06638,0.01639,0.05418,0.03769,0.03615,0.2073,0.2055,
2.184,0.4003,0.1024,0.08794,0.07179,0.1141,0.06698,0.01582,0.0542,0.03858,0.03529,0.2074,0.2055,
2.183,0.4017,0.1004,0.08791,0.07199,0.1159,0.06698,0.01582,0.0542,0.03972,0.03416,0.2074,0.2055,
2.183,0.4017,0.1005,0.08787,0.07229,0.1148,0.06707,0.01583,0.05427,0.03976,0.0342,0.2076,0.2058,
2.182,0.4044,0.1003,0.08803,0.07233,0.1148,0.06555,0.01636,0.05374,0.04029,0.03367,0.2076,0.2073,
2.183,0.4099,0.1002,0.08819,0.07236,0.1144,0.06558,0.01731,0.05281,0.04031,0.03369,0.2077,0.2074,
2.183,0.4008,0.1001,0.08823,0.07245,0.1141,0.0661,0.01735,0.053,0.04016,0.03318,0.2078,0.2075,
2.183,0.4,0.09995,0.0882,0.0726,0.1132,0.06609,0.01788,0.05247,0.04015,0.03317,0.2088,0.2075,
2.182,0.4127,0.09956,0.0887,0.07295,0.1114,0.06624,0.01792,0.05258,0.0445,0.02898,0.2093,0.2079,
2.181,0.4036,0.09941,0.08871,0.0734,0.1102,0.06632,0.01827,0.05231,0.04636,0.02721,0.2096,0.2082,
2.179,0.3748,0.09932,0.08874,0.0737,0.1094,0.06797,0.0167,0.05236,0.04641,0.02723,0.2098,0.2084,
2.193,0.3699,0.09892,0.08843,0.07384,0.1083,0.06782,0.01666,0.05224,0.0463,0.03519,0.2043,0.2079,
2.19,0.3764,0.0938,0.08853,0.07404,0.1123,0.06602,0.01668,0.0523,0.04688,0.03471,0.2046,0.2101,
2.19,0.3842,0.09206,0.08901,0.07413,0.1132,0.06605,0.01721,0.05251,0.04708,0.03383,0.2047,0.2102,
2.191,0.3803,0.09419,0.08914,0.07418,0.1131,0.06598,0.01719,0.05316,0.04633,0.03379,0.2055,0.2074,
2.189,0.3847,0.09419,0.08902,0.07431,0.1131,0.06445,0.01719,0.05358,0.04591,0.03379,0.2055,0.2089,
2.188,0.3939,0.09403,0.08905,0.07455,0.1127,0.06395,0.01707,0.05361,0.04593,0.03381,0.2056,0.2097,
2.188,0.3888,0.09284,0.08911,0.07475,0.1136,0.06395,0.01707,0.05361,0.04593,0.03381,0.2056,0.2097,
2.187,0.444,0.09136,0.08904,0.07505,0.1146,0.0644,0.01699,0.05427,0.0455,0.03329,0.2057,0.2098,
2.189,0.4482,0.09371,0.08916,0.07513,0.1142,0.06436,0.01698,0.05515,0.04455,0.03327,0.2066,0.2069,
2.187,0.4482,0.09191,0.08896,0.07521,0.1145,0.06435,0.01697,0.05514,0.04551,0.0323,0.2076,0.2075,
2.186,0.4019,0.09173,0.08892,0.0752,0.1141,0.0643,0.01695,0.0551,0.04644,0.03131,0.2085,0.2074,
2.196,0.3914,0.08948,0.0889,0.07521,0.1155,0.06362,0.01693,0.05509,0.04642,0.03793,0.2029,0.208,
2.196,0.3706,0.08917,0.08899,0.07544,0.1155,0.06362,0.01745,0.05456,0.04694,0.03741,0.2029,0.208,
2.196,0.3668,0.08744,0.08911,0.07544,0.1171,0.06362,0.01745,0.05456,0.04694,0.03741,0.2029,0.208,
2.178,0.3708,0.08717,0.08906,0.07399,0.117,0.06405,0.01694,0.07842,0.02351,0.03684,0.2037,0.2093,
