cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnEr,R-TfEnPm,R-TfEnRabA,R-TfEnRabB,R-TfEnRabC,R-TfEnRabD,R-TfEnRabE,R-TfEnRabF,R-TfEnRabG,R-TfEnRabH,R-TfEnRabI,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
195400.0,4844.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,19540.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,19540.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.1,10.69,7.076,335.4,3.172,2.85,3.602,3.247,4.875,0.0,4.955E-5,21.98,26.86,234.0,128.2,0.4818,0.6876,1.126,0.8766,1.183,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,50270.0,19290.0,19350.0,988100.0,10070.0,13140.0,8063.0,10610.0,11150.0,0.0,8.592000000000001E-35,6.594E-34,2.914E-33,1.097E-33,4.685E-34,1.439E-33,1.8240000000000002E-32,2.217E-34,9.135E-33,5.166E-34,0.0,2.0760000000000002E-35,3.3460000000000003E-35,1.141E-34,4.127E-35,1.4360000000000001E-36,2.2380000000000002E-36,1.323E-37,7.474E-38,3.1709999999999997E-37,1.2169999999999999E-37,19540.0,17.61,28.39,75.38,29.26,3.96,2.009,3.882,3.645,4.98,5.912,0.0,2881.0,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
195400.0,4855.0,288.3,648.0,287.5,0.6008,30.65,29.95,36.21,45.88,58.66,19540.0,257.0,0.7632,10.08,7.876,2.643,7.578,16.35,15.43,33.47,27.28,19540.0,257.0,0.7632,10.08,7.876,2.643,7.578,16.35,15.43,33.47,27.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.05,10.74,7.109,336.4,3.153,2.857,3.617,3.253,4.878,0.0,1.502E-4,106.8,63.16,268.2,132.6,0.7264,10.42,1.217,5.867,1.454,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191100.0,37140.0,14200.0,13480.0,713800.0,7698.0,9879.0,5957.0,7962.0,8275.0,0.0,1.123E-34,6.604000000000001E-34,2.889E-33,1.0849999999999999E-33,4.686E-34,1.423E-33,1.8240000000000002E-32,2.213E-34,9.133999999999999E-33,5.162E-34,0.0,2.441E-35,3.236E-35,1.104E-34,3.802E-35,9.031E-37,2.2380000000000002E-36,1.314E-37,7.469E-38,3.162E-37,1.218E-37,19540.0,18.54,28.39,74.69,29.02,3.939,2.023,3.899,3.647,4.971,5.886,0.0,2881.0,9.105,4.851,2.004,12.57,1.069,0.7787,0.2135,0.4928,0.2296,
195400.0,4855.0,331.9,657.9,314.3,0.6763,30.79,35.32,36.27,48.62,58.81,19540.0,257.0,0.7632,10.08,7.876,2.643,7.238,16.41,15.51,33.57,27.4,19540.0,257.0,0.7632,10.08,7.876,2.643,7.238,16.41,15.51,33.57,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.05,10.74,7.109,336.4,3.153,2.857,3.617,3.253,4.878,0.0,1.502E-4,63.22,53.21,241.4,132.5,0.5929,5.057,1.161,3.128,1.304,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191100.0,26080.0,10960.0,8453.0,342500.0,2053.0,7436.0,2782.0,5159.0,3617.0,0.0,1.123E-34,6.6110000000000006E-34,2.882E-33,1.076E-33,4.6910000000000005E-34,1.408E-33,1.8240000000000002E-32,2.208E-34,9.133999999999999E-33,5.160000000000001E-34,0.0,2.441E-35,3.162E-35,1.087E-34,3.782E-35,3.802E-37,2.2380000000000002E-36,1.311E-37,7.469E-38,3.16E-37,1.2169999999999999E-37,19540.0,18.54,28.39,74.69,29.02,3.939,2.023,3.899,3.647,4.971,5.886,0.0,2881.0,8.999,4.832,1.966,7.417,0.9625,0.7613,0.1684,0.4598,0.1547,
195400.0,4862.0,364.8,656.9,373.4,0.7189,29.73,37.94,36.21,49.89,58.76,19540.0,257.3,0.9671,9.867,7.812,2.643,8.387,16.18,15.22,33.21,26.95,19540.0,257.3,0.9671,9.867,7.812,2.643,8.387,16.18,15.22,33.21,26.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.03,10.73,7.05,333.6,3.143,2.833,3.584,3.228,4.844,0.0,0.00236,38.87,37.83,172.4,132.5,11.4,2.725,1.581,2.307,1.931,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191100.0,24680.0,9793.0,6912.0,441300.0,5935.0,6593.0,3818.0,5288.0,5391.0,0.0,1.128E-34,6.8160000000000005E-34,2.828E-33,1.056E-33,4.694E-34,1.3889999999999999E-33,1.823E-32,2.2000000000000003E-34,9.135E-33,5.164E-34,0.0,2.5E-35,3.27E-35,1.0260000000000001E-34,4.064E-35,6.21E-38,2.2120000000000002E-36,1.307E-37,7.45E-38,3.156E-37,1.215E-37,19540.0,18.93,29.31,73.09,29.18,3.939,2.145,3.9,3.648,4.973,5.888,0.0,2881.0,9.049,4.858,1.986,12.43,1.106,0.7787,0.2133,0.4931,0.2295,
195400.0,4868.0,364.3,672.6,399.2,0.7299,32.06,38.68,36.32,50.37,58.94,19540.0,257.3,0.7582,10.45,7.413,2.624,8.374,16.18,15.22,33.21,26.95,19540.0,257.3,0.7582,10.45,7.413,2.624,8.374,16.18,15.22,33.21,26.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.02,10.72,7.037,332.6,3.135,2.832,3.573,3.224,4.836,0.0,0.01429,32.07,34.25,135.3,132.4,8.878,1.968,1.47,1.83,1.75,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191100.0,18720.0,8008.0,4767.0,222500.0,2241.0,5450.0,2052.0,3817.0,2702.0,0.0,1.339E-34,6.666E-34,2.816E-33,9.978E-34,4.694E-34,1.375E-33,1.822E-32,2.186E-34,9.133999999999999E-33,5.162E-34,0.0,2.644E-35,3.1210000000000003E-35,1.039E-34,3.914E-35,1.325E-38,2.2030000000000002E-36,1.292E-37,7.447E-38,3.155E-37,1.214E-37,19540.0,19.56,28.58,73.92,28.47,3.937,2.127,3.898,3.648,4.973,5.888,0.0,2882.0,8.92,4.842,1.932,7.104,0.9892,0.759,0.1705,0.4618,0.1584,
195400.0,4896.0,367.1,676.8,442.5,0.7363,37.68,39.23,36.56,50.85,59.31,19540.0,258.3,0.7582,10.45,6.464,2.624,8.374,16.18,15.22,33.21,26.95,19540.0,258.3,0.7582,10.45,6.464,2.624,8.374,16.18,15.22,33.21,26.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.01,10.72,7.024,331.7,3.128,2.832,3.563,3.221,4.829,0.0,0.03607,28.8,30.06,64.98,132.4,3.258,1.417,1.235,1.352,1.378,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191200.0,17540.0,7400.0,4129.0,278300.0,4195.0,5336.0,2325.0,4055.0,3816.0,0.0,1.5890000000000002E-34,6.651000000000001E-34,2.718E-33,9.482E-34,4.694E-34,1.359E-33,1.82E-32,2.166E-34,9.133999999999999E-33,5.159E-34,0.0,2.967E-35,3.111E-35,1.038E-34,3.594E-35,2.289E-39,2.2030000000000002E-36,1.291E-37,7.446E-38,3.155E-37,1.214E-37,19540.0,21.18,28.53,73.92,26.91,3.937,2.127,3.898,3.648,4.973,5.888,0.0,2882.0,8.801,4.81,1.856,10.07,1.073,0.7706,0.1854,0.4801,0.2062,
195400.0,4944.0,339.7,663.1,477.9,0.7187,39.73,39.48,36.65,51.05,59.46,19540.0,258.4,0.9795,10.44,6.142,2.597,8.36,16.03,15.47,33.16,26.9,19540.0,258.4,0.9795,10.44,6.142,2.597,8.36,16.03,15.47,33.16,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,25.9,11.71,7.063,329.8,3.12,2.831,3.552,3.218,4.822,0.0,0.1878,29.49,47.91,10.42,126.5,1.013,1.171,1.14,1.147,1.229,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191300.0,18180.0,7154.0,4484.0,307300.0,4329.0,5074.0,2819.0,4045.0,4045.0,0.0,2.865E-34,7.269E-34,2.38E-33,9.700000000000001E-34,4.473E-34,1.343E-33,1.818E-32,2.1440000000000003E-34,9.133999999999999E-33,5.157E-34,0.0,3.081E-35,2.852E-35,1.038E-34,3.658E-35,2.9169999999999998E-39,2.195E-36,1.285E-37,7.542E-38,3.1529999999999998E-37,1.211E-37,19540.0,23.91,27.58,72.54,27.12,3.339,2.107,3.898,3.648,4.973,5.888,0.0,2882.0,8.979,4.92,1.834,11.99,1.09,0.7799,0.2032,0.4937,0.2297,
195400.0,4982.0,340.4,658.4,451.8,0.7279,40.1,39.58,36.67,51.12,59.48,19540.0,258.4,0.8201,10.41,6.298,2.56,8.36,16.03,15.47,33.16,26.9,19540.0,258.4,0.8201,10.41,6.298,2.56,8.36,16.03,15.47,33.16,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,25.41,12.17,7.045,328.0,3.091,2.815,3.534,3.199,4.791,0.0,1.024,24.3,49.64,4.53,125.8,0.6389,1.061,1.116,1.074,1.192,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191300.0,15200.0,5883.0,2548.0,164900.0,2006.0,3764.0,1507.0,2602.0,1704.0,0.0,3.2570000000000003E-34,6.844E-34,2.276E-33,8.958000000000001E-34,4.472000000000001E-34,1.328E-33,1.816E-32,2.122E-34,9.133999999999999E-33,5.155E-34,0.0,3.082E-35,2.838E-35,1.0270000000000001E-34,3.7490000000000003E-35,2.1659999999999998E-39,2.195E-36,1.284E-37,7.542E-38,3.1519999999999997E-37,1.211E-37,19540.0,24.88,26.42,73.37,26.48,3.329,2.107,3.898,3.648,4.973,5.887,0.0,2882.0,8.853,4.94,1.765,6.867,0.9992,0.7359,0.156,0.4423,0.1411,
195300.0,4961.0,363.0,669.6,452.9,0.7646,40.19,39.63,36.67,51.15,74.06,19530.0,257.4,1.902,10.41,6.298,2.565,8.358,16.03,15.47,33.16,28.35,19530.0,257.4,1.902,10.41,6.298,2.565,8.358,16.03,15.47,33.16,28.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.798,25.07,12.14,7.041,328.3,3.091,2.815,3.534,3.199,4.791,0.0,1.011,22.41,38.52,3.502,126.0,0.5342,1.008,1.111,1.043,1.184,0.0,0.0,4.7989999999999994E8,56870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191300.0,16760.0,5808.0,2715.0,231700.0,3875.0,4093.0,1965.0,3151.0,3043.0,0.0,2.892E-34,7.2E-34,2.112E-33,8.536E-34,4.4750000000000005E-34,1.313E-33,1.814E-32,2.104E-34,9.133E-33,5.1520000000000005E-34,0.0,2.737E-35,3.181E-35,1.0260000000000001E-34,3.7490000000000003E-35,2.0129999999999998E-39,2.194E-36,1.284E-37,7.542E-38,3.1519999999999997E-37,1.211E-37,19530.0,22.09,29.17,73.37,26.48,3.378,2.106,3.898,3.648,4.973,7.344,0.0,2881.0,9.262,4.945,1.775,9.862,1.073,0.7537,0.1774,0.4685,0.199,
195300.0,4971.0,348.7,705.5,444.6,0.8306,40.22,39.66,36.67,51.17,74.06,19530.0,257.4,1.98,10.34,6.222,2.565,8.358,16.03,15.47,33.16,28.35,19530.0,257.4,1.98,10.34,6.222,2.565,8.358,16.03,15.47,33.16,28.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.798,25.11,12.13,6.949,324.6,3.085,2.768,3.489,3.154,4.737,0.0,1.046,19.61,18.47,2.928,125.9,0.5061,0.9751,1.11,1.025,1.183,2.588E-9,0.0,4.7989999999999994E8,56570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.875E-11,0.0,0.0,6.397E-6,4.087E-9,1.734E-9,1.771E-10,1.639E-9,5.429E-9,1.035E-8,2.106E-8,1.334E-8,0.0,0.0,2.095E-11,1.609E-13,7.837E-14,1.502E-17,1.217E-15,8.605E-15,3.417E-14,9.043E-14,3.569E-14,1.0E-4,0.0,191300.0,16280.0,5628.0,3828.0,268600.0,3866.0,4636.0,2521.0,3679.0,3712.0,0.0,3.081E-34,6.894E-34,1.917E-33,7.859000000000001E-34,4.4750000000000005E-34,1.2959999999999999E-33,1.811E-32,2.086E-34,9.133E-33,5.15E-34,0.0,2.737E-35,3.134E-35,1.03E-34,3.752E-35,1.979E-39,2.194E-36,1.283E-37,7.541E-38,3.1509999999999997E-37,1.211E-37,19530.0,22.52,28.37,74.12,26.1,3.378,2.106,3.898,3.648,4.973,7.344,0.0,2881.0,9.079,5.08,1.814,11.45,1.076,0.7784,0.2013,0.492,0.2271,
