RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1213000.0,1038000.0,783700.0,1432000.0,623400.0,450500.0,350300.0,389700.0,400700.0,2364000.0,2396000.0,
1213000.0,1038000.0,783600.0,1427000.0,617600.0,449000.0,348400.0,389700.0,400600.0,2364000.0,2405000.0,
1225000.0,1037000.0,783500.0,1423000.0,617500.0,449000.0,348400.0,389600.0,400600.0,2376000.0,2388000.0,
1225000.0,1037000.0,783500.0,1423000.0,605000.0,449000.0,348400.0,389600.0,400600.0,2376000.0,2401000.0,
1237000.0,1037000.0,783500.0,1423000.0,605000.0,449000.0,348400.0,389600.0,400600.0,2388000.0,2388000.0,
1214000.0,1037000.0,783500.0,1423000.0,605000.0,449000.0,348400.0,389600.0,400600.0,2388000.0,2411000.0,
1243000.0,1034000.0,757600.0,1423000.0,605000.0,449000.0,348400.0,389600.0,400600.0,2400000.0,2406000.0,
1243000.0,1034000.0,757600.0,1423000.0,577300.0,449000.0,348400.0,389600.0,400600.0,2400000.0,2434000.0,
1277000.0,1028000.0,757400.0,1418000.0,569800.0,449000.0,348300.0,389600.0,483400.0,2329000.0,2404000.0,
1256000.0,1027000.0,757200.0,1413000.0,563700.0,447400.0,348300.0,389600.0,483300.0,2329000.0,2428000.0,
1253000.0,1026000.0,757100.0,1409000.0,549500.0,443900.0,348200.0,389500.0,483200.0,2329000.0,2445000.0,
1251000.0,1019000.0,757000.0,1406000.0,549500.0,443900.0,348200.0,389500.0,483200.0,2329000.0,2445000.0,
1229000.0,1017000.0,756600.0,1384000.0,549500.0,443700.0,348100.0,389400.0,483000.0,2329000.0,2469000.0,
1228000.0,1017000.0,756500.0,1379000.0,549500.0,443700.0,348000.0,389300.0,482900.0,2329000.0,2469000.0,
1236000.0,1016000.0,756200.0,1375000.0,529400.0,443700.0,348000.0,389300.0,482900.0,2341000.0,2478000.0,
1235000.0,1016000.0,756100.0,1356000.0,529100.0,443600.0,347900.0,389200.0,482700.0,2352000.0,2478000.0,
1230000.0,1016000.0,755800.0,1337000.0,528900.0,443600.0,347700.0,389100.0,482500.0,2352000.0,2478000.0,
1217000.0,1016000.0,755700.0,1332000.0,506300.0,443600.0,347700.0,389100.0,482500.0,2352000.0,2513000.0,
1252000.0,1016000.0,755700.0,1332000.0,506300.0,443600.0,347700.0,389100.0,482500.0,2364000.0,2478000.0,
1281000.0,1016000.0,755700.0,1332000.0,490500.0,439700.0,346700.0,387900.0,481000.0,2388000.0,2472000.0,
1280000.0,1013000.0,753300.0,1318000.0,490400.0,439600.0,346600.0,387800.0,480800.0,2388000.0,2472000.0,
1295000.0,1013000.0,753300.0,1318000.0,490400.0,439600.0,346600.0,387800.0,480800.0,2400000.0,2458000.0,
1326000.0,1013000.0,753300.0,1318000.0,477800.0,439600.0,346600.0,387800.0,545700.0,2347000.0,2439000.0,
1326000.0,1013000.0,753300.0,1318000.0,477800.0,439600.0,346600.0,387800.0,545700.0,2347000.0,2439000.0,
1323000.0,1011000.0,753200.0,1318000.0,477800.0,439600.0,346600.0,387800.0,545700.0,2347000.0,2439000.0,
1366000.0,1009000.0,753000.0,1318000.0,477800.0,439600.0,346600.0,387800.0,545700.0,2358000.0,2394000.0,
1348000.0,1009000.0,753000.0,1318000.0,477800.0,439600.0,346600.0,387800.0,545700.0,2358000.0,2411000.0,
1371000.0,1009000.0,752800.0,1295000.0,477600.0,439600.0,346500.0,387700.0,545600.0,2370000.0,2388000.0,
1371000.0,1009000.0,752700.0,1290000.0,477600.0,439500.0,346400.0,387600.0,545500.0,2370000.0,2388000.0,
1399000.0,1009000.0,717600.0,1290000.0,477600.0,439500.0,346400.0,387600.0,545500.0,2382000.0,2395000.0,
1397000.0,996400.0,717200.0,1276000.0,470100.0,439400.0,346300.0,387500.0,545400.0,2382000.0,2402000.0,
1413000.0,995900.0,719300.0,1276000.0,476100.0,433400.0,346300.0,404000.0,528900.0,2394000.0,2384000.0,
1319000.0,992500.0,707500.0,1358000.0,475900.0,433300.0,346200.0,403900.0,550500.0,2384000.0,2402000.0,
1368000.0,992700.0,708200.0,1353000.0,479000.0,430200.0,346200.0,429000.0,525300.0,2396000.0,2352000.0,
1344000.0,997100.0,709200.0,1373000.0,780900.0,128300.0,346200.0,435000.0,519300.0,2396000.0,2352000.0,
1338000.0,992500.0,697100.0,1373000.0,760700.0,310800.0,163700.0,445100.0,568600.0,2349000.0,2385000.0,
1329000.0,986700.0,688200.0,1368000.0,753200.0,305600.0,163700.0,466400.0,547300.0,2349000.0,2410000.0,
1303000.0,984400.0,691800.0,1389000.0,753200.0,305600.0,163700.0,472400.0,541300.0,2349000.0,2410000.0,
1347000.0,984500.0,691800.0,1384000.0,753200.0,305600.0,163700.0,472400.0,541200.0,2360000.0,2359000.0,
1344000.0,982900.0,692800.0,1375000.0,752600.0,305400.0,163500.0,481900.0,530800.0,2384000.0,2359000.0,
1335000.0,984800.0,693200.0,1382000.0,752600.0,305400.0,174700.0,523600.0,477900.0,2384000.0,2359000.0,
1334000.0,985600.0,693800.0,1377000.0,752500.0,305400.0,174700.0,523500.0,477800.0,2384000.0,2359000.0,
1326000.0,985900.0,695900.0,1377000.0,752500.0,305400.0,174700.0,523500.0,477800.0,2384000.0,2359000.0,
1319000.0,992600.0,696700.0,1377000.0,744900.0,305400.0,174700.0,533600.0,467700.0,2384000.0,2367000.0,
1294000.0,993500.0,697300.0,1395000.0,724800.0,305400.0,174700.0,569700.0,431600.0,2396000.0,2387000.0,
1294000.0,992600.0,698200.0,1390000.0,724800.0,305400.0,174700.0,569700.0,431600.0,2396000.0,2387000.0,
1288000.0,990600.0,697200.0,1380000.0,729000.0,300500.0,174700.0,579700.0,421600.0,2396000.0,2387000.0,
1288000.0,982200.0,700700.0,1380000.0,729000.0,306600.0,168600.0,579700.0,566900.0,2263000.0,2387000.0,
1285000.0,979900.0,701400.0,1375000.0,711300.0,306600.0,168600.0,579700.0,566800.0,2274000.0,2405000.0,
1281000.0,982600.0,701200.0,1361000.0,711200.0,306500.0,168500.0,590300.0,556100.0,2274000.0,2405000.0,
1280000.0,977900.0,701700.0,1357000.0,717200.0,300400.0,168500.0,590200.0,556000.0,2274000.0,2405000.0,
1268000.0,977600.0,703700.0,1352000.0,709700.0,300400.0,168400.0,596200.0,550000.0,2274000.0,2412000.0,
1266000.0,979400.0,704200.0,1347000.0,712800.0,297300.0,168400.0,596200.0,550000.0,2274000.0,2412000.0,
1254000.0,979400.0,704200.0,1349000.0,695200.0,297300.0,168400.0,614300.0,531900.0,2274000.0,2430000.0,
1239000.0,977100.0,706800.0,1358000.0,695200.0,297300.0,168400.0,620400.0,525800.0,2274000.0,2430000.0,
1230000.0,976000.0,708900.0,1377000.0,695200.0,297300.0,168400.0,677400.0,468800.0,2285000.0,2419000.0,
1227000.0,977400.0,709800.0,1377000.0,677600.0,297300.0,168400.0,677400.0,468800.0,2285000.0,2437000.0,
1218000.0,976700.0,710900.0,1377000.0,677100.0,297200.0,168300.0,717900.0,427700.0,2285000.0,2437000.0,
1230000.0,976900.0,712200.0,1368000.0,669400.0,297200.0,176600.0,719500.0,417500.0,2297000.0,2431000.0,
1226000.0,979900.0,712600.0,1364000.0,669400.0,297100.0,176600.0,719500.0,417500.0,2297000.0,2431000.0,
1261000.0,979800.0,715500.0,1364000.0,669400.0,297100.0,176600.0,719500.0,417500.0,2308000.0,2393000.0,
1259000.0,980800.0,690800.0,1359000.0,669400.0,297100.0,181400.0,714700.0,417500.0,2308000.0,2418000.0,
1255000.0,983100.0,692500.0,1355000.0,661900.0,307100.0,171300.0,714600.0,417400.0,2308000.0,2426000.0,
1271000.0,982200.0,695100.0,1350000.0,644300.0,307100.0,171300.0,726600.0,405300.0,2320000.0,2425000.0,
1306000.0,982500.0,673100.0,1346000.0,644200.0,307100.0,171200.0,726600.0,405200.0,2331000.0,2406000.0,
1304000.0,981700.0,673300.0,1328000.0,644000.0,307100.0,171200.0,726500.0,405100.0,2331000.0,2406000.0,
1355000.0,982500.0,674600.0,1328000.0,644000.0,307100.0,171200.0,732600.0,399000.0,2343000.0,2353000.0,
1352000.0,983600.0,676300.0,1328000.0,644000.0,307100.0,171200.0,732600.0,399000.0,2343000.0,2353000.0,
1320000.0,981000.0,679400.0,1355000.0,636300.0,307000.0,171100.0,732500.0,399000.0,2355000.0,2361000.0,
1296000.0,979100.0,681300.0,1375000.0,636300.0,307000.0,171100.0,732500.0,399000.0,2355000.0,2361000.0,
1292000.0,979200.0,684500.0,1365000.0,641100.0,302200.0,171100.0,745400.0,386100.0,2367000.0,2361000.0,
1290000.0,980900.0,684400.0,1361000.0,641100.0,302200.0,171100.0,755400.0,376000.0,2378000.0,2361000.0,
1284000.0,985300.0,684800.0,1347000.0,640900.0,302200.0,171000.0,783000.0,348300.0,2378000.0,2361000.0,
1277000.0,985300.0,686800.0,1347000.0,640900.0,302200.0,171000.0,783000.0,348300.0,2378000.0,2361000.0,
1275000.0,986800.0,687500.0,1342000.0,634900.0,300600.0,171000.0,782900.0,484900.0,2266000.0,2368000.0,
1268000.0,985100.0,688400.0,1342000.0,629600.0,299300.0,188400.0,763800.0,483700.0,2277000.0,2376000.0,
1257000.0,986100.0,688100.0,1342000.0,629600.0,299300.0,188400.0,769800.0,477600.0,2277000.0,2376000.0,
1242000.0,986800.0,690000.0,1354000.0,612000.0,299300.0,188400.0,769800.0,477600.0,2277000.0,2394000.0,
1286000.0,985200.0,689900.0,1345000.0,569300.0,299300.0,188300.0,775700.0,471500.0,2300000.0,2389000.0,
1271000.0,981300.0,688700.0,1350000.0,569300.0,299300.0,188300.0,775700.0,471500.0,2300000.0,2389000.0,
1255000.0,983100.0,690500.0,1363000.0,556700.0,299300.0,188300.0,781800.0,465400.0,2311000.0,2401000.0,
1303000.0,981300.0,690300.0,1363000.0,556700.0,299300.0,188300.0,791800.0,455400.0,2323000.0,2340000.0,
1291000.0,987600.0,690500.0,1358000.0,556700.0,299300.0,193100.0,793000.0,449400.0,2323000.0,2340000.0,
1267000.0,983300.0,690800.0,1371000.0,549200.0,299300.0,193100.0,805100.0,437300.0,2323000.0,2347000.0,
1267000.0,983100.0,691600.0,1371000.0,549200.0,299300.0,193100.0,872100.0,370300.0,2323000.0,2347000.0,
1264000.0,985200.0,692500.0,1366000.0,536600.0,299200.0,201100.0,870000.0,364100.0,2346000.0,2360000.0,
1262000.0,985000.0,693800.0,1362000.0,522400.0,299200.0,201100.0,870000.0,364100.0,2346000.0,2374000.0,
