entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.178,0.3355,0.106,0.0907,0.0685,0.1252,0.05449,0.03938,0.03062,0.03407,0.03502,0.2066,0.2094,
2.177,0.335,0.1059,0.09065,0.06846,0.1247,0.05445,0.03936,0.0306,0.03404,0.035,0.2076,0.2093,
2.177,0.3327,0.1072,0.09073,0.06849,0.1232,0.05384,0.03939,0.03062,0.03406,0.03501,0.2088,0.2086,
2.174,0.3362,0.1067,0.09064,0.06857,0.123,0.05287,0.03918,0.03049,0.0341,0.03505,0.2091,0.2104,
2.174,0.3376,0.1097,0.09058,0.06852,0.1227,0.05174,0.03915,0.03047,0.03408,0.03502,0.21,0.2081,
2.172,0.3601,0.1097,0.09058,0.06852,0.1227,0.05051,0.03884,0.03047,0.03408,0.03502,0.21,0.2096,
2.172,0.3405,0.1095,0.09047,0.06857,0.1223,0.05055,0.03888,0.03049,0.03411,0.03505,0.2102,0.2098,
2.172,0.3359,0.1087,0.09042,0.06855,0.1223,0.04944,0.03887,0.03049,0.0341,0.03621,0.2101,0.2109,
2.172,0.3402,0.1087,0.0905,0.06861,0.1216,0.04948,0.0389,0.03051,0.03413,0.03624,0.2102,0.2111,
2.172,0.3356,0.1088,0.09017,0.06863,0.1213,0.04952,0.03893,0.03053,0.03415,0.03627,0.2104,0.2112,
2.172,0.3391,0.1089,0.0902,0.06865,0.1209,0.04953,0.03894,0.03054,0.03416,0.03628,0.2105,0.2113,
2.177,0.3345,0.1106,0.09002,0.06851,0.1207,0.04943,0.03886,0.03048,0.03409,0.03946,0.2089,0.2089,
2.176,0.3331,0.1107,0.09009,0.06857,0.1199,0.04881,0.0389,0.03051,0.03412,0.03949,0.2091,0.2098,
2.187,0.3545,0.1105,0.08994,0.06844,0.1193,0.04873,0.03883,0.03045,0.03406,0.04709,0.2032,0.2094,
2.187,0.3349,0.1107,0.09002,0.06852,0.1183,0.04877,0.03887,0.03048,0.0341,0.04713,0.2035,0.2097,
2.186,0.2851,0.1108,0.08984,0.06838,0.1181,0.04867,0.03879,0.03042,0.03403,0.04704,0.2051,0.2089,
2.183,0.2833,0.1108,0.08988,0.06628,0.1177,0.04827,0.0387,0.0303,0.03404,0.04706,0.2052,0.2118,
2.18,0.2944,0.1109,0.08995,0.06633,0.1169,0.04676,0.03873,0.03032,0.03407,0.0471,0.2053,0.2135,
2.179,0.3026,0.1096,0.08986,0.06626,0.1168,0.04672,0.03869,0.03029,0.03404,0.04705,0.2062,0.2146,
2.179,0.3048,0.1117,0.08967,0.06613,0.1166,0.04662,0.03861,0.03023,0.03397,0.04695,0.2078,0.2118,
2.178,0.296,0.1107,0.08891,0.06624,0.1158,0.04672,0.03869,0.03029,0.03404,0.04706,0.2083,0.2133,
2.179,0.3009,0.113,0.08886,0.0662,0.1153,0.04669,0.03867,0.03027,0.03402,0.04703,0.2092,0.2108,
2.179,0.2982,0.1128,0.0884,0.06624,0.1154,0.04673,0.0387,0.0303,0.03405,0.04707,0.2094,0.2109,
2.179,0.2934,0.1128,0.0884,0.06624,0.1154,0.04673,0.0387,0.0303,0.03405,0.04707,0.2094,0.2109,
2.179,0.289,0.1126,0.08839,0.06623,0.1151,0.04677,0.03873,0.03032,0.03407,0.04711,0.2095,0.2111,
2.179,0.2908,0.1126,0.08843,0.06626,0.1147,0.04679,0.03875,0.03033,0.03409,0.04713,0.2096,0.2112,
2.193,0.2853,0.1138,0.08838,0.06622,0.1142,0.04676,0.03873,0.03031,0.03407,0.0573,0.2004,0.2098,
2.193,0.2944,0.1134,0.08838,0.06616,0.1135,0.04677,0.03873,0.03032,0.03408,0.05731,0.2014,0.2099,
2.193,0.2853,0.1134,0.08838,0.06616,0.1135,0.04677,0.03873,0.03032,0.03408,0.05731,0.2014,0.2099,
2.191,0.2807,0.113,0.08831,0.06615,0.1131,0.04611,0.03873,0.03031,0.03407,0.05731,0.2024,0.2105,
2.191,0.2818,0.113,0.08835,0.06617,0.1127,0.04612,0.03874,0.03032,0.03409,0.05733,0.2025,0.2106,
