RabA,RabB,RabC,RabD,RabE,
3981647.98866,1969778.594,1969778.594,1969778.594,3981364.29879,
3981647.98866,1969778.594,1969778.594,1969778.594,3981364.29879,
3981647.98866,1969778.594,1969778.594,1969778.594,3981364.29879,
2920963.75553,3092038.04315,1938990.98599,1938990.98599,3981364.29879,
2920963.75553,3092038.04315,1938990.98599,1938990.98599,3981364.29879,
2920963.75553,3092038.04315,1938990.98599,1938990.98599,3981364.29879,
2722242.92696,3163992.65638,2065757.20133,1938990.98599,3981364.29879,
2722242.92696,3163992.65638,2065757.20133,1938990.98599,3981364.29879,
2722242.92696,3163992.65638,2065757.20133,1938990.98599,3981364.29879,
2242209.88328,3520563.80346,2189219.09793,1938990.98599,3981364.29879,
2242209.88328,3520563.80346,2189219.09793,1938990.98599,3981364.29879,
2242209.88328,3520563.80346,2189219.09793,1938990.98599,3981364.29879,
2093093.11075,3455332.02055,2388173.84937,1954384.79,3981364.29879,
2093093.11075,3455332.02055,2388173.84937,1954384.79,3981364.29879,
2093093.11075,3455332.02055,2388173.84937,1954384.79,3981364.29879,
1921294.64505,3541383.55564,2374328.50492,1892809.57399,4142531.78986,
1921294.64505,3541383.55564,2374328.50492,1892809.57399,4142531.78986,
1921294.64505,3541383.55564,2374328.50492,1892809.57399,4142531.78986,
1709363.31903,3482912.67747,2552094.11025,1985446.17286,4142531.78986,
1709363.31903,3482912.67747,2552094.11025,1985446.17286,4142531.78986,
1709363.31903,3482912.67747,2552094.11025,1985446.17286,4142531.78986,
1569115.9349,3374201.49167,2667289.33411,2050303.43555,4211437.87323,
1569115.9349,3374201.49167,2667289.33411,2050303.43555,4211437.87323,
1569115.9349,3374201.49167,2667289.33411,2050303.43555,4211437.87323,
1186127.64913,2776529.82549,2016834.38012,3502068.07201,4390788.14272,
1186127.64913,2776529.82549,2016834.38012,3502068.07201,4390788.14272,
1186127.64913,2776529.82549,2016834.38012,3502068.07201,4390788.14272,
1094137.02751,2751774.02309,1226307.94219,4409340.93396,4390788.14272,
1094137.02751,2751774.02309,1226307.94219,4409340.93396,4390788.14272,
1094137.02751,2751774.02309,1226307.94219,4409340.93396,4390788.14272,
895304.309,2851847.80352,1325066.88026,4409340.93396,4390788.14272,
895304.309,2851847.80352,1325066.88026,4409340.93396,4390788.14272,
895304.309,2851847.80352,1325066.88026,4409340.93396,4390788.14272,
2528932.48887,2658798.94429,1138457.30055,3773636.62706,5406150.88855,
2528932.48887,2658798.94429,1138457.30055,3773636.62706,5406150.88855,
2528932.48887,2658798.94429,1138457.30055,3773636.62706,5406150.88855,
895304.309,3211068.33799,2139854.57985,3679667.21034,5580081.81215,
895304.309,3211068.33799,2139854.57985,3679667.21034,5580081.81215,
895304.309,3211068.33799,2139854.57985,3679667.21034,5580081.81215,
895304.309,3090975.86598,1951630.57951,3418040.94921,6150024.54562,
895304.309,3090975.86598,1951630.57951,3418040.94921,6150024.54562,
895304.309,3090975.86598,1951630.57951,3418040.94921,6150024.54562,
845347.18143,2983044.64959,2124912.72748,2726281.3433,6826390.34754,
845347.18143,2983044.64959,2124912.72748,2726281.3433,6826390.34754,
845347.18143,2983044.64959,2124912.72748,2726281.3433,6826390.34754,
845347.18143,2856499.62761,1175769.65371,3700709.87174,6927649.91483,
845347.18143,2856499.62761,1175769.65371,3700709.87174,6927649.91483,
845347.18143,2856499.62761,1175769.65371,3700709.87174,6927649.91483,
845347.18143,2673793.87108,1331125.64156,3697272.03242,6958437.52284,
845347.18143,2673793.87108,1331125.64156,3697272.03242,6958437.52284,
845347.18143,2673793.87108,1331125.64156,3697272.03242,6958437.52284,
845347.18143,2643006.26308,1243344.16255,2569571.31355,8204707.32872,
845347.18143,2643006.26308,1243344.16255,2569571.31355,8204707.32872,
845347.18143,2643006.26308,1243344.16255,2569571.31355,8204707.32872,
845347.18143,2591379.23696,1250850.28965,2389914.38878,8428485.1525,
845347.18143,2591379.23696,1250850.28965,2389914.38878,8428485.1525,
845347.18143,2591379.23696,1250850.28965,2389914.38878,8428485.1525,
845347.18143,2457041.49719,1302592.92227,2367290.77939,8533703.86905,
845347.18143,2457041.49719,1302592.92227,2367290.77939,8533703.86905,
845347.18143,2457041.49719,1302592.92227,2367290.77939,8533703.86905,
845347.18143,2441647.69319,1317986.72627,2186512.95459,8714481.69385,
845347.18143,2441647.69319,1317986.72627,2186512.95459,8714481.69385,
845347.18143,2441647.69319,1317986.72627,2186512.95459,8714481.69385,
2478975.3613,2345690.81826,1394757.29574,1479026.2888,9441154.6651,
2478975.3613,2345690.81826,1394757.29574,1479026.2888,9441154.6651,
2478975.3613,2345690.81826,1394757.29574,1479026.2888,9441154.6651,
521070.47968,4303595.69987,1383011.1338,1335317.80991,9596609.30593,
521070.47968,4303595.69987,1383011.1338,1335317.80991,9596609.30593,
521070.47968,4303595.69987,1383011.1338,1335317.80991,9596609.30593,
521070.47968,4157399.53424,1510037.77986,1289136.39791,9661960.2375,
521070.47968,4157399.53424,1510037.77986,1289136.39791,9661960.2375,
521070.47968,4157399.53424,1510037.77986,1289136.39791,9661960.2375,
521070.47968,4126611.92624,1540825.38786,1289136.39791,9661960.2375,
521070.47968,4126611.92624,1540825.38786,1289136.39791,9661960.2375,
521070.47968,4126611.92624,1540825.38786,1289136.39791,9661960.2375,
521070.47968,4095824.31823,1506443.72894,1354305.66483,9661960.2375,
521070.47968,4095824.31823,1506443.72894,1354305.66483,9661960.2375,
521070.47968,4095824.31823,1506443.72894,1354305.66483,9661960.2375,
493267.8237,4092839.36621,1514710.65081,1234593.07213,9804193.51633,
493267.8237,4092839.36621,1514710.65081,1234593.07213,9804193.51633,
493267.8237,4092839.36621,1514710.65081,1234593.07213,9804193.51633,
449315.68896,4051073.78885,1514710.65081,1320310.78424,9804193.51633,
449315.68896,4051073.78885,1514710.65081,1320310.78424,9804193.51633,
449315.68896,4051073.78885,1514710.65081,1320310.78424,9804193.51633,
392252.3098,4022191.32282,1576285.86682,1239747.71331,9909127.21645,
392252.3098,4022191.32282,1576285.86682,1239747.71331,9909127.21645,
392252.3098,4022191.32282,1576285.86682,1239747.71331,9909127.21645,
392252.3098,4022191.32282,1576285.86682,1239747.71331,9909127.21645,
392252.3098,4022191.32282,1576285.86682,1239747.71331,9909127.21645,
392252.3098,4022191.32282,1576285.86682,1239747.71331,9909127.21645,
392252.3098,4022191.32282,1576285.86682,1224353.90931,9924521.02045,
392252.3098,4022191.32282,1576285.86682,1224353.90931,9924521.02045,
392252.3098,4022191.32282,1576285.86682,1224353.90931,9924521.02045,
1840185.9145,4161704.48597,1560365.6166,1201615.84739,1.00093607446E7,
1840185.9145,4161704.48597,1560365.6166,1201615.84739,1.00093607446E7,
1840185.9145,4161704.48597,1560365.6166,1201615.84739,1.00093607446E7,
118716.0234,5867780.57307,1480375.87206,1281605.59192,1.00247545486E7,
118716.0234,5867780.57307,1480375.87206,1281605.59192,1.00247545486E7,
118716.0234,5867780.57307,1480375.87206,1281605.59192,1.00247545486E7,
